Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.002177467;0.004237083;0.003292529;0.003143401;0.002260019;0.001978558;0.00320368;0.0033884370000000002;0.002687391;0.003179879;0.003329605
1;0.00016218799999999999;0.00013945;0.000236791;0.000121793;2.6165e-05;0.00015771899999999999;0.00018562100000000002;0.00011010100000000001;0.000220635;6.1232e-05;0.00012370100000000001
5;0.000114158;0.000112957;9.3878e-05;7.3265e-05;0.000111318;0.000131214;5.7339e-05;3.8573000000000005e-05;0.00011807199999999999;6.191499999999999e-05;1.9609e-05
10;0.000155446;0.000153696;0.000232755;5.7430000000000004e-05;0.000134522;0.000115111;0.000114868;7.6382e-05;0.000169198;0.0;0.000129533
15;0.00033541100000000003;0.000285405;0.00022132;0.000261636;0.00015493299999999998;0.000250637;0.00015388699999999999;0.000174181;0.000173516;0.000190429;0.00013231999999999998
20;0.000533025;0.000565219;0.00037864999999999996;0.000261122;0.000408831;0.00033360299999999997;0.00034395300000000003;0.000319548;0.000301325;0.000380175;0.000225042
25;0.000590935;0.000333422;0.000313673;0.00048577900000000004;0.000365659;0.0005619189999999999;0.000296268;0.000459387;0.000481538;0.000318028;0.000488305
30;0.0005358159999999999;0.0005862920000000001;0.0006922660000000001;0.000439196;0.000440945;0.000475223;0.000469083;0.000636032;0.000453449;0.000422779;0.000546194
35;0.00076444;0.00072475;0.0008227309999999999;0.000637668;0.000668748;0.0005371449999999999;0.000710333;0.000620989;0.0006010529999999999;0.00062648;0.000630512
40;0.001441397;0.00141742;0.001339013;0.0011958070000000001;0.0011712860000000001;0.0010585549999999999;0.001057528;0.0009492270000000001;0.000977573;0.000887648;0.0010022780000000001
45;0.002628791;0.002264238;0.002173123;0.002333478;0.002152471;0.002116645;0.001955523;0.001847732;0.0020141010000000003;0.0018479969999999999;0.001825376
50;0.004292033;0.004303387;0.003755283;0.0036990449999999998;0.003877968;0.003329345;0.003505623;0.0032042869999999997;0.0030631409999999997;0.0029776720000000002;0.003889255
55;0.007022478;0.006419386;0.006172767;0.0059414889999999995;0.005733388;0.005858513;0.005386946;0.005529313;0.005472552;0.005254165000000001;0.006128711
60;0.009704203;0.009904366;0.009812715000000001;0.009299566;0.009264356;0.009219859;0.009461157999999999;0.008835656;0.00909998;0.009031230000000001;0.009363889
65;0.013859005;0.012913997;0.013380965;0.013779986;0.014942558;0.014512385999999999;0.013657506;0.01330685;0.013095242;0.013280686;0.016080048000000003
70;0.021769221999999998;0.021167702;0.02175169;0.020591503;0.021442008000000002;0.020250874;0.020154916;0.020570177999999998;0.018878999;0.01971216;0.024155349
75;0.037874214;0.033960877;0.0360612;0.035424743999999994;0.034781792000000006;0.034840849;0.034410511;0.032484414;0.031010057;0.031980526;0.039019678
80;0.066139068;0.061980236;0.063938371;0.060021699;0.057956007;0.060356331;0.057343921;0.058978620999999995;0.058976326;0.056344924;0.072533665
85;0.115272125;0.113139295;0.115874272;0.112094023;0.106939831;0.113892413;0.108642008;0.108440904;0.10429936399999999;0.10475521;0.133490664
90;0.204027314;0.192587932;0.205807378;0.188796642;0.189750635;0.2010814;0.193946499;0.190419661;0.19848576199999998;0.185544531;0.231542857
95;0.327990602;0.318028996;0.35154262999999997;0.313636585;0.313125324;0.338111291;0.30885936199999997;0.32005563000000004;0.321195905;0.301998805;0.394684069
