Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.002301932;0.005017674000000001;0.003248347;0.001744482;0.00249064;0.001279185;0.001607436;0.002979051;0.0021276109999999997;0.0015121569999999999;0.002866769
1;0.00018842900000000002;0.000127803;0.000124865;0.00013520199999999998;0.000331334;0.0;7.7128e-05;0.00015052499999999999;0.0;0.00016564200000000002;0.00017339999999999999
5;5.3004e-05;0.00010717200000000001;0.000103836;0.0;0.00020283499999999998;4.8441e-05;5.0192e-05;0.0;4.9706e-05;0.000102449;5.0854000000000005e-05
10;0.00011526;5.5559999999999997e-05;0.000224625;0.000112849;0.00010868899999999999;0.0;0.0;0.0;0.000153824;0.000243506;4.7595999999999996e-05
15;0.000207675;5.5252000000000006e-05;0.0;0.00021910499999999998;5.6268e-05;0.000280793;0.0;5.5972e-05;0.000109362;5.4132e-05;0.00010432800000000001
20;0.000213249;0.00013831;0.000447505;0.00018732999999999998;4.5799e-05;0.0;0.000200401;0.000261724;0.000272781;0.00010757;0.000159943
25;0.000211304;0.00015164400000000001;0.000278813;0.00028999799999999997;0.000123624;0.000407519;0.000268826;0.0001889;0.000191412;9.7483e-05;0.000154926
30;0.000317031;0.00020408499999999998;0.000150422;0.00041223999999999997;0.000308102;0.000211033;0.000322481;0.000104127;0.00023008799999999998;0.00027399200000000003;0.000131581
35;0.000334127;0.0005587029999999999;0.000556661;0.000511864;0.000613313;0.000489286;0.000499907;0.000365229;0.00027522600000000005;0.000398784;0.000519771
40;0.000931092;0.000853224;0.000921976;0.00055401;0.001031966;0.0007582;0.00079842;0.000658087;0.000421466;0.000811513;0.0008153510000000001
45;0.001455078;0.0017723930000000001;0.001683356;0.001190464;0.001718252;0.00142405;0.001128508;0.000952855;0.001511574;0.001278047;0.001107731
50;0.002393462;0.002418779;0.002135593;0.003086156;0.002333437;0.001869094;0.0020275120000000004;0.002205253;0.001971226;0.0020114010000000003;0.001929846
55;0.003466207;0.003204494;0.003217169;0.002957103;0.003442958;0.00349543;0.002873641;0.0032094809999999997;0.003767531;0.0036041669999999997;0.003297977
60;0.004240936999999999;0.0045887079999999995;0.004835254;0.004007535;0.004279715999999999;0.00430665;0.004674594;0.0048449619999999995;0.0054097780000000005;0.004930975;0.005131971
65;0.006057988;0.006006494;0.0061558260000000005;0.005714584;0.006204883;0.00588173;0.006659153;0.00643276;0.0058362579999999996;0.007178371;0.007373813
70;0.011733229;0.010829508;0.010269176;0.009896618;0.010205229;0.010400372000000001;0.010955135;0.010699182;0.009428445;0.009049159;0.01050543
75;0.020461627;0.020809076000000003;0.020162102;0.018509315999999998;0.019677422;0.018015871;0.018239438;0.018175135000000002;0.018065249000000002;0.018490126;0.019716961999999998
80;0.044709261;0.042029949999999996;0.043566259;0.041586534;0.040207884;0.043333081999999995;0.041139629999999996;0.039380873000000004;0.039476667;0.034819473000000004;0.0424989
85;0.09338874;0.08789119499999999;0.091627195;0.08532971499999999;0.085342383;0.09347507899999999;0.085408035;0.084432536;0.083755037;0.079813751;0.08792105700000001
90;0.17524162599999998;0.174616289;0.176214536;0.171795169;0.16442241400000002;0.17979943;0.165989778;0.16563286600000002;0.166066475;0.156644917;0.174419682
95;0.32132197300000004;0.301715847;0.301360364;0.31222810500000003;0.28721214700000003;0.32123941;0.318070229;0.31664233799999997;0.300058195;0.280774496;0.317778253
