municipio_code,municipio_name,Periodo,Total
1001,Alegría-Dulantzi,2024,148.0
1001,Alegría-Dulantzi,2023,150.0
1001,Alegría-Dulantzi,2022,154.0
1001,Alegría-Dulantzi,2021,169.0
1001,Alegría-Dulantzi,2020,155.0
1001,Alegría-Dulantzi,2019,148.0
1001,Alegría-Dulantzi,2018,151.0
1001,Alegría-Dulantzi,2017,160.0
1001,Alegría-Dulantzi,2016,168.0
1001,Alegría-Dulantzi,2015,160.0
1001,Alegría-Dulantzi,2014,147.0
1001,Alegría-Dulantzi,2013,137.0
1001,Alegría-Dulantzi,2012,134.0
1002,Amurrio,2024,575.0
1002,Amurrio,2023,575.0
1002,Amurrio,2022,601.0
1002,Amurrio,2021,596.0
1002,Amurrio,2020,601.0
1002,Amurrio,2019,600.0
1002,Amurrio,2018,616.0
1002,Amurrio,2017,603.0
1002,Amurrio,2016,616.0
1002,Amurrio,2015,604.0
1002,Amurrio,2014,591.0
1002,Amurrio,2013,602.0
1002,Amurrio,2012,617.0
1003,Aramaio,2024,43.0
1003,Aramaio,2023,39.0
1003,Aramaio,2022,43.0
1003,Aramaio,2021,46.0
1003,Aramaio,2020,46.0
1003,Aramaio,2019,50.0
1003,Aramaio,2018,45.0
1003,Aramaio,2017,42.0
1003,Aramaio,2016,50.0
1003,Aramaio,2015,49.0
1003,Aramaio,2014,48.0
1003,Aramaio,2013,51.0
1003,Aramaio,2012,54.0
1004,Artziniega,2024,86.0
1004,Artziniega,2023,91.0
1004,Artziniega,2022,105.0
1004,Artziniega,2021,107.0
1004,Artziniega,2020,104.0
1004,Artziniega,2019,102.0
1004,Artziniega,2018,99.0
1004,Artziniega,2017,98.0
1004,Artziniega,2016,109.0
1004,Artziniega,2015,106.0
1004,Artziniega,2014,102.0
1004,Artziniega,2013,103.0
1004,Artziniega,2012,113.0
1006,Armiñón,2024,10.0
1006,Armiñón,2023,13.0
1006,Armiñón,2022,12.0
1006,Armiñón,2021,12.0
1006,Armiñón,2020,15.0
1006,Armiñón,2019,15.0
1006,Armiñón,2018,14.0
1006,Armiñón,2017,14.0
1006,Armiñón,2016,16.0
1006,Armiñón,2015,15.0
