Municipios	Sexo	Periodo	Total
01051 Agurain/Salvatierra	Total	2024	5.155
01051 Agurain/Salvatierra	Total	2023	5.085
01051 Agurain/Salvatierra	Total	2022	5.069
01051 Agurain/Salvatierra	Total	2021	5.029
01051 Agurain/Salvatierra	Total	2020	5.038
01051 Agurain/Salvatierra	Total	2019	5.062
01051 Agurain/Salvatierra	Total	2018	5.018
01051 Agurain/Salvatierra	Total	2017	5.025
01051 Agurain/Salvatierra	Total	2016	4.985
01051 Agurain/Salvatierra	Total	2015	4.986
01051 Agurain/Salvatierra	Total	2014	4.952
01051 Agurain/Salvatierra	Total	2013	4.995
01051 Agurain/Salvatierra	Total	2012	4.978
01051 Agurain/Salvatierra	Total	2011	4.884
01051 Agurain/Salvatierra	Total	2010	4.867
01051 Agurain/Salvatierra	Total	2009	4.801
01051 Agurain/Salvatierra	Total	2008	4.628
01051 Agurain/Salvatierra	Total	2007	4.407
01051 Agurain/Salvatierra	Total	2006	4.217
01051 Agurain/Salvatierra	Total	2005	4.118
01051 Agurain/Salvatierra	Total	2004	4.096
01051 Agurain/Salvatierra	Total	2003	4.044
01051 Agurain/Salvatierra	Total	2002	4.045
01051 Agurain/Salvatierra	Total	2001	3.984
01051 Agurain/Salvatierra	Total	2000	4.014
01051 Agurain/Salvatierra	Total	1999	3.933
01051 Agurain/Salvatierra	Total	1998	3.876
01051 Agurain/Salvatierra	Total	1997	""
01051 Agurain/Salvatierra	Total	1996	3.796
01051 Agurain/Salvatierra	Hombres	2024	2.601
01051 Agurain/Salvatierra	Hombres	2023	2.583
01051 Agurain/Salvatierra	Hombres	2022	2.545
01051 Agurain/Salvatierra	Hombres	2021	2.522
01051 Agurain/Salvatierra	Hombres	2020	2.537
01051 Agurain/Salvatierra	Hombres	2019	2.526
01051 Agurain/Salvatierra	Hombres	2018	2.497
01051 Agurain/Salvatierra	Hombres	2017	2.502
01051 Agurain/Salvatierra	Hombres	2016	2.474
01051 Agurain/Salvatierra	Hombres	2015	2.483
01051 Agurain/Salvatierra	Hombres	2014	2.482
01051 Agurain/Salvatierra	Hombres	2013	2.520
01051 Agurain/Salvatierra	Hombres	2012	2.495
01051 Agurain/Salvatierra	Hombres	2011	2.478
01051 Agurain/Salvatierra	Hombres	2010	2.470
01051 Agurain/Salvatierra	Hombres	2009	2.433
01051 Agurain/Salvatierra	Hombres	2008	2.345
01051 Agurain/Salvatierra	Hombres	2007	2.215
01051 Agurain/Salvatierra	Hombres	2006	2.122
01051 Agurain/Salvatierra	Hombres	2005	2.051
01051 Agurain/Salvatierra	Hombres	2004	2.044
01051 Agurain/Salvatierra	Hombres	2003	1.999
01051 Agurain/Salvatierra	Hombres	2002	2.000
01051 Agurain/Salvatierra	Hombres	2001	1.970
01051 Agurain/Salvatierra	Hombres	2000	1.995
01051 Agurain/Salvatierra	Hombres	1999	1.969
01051 Agurain/Salvatierra	Hombres	1998	1.940
01051 Agurain/Salvatierra	Hombres	1997	""
01051 Agurain/Salvatierra	Hombres	1996	1.929
01051 Agurain/Salvatierra	Mujeres	2024	2.554
01051 Agurain/Salvatierra	Mujeres	2023	2.502
01051 Agurain/Salvatierra	Mujeres	2022	2.524
01051 Agurain/Salvatierra	Mujeres	2021	2.507
01051 Agurain/Salvatierra	Mujeres	2020	2.501
01051 Agurain/Salvatierra	Mujeres	2019	2.536
01051 Agurain/Salvatierra	Mujeres	2018	2.521
01051 Agurain/Salvatierra	Mujeres	2017	2.523
01051 Agurain/Salvatierra	Mujeres	2016	2.511
01051 Agurain/Salvatierra	Mujeres	2015	2.503
01051 Agurain/Salvatierra	Mujeres	2014	2.470
01051 Agurain/Salvatierra	Mujeres	2013	2.475
01051 Agurain/Salvatierra	Mujeres	2012	2.483
01051 Agurain/Salvatierra	Mujeres	2011	2.406
01051 Agurain/Salvatierra	Mujeres	2010	2.397
01051 Agurain/Salvatierra	Mujeres	2009	2.368
01051 Agurain/Salvatierra	Mujeres	2008	2.283
01051 Agurain/Salvatierra	Mujeres	2007	2.192
01051 Agurain/Salvatierra	Mujeres	2006	2.095
01051 Agurain/Salvatierra	Mujeres	2005	2.067
01051 Agurain/Salvatierra	Mujeres	2004	2.052
01051 Agurain/Salvatierra	Mujeres	2003	2.045
01051 Agurain/Salvatierra	Mujeres	2002	2.045
01051 Agurain/Salvatierra	Mujeres	2001	2.014
01051 Agurain/Salvatierra	Mujeres	2000	2.019
01051 Agurain/Salvatierra	Mujeres	1999	1.964
01051 Agurain/Salvatierra	Mujeres	1998	1.936
01051 Agurain/Salvatierra	Mujeres	1997	""
01051 Agurain/Salvatierra	Mujeres	1996	1.867
01001 Alegría-Dulantzi	Total	2024	2.971
01001 Alegría-Dulantzi	Total	2023	2.975
01001 Alegría-Dulantzi	Total	2022	2.960
01001 Alegría-Dulantzi	Total	2021	2.925
01001 Alegría-Dulantzi	Total	2020	2.935
01001 Alegría-Dulantzi	Total	2019	2.876
01001 Alegría-Dulantzi	Total	2018	2.887
01001 Alegría-Dulantzi	Total	2017	2.913
01001 Alegría-Dulantzi	Total	2016	2.856
01001 Alegría-Dulantzi	Total	2015	2.882
01001 Alegría-Dulantzi	Total	2014	2.925
01001 Alegría-Dulantzi	Total	2013	2.870
01001 Alegría-Dulantzi	Total	2012	2.869
01001 Alegría-Dulantzi	Total	2011	2.803
01001 Alegría-Dulantzi	Total	2010	2.714
01001 Alegría-Dulantzi	Total	2009	2.620
01001 Alegría-Dulantzi	Total	2008	2.467
01001 Alegría-Dulantzi	Total	2007	2.305
01001 Alegría-Dulantzi	Total	2006	2.189
01001 Alegría-Dulantzi	Total	2005	2.048
01001 Alegría-Dulantzi	Total	2004	1.919
01001 Alegría-Dulantzi	Total	2003	1.707
01001 Alegría-Dulantzi	Total	2002	1.598
01001 Alegría-Dulantzi	Total	2001	1.486
01001 Alegría-Dulantzi	Total	2000	1.401
01001 Alegría-Dulantzi	Total	1999	1.329
01001 Alegría-Dulantzi	Total	1998	1.259
01001 Alegría-Dulantzi	Total	1997	""
01001 Alegría-Dulantzi	Total	1996	1.234
01001 Alegría-Dulantzi	Hombres	2024	1.531
01001 Alegría-Dulantzi	Hombres	2023	1.539
01001 Alegría-Dulantzi	Hombres	2022	1.530
01001 Alegría-Dulantzi	Hombres	2021	1.517
01001 Alegría-Dulantzi	Hombres	2020	1.531
01001 Alegría-Dulantzi	Hombres	2019	1.501
01001 Alegría-Dulantzi	Hombres	2018	1.507
01001 Alegría-Dulantzi	Hombres	2017	1.512
01001 Alegría-Dulantzi	Hombres	2016	1.467
01001 Alegría-Dulantzi	Hombres	2015	1.491
01001 Alegría-Dulantzi	Hombres	2014	1.513
01001 Alegría-Dulantzi	Hombres	2013	1.482
01001 Alegría-Dulantzi	Hombres	2012	1.484
01001 Alegría-Dulantzi	Hombres	2011	1.466
01001 Alegría-Dulantzi	Hombres	2010	1.395
01001 Alegría-Dulantzi	Hombres	2009	1.353
01001 Alegría-Dulantzi	Hombres	2008	1.290
01001 Alegría-Dulantzi	Hombres	2007	1.210
01001 Alegría-Dulantzi	Hombres	2006	1.144
01001 Alegría-Dulantzi	Hombres	2005	1.050
01001 Alegría-Dulantzi	Hombres	2004	980
01001 Alegría-Dulantzi	Hombres	2003	885
01001 Alegría-Dulantzi	Hombres	2002	828
01001 Alegría-Dulantzi	Hombres	2001	763
01001 Alegría-Dulantzi	Hombres	2000	731
01001 Alegría-Dulantzi	Hombres	1999	696
01001 Alegría-Dulantzi	Hombres	1998	656
01001 Alegría-Dulantzi	Hombres	1997	""
01001 Alegría-Dulantzi	Hombres	1996	640
01001 Alegría-Dulantzi	Mujeres	2024	1.440
01001 Alegría-Dulantzi	Mujeres	2023	1.436
01001 Alegría-Dulantzi	Mujeres	2022	1.430
01001 Alegría-Dulantzi	Mujeres	2021	1.408
01001 Alegría-Dulantzi	Mujeres	2020	1.404
01001 Alegría-Dulantzi	Mujeres	2019	1.375
01001 Alegría-Dulantzi	Mujeres	2018	1.380
01001 Alegría-Dulantzi	Mujeres	2017	1.401
