ccaa_code,year,1,2,3,4,5,6,7
01,2014,3.775,9.85,0,0,0,0,0
01,2015,3.525,9.925,0,0,0,0,0
01,2016,3.2,9.4,0,0,0,0,0
01,2017,3.1,8.825,0,0,0,0,0
01,2018,2.775,8.925,0,0,0,0,0
01,2019,2.575,8.45,0,0,0,0,0
01,2020,2.525,7.6,0,0,0,0,0
01,2021,2.45,6.9,0,0,0,0,0
01,2022,2.375,6.525,0,0,0,0,0
01,2023,2.1,6.55,0,0,0,0,0
01,2024,1.925,6.275,0,0,0,0,0
01,2025,1.9,6.2,0,0,0,0,0
02,2014,0.825,5.55,0,0,0,0,0
02,2015,0.9,5.275,0,0,0,0,0
02,2016,0.775,4.625,0,0,0,0,0
02,2017,0.8,3.65,0,0,0,0,0
02,2018,0.725,3.5999999999999996,0,0,0,0,0
02,2019,0.7,3.125,0,0,0,0,0
02,2020,0.725,2.75,0,0,0,0,0
02,2021,0.775,2.65,0,0,0,0,0
02,2022,0.95,2.625,0,0,0,0,0
02,2023,0.75,2.8,0,0,0,0,0
02,2024,0.85,2.7,0,0,0,0,0
02,2025,1.0,2.2,0,0,0,0,0
03,2014,0.6499999999999999,4.875,0,0,0,0,0
03,2015,0.825,4.7,0,0,0,0,0
03,2016,0.6,3.625,0,0,0,0,0
03,2017,0.75,2.75,0,0,0,0,0
03,2018,0.675,3.175,0,0,0,0,0
03,2019,0.5,3.05,0,0,0,0,0
03,2020,0.575,2.375,0,0,0,0,0
03,2021,0.575,2.625,0,0,0,0,0
03,2022,0.75,2.55,0,0,0,0,0
03,2023,0.325,2.0,0,0,0,0,0
03,2024,0.55,1.9,0,0,0,0,0
03,2025,0.5,1.9,0,0,0,0,0
04,2014,1.85,6.925,0,0,0,0,0
04,2015,1.6,6.325,0,0,0,0,0
04,2016,1.75,5.2,0,0,0,0,0
04,2017,1.425,5.0,0,0,0,0,0
04,2018,1.625,4.475,0,0,0,0,0
04,2019,1.525,3.575,0,0,0,0,0
04,2020,1.5,3.8,0,0,0,0,0
04,2021,1.275,3.2,0,0,0,0,0
04,2022,1.175,3.3,0,0,0,0,0
04,2023,1.175,3.05,0,0,0,0,0
04,2024,1.05,2.5,0,0,0,0,0
04,2025,1.0,3.7,0,0,0,0,0
05,2014,2.5,8.575,0,0,0,0,0
05,2015,2.3249999999999997,8.175,0,0,0,0,0
05,2016,1.925,7.375,0,0,0,0,0
05,2017,1.875,6.8,0,0,0,0,0
05,2018,1.8,6.825,0,0,0,0,0
05,2019,1.55,5.625,0,0,0,0,0
05,2020,1.85,5.7,0,0,0,0,0
05,2021,1.825,5.7250000000000005,0,0,0,0,0
05,2022,1.45,4.925,0,0,0,0,0
05,2023,1.325,4.65,0,0,0,0,0
05,2024,1.425,4.325,0,0,0,0,0
05,2025,1.2,4.5,0,0,0,0,0
06,2014,0.35,2.55,0,0,0,0,0
06,2015,0.475,2.25,0,0,0,0,0
06,2016,0.35,1.575,0,0,0,0,0
06,2017,0.475,1.575,0,0,0,0,0
06,2018,0.44999999999999996,1.1,0,0,0,0,0
06,2019,0.325,0.9750000000000001,0,0,0,0,0
06,2020,0.375,1.05,0,0,0,0,0
06,2021,0.275,1.125,0,0,0,0,0
06,2022,0.35,0.825,0,0,0,0,0
06,2023,0.225,0.5,0,0,0,0,0
06,2024,0.25,0.8999999999999999,0,0,0,0,0
06,2025,0.2,1.1,0,0,0,0,0
07,2014,0.975,5.45,0,0,0,0,0
07,2015,1.05,5.125,0,0,0,0,0
07,2016,0.95,4.7,0,0,0,0,0
07,2017,0.8500000000000001,4.325,0,0,0,0,0
07,2018,0.8250000000000001,3.75,0,0,0,0,0
07,2019,0.6749999999999999,3.225,0,0,0,0,0
07,2020,0.625,2.925,0,0,0,0,0
07,2021,0.55,2.55,0,0,0,0,0
07,2022,0.6499999999999999,2.5,0,0,0,0,0
07,2023,0.575,2.85,0,0,0,0,0
07,2024,0.7,2.875,0,0,0,0,0
07,2025,0.7,2.5,0,0,0,0,0
08,2014,2.4,11.975000000000001,0,0,0,0,0
08,2015,2.325,11.075,0,0,0,0,0
08,2016,2.3249999999999997,10.575,0,0,0,0,0
08,2017,2.3499999999999996,10.3,0,0,0,0,0
08,2018,2.05,9.524999999999999,0,0,0,0,0
08,2019,2.05,8.0,0,0,0,0,0
08,2020,1.65,7.375,0,0,0,0,0
08,2021,1.65,7.125,0,0,0,0,0
08,2022,1.425,7.300000000000001,0,0,0,0,0
08,2023,1.3,7.05,0,0,0,0,0
08,2024,1.15,6.175,0,0,0,0,0
08,2025,1.1,5.5,0,0,0,0,0
09,2014,1.525,6.275,0,0,0,0,0
09,2015,1.7000000000000002,5.675,0,0,0,0,0
09,2016,1.5,5.6,0,0,0,0,0
09,2017,1.325,5.3,0,0,0,0,0
09,2018,1.325,5.125,0,0,0,0,0
09,2019,1.35,4.5,0,0,0,0,0
09,2020,1.25,4.275,0,0,0,0,0
09,2021,1.325,4.275,0,0,0,0,0
09,2022,1.425,4.05,0,0,0,0,0
09,2023,1.2,3.425,0,0,0,0,0
09,2024,1.0,3.05,0,0,0,0,0
09,2025,1.1,2.9,0,0,0,0,0
10,2014,1.825,6.625,0,0,0,0,0
10,2015,1.7000000000000002,6.275,0,0,0,0,0
10,2016,1.85,5.65,0,0,0,0,0
10,2017,1.775,5.675,0,0,0,0,0
10,2018,1.65,5.725,0,0,0,0,0
10,2019,1.425,5.0,0,0,0,0,0
10,2020,1.325,4.775,0,0,0,0,0
10,2021,1.375,4.1,0,0,0,0,0
10,2022,1.4,4.125,0,0,0,0,0
10,2023,1.225,4.575,0,0,0,0,0
10,2024,1.225,4.55,0,0,0,0,0
10,2025,1.1,4.2,0,0,0,0,0
11,2014,3.375,11.6,0,0,0,0,0
11,2015,2.9,10.7,0,0,0,0,0
11,2016,2.65,10.475,0,0,0,0,0
11,2017,2.9,10.75,0,0,0,0,0
11,2018,3.0,10.05,0,0,0,0,0
11,2019,3.2750000000000004,8.825,0,0,0,0,0
11,2020,2.9,8.075,0,0,0,0,0
11,2021,2.55,8.15,0,0,0,0,0
11,2022,2.275,7.5,0,0,0,0,0
11,2023,2.1750000000000003,6.975,0,0,0,0,0
11,2024,2.325,6.975,0,0,0,0,0
11,2025,2.3,7.2,0,0,0,0,0
12,2014,1.35,6.8,0,0,0,0,0
12,2015,1.275,7.3,0,0,0,0,0
12,2016,1.175,7.4,0,0,0,0,0
12,2017,1.175,7.6,0,0,0,0,0
12,2018,1.15,7.275,0,0,0,0,0
12,2019,1.0750000000000002,5.75,0,0,0,0,0
12,2020,0.95,4.875,0,0,0,0,0
12,2021,0.8,4.85,0,0,0,0,0
12,2022,0.95,4.55,0,0,0,0,0
12,2023,0.9,3.575,0,0,0,0,0
12,2024,0.775,3.3,0,0,0,0,0
12,2025,0.8,3.3,0,0,0,0,0
13,2014,0.8,4.925,0,0,0,0,0
13,2015,0.775,4.95,0,0,0,0,0
13,2016,0.825,4.175,0,0,0,0,0
13,2017,0.875,3.425,0,0,0,0,0
13,2018,0.775,3.3,0,0,0,0,0
13,2019,0.6499999999999999,3.2,0,0,0,0,0
13,2020,0.7,2.8,0,0,0,0,0
13,2021,0.7,2.75,0,0,0,0,0
13,2022,0.55,2.225,0,0,0,0,0
13,2023,0.55,2.2,0,0,0,0,0
13,2024,0.6499999999999999,1.9,0,0,0,0,0
13,2025,0.6,2.0,0,0,0,0,0
14,2014,3.725,8.649999999999999,0,0,0,0,0
14,2015,3.75,9.0,0,0,0,0,0
14,2016,3.5500000000000003,8.375,0,0,0,0,0
14,2017,3.0,7.525,0,0,0,0,0
14,2018,2.825,7.15,0,0,0,0,0
14,2019,3.25,6.35,0,0,0,0,0
14,2020,2.55,6.25,0,0,0,0,0
14,2021,2.525,5.8,0,0,0,0,0
14,2022,2.625,6.375,0,0,0,0,0
14,2023,2.65,6.35,0,0,0,0,0
14,2024,2.95,6.425,0,0,0,0,0
14,2025,3.1,6.6,0,0,0,0,0
15,2014,0.55,3.175,0,0,0,0,0
15,2015,0.525,2.7,0,0,0,0,0
15,2016,1.025,2.7750000000000004,0,0,0,0,0
15,2017,0.95,1.9500000000000002,0,0,0,0,0
15,2018,0.725,1.55,0,0,0,0,0
15,2019,0.6,1.5,0,0,0,0,0
15,2020,0.725,1.825,0,0,0,0,0
15,2021,0.75,2.35,0,0,0,0,0
15,2022,0.925,2.35,0,0,0,0,0
15,2023,0.95,2.675,0,0,0,0,0
15,2024,0.4,2.2,0,0,0,0,0
15,2025,0.5,2.0,0,0,0,0,0
16,2014,0.625,2.35,0,0,0,0,0
16,2015,0.575,2.275,0,0,0,0,0
16,2016,0.6,2.225,0,0,0,0,0
16,2017,0.625,2.175,0,0,0,0,0
16,2018,0.55,1.775,0,0,0,0,0
16,2019,0.45,1.925,0,0,0,0,0
16,2020,0.55,1.925,0,0,0,0,0
16,2021,0.5,2.3,0,0,0,0,0
16,2022,0.35,2.225,0,0,0,0,0
16,2023,0.9,2.125,0,0,0,0,0
16,2024,0.875,1.8250000000000002,0,0,0,0,0
16,2025,0.8,1.6,0,0,0,0,0
17,2014,0.65,3.55,0,0,0,0,0
17,2015,0.6499999999999999,3.3,0,0,0,0,0
17,2016,0.75,1.9,0,0,0,0,0
17,2017,0.95,2.025,0,0,0,0,0
17,2018,0.725,2.3499999999999996,0,0,0,0,0
17,2019,0.525,2.025,0,0,0,0,0
17,2020,0.5,2.1750000000000003,0,0,0,0,0
17,2021,1.05,1.775,0,0,0,0,0
17,2022,1.3,1.325,0,0,0,0,0
17,2023,1.025,1.6,0,0,0,0,0
17,2024,0.9,1.925,0,0,0,0,0
17,2025,0.7,1.5,0,0,0,0,0
18,2014,3.55,8.55,0,0,0,0,0
18,2015,3.5500000000000003,6.325,0,0,0,0,0
18,2016,4.375,4.1,0,0,0,0,0
18,2017,5.375,2.55,0,0,0,0,0
18,2018,4.7,3.2,0,0,0,0,0
18,2019,4.475,2.425,0,0,0,0,0
18,2020,3.15,2.05,0,0,0,0,0
18,2021,2.15,1.125,0,0,0,0,0
18,2022,3.825,1.175,0,0,0,0,0
18,2023,4.4,1.7,0,0,0,0,0
18,2024,3.275,1.7,0,0,0,0,0
18,2025,4.0,1.0,0,0,0,0,0
19,2014,2.9250000000000003,12.5,0,0,0,0,0
19,2015,4.975,11.5,0,0,0,0,0
19,2016,4.625,7.975,0,0,0,0,0
19,2017,4.35,7.8,0,0,0,0,0
19,2018,4.125,5.975,0,0,0,0,0
19,2019,5.3,6.45,0,0,0,0,0
19,2020,4.225,4.0,0,0,0,0,0
19,2021,2.9,6.525,0,0,0,0,0
19,2022,3.4,8.1,0,0,0,0,0
19,2023,4.525,4.65,0,0,0,0,0
19,2024,4.575,4.1,0,0,0,0,0
19,2025,4.8,4.0,0,0,0,0,0
