CODAUTO,year,I_educ
01,2014,0.24613368283093054
01,2015,0.24827403080191182
01,2016,0.24943310657596368
01,2017,0.24857741838873917
01,2018,0.25183150183150177
01,2019,0.25234855847100746
01,2020,0.25008818342151673
01,2021,0.24828113063407178
01,2022,0.24759229534510435
01,2023,0.25103220478943017
01,2024,0.25217770034843207
01,2025,0.25220458553791886
02,2014,0.2672268907563025
02,2015,0.264893001735107
02,2016,0.2652116402116402
02,2017,0.2600321027287319
02,2018,0.26176713459950457
02,2019,0.25957049486461253
02,2020,0.2559095580678314
02,2021,0.2533889468196038
02,2022,0.24775224775224775
02,2023,0.25553319919517103
02,2024,0.2515090543259557
02,2025,0.24107142857142858
03,2014,0.2689075630252101
03,2015,0.26438267614738203
03,2016,0.26542688081149624
03,2017,0.25510204081632654
03,2018,0.2606679035250464
03,2019,0.2655935613682093
03,2020,0.2578692493946731
03,2021,0.26004464285714285
03,2022,0.2532467532467532
03,2023,0.26574500768049153
03,2024,0.2536443148688046
03,2025,0.255952380952381
04,2014,0.2555962555962556
04,2015,0.2568724650743578
04,2016,0.249743062692703
04,2017,0.2540300166759311
04,2018,0.24765807962529274
04,2019,0.24299719887955185
04,2020,0.24528301886792453
04,2021,0.24501197126895455
04,2022,0.24820430965682364
04,2023,0.2459847844463229
04,2024,0.24346076458752514
04,2025,0.2553191489361702
05,2014,0.25346662366978395
05,2015,0.2540816326530612
05,2016,0.25614439324116745
05,2017,0.25483738163853437
05,2018,0.25590062111801243
05,2019,0.25485316077650577
05,2020,0.2507095553453169
05,2021,0.2511825922421949
05,2022,0.25322128851540615
05,2023,0.25403466826060966
05,2024,0.2503105590062112
05,2025,0.2556390977443609
06,2014,0.2684729064039409
06,2015,0.2608125819134993
06,2016,0.25974025974025977
06,2017,0.2526132404181185
06,2018,0.24423963133640555
06,2019,0.25000000000000006
06,2020,0.2481203007518797
06,2021,0.2576530612244898
06,2022,0.24316109422492405
06,2023,0.24137931034482762
06,2024,0.2546583850931677
06,2025,0.26373626373626374
07,2014,0.264035575319622
07,2015,0.26142278773857724
07,2016,0.26169405815423513
07,2017,0.26224982746721875
07,2018,0.2599531615925058
07,2019,0.260989010989011
07,2020,0.2605633802816901
07,2021,0.26036866359447003
07,2022,0.2562358276643991
07,2023,0.26173096976016685
07,2024,0.25774225774225773
07,2025,0.2544642857142857
08,2014,0.26186335403726707
08,2015,0.2609275053304904
08,2016,0.2599667774086379
08,2017,0.259175607001694
08,2018,0.26041345263807464
08,2019,0.2565742714996446
08,2020,0.259596359319351
08,2021,0.2588522588522589
08,2022,0.26238231682357754
08,2023,0.2634730538922156
08,2024,0.26328620185275475
08,2025,0.2619047619047619
09,2014,0.2577838827838828
09,2015,0.25278450363196125
09,2016,0.25553319919517103
09,2017,0.2571428571428571
09,2018,0.2563676633444075
09,2019,0.2527472527472528
09,2020,0.25339366515837103
09,2021,0.2519132653061224
09,2022,0.24853228962818005
09,2023,0.2486486486486486
09,2024,0.25044091710758376
09,2025,0.24642857142857144
10,2014,0.25486052409129334
10,2015,0.2552619793999104
10,2016,0.25047619047619046
10,2017,0.2516778523489933
10,2018,0.25375302663438254
10,2019,0.2540300166759311
10,2020,0.25468384074941447
10,2021,0.24983692106979777
10,2022,0.24951519069166128
10,2023,0.2555418719211822
10,2024,0.25541125541125537
10,2025,0.25606469002695414
11,2014,0.25351776770808493
11,2015,0.2552521008403361
11,2016,0.2568707482993197
11,2017,0.2553636839351125
11,2018,0.25287356321839083
11,2019,0.2470484061393152
11,2020,0.24796615684998372
11,2021,0.25166889185580776
11,2022,0.25246620387285346
11,2023,0.25175644028103045
11,2024,0.24999999999999997
11,2025,0.25112781954887214
12,2014,0.26205083260297984
12,2015,0.2644731361932528
12,2016,0.26613910870470636
12,2017,0.26658526658526654
12,2018,0.2662144976685036
12,2019,0.26321297749869177
12,2020,0.26241569589209074
12,2021,0.26548672566371684
12,2022,0.261038961038961
12,2023,0.2569832402234637
12,2024,0.25854513584574934
12,2025,0.2578397212543554
13,2014,0.26575171553337495
13,2015,0.2663755458515284
13,2016,0.2621428571428571
13,2017,0.25664451827242524
13,2018,0.25854513584574934
13,2019,0.26159554730983303
13,2020,0.2571428571428572
13,2021,0.2567287784679089
13,2022,0.25740025740025735
13,2023,0.2571428571428572
13,2024,0.24929971988795516
13,2025,0.2527472527472527
14,2014,0.2427128427128427
14,2015,0.24369747899159663
14,2016,0.2431865828092243
14,2017,0.24499491007804547
14,2018,0.24525599713569637
14,2019,0.23735119047619047
14,2020,0.24431818181818182
14,2021,0.2423852423852424
14,2022,0.24404761904761904
14,2023,0.24365079365079365
14,2024,0.24076190476190476
14,2025,0.24005891016200298
15,2014,0.26462128475551294
15,2015,0.26245847176079734
15,2016,0.24718045112781956
15,2017,0.23891625615763545
15,2018,0.24018838304552595
15,2019,0.24489795918367346
15,2020,0.2450980392156863
15,2021,0.2511520737327189
15,2022,0.24536532170119954
15,2023,0.2482758620689655
15,2024,0.26373626373626374
15,2025,0.2571428571428572
16,2014,0.25570228091236497
16,2015,0.2568922305764411
16,2016,0.2553729456384323
16,2017,0.25382653061224486
16,2018,0.2519201228878648
16,2019,0.25864661654135335
16,2020,0.253968253968254
16,2021,0.2602040816326531
16,2022,0.26629680998613037
16,2023,0.24321133412042503
16,2024,0.23941798941798945
16,2025,0.23809523809523808
17,2014,0.2636054421768707
17,2015,0.2622061482820977
17,2016,0.24528301886792453
17,2017,0.24009603841536617
17,2018,0.25203252032520324
17,2019,0.2563025210084034
17,2020,0.2590120160213618
17,2021,0.23261694058154234
17,2022,0.21496598639455783
17,2023,0.22993197278911562
17,2024,0.2402022756005057
17,2025,0.24025974025974023
18,2014,0.24380165289256198
18,2015,0.23435804701627486
18,2016,0.21196797302991993
18,2017,0.18882379450202794
18,2018,0.2007233273056058
18,2019,0.193064182194617
18,2020,0.1991758241758242
18,2021,0.1919302071973828
18,2022,0.17642857142857143
18,2023,0.18266978922716628
18,2024,0.19167264895908115
18,2025,0.17142857142857143
19,2014,0.2586246816392684
19,2015,0.2425753305874702
19,2016,0.2332766439909297
19,2017,0.23456790123456792
19,2018,0.2273691654879774
19,2019,0.22127659574468087
19,2020,0.21233174120712114
19,2021,0.24175824175824176
19,2022,0.24347826086956517
19,2023,0.21525885558583105
19,2024,0.2103746397694524
19,2025,0.2077922077922078
