mun_code,NOMBRE,CODAUTO
1051,Agurain/Salvatierra,16
1001,Alegría-Dulantzi,16
1002,Amurrio,16
1049,Añana,16
1003,Aramaio,16
1006,Armiñón,16
1037,Arraia-Maeztu,16
1008,Arratzua-Ubarrundia,16
1004,Artziniega,16
1009,Asparrena,16
1010,Ayala/Aiara,16
1011,Baños de Ebro/Mañueta,16
1013,Barrundia,16
1014,Berantevilla,16
1016,Bernedo,16
1017,Campezo/Kanpezu,16
1021,Elburgo/Burgelu,16
1022,Elciego,16
1023,Elvillar/Bilar,16
1046,Erriberagoitia/Ribera Alta,16
1056,Harana/Valle de Arana,16
1901,Iruña Oka/Iruña de Oca,16
1027,Iruraiz-Gauna,16
1019,Kripan,16
1020,Kuartango,16
1028,Labastida/Bastida,16
1030,Lagrán,16
1031,Laguardia,16
1032,Lanciego/Lantziego,16
1902,Lantarón,16
1033,Lapuebla de Labarca,16
1036,Laudio/Llodio,16
1058,Legutio,16
1034,Leza,16
1039,Moreda de Álava/Moreda Araba,16
1041,Navaridas,16
1042,Okondo,16
1043,Oyón-Oion,16
1044,Peñacerrada-Urizaharra,16
1047,Ribera Baja/Erriberabeitia,16
1052,Samaniego,16
1053,San Millán/Donemiliaga,16
1054,Urkabustaiz,16
1055,Valdegovía/Gaubea,16
1057,Villabuena de Álava/Eskuernaga,16
1059,Vitoria-Gasteiz,16
1060,Yécora/Iekora,16
1061,Zalduondo,16
1062,Zambrana,16
1018,Zigoitia,16
1063,Zuia,16
2001,Abengibre,08
2002,Alatoz,08
2003,Albacete,08
2004,Albatana,08
2005,Alborea,08
2006,Alcadozo,08
2007,Alcalá del Júcar,08
2008,Alcaraz,08
2009,Almansa,08
2010,Alpera,08
2011,Ayna,08
2012,Balazote,08
2014,"Ballestero, El",08
2013,Balsa de Ves,08
2015,Barrax,08
2016,Bienservida,08
2017,Bogarra,08
2018,Bonete,08
2019,"Bonillo, El",08
2020,Carcelén,08
2021,Casas de Juan Núñez,08
2022,Casas de Lázaro,08
2023,Casas de Ves,08
2024,Casas-Ibáñez,08
2025,Caudete,08
2026,Cenizate,08
2029,Chinchilla de Monte-Aragón,08
2027,Corral-Rubio,08
2028,Cotillas,08
2030,Elche de la Sierra,08
2031,Férez,08
2032,Fuensanta,08
2033,Fuente-Álamo,08
2034,Fuentealbilla,08
2035,"Gineta, La",08
2036,Golosalvo,08
2037,Hellín,08
2038,"Herrera, La",08
2039,Higueruela,08
2040,Hoya-Gonzalo,08
2041,Jorquera,08
2042,Letur,08
2043,Lezuza,08
2044,Liétor,08
2045,Madrigueras,08
2046,Mahora,08
2047,Masegoso,08
2048,Minaya,08
2049,Molinicos,08
2050,Montalvos,08
2051,Montealegre del Castillo,08
2052,Motilleja,08
2053,Munera,08
2054,Navas de Jorquera,08
2055,Nerpio,08
