ccaa_code,ccaa_name,Edad,Periodo,Sexo,prob_mortalidad
15,"Navarra, Comunidad Foral de",15,2017,Mujeres,0.0
16,País Vasco,5,2004,Mujeres,0.0
04,"Balears, Illes",5,2000,Mujeres,0.0
17,"Rioja, La",5,2023,Hombres,0.0
02,Aragón,5,2019,Hombres,0.0
19,Melilla,10,2021,Mujeres,0.0
19,Melilla,10,2022,Mujeres,0.0
19,Melilla,10,1991,Mujeres,0.0
19,Melilla,10,1993,Mujeres,0.0
19,Melilla,10,1994,Mujeres,0.0
19,Melilla,10,1995,Mujeres,0.0
19,Melilla,10,1996,Mujeres,0.0
18,Ceuta,35,2016,Mujeres,0.0
16,País Vasco,5,2017,Mujeres,0.0
15,"Navarra, Comunidad Foral de",5,2021,Mujeres,0.0
15,"Navarra, Comunidad Foral de",5,2023,Mujeres,0.0
19,Melilla,10,1997,Mujeres,0.0
19,Melilla,10,1998,Mujeres,0.0
19,Melilla,10,1999,Mujeres,0.0
19,Melilla,10,2000,Mujeres,0.0
19,Melilla,10,2002,Mujeres,0.0
19,Melilla,10,2004,Mujeres,0.0
02,Aragón,1,2002,Hombres,0.0
15,"Navarra, Comunidad Foral de",5,2014,Mujeres,0.0
15,"Navarra, Comunidad Foral de",5,2015,Mujeres,0.0
18,Ceuta,10,1994,Mujeres,0.0
19,Melilla,15,2015,Mujeres,0.0
19,Melilla,15,2016,Mujeres,0.0
19,Melilla,15,2017,Mujeres,0.0
19,Melilla,15,2018,Mujeres,0.0
19,Melilla,15,2019,Mujeres,0.0
04,"Balears, Illes",10,2023,Mujeres,0.0
19,Melilla,15,2020,Mujeres,0.0
19,Melilla,0,2023,Mujeres,0.0
15,"Navarra, Comunidad Foral de",15,2023,Mujeres,0.0
11,Extremadura,10,2019,Hombres,0.0
11,Extremadura,10,2023,Hombres,0.0
15,"Navarra, Comunidad Foral de",10,2001,Mujeres,0.0
17,"Rioja, La",1,2021,Mujeres,0.0
18,Ceuta,10,1996,Mujeres,0.0
18,Ceuta,10,1998,Mujeres,0.0
18,Ceuta,15,2000,Mujeres,0.0
18,Ceuta,15,2001,Mujeres,0.0
18,Ceuta,35,2017,Mujeres,0.0
18,Ceuta,35,2023,Mujeres,0.0
19,Melilla,30,2010,Mujeres,0.0
19,Melilla,30,2014,Mujeres,0.0
19,Melilla,30,2018,Mujeres,0.0
19,Melilla,30,2021,Mujeres,0.0
19,Melilla,25,1993,Mujeres,0.0
17,"Rioja, La",5,2011,Mujeres,0.0
19,Melilla,30,2001,Mujeres,0.0
19,Melilla,30,2004,Mujeres,0.0
19,Melilla,30,2006,Mujeres,0.0
19,Melilla,30,2007,Mujeres,0.0
17,"Rioja, La",30,2016,Mujeres,0.0
17,"Rioja, La",30,2022,Mujeres,0.0
18,Ceuta,10,2010,Mujeres,0.0
17,"Rioja, La",1,2003,Mujeres,0.0
