year;cod_mun;idhm
2013;04001;0.2
2013;04002;0.214
2013;04003;0.212
2013;04006;0.215
2013;04011;0.214
2013;04013;0.26
2013;04016;0.222
2013;04017;0.167
2013;04024;0.23
2013;04029;0.208
2013;04030;0.19
2013;04031;0.198
2013;04032;0.243
2013;04035;0.218
2013;04037;0.227
2013;04038;0.221
2013;04044;0.208
2013;04045;0.208
2013;04047;0.201
2013;04048;0.199
2013;04049;0.222
2013;04050;0.189
2013;04052;0.257
2013;04053;0.236
2013;04057;0.205
2013;04059;0.211
2013;04062;0.232
2013;04063;0.223
2013;04064;0.212
2013;04066;0.199
2013;04069;0.224
2013;04070;0.186
2013;04074;0.217
2013;04075;0.24
2013;04076;0.212
2013;04078;0.203
2013;04079;0.237
2013;04083;0.218
2013;04086;0.201
2013;04088;0.195
2013;04092;0.222
2013;04093;0.195
2013;04098;0.211
2013;04099;0.236
2013;04100;0.23
2013;04101;0.221
2013;04102;0.205
2013;04103;0.197
2013;04902;0.207
2013;04903;0.186
2013;11001;0.211
2013;11002;0.202
2013;11003;0.21
2013;11004;0.254
2013;11005;0.211
2013;11006;0.205
2013;11007;0.199
2013;11008;0.252
2013;11010;0.2
2013;11011;0.227
2013;11012;0.272
2013;11013;0.216
2013;11014;0.219
2013;11015;0.228
2013;11016;0.185
2013;11017;0.197
2013;11018;0.217
2013;11019;0.216
2013;11020;0.239
2013;11021;0.208
2013;11022;0.217
2013;11023;0.209
2013;11024;0.235
2013;11025;0.187
2013;11026;0.194
2013;11027;0.254
2013;11028;0.25
2013;11029;0.185
2013;11030;0.25
2013;11031;0.253
2013;11032;0.209
2013;11033;0.235
2013;11034;0.204
2013;11035;0.227
2013;11037;0.222
2013;11038;0.228
2013;11039;0.203
2013;11041;0.207
2013;11042;0.216
2013;11901;0.207
2013;11902;0.192
2013;14001;0.216
2013;14002;0.221
2013;14003;0.218
2013;14004;0.223
2013;14005;0.194
2013;14006;0.245
2013;14007;0.211
2013;14008;0.205
2013;14009;0.234
2013;14010;0.207
2013;14012;0.223
2013;14013;0.236
2013;14014;0.227
2013;14015;0.234
2013;14016;0.21
2013;14017;0.222
2013;14018;0.233
2013;14019;0.225
2013;14021;0.266
2013;14022;0.221
2013;14023;0.229
2013;14024;0.211
2013;14025;0.24
2013;14026;0.244
2013;14027;0.237
2013;14029;0.215
2013;14030;0.207
2013;14033;0.217
2013;14035;0.222
2013;14036;0.211
2013;14037;0.204
2013;14038;0.223
2013;14039;0.232
2013;14040;0.232
2013;14041;0.226
2013;14042;0.241
2013;14043;0.221
2013;14044;0.216
2013;14045;0.201
2013;14046;0.212
2013;14047;0.196
2013;14048;0.208
2013;14049;0.221
2013;14050;0.223
2013;14051;0.222
2013;14052;0.242
2013;14053;0.215
2013;14054;0.257
2013;14055;0.229
2013;14056;0.222
2013;14057;0.22
2013;14058;0.225
2013;14060;0.221
2013;14062;0.224
2013;14063;0.239
2013;14065;0.225
2013;14066;0.21
2013;14067;0.23
2013;14069;0.221
2013;14070;0.226
2013;14072;0.231
2013;14073;0.208
2013;14074;0.226
2013;18003;0.259
2013;18006;0.194
2013;18011;0.244
2013;18012;0.208
2013;18013;0.209
2013;18014;0.251
2013;18017;0.218
2013;18021;0.246
2013;18022;0.232
2013;18023;0.236
2013;18027;0.2
2013;18028;0.214
2013;18029;0.203
2013;18035;0.2
2013;18036;0.282
2013;18038;0.218
