MUNI_DEF,CCAA,PROVINCIA,MUNICIPIO,mun_code
4,Castilla-La Mancha,Albacete,Albacete-02003,2003
58,Castilla-La Mancha,Albacete,Alcalá del Júcar-02007,2007
59,Castilla-La Mancha,Albacete,Alcaraz-02008,2008
60,Castilla-La Mancha,Albacete,Almansa-02009,2009
61,Castilla-La Mancha,Albacete,Alpera-02010,2010
63,Castilla-La Mancha,Albacete,Balazote-02012,2012
66,Castilla-La Mancha,Albacete,Barrax-02015,2015
69,Castilla-La Mancha,Albacete,Bonete-02018,2018
70,Castilla-La Mancha,Albacete,"Bonillo, El-02019",2019
72,Castilla-La Mancha,Albacete,Casas de Juan Núñez-02021,2021
75,Castilla-La Mancha,Albacete,Casas-Ibáñez-02024,2024
76,Castilla-La Mancha,Albacete,Caudete-02025,2025
77,Castilla-La Mancha,Albacete,Cenizate-02026,2026
80,Castilla-La Mancha,Albacete,Chinchilla de Monte-Aragón-02029,2029
81,Castilla-La Mancha,Albacete,Elche de la Sierra-02030,2030
84,Castilla-La Mancha,Albacete,Fuente-Alamo-02033,2033
85,Castilla-La Mancha,Albacete,Fuentealbilla-02034,2034
86,Castilla-La Mancha,Albacete,"Gineta, La-02035",2035
88,Castilla-La Mancha,Albacete,Hellín-02037,2037
90,Castilla-La Mancha,Albacete,Higueruela-02039,2039
93,Castilla-La Mancha,Albacete,Letur-02042,2042
94,Castilla-La Mancha,Albacete,Lezuza-02043,2043
95,Castilla-La Mancha,Albacete,Liétor-02044,2044
96,Castilla-La Mancha,Albacete,Madrigueras-02045,2045
97,Castilla-La Mancha,Albacete,Mahora-02046,2046
99,Castilla-La Mancha,Albacete,Minaya-02048,2048
102,Castilla-La Mancha,Albacete,Montealegre del Castillo-02051,2051
104,Castilla-La Mancha,Albacete,Munera-02053,2053
106,Castilla-La Mancha,Albacete,Nerpio-02055,2055
107,Castilla-La Mancha,Albacete,Ontur-02056,2056
108,Castilla-La Mancha,Albacete,Ossa de Montiel-02057,2057
111,Castilla-La Mancha,Albacete,Peñas de San Pedro-02060,2060
114,Castilla-La Mancha,Albacete,Pozohondo-02063,2063
118,Castilla-La Mancha,Albacete,Riópar-02067,2067
120,Castilla-La Mancha,Albacete,"Roda, La-02069",2069
122,Castilla-La Mancha,Albacete,San Pedro-02071,2071
123,Castilla-La Mancha,Albacete,Socovos-02072,2072
124,Castilla-La Mancha,Albacete,Tarazona de la Mancha-02073,2073
125,Castilla-La Mancha,Albacete,Tobarra-02074,2074
126,Castilla-La Mancha,Albacete,Valdeganga-02075,2075
129,Castilla-La Mancha,Albacete,Villalgordo del Júcar-02078,2078
130,Castilla-La Mancha,Albacete,Villamalea-02079,2079
132,Castilla-La Mancha,Albacete,Villarrobledo-02081,2081
137,Castilla-La Mancha,Albacete,Yeste-02086,2086
138,Castilla-La Mancha,Albacete,Pozo Cañada-02901,2901
140,Comunitat Valenciana,Alicante/Alacant,Agost-03002,3002
143,Comunitat Valenciana,Alicante/Alacant,Albatera-03005,3005
144,Comunitat Valenciana,Alicante/Alacant,Alcalalí-03006,3006
147,Comunitat Valenciana,Alicante/Alacant,Alcoy/Alcoi-03009,3009
149,Comunitat Valenciana,Alicante/Alacant,"Alfàs del Pi, l-03011",3011
150,Comunitat Valenciana,Alicante/Alacant,Algorfa-03012,3012
151,Comunitat Valenciana,Alicante/Alacant,Algueña-03013,3013
152,Comunitat Valenciana,Alicante/Alacant,Alicante/Alacant-03014,3014
153,Comunitat Valenciana,Alicante/Alacant,Almoradí-03015,3015
156,Comunitat Valenciana,Alicante/Alacant,Altea-03018,3018
157,Comunitat Valenciana,Alicante/Alacant,Aspe-03019,3019
159,Comunitat Valenciana,Alicante/Alacant,Banyeres de Mariola-03021,3021
161,Comunitat Valenciana,Alicante/Alacant,Beneixama-03023,3023
162,Comunitat Valenciana,Alicante/Alacant,Benejúzar-03024,3024
163,Comunitat Valenciana,Alicante/Alacant,Benferri-03025,3025
164,Comunitat Valenciana,Alicante/Alacant,Beniarbeig-03026,3026
166,Comunitat Valenciana,Alicante/Alacant,Beniarrés-03028,3028
168,Comunitat Valenciana,Alicante/Alacant,Benidoleig-03030,3030
169,Comunitat Valenciana,Alicante/Alacant,Benidorm-03031,3031
172,Comunitat Valenciana,Alicante/Alacant,Benijófar-03034,3034
179,Comunitat Valenciana,Alicante/Alacant,Benissa-03041,3041
180,Comunitat Valenciana,Alicante/Alacant,"Benitachell/Poble Nou de Benitatxell,
el-03042",3042
181,Comunitat Valenciana,Alicante/Alacant,Biar-03043,3043
182,Comunitat Valenciana,Alicante/Alacant,Bigastro-03044,3044
184,Comunitat Valenciana,Alicante/Alacant,Busot-03046,3046
185,Comunitat Valenciana,Alicante/Alacant,Calp-03047,3047
186,Comunitat Valenciana,Alicante/Alacant,Callosa en Sarrià-03048,3048
187,Comunitat Valenciana,Alicante/Alacant,Callosa de Segura-03049,3049
188,Comunitat Valenciana,Alicante/Alacant,"Campello, el-03050",3050
190,Comunitat Valenciana,Alicante/Alacant,Cañada-03052,3052
191,Comunitat Valenciana,Alicante/Alacant,Castalla-03053,3053
193,Comunitat Valenciana,Alicante/Alacant,Catral-03055,3055
194,Comunitat Valenciana,Alicante/Alacant,Cocentaina-03056,3056
196,Comunitat Valenciana,Alicante/Alacant,Cox-03058,3058
