MUNI_DEF,CCAA,PROVINCIA,MUNICIPIO
4,Castilla-La Mancha,Albacete,Albacete-02003
58,Castilla-La Mancha,Albacete,Alcalá del Júcar-02007
59,Castilla-La Mancha,Albacete,Alcaraz-02008
60,Castilla-La Mancha,Albacete,Almansa-02009
61,Castilla-La Mancha,Albacete,Alpera-02010
63,Castilla-La Mancha,Albacete,Balazote-02012
66,Castilla-La Mancha,Albacete,Barrax-02015
69,Castilla-La Mancha,Albacete,Bonete-02018
70,Castilla-La Mancha,Albacete,"Bonillo, El-02019"
72,Castilla-La Mancha,Albacete,Casas de Juan Núñez-02021
75,Castilla-La Mancha,Albacete,Casas-Ibáñez-02024
76,Castilla-La Mancha,Albacete,Caudete-02025
77,Castilla-La Mancha,Albacete,Cenizate-02026
80,Castilla-La Mancha,Albacete,Chinchilla de Monte-Aragón-02029
81,Castilla-La Mancha,Albacete,Elche de la Sierra-02030
84,Castilla-La Mancha,Albacete,Fuente-Alamo-02033
85,Castilla-La Mancha,Albacete,Fuentealbilla-02034
86,Castilla-La Mancha,Albacete,"Gineta, La-02035"
88,Castilla-La Mancha,Albacete,Hellín-02037
90,Castilla-La Mancha,Albacete,Higueruela-02039
93,Castilla-La Mancha,Albacete,Letur-02042
94,Castilla-La Mancha,Albacete,Lezuza-02043
95,Castilla-La Mancha,Albacete,Liétor-02044
96,Castilla-La Mancha,Albacete,Madrigueras-02045
97,Castilla-La Mancha,Albacete,Mahora-02046
99,Castilla-La Mancha,Albacete,Minaya-02048
102,Castilla-La Mancha,Albacete,Montealegre del Castillo-02051
104,Castilla-La Mancha,Albacete,Munera-02053
106,Castilla-La Mancha,Albacete,Nerpio-02055
107,Castilla-La Mancha,Albacete,Ontur-02056
108,Castilla-La Mancha,Albacete,Ossa de Montiel-02057
111,Castilla-La Mancha,Albacete,Peñas de San Pedro-02060
114,Castilla-La Mancha,Albacete,Pozohondo-02063
118,Castilla-La Mancha,Albacete,Riópar-02067
120,Castilla-La Mancha,Albacete,"Roda, La-02069"
122,Castilla-La Mancha,Albacete,San Pedro-02071
123,Castilla-La Mancha,Albacete,Socovos-02072
124,Castilla-La Mancha,Albacete,Tarazona de la Mancha-02073
125,Castilla-La Mancha,Albacete,Tobarra-02074
126,Castilla-La Mancha,Albacete,Valdeganga-02075
129,Castilla-La Mancha,Albacete,Villalgordo del Júcar-02078
130,Castilla-La Mancha,Albacete,Villamalea-02079
132,Castilla-La Mancha,Albacete,Villarrobledo-02081
137,Castilla-La Mancha,Albacete,Yeste-02086
138,Castilla-La Mancha,Albacete,Pozo Cañada-02901
140,Comunitat Valenciana,Alicante/Alacant,Agost-03002
143,Comunitat Valenciana,Alicante/Alacant,Albatera-03005
144,Comunitat Valenciana,Alicante/Alacant,Alcalalí-03006
147,Comunitat Valenciana,Alicante/Alacant,Alcoy/Alcoi-03009
149,Comunitat Valenciana,Alicante/Alacant,"Alfàs del Pi, l-03011"
150,Comunitat Valenciana,Alicante/Alacant,Algorfa-03012
151,Comunitat Valenciana,Alicante/Alacant,Algueña-03013
152,Comunitat Valenciana,Alicante/Alacant,Alicante/Alacant-03014
153,Comunitat Valenciana,Alicante/Alacant,Almoradí-03015
156,Comunitat Valenciana,Alicante/Alacant,Altea-03018
157,Comunitat Valenciana,Alicante/Alacant,Aspe-03019
159,Comunitat Valenciana,Alicante/Alacant,Banyeres de Mariola-03021
161,Comunitat Valenciana,Alicante/Alacant,Beneixama-03023
162,Comunitat Valenciana,Alicante/Alacant,Benejúzar-03024
163,Comunitat Valenciana,Alicante/Alacant,Benferri-03025
164,Comunitat Valenciana,Alicante/Alacant,Beniarbeig-03026
166,Comunitat Valenciana,Alicante/Alacant,Beniarrés-03028
168,Comunitat Valenciana,Alicante/Alacant,Benidoleig-03030
