edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,5.9999999999999995e-05,5.9999999999999995e-05,0.00017999999999999998,0.0,0.00011999999999999999,5.9999999999999995e-05,0.00026000000000000003,0.0002,7.000000000000001e-05,7.000000000000001e-05,0.0,7.000000000000001e-05,7.000000000000001e-05,0.0,0.0,0.00015,8e-05,8e-05,0.0,8.999999999999999e-05,0.00017999999999999998,8.999999999999999e-05,0.00017999999999999998,8.999999999999999e-05,8.999999999999999e-05,0.00019,0.00019,8.999999999999999e-05,0.00019,0.0001,0.0002,0.0001,0.0002,0.0,0.0003,0.0,0.0002,0.0,0.0002,0.0001,0.0,0.00020999999999999998,0.0001,0.0001,0.0002,0.0001,0.00031,0.0001
11,0.002326,0.0027519999999999997,0.002904,0.003392,0.0026559999999999995,0.0035819999999999997,0.003492,0.0038499999999999997,0.0033000000000000004,0.002998,0.0031959999999999996,0.002512,0.0024579999999999997,0.003134,0.002468,0.00218,0.002224,0.0024560000000000003,0.002176,0.0018620000000000002,0.001434,0.00141,0.0014200000000000003,0.001504,0.0018440000000000002,0.001698,0.002454,0.0022040000000000002,0.002114,0.002196,0.002184,0.0022480000000000004,0.002166,0.0027840000000000005,0.0026,0.002596,0.0019140000000000001,0.001974,0.0019199999999999998,0.002366,0.0022060000000000005,0.0021920000000000004,0.00233,0.0018700000000000001,0.001652,0.0018540000000000004,0.00182,0.001526,0.0015060000000000002
12,0.004652,0.005443999999999999,0.005748,0.006604,0.005311999999999999,0.007044,0.006924,0.0074399999999999996,0.0064,0.005926,0.006322,0.005024,0.0048460000000000005,0.006198,0.004936,0.00436,0.004298,0.004832,0.004272000000000001,0.0037240000000000003,0.0027779999999999997,0.00264,0.00275,0.0028280000000000002,0.003598,0.003306,0.004718000000000001,0.004218000000000001,0.004138,0.004202000000000001,0.004268,0.004296,0.004232,0.005368,0.0052,0.004892,0.0038280000000000002,0.0037480000000000005,0.0038399999999999997,0.0045320000000000004,0.004312,0.004384000000000001,0.00445,0.00364,0.0032040000000000003,0.0035080000000000007,0.00354,0.002742,0.0029120000000000005
13,0.006978,0.008136,0.008592,0.009815999999999998,0.007968,0.010505999999999998,0.010356,0.01103,0.0095,0.008853999999999999,0.009448,0.007535999999999999,0.007234,0.009262000000000001,0.007404,0.006540000000000001,0.006372,0.007208000000000001,0.006368,0.005586000000000001,0.004122,0.00387,0.00408,0.004152,0.005352,0.004914,0.006982000000000001,0.006232000000000001,0.006162,0.006208000000000001,0.006352,0.006344000000000001,0.006297999999999999,0.007952,0.0078000000000000005,0.007188,0.005742000000000001,0.005522000000000001,0.0057599999999999995,0.006697999999999999,0.006418000000000001,0.006576,0.00657,0.00541,0.004756,0.005162000000000002,0.00526,0.003958,0.004318
14,0.009304,0.010827999999999999,0.011436,0.013027999999999998,0.010623999999999998,0.013967999999999998,0.013788,0.01462,0.0126,0.011782,0.012574,0.010048,0.009622,0.012326,0.009872,0.00872,0.008446,0.009584000000000002,0.008464000000000001,0.007448000000000001,0.0054659999999999995,0.0050999999999999995,0.00541,0.005476,0.0071059999999999995,0.006522,0.009246,0.008246,0.008186,0.008214,0.008436,0.008392,0.008363999999999998,0.010536,0.0104,0.009484,0.0076560000000000005,0.007296000000000001,0.007679999999999999,0.008863999999999999,0.008524,0.008768000000000001,0.008690000000000002,0.00718,0.006308,0.006816000000000002,0.006979999999999999,0.005174,0.005724
15,0.011630000000000001,0.013519999999999999,0.01428,0.016239999999999997,0.01328,0.01743,0.01722,0.01821,0.0157,0.01471,0.0157,0.01256,0.01201,0.015390000000000001,0.01234,0.0109,0.01052,0.01196,0.01056,0.00931,0.006809999999999999,0.00633,0.00674,0.0068,0.00886,0.00813,0.01151,0.01026,0.01021,0.01022,0.01052,0.01044,0.01043,0.01312,0.013,0.011779999999999999,0.00957,0.00907,0.0096,0.01103,0.01063,0.010960000000000001,0.01081,0.00895,0.00786,0.00847,0.0087,0.00639,0.00713
16,0.03232,0.03574,0.035351999999999995,0.039012,0.035415999999999996,0.037079999999999995,0.03618,0.035996,0.031147999999999995,0.029076000000000005,0.027852,0.024277999999999997,0.024166000000000003,0.02486,0.022539999999999998,0.020923999999999998,0.019149999999999997,0.020004,0.017085999999999997,0.015478,0.012032,0.010420000000000002,0.010922000000000001,0.01048,0.012053999999999999,0.01092,0.014292,0.012976,0.013538,0.01292,0.014118,0.01416,0.013966,0.017137999999999997,0.017146,0.015484,0.013112,0.012528000000000001,0.012312,0.01329,0.01323,0.013444000000000001,0.013706,0.011846,0.011218,0.01166,0.011434,0.009465999999999999,0.010747999999999999
17,0.05301000000000001,0.057960000000000005,0.056424,0.06178399999999999,0.057552,0.056729999999999996,0.05514,0.053782,0.046596,0.04344200000000001,0.04000399999999999,0.035996,0.036322,0.03433,0.03274,0.030948,0.027780000000000003,0.028048000000000003,0.023611999999999998,0.021646000000000002,0.017254000000000002,0.014510000000000002,0.015104,0.01416,0.015248,0.013710000000000002,0.017074000000000002,0.015692,0.016866,0.01562,0.017716000000000003,0.01788,0.017502,0.021155999999999998,0.021292,0.019188000000000004,0.016654,0.015986,0.015024000000000001,0.01555,0.01583,0.015928,0.016602,0.014742,0.014576,0.014850000000000002,0.014168,0.012541999999999998,0.014366
18,0.0737,0.08018,0.077496,0.08455599999999999,0.07968800000000001,0.07637999999999999,0.0741,0.071568,0.062043999999999995,0.05780800000000001,0.052155999999999994,0.047714,0.048478,0.043800000000000006,0.04294,0.040972,0.03641,0.036092,0.030137999999999998,0.027814,0.022476,0.018600000000000002,0.019286,0.017839999999999998,0.018442,0.0165,0.019856000000000002,0.018408,0.020194000000000004,0.01832,0.021314,0.0216,0.021038,0.025174,0.025437999999999995,0.022892000000000003,0.020196000000000002,0.019444,0.017736000000000002,0.01781,0.01843,0.018411999999999998,0.019497999999999998,0.017637999999999997,0.017934,0.01804,0.016902,0.015617999999999998,0.017983999999999997
19,0.09439,0.1024,0.098568,0.10732799999999999,0.101824,0.09603,0.09306,0.08935400000000002,0.07749199999999999,0.072174,0.06430799999999999,0.059432,0.06063400000000001,0.053270000000000005,0.05314,0.050996,0.045040000000000004,0.044136,0.036663999999999995,0.033982,0.027698,0.022690000000000005,0.023467999999999996,0.02152,0.021636,0.019289999999999998,0.022638000000000002,0.021124000000000004,0.023522,0.02102,0.024912,0.02532,0.024574,0.029192,0.029583999999999996,0.026596000000000005,0.023738,0.022902000000000002,0.020448,0.02007,0.02103,0.020896,0.022393999999999997,0.020534,0.021292,0.021230000000000002,0.019636000000000004,0.018694,0.021602
