edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00013000000000000002,0.00020999999999999998,0.00043,0.00035999999999999997,0.00014000000000000001,0.00014000000000000001,0.00028000000000000003,0.00017999999999999998,0.00025,0.00027,0.00019,0.00011,0.00011,0.00013000000000000002,0.00011,7.000000000000001e-05,0.00011,0.00020999999999999998,0.0001,0.0001,0.00015,5e-05,8.999999999999999e-05,5e-05,7.000000000000001e-05,0.0001,2.9999999999999997e-05,0.0002,0.0003,5e-05,0.00023999999999999998,0.00029,0.00023999999999999998,0.00019,8.999999999999999e-05,0.00026000000000000003,0.00016,0.00011999999999999999,0.00014000000000000001,0.00023,0.00011,0.00013000000000000002,0.00011,0.0001,4e-05,2e-05,0.0001,8e-05,2e-05
11,0.0043820000000000005,0.0047,0.005614,0.005458000000000001,0.004957999999999999,0.0050999999999999995,0.004458,0.004158,0.003906,0.0038020000000000003,0.003786,0.0034620000000000002,0.003266,0.0031999999999999997,0.0026520000000000003,0.0025079999999999994,0.002312,0.0022259999999999997,0.0017280000000000002,0.0018400000000000003,0.0016319999999999998,0.0016300000000000002,0.001534,0.0016380000000000001,0.001652,0.0020060000000000004,0.0021799999999999996,0.0023720000000000004,0.0026419999999999994,0.0025559999999999997,0.002968,0.0028740000000000007,0.0030499999999999998,0.003046,0.0026219999999999998,0.002564,0.002146,0.0019039999999999999,0.0021199999999999995,0.0019899999999999996,0.0019360000000000002,0.001816,0.0017480000000000004,0.0015580000000000001,0.0013980000000000002,0.00118,0.001154,0.0011560000000000001,0.0011560000000000001
12,0.008634000000000003,0.009190000000000002,0.010798,0.010556000000000001,0.009776,0.010060000000000001,0.008636,0.008136000000000001,0.007562,0.007333999999999999,0.0073820000000000005,0.006814000000000001,0.006422000000000001,0.0062699999999999995,0.005194000000000001,0.004946,0.004514000000000001,0.004241999999999999,0.0033560000000000005,0.0035800000000000007,0.0031139999999999996,0.00321,0.0029779999999999997,0.003226,0.003234,0.0039120000000000005,0.00433,0.004544,0.004983999999999999,0.005062,0.0056960000000000005,0.005458000000000001,0.00586,0.005902000000000001,0.005154,0.004867999999999999,0.004131999999999999,0.0036880000000000003,0.0040999999999999995,0.0037499999999999994,0.003762,0.003502,0.0033860000000000006,0.003016,0.002756,0.0023400000000000005,0.0022080000000000003,0.002232,0.002292
13,0.012886000000000003,0.013680000000000001,0.015982,0.015654,0.014594,0.01502,0.012813999999999999,0.012114000000000002,0.011218,0.010865999999999999,0.010978,0.010166,0.009578,0.00934,0.0077360000000000016,0.007383999999999999,0.006716000000000001,0.006257999999999998,0.004984,0.00532,0.004596,0.00479,0.004422,0.004814,0.004816000000000001,0.005817999999999999,0.00648,0.006716000000000001,0.007325999999999998,0.007567999999999998,0.008424000000000001,0.008042000000000002,0.00867,0.008758,0.007686,0.007171999999999999,0.006118,0.005472,0.0060799999999999995,0.00551,0.005588,0.005188,0.0050240000000000016,0.004474,0.004114,0.0035000000000000005,0.003262,0.003308,0.0034280000000000005
14,0.017138,0.018170000000000002,0.021166,0.020752000000000003,0.019412,0.01998,0.016992,0.016092000000000002,0.014874,0.014398,0.014574,0.013518,0.012734,0.012410000000000001,0.010278,0.009822,0.008917999999999999,0.008273999999999998,0.006612,0.00706,0.006077999999999999,0.00637,0.005866,0.006402,0.006398000000000001,0.007724,0.008629999999999999,0.008888,0.009668,0.010074,0.011152,0.010626000000000002,0.011479999999999999,0.011614000000000001,0.010218,0.009475999999999998,0.008103999999999998,0.007256,0.00806,0.0072699999999999996,0.0074140000000000005,0.006874,0.006662000000000002,0.005932,0.005472,0.00466,0.0043159999999999995,0.004384000000000001,0.004564
15,0.02139,0.02266,0.026350000000000002,0.02585,0.02423,0.02494,0.02117,0.02007,0.01853,0.017929999999999998,0.018170000000000002,0.01687,0.01589,0.01548,0.01282,0.01226,0.01112,0.010289999999999999,0.00824,0.0088,0.00756,0.00795,0.00731,0.00799,0.007980000000000001,0.009630000000000001,0.01078,0.01106,0.01201,0.012580000000000001,0.01388,0.013210000000000001,0.014289999999999999,0.01447,0.01275,0.011779999999999999,0.01009,0.00904,0.010039999999999999,0.00903,0.00924,0.00856,0.0083,0.00739,0.00683,0.0058200000000000005,0.00537,0.00546,0.0057
16,0.047403999999999995,0.050957999999999996,0.051554,0.050748,0.047074,0.046186,0.041448,0.037936000000000004,0.033546,0.031154,0.0297,0.027350000000000003,0.026186,0.025311999999999998,0.02191,0.020998000000000003,0.018609999999999998,0.016588000000000002,0.014308,0.013626000000000001,0.01182,0.011418,0.010618,0.01108,0.01159,0.01306,0.0146,0.015182000000000001,0.016212,0.016718,0.018118000000000002,0.017655999999999998,0.019030000000000002,0.019934,0.01746,0.016460000000000002,0.014003999999999999,0.013058,0.013699999999999999,0.012901999999999999,0.012856,0.012236,0.012694,0.011368,0.010766,0.01002,0.008986000000000001,0.009278,0.00939
17,0.07341800000000001,0.07925600000000001,0.076758,0.07564600000000002,0.069918,0.067432,0.061725999999999996,0.055802000000000004,0.048562,0.044378,0.041229999999999996,0.037829999999999996,0.036482,0.035144,0.031,0.029736000000000005,0.0261,0.022886,0.020376,0.018452,0.016079999999999997,0.014886,0.013926000000000003,0.014170000000000002,0.015200000000000002,0.01649,0.018420000000000002,0.019304,0.020414,0.020856000000000003,0.022356,0.022102,0.02377,0.025398000000000004,0.02217,0.02114,0.017918,0.017076,0.01736,0.016774,0.016472,0.015912000000000003,0.017088000000000002,0.015346,0.014702,0.01422,0.012602,0.013096,0.01308
18,0.099432,0.107554,0.10196199999999998,0.10054400000000001,0.092762,0.08867799999999999,0.082004,0.07366800000000001,0.06357800000000001,0.057601999999999993,0.05275999999999999,0.048310000000000006,0.04677800000000001,0.044976,0.04009,0.038474,0.033589999999999995,0.029183999999999998,0.026444000000000002,0.023278,0.02034,0.018354,0.017234000000000003,0.01726,0.018810000000000004,0.01992,0.022240000000000003,0.023426000000000002,0.024616,0.024994,0.026594,0.026548000000000002,0.028509999999999997,0.030862,0.026879999999999994,0.02582,0.021832,0.021093999999999998,0.02102,0.020646,0.020088,0.019588,0.021481999999999998,0.019324,0.018638,0.018420000000000002,0.016218,0.016914000000000002,0.01677
19,0.125446,0.135852,0.127166,0.125442,0.115606,0.109924,0.102282,0.09153400000000002,0.078594,0.070826,0.06428999999999999,0.058789999999999995,0.05707400000000001,0.054807999999999996,0.04918,0.047212000000000004,0.04108,0.035482,0.032512,0.028104,0.024599999999999997,0.021821999999999998,0.020542,0.02035,0.022420000000000002,0.023350000000000003,0.026060000000000003,0.027548000000000003,0.028818000000000003,0.029132000000000005,0.030832000000000002,0.030994,0.03325,0.036326,0.03158999999999999,0.0305,0.025746,0.025112,0.02468,0.024518,0.023704,0.023264000000000003,0.025876,0.023302,0.022573999999999997,0.02262,0.019834,0.020732,0.020460000000000002
20,0.15146,0.16415000000000002,0.15237,0.15034,0.13845,0.13116999999999998,0.12256,0.10940000000000001,0.09361,0.08405,0.07582,0.06927,0.06737,0.06464,0.05827,0.05595,0.04857,0.04178,0.038579999999999996,0.03293,0.02886,0.02529,0.023850000000000003,0.023440000000000003,0.02603,0.02678,0.02988,0.031670000000000004,0.03302,0.03327,0.03507,0.03544,0.03799,0.04179,0.0363,0.03518,0.02966,0.02913,0.02834,0.028390000000000002,0.02732,0.026940000000000002,0.03027,0.027280000000000002,0.026510000000000002,0.02682,0.02345,0.024550000000000002,0.024149999999999998
21,0.16401400000000002,0.173744,0.16208799999999998,0.158048,0.14665799999999998,0.13830599999999998,0.12989,0.11685600000000002,0.10305199999999999,0.094036,0.08646199999999998,0.08077799999999999,0.07858,0.076298,0.070152,0.0684,0.061658000000000004,0.055598,0.050836,0.044635999999999995,0.040786,0.036878,0.034786000000000004,0.033534,0.035716,0.03705,0.03886799999999999,0.039786,0.041426000000000004,0.041578000000000004,0.042012,0.04276,0.044874000000000004,0.04772,0.04220399999999999,0.041555999999999996,0.036107999999999994,0.035372,0.03476,0.034423999999999996,0.033484,0.03351,0.036336,0.032814,0.032122,0.031938,0.028896,0.029846,0.028869999999999996
22,0.176568,0.183338,0.17180600000000001,0.165756,0.15486599999999998,0.145442,0.13722,0.124312,0.112494,0.10402199999999999,0.097104,0.092286,0.08979000000000001,0.087956,0.08203400000000001,0.08084999999999999,0.07474599999999999,0.06941599999999999,0.063092,0.056341999999999996,0.052711999999999995,0.048466,0.045722,0.043628,0.045402,0.04732,0.047855999999999996,0.047902,0.049832,0.049886,0.048954,0.05008,0.051758,0.053649999999999996,0.048108,0.047932,0.042556,0.041614000000000005,0.04118,0.040458,0.039647999999999996,0.04008,0.042402,0.038348,0.037734000000000004,0.037056,0.034342,0.035142,0.03359
23,0.189122,0.19293200000000002,0.181524,0.173464,0.16307400000000002,0.15257799999999996,0.14455,0.131768,0.12193599999999999,0.114008,0.107746,0.103794,0.101,0.09961400000000001,0.093916,0.0933,0.08783400000000001,0.083234,0.075348,0.068048,0.06463799999999999,0.060054,0.056658,0.05372199999999999,0.05508799999999999,0.05759,0.05684399999999999,0.056018,0.058238,0.058194,0.055896,0.05740000000000001,0.05864199999999999,0.05958,0.05401199999999999,0.054308,0.04900399999999999,0.047856,0.047599999999999996,0.046492000000000006,0.045812,0.04664999999999999,0.048468000000000004,0.043882000000000004,0.043346,0.042173999999999996,0.039788,0.040438,0.038310000000000004
