edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00064,0.00047999999999999996,0.00078,0.00051,0.00066,0.00086,0.00082,0.00031,0.00051,0.00067,0.00031,0.00046,0.00035,0.00045,0.00025,0.0003,0.00031,0.00015,0.00016,0.00041999999999999996,0.00020999999999999998,0.0,0.00011,0.00023,0.00023999999999999998,0.00017999999999999998,0.0003,0.00023999999999999998,0.00017999999999999998,0.00023,0.00047,0.00023,0.00041,0.00023,0.00035,5.9999999999999995e-05,0.00023,0.00034,0.00022,0.00017,0.0,0.00020999999999999998,0.0001,5e-05,0.0001,0.0001,0.00019,0.0,5e-05
11,0.008778000000000001,0.009944000000000001,0.010186,0.009854,0.010678,0.010692,0.009606,0.008426,0.008236,0.0076159999999999995,0.007421999999999999,0.006994000000000001,0.006686,0.0068579999999999995,0.005852,0.00543,0.004795999999999999,0.004362000000000001,0.003906,0.0040019999999999995,0.003628,0.003436,0.0033779999999999995,0.0034860000000000004,0.0036940000000000007,0.003576,0.003984,0.0038240000000000006,0.00349,0.004256,0.0049180000000000005,0.004486,0.005144,0.0047480000000000005,0.004384,0.003986000000000001,0.003702,0.00359,0.00322,0.00309,0.00287,0.0029179999999999996,0.0031620000000000003,0.0027739999999999996,0.002434,0.0024080000000000004,0.0022719999999999997,0.0018739999999999998,0.001718
12,0.016916,0.019408,0.019592000000000002,0.019198,0.020696000000000003,0.020524,0.018392,0.016541999999999998,0.015962,0.014561999999999999,0.014533999999999998,0.013528000000000002,0.013022,0.013265999999999998,0.011454,0.01056,0.009282,0.008574000000000002,0.007652,0.007583999999999999,0.007046,0.006872,0.006646,0.006742000000000001,0.007148000000000002,0.006972,0.0076679999999999995,0.007408000000000001,0.0068,0.008282,0.009366000000000001,0.008742000000000002,0.009878,0.009266,0.008417999999999998,0.007912,0.007174000000000001,0.00684,0.00622,0.00601,0.00574,0.005625999999999999,0.006224,0.005497999999999999,0.004768,0.004716000000000001,0.004354,0.0037479999999999996,0.0033859999999999997
13,0.025054000000000003,0.028872000000000002,0.028998000000000003,0.028541999999999998,0.030714,0.030356,0.027177999999999997,0.024658,0.023688000000000008,0.021508000000000003,0.021646,0.020062000000000003,0.019358000000000004,0.019673999999999997,0.017056,0.015690000000000003,0.013767999999999999,0.012786000000000004,0.011398,0.011165999999999999,0.010464000000000003,0.010308,0.009913999999999997,0.009998000000000002,0.010602000000000002,0.010367999999999999,0.011352000000000001,0.010992000000000004,0.01011,0.012308,0.013814000000000002,0.012998000000000001,0.014612,0.013784,0.012452,0.011838000000000003,0.010646000000000001,0.01009,0.00922,0.00893,0.00861,0.008334,0.009285999999999999,0.008222,0.007102000000000001,0.007024000000000001,0.006436,0.005622,0.0050539999999999995
14,0.033192,0.038335999999999995,0.038404,0.037885999999999996,0.040732,0.040188,0.035963999999999996,0.032774,0.031414000000000004,0.028454,0.028757999999999995,0.026596000000000005,0.025694,0.026081999999999998,0.022658,0.02082,0.018254,0.016998000000000003,0.015144,0.014747999999999997,0.013882000000000002,0.013744,0.013182,0.013254000000000002,0.014056000000000003,0.013764,0.015035999999999999,0.014576000000000002,0.01342,0.016334,0.018262,0.017254000000000002,0.019346,0.018302,0.016486,0.015764000000000004,0.014118,0.01334,0.01222,0.01185,0.01148,0.011042,0.012348000000000001,0.010946,0.009436,0.009332,0.008518,0.007495999999999999,0.006722
15,0.04133,0.047799999999999995,0.047810000000000005,0.047229999999999994,0.05075,0.05002,0.04475,0.04089,0.03914,0.0354,0.03587,0.03313,0.03203,0.032490000000000005,0.02826,0.02595,0.02274,0.02121,0.01889,0.01833,0.0173,0.01718,0.01645,0.01651,0.01751,0.01716,0.01872,0.01816,0.016730000000000002,0.02036,0.02271,0.02151,0.024079999999999997,0.02282,0.02052,0.019690000000000003,0.01759,0.01659,0.015220000000000001,0.01477,0.01435,0.01375,0.01541,0.01367,0.01177,0.011640000000000001,0.0106,0.00937,0.00839
16,0.063192,0.071244,0.070672,0.07074199999999999,0.072286,0.07125,0.06282,0.058525999999999995,0.05539,0.05175,0.048576,0.044848,0.04388,0.043283999999999996,0.039630000000000006,0.038266,0.033188,0.031148000000000002,0.027088,0.025376,0.023908000000000002,0.022841999999999998,0.021997999999999997,0.02166,0.023106,0.022969999999999997,0.024794,0.023988,0.02364,0.027494,0.028714,0.028454,0.030712,0.030622,0.028036000000000002,0.026964000000000002,0.024664000000000002,0.023431999999999998,0.021944,0.021085999999999997,0.021296,0.021566,0.022134,0.021301999999999998,0.019164,0.018708,0.017198,0.015894,0.015062
17,0.085054,0.09468800000000001,0.093534,0.09425399999999999,0.093822,0.09247999999999999,0.08089,0.07616200000000001,0.07164,0.0681,0.061281999999999996,0.056566000000000005,0.05573,0.054078,0.051,0.050581999999999995,0.043636,0.041086,0.035286,0.032422,0.030516000000000005,0.028504,0.027546,0.026810000000000004,0.028702000000000002,0.02878,0.030868000000000003,0.029816,0.030549999999999997,0.034628,0.034718000000000006,0.035398000000000006,0.037344,0.038424,0.035552,0.034238,0.031738,0.030274,0.028668000000000003,0.027402000000000003,0.028241999999999996,0.029382,0.028858000000000005,0.028933999999999998,0.026558,0.025776,0.023795999999999998,0.022418,0.021734000000000003
18,0.106916,0.118132,0.11639600000000001,0.117766,0.115358,0.11370999999999999,0.09896,0.093798,0.08789,0.08445,0.073988,0.068284,0.06758,0.064872,0.06237,0.062898,0.054084,0.051024,0.043484,0.039468,0.03712400000000001,0.034166,0.03309399999999999,0.03196,0.034298,0.03459,0.036942,0.035643999999999995,0.03745999999999999,0.041762,0.040722,0.042342,0.043976,0.046225999999999996,0.043067999999999995,0.041512,0.038812,0.037115999999999996,0.035392,0.033718000000000005,0.035188000000000004,0.037198,0.03558200000000001,0.036566,0.033951999999999996,0.032844,0.030394000000000004,0.028942,0.028405999999999997
19,0.128778,0.14157600000000004,0.13925800000000002,0.141278,0.13689400000000002,0.13494,0.11703,0.11143399999999999,0.10414,0.10080000000000001,0.08669400000000001,0.080002,0.07943,0.075666,0.07374,0.075214,0.064532,0.060962,0.051682,0.046514,0.04373200000000001,0.039828,0.038641999999999996,0.03711,0.039894000000000006,0.040400000000000005,0.043016000000000006,0.041471999999999995,0.04437,0.048896,0.046726,0.049286,0.05060800000000001,0.054028,0.050584000000000004,0.048786,0.045886,0.043958,0.04211600000000001,0.04003400000000001,0.042134,0.045014,0.042306,0.044198,0.041346,0.039911999999999996,0.036992000000000004,0.035466000000000004,0.035078000000000005
