edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.00019,8.999999999999999e-05,0.0,8.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.00014000000000000001,0.0,0.00016,0.0,0.0,0.0,0.00035,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.00015,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011999999999999999,0.0,0.0
11,0.003028,0.003198,0.00429,0.003704,0.0033579999999999994,0.003462,0.0029219999999999997,0.0028899999999999998,0.002716,0.0023639999999999998,0.002154,0.0017079999999999997,0.001892,0.0016300000000000002,0.0014380000000000003,0.000878,0.0008,0.0010040000000000001,0.0008119999999999999,0.00063,0.0006879999999999999,0.000512,0.000834,0.000992,0.000514,0.0008359999999999999,0.000852,0.001014,0.00075,0.0012280000000000001,0.00122,0.001484,0.001464,0.002048,0.00195,0.001688,0.0018439999999999997,0.001614,0.001288,0.001332,0.001442,0.001338,0.00134,0.001046,0.001044,0.0007239999999999999,0.0005940000000000001,0.0007379999999999999,0.000662
12,0.006056,0.006206000000000001,0.008490000000000001,0.007408,0.006625999999999999,0.006924,0.005843999999999999,0.0057799999999999995,0.005432,0.0047279999999999996,0.004308,0.0034159999999999993,0.003784,0.00317,0.002786,0.0016660000000000002,0.0016,0.0019080000000000004,0.0016239999999999998,0.00126,0.0013759999999999998,0.001024,0.001668,0.0018440000000000004,0.001028,0.0015119999999999999,0.001704,0.002028,0.0015,0.0021060000000000002,0.0022600000000000003,0.002968,0.002928,0.004096,0.0039,0.003376,0.0035379999999999995,0.003078,0.002576,0.002664,0.002884,0.002676,0.00268,0.002092,0.002088,0.0014479999999999999,0.0010680000000000002,0.0014759999999999999,0.001324
13,0.009084,0.009214,0.012690000000000002,0.011111999999999999,0.009893999999999998,0.010386,0.008765999999999998,0.008669999999999999,0.008147999999999999,0.007091999999999999,0.006462,0.005123999999999998,0.0056760000000000005,0.00471,0.0041340000000000005,0.0024539999999999996,0.0024000000000000002,0.0028120000000000007,0.002436,0.0018900000000000002,0.002064,0.001536,0.002502,0.002696,0.001542,0.002188,0.002556,0.003042,0.00225,0.0029840000000000005,0.0033000000000000004,0.004452,0.004391999999999999,0.006144,0.005849999999999999,0.005064,0.005232,0.004542,0.003864,0.003996,0.004326,0.004014,0.00402,0.0031379999999999997,0.0031320000000000002,0.002172,0.0015420000000000002,0.002214,0.0019860000000000004
14,0.012112,0.012222,0.016890000000000002,0.014816,0.013161999999999998,0.013848,0.011687999999999999,0.011559999999999999,0.010864,0.009455999999999999,0.008616,0.006831999999999999,0.007568,0.00625,0.005482,0.003242,0.0032,0.0037160000000000006,0.0032479999999999996,0.00252,0.0027519999999999997,0.002048,0.003336,0.0035480000000000004,0.002056,0.002864,0.003408,0.004056,0.003,0.0038620000000000004,0.00434,0.005936,0.005856,0.008192,0.0078,0.006752,0.006925999999999999,0.006006,0.005152,0.005328,0.005768,0.005352,0.00536,0.004184,0.004176,0.0028959999999999997,0.002016,0.0029519999999999998,0.002648
15,0.01514,0.01523,0.02109,0.01852,0.01643,0.01731,0.01461,0.01445,0.01358,0.01182,0.01077,0.008539999999999999,0.009460000000000001,0.00779,0.00683,0.004030000000000001,0.004,0.00462,0.004059999999999999,0.00315,0.00344,0.00256,0.00417,0.0044,0.00257,0.00354,0.00426,0.00507,0.00375,0.00474,0.00538,0.0074199999999999995,0.00732,0.01024,0.00975,0.00844,0.00862,0.00747,0.00644,0.00666,0.00721,0.006690000000000001,0.0067,0.00523,0.00522,0.00362,0.00249,0.00369,0.00331
16,0.038646,0.041058000000000004,0.042989999999999993,0.039298,0.035016000000000005,0.033982,0.029382,0.026683999999999996,0.025898000000000004,0.021178000000000002,0.018954000000000002,0.015347999999999999,0.015786,0.013807999999999999,0.011904,0.009385999999999999,0.008134,0.007622,0.00713,0.00517,0.0052320000000000005,0.004174000000000001,0.005368,0.005770000000000001,0.0040279999999999995,0.005456,0.00552,0.0068200000000000005,0.006054,0.006824,0.007364000000000001,0.010412,0.010772,0.0136,0.013158,0.01193,0.012381999999999999,0.010734,0.00959,0.010891999999999999,0.010228,0.010342,0.01044,0.00821,0.009028000000000001,0.007212,0.005548,0.0075,0.00671
17,0.06215199999999999,0.06688600000000001,0.06489,0.06007599999999999,0.053602000000000004,0.050654,0.044154,0.038918,0.038216,0.030536,0.027138000000000002,0.022156,0.022112000000000003,0.019826,0.016978,0.014742000000000002,0.012268000000000001,0.010623999999999998,0.010199999999999999,0.007189999999999999,0.007024000000000001,0.005788000000000001,0.006566,0.0071400000000000005,0.005485999999999999,0.007372,0.0067800000000000004,0.00857,0.008358,0.008908000000000001,0.009348,0.013404,0.014224,0.01696,0.016565999999999997,0.015420000000000001,0.016144,0.013998000000000002,0.01274,0.015124,0.013245999999999999,0.013994,0.01418,0.01119,0.012836000000000002,0.010803999999999998,0.008606,0.011309999999999999,0.01011
18,0.08565799999999998,0.09271400000000002,0.08678999999999999,0.080854,0.07218800000000002,0.06732600000000001,0.058926,0.051152,0.05053400000000001,0.039894000000000006,0.035322000000000006,0.028964,0.028438,0.025844000000000002,0.022052,0.020097999999999998,0.016402,0.013626000000000001,0.013269999999999999,0.009210000000000001,0.008816000000000001,0.007402000000000001,0.007763999999999999,0.00851,0.006943999999999999,0.009288000000000001,0.00804,0.010320000000000001,0.010662,0.010992,0.011332,0.016396,0.017675999999999997,0.02032,0.019974,0.018910000000000003,0.019906,0.017262,0.01589,0.019356,0.016264,0.017646000000000002,0.01792,0.014169999999999999,0.016644000000000003,0.014396,0.011664,0.01512,0.01351
19,0.10916399999999998,0.11854200000000002,0.10869,0.10163199999999999,0.09077400000000001,0.083998,0.07369800000000001,0.063386,0.062852,0.049252000000000004,0.043506,0.035772,0.034764,0.031862,0.027126000000000004,0.025454,0.020536000000000002,0.016628,0.01634,0.01123,0.010608000000000001,0.009016,0.008962,0.009879999999999998,0.008402,0.011203999999999999,0.009300000000000001,0.01207,0.012966,0.013076,0.013316000000000003,0.019388,0.021128,0.02368,0.023381999999999997,0.022400000000000003,0.023667999999999998,0.020526,0.019039999999999998,0.023588,0.019282,0.021297999999999997,0.02166,0.01715,0.020452,0.017988,0.014722,0.01893,0.01691
20,0.13266999999999998,0.14437,0.13059,0.12240999999999999,0.10936,0.10067,0.08847,0.07562,0.07517,0.05861,0.05169,0.04258,0.04109,0.037880000000000004,0.0322,0.030809999999999997,0.02467,0.019629999999999998,0.01941,0.01325,0.0124,0.01063,0.01016,0.01125,0.009859999999999999,0.01312,0.01056,0.01382,0.015269999999999999,0.01516,0.015300000000000001,0.02238,0.024579999999999998,0.027039999999999998,0.026789999999999998,0.02589,0.02743,0.02379,0.02219,0.02782,0.0223,0.02495,0.0254,0.02013,0.02426,0.02158,0.01778,0.02274,0.020309999999999998
21,0.148382,0.15622999999999998,0.142714,0.135418,0.120382,0.10868000000000001,0.098848,0.086602,0.08579200000000001,0.071044,0.065524,0.05565,0.052442,0.049906000000000006,0.043616,0.041088,0.035274,0.030066000000000002,0.029376,0.022116,0.020660000000000005,0.019646,0.01752,0.01804,0.017272,0.018602,0.016878,0.018963999999999998,0.020134,0.02111,0.020396,0.026521999999999997,0.029117999999999998,0.031024,0.031784,0.030992000000000002,0.032852,0.029726,0.028406,0.033554,0.028980000000000002,0.031012,0.031535999999999995,0.02623,0.029612000000000003,0.026244,0.023638000000000003,0.026614,0.024216
22,0.164094,0.16809000000000002,0.154838,0.14842599999999997,0.131404,0.11669,0.109226,0.097584,0.096414,0.08347800000000001,0.079358,0.06872,0.063794,0.061932,0.055032000000000005,0.051366,0.045878,0.040502,0.039342,0.030982,0.02892,0.028662,0.02488,0.02483,0.024684,0.024084000000000005,0.023195999999999998,0.024108,0.024998,0.027059999999999997,0.025492,0.030664,0.033656,0.035008000000000004,0.036778,0.036094,0.038274,0.035662,0.034622,0.039288,0.035660000000000004,0.037073999999999996,0.037672,0.03233,0.034964,0.030907999999999998,0.029496,0.030488,0.028122
23,0.179806,0.17995,0.166962,0.161434,0.142426,0.1247,0.11960400000000002,0.108566,0.107036,0.09591200000000001,0.093192,0.08179,0.075146,0.073958,0.06644800000000001,0.061644000000000004,0.056482,0.050938000000000004,0.04930799999999999,0.039848,0.037180000000000005,0.037678,0.03224,0.03162,0.032096000000000006,0.029566000000000002,0.029514000000000002,0.029252000000000004,0.029862000000000003,0.03301,0.030588,0.034806000000000004,0.038194000000000006,0.038992000000000006,0.041772,0.041195999999999997,0.043696,0.041597999999999996,0.040838,0.045022,0.04234,0.043135999999999994,0.043808,0.03843,0.040316000000000005,0.03557199999999999,0.035354,0.034362,0.03202800000000001
24,0.19551799999999997,0.19181,0.17908600000000002,0.174442,0.153448,0.13271,0.12998200000000001,0.119548,0.117658,0.108346,0.107026,0.09486000000000001,0.08649799999999999,0.085984,0.077864,0.071922,0.06708599999999999,0.06137400000000001,0.059274,0.048714,0.04544000000000001,0.046694,0.039599999999999996,0.03841000000000001,0.039508,0.035048,0.035832,0.034396,0.034726,0.038959999999999995,0.035684,0.03894800000000001,0.042732,0.042976,0.046765999999999995,0.046298,0.049117999999999995,0.047534,0.047054,0.050756,0.04902000000000001,0.04919799999999999,0.049944,0.04453,0.04566800000000001,0.040235999999999994,0.041212000000000006,0.038236,0.03593400000000001
25,0.21123,0.20367,0.19121000000000002,0.18744999999999998,0.16447,0.14072,0.14036,0.13053,0.12828,0.12078,0.12086,0.10793000000000001,0.09784999999999999,0.09801,0.08928,0.08220000000000001,0.07769,0.07181,0.06924,0.05758,0.053700000000000005,0.05571,0.04696,0.045200000000000004,0.04692,0.040530000000000004,0.04215,0.03954,0.03959,0.04491,0.040780000000000004,0.04309,0.047270000000000006,0.04696,0.05176,0.0514,0.05454,0.05347,0.053270000000000005,0.05649,0.0557,0.05526,0.05608,0.05063,0.05102,0.044899999999999995,0.04707,0.04211,0.03984
26,0.19570999999999997,0.188106,0.175824,0.17142999999999997,0.150948,0.131608,0.129194,0.11973,0.117956,0.111526,0.111584,0.10072400000000001,0.09219799999999999,0.093128,0.085638,0.08003199999999999,0.07732,0.073176,0.071536,0.061366,0.05914,0.06271399999999999,0.055224,0.054094,0.055954000000000004,0.052306,0.052607999999999995,0.050186,0.052128,0.055954,0.052554000000000003,0.054146,0.058088,0.056881999999999995,0.061842,0.06146,0.065364,0.06425,0.062774,0.06704600000000001,0.06639,0.066066,0.066246,0.0596,0.059866,0.054189999999999995,0.055768,0.05121,0.048972
