edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00014000000000000001,7.000000000000001e-05,0.00014000000000000001,0.00019,0.00019,0.00019,0.00022,0.00017,0.0001,0.00015,2e-05,5e-05,0.00011999999999999999,5e-05,0.0001,2.9999999999999997e-05,2.9999999999999997e-05,0.00011,5.9999999999999995e-05,8.999999999999999e-05,0.00013000000000000002,4e-05,0.00011,4e-05,8.999999999999999e-05,8.999999999999999e-05,0.0001,0.0,0.00020999999999999998,5e-05,0.00011,0.00034,0.00011,0.00023,0.0,0.00023,0.00023,0.00011,5.9999999999999995e-05,0.00016,0.00020999999999999998,0.0,0.0001,5e-05,0.00015,0.0001,5e-05,5e-05,0.0
11,0.0059,0.00692,0.006968,0.006574,0.006852000000000001,0.006396,0.0056040000000000005,0.00505,0.004431999999999999,0.0044,0.004162,0.0038119999999999994,0.0033079999999999997,0.002868,0.002748,0.002366,0.00208,0.001794,0.0015580000000000001,0.0014380000000000003,0.0014380000000000003,0.001344,0.001248,0.00128,0.00133,0.0012460000000000001,0.0014380000000000003,0.001176,0.0016400000000000002,0.001422,0.001502,0.0015440000000000002,0.00186,0.0019039999999999999,0.001534,0.001748,0.00171,0.0016079999999999998,0.001572,0.001604,0.001446,0.0013820000000000002,0.0015300000000000003,0.0013260000000000001,0.0012079999999999999,0.0011040000000000002,0.000894,0.0008640000000000001,0.0007019999999999999
12,0.01166,0.01377,0.013796000000000001,0.012957999999999999,0.013514000000000002,0.012601999999999999,0.010988000000000001,0.00993,0.008764,0.00865,0.008304,0.007573999999999999,0.006495999999999999,0.005686,0.005396,0.0047020000000000005,0.00413,0.0034779999999999998,0.003056,0.002786,0.002746,0.0026479999999999997,0.0023859999999999997,0.00252,0.00257,0.002402,0.0027760000000000003,0.002352,0.0030700000000000002,0.002794,0.002894,0.002748,0.00361,0.003578,0.003068,0.003266,0.00319,0.0031059999999999994,0.003084,0.003048,0.002682,0.0027640000000000004,0.0029600000000000004,0.0026019999999999997,0.0022660000000000002,0.002108,0.001738,0.0016780000000000002,0.0014039999999999999
13,0.01742,0.020619999999999996,0.020624000000000003,0.019341999999999998,0.020176000000000006,0.018808,0.016372,0.01481,0.013095999999999998,0.0129,0.012446000000000002,0.011335999999999999,0.009684,0.008504000000000001,0.008044,0.007038000000000001,0.00618,0.005162,0.004553999999999999,0.0041340000000000005,0.004054,0.003952,0.003524,0.00376,0.0038099999999999996,0.0035580000000000004,0.004114,0.0035279999999999995,0.0045000000000000005,0.004166,0.004286000000000001,0.003952000000000001,0.00536,0.005252000000000001,0.004602,0.004784000000000001,0.00467,0.0046040000000000005,0.004595999999999999,0.004492,0.0039180000000000005,0.004146,0.004390000000000001,0.003878,0.003324,0.003112,0.0025819999999999997,0.002492,0.002106
14,0.02318,0.027469999999999998,0.027452,0.025726,0.026838000000000004,0.025013999999999998,0.021756,0.019690000000000003,0.017428000000000003,0.01715,0.016588000000000002,0.015097999999999999,0.012871999999999998,0.011322,0.010692,0.009374,0.00823,0.006846,0.006051999999999999,0.005482,0.0053620000000000004,0.005255999999999999,0.004662,0.005,0.00505,0.004714,0.005452,0.004704,0.00593,0.005538,0.005678,0.005156000000000001,0.00711,0.006926,0.006136,0.006302,0.00615,0.006102,0.006108,0.005936,0.005154,0.005528000000000001,0.0058200000000000005,0.005154,0.0043820000000000005,0.004116,0.003426,0.003306,0.0028079999999999997
15,0.02894,0.03432,0.03428,0.03211,0.0335,0.031219999999999998,0.02714,0.02457,0.02176,0.0214,0.020730000000000002,0.01886,0.016059999999999998,0.01414,0.01334,0.011710000000000002,0.01028,0.00853,0.007549999999999999,0.00683,0.00667,0.00656,0.0058,0.00624,0.0062900000000000005,0.00587,0.00679,0.00588,0.00736,0.00691,0.00707,0.00636,0.00886,0.0086,0.00767,0.00782,0.00763,0.0076,0.00762,0.00738,0.00639,0.00691,0.00725,0.00643,0.00544,0.00512,0.0042699999999999995,0.00412,0.0035099999999999997
16,0.051494,0.05772,0.056368,0.051508,0.05215,0.048144,0.042346,0.03867,0.03456,0.033024,0.031706,0.029268000000000002,0.025775999999999997,0.022998,0.020114,0.018272000000000004,0.0166,0.014666,0.012483999999999999,0.01102,0.010254000000000001,0.009493999999999999,0.008922000000000001,0.009032,0.00893,0.008712,0.009132,0.008724,0.010018,0.00941,0.009481999999999999,0.00907,0.011666000000000001,0.011923999999999999,0.010888000000000002,0.010646000000000001,0.010186,0.010251999999999999,0.009648,0.009554,0.00866,0.009044,0.009498,0.008852,0.007678,0.007442,0.0067139999999999995,0.006532,0.0059299999999999995
17,0.074048,0.08112,0.078456,0.07090600000000001,0.0708,0.065068,0.057552,0.05277,0.04736,0.04464799999999999,0.042682000000000005,0.039676,0.035491999999999996,0.031856,0.026888000000000002,0.024834000000000002,0.022920000000000003,0.020802,0.017418,0.015210000000000001,0.013838000000000001,0.012428000000000002,0.012044000000000001,0.011824,0.01157,0.011553999999999998,0.011474,0.011568000000000002,0.012676,0.01191,0.011894,0.01178,0.014471999999999999,0.015247999999999998,0.014106000000000002,0.013472,0.012742000000000002,0.012904,0.011676,0.011728000000000002,0.01093,0.011177999999999999,0.011746,0.011274,0.009916000000000001,0.009764,0.009158,0.008943999999999999,0.00835
18,0.09660200000000001,0.10451999999999999,0.10054400000000001,0.090304,0.08944999999999999,0.081992,0.07275799999999999,0.06687,0.06016000000000001,0.056271999999999996,0.053658000000000004,0.050084000000000004,0.045208,0.040714,0.033662000000000004,0.031396,0.029240000000000002,0.026938000000000004,0.022351999999999997,0.019399999999999997,0.017422000000000003,0.015361999999999999,0.015166,0.014616,0.014209999999999999,0.014396,0.013815999999999998,0.014412,0.015334,0.014410000000000001,0.014306000000000001,0.014489999999999998,0.017277999999999998,0.018571999999999995,0.017324000000000006,0.016298,0.015298,0.015556,0.013704000000000001,0.013902000000000001,0.0132,0.013311999999999997,0.013994,0.013695999999999998,0.012154,0.012086,0.011602,0.011356,0.01077
19,0.11915600000000001,0.12791999999999998,0.122632,0.109702,0.10809999999999999,0.09891599999999999,0.087964,0.08097,0.07296000000000001,0.06789599999999998,0.064634,0.060492000000000004,0.054923999999999994,0.049572000000000005,0.04043600000000001,0.037958,0.03556,0.033074,0.027285999999999998,0.023590000000000003,0.021006,0.018296,0.018288,0.017408,0.016849999999999997,0.017238,0.016158000000000002,0.017256,0.017992,0.01691,0.016718,0.0172,0.020084,0.021896,0.020542,0.019124,0.017854,0.018208,0.015732,0.016076,0.01547,0.015445999999999998,0.016241999999999996,0.016117999999999997,0.014392,0.014408,0.014046,0.013768,0.01319
