edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00015,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,0.0,2.9999999999999997e-05,0.00014000000000000001,0.00022,7.000000000000001e-05,8e-05,8e-05,0.00011999999999999999,0.00015,8e-05,4e-05,0.0002,8e-05,4e-05,4e-05,0.00017,0.00013000000000000002,0.00017999999999999998,5e-05,0.00014000000000000001,5e-05,0.0,0.0,0.00015,5e-05,0.0,0.00020999999999999998,5e-05,5e-05,0.00022,0.00017,0.00011,0.00029,0.00029,0.00011999999999999999,0.00011999999999999999,5.9999999999999995e-05,5.9999999999999995e-05,0.00017999999999999998,5.9999999999999995e-05,0.0,0.0,0.0,5.9999999999999995e-05,5.9999999999999995e-05
11,0.002388,0.0030900000000000003,0.0031900000000000006,0.003534,0.004242,0.00462,0.0043159999999999995,0.00463,0.004306,0.004104,0.004152000000000001,0.0044139999999999995,0.0045260000000000005,0.004268000000000001,0.0036720000000000004,0.003618,0.003662,0.0034880000000000006,0.002788,0.0028419999999999995,0.002448,0.002432,0.002374,0.002226,0.0020999999999999994,0.00237,0.002202,0.001932,0.001784,0.001616,0.002204,0.0020959999999999998,0.0023239999999999997,0.002642,0.002348,0.0023439999999999997,0.00229,0.00187,0.0017159999999999996,0.0019700000000000004,0.001966,0.0016920000000000001,0.001958,0.001218,0.001464,0.001342,0.001174,0.0015480000000000001,0.0012460000000000001
12,0.004626,0.00606,0.006260000000000001,0.007038,0.008484,0.00921,0.008492000000000001,0.009040000000000001,0.008542,0.008128,0.008224000000000002,0.008707999999999999,0.008902,0.008456000000000002,0.007304000000000001,0.007036000000000001,0.007244,0.006936000000000001,0.005536,0.005513999999999999,0.004766,0.004683999999999999,0.004698,0.004311999999999999,0.004149999999999999,0.00474,0.004404,0.003714,0.003518,0.003232,0.0041979999999999995,0.004142,0.004598,0.005063999999999999,0.004526,0.0045780000000000005,0.00429,0.00345,0.003312,0.0038200000000000005,0.003872,0.003324,0.003736,0.002376,0.002928,0.002684,0.002348,0.003036,0.0024320000000000006
13,0.006864000000000001,0.00903,0.00933,0.010542,0.012726,0.0138,0.012668,0.013450000000000002,0.012778,0.012152,0.012296000000000003,0.013001999999999998,0.013278,0.012644000000000002,0.010936,0.010454000000000001,0.010825999999999999,0.010384000000000001,0.008284,0.008185999999999999,0.007084000000000001,0.0069359999999999995,0.007022,0.006397999999999999,0.006199999999999999,0.00711,0.006606,0.005496,0.005252,0.004848000000000001,0.006192,0.006188,0.006872,0.007485999999999999,0.006704,0.006812,0.0062900000000000005,0.00503,0.004907999999999999,0.0056700000000000006,0.005777999999999999,0.004956,0.005513999999999999,0.003534,0.004391999999999999,0.004026,0.003522,0.004524,0.0036180000000000006
14,0.009102,0.012,0.0124,0.014046,0.016968,0.01839,0.016844,0.01786,0.017013999999999998,0.016176,0.016368,0.017296,0.017654,0.016832,0.014568,0.013872,0.014407999999999999,0.013832,0.011032,0.010858,0.009402,0.009187999999999998,0.009346,0.008484,0.00825,0.00948,0.008808,0.007278000000000001,0.006986,0.006464,0.008186,0.008234,0.009146000000000001,0.009908,0.008882,0.009046,0.008289999999999999,0.0066099999999999996,0.006503999999999999,0.007520000000000001,0.007683999999999999,0.006588,0.007292,0.004691999999999999,0.005856,0.005368,0.004696,0.006012,0.004804
15,0.01134,0.01497,0.015470000000000001,0.01755,0.02121,0.02298,0.02102,0.022269999999999998,0.02125,0.0202,0.02044,0.02159,0.02203,0.02102,0.0182,0.01729,0.01799,0.01728,0.013779999999999999,0.013529999999999999,0.011720000000000001,0.011439999999999999,0.01167,0.01057,0.0103,0.01185,0.011009999999999999,0.00906,0.00872,0.00808,0.01018,0.01028,0.01142,0.01233,0.01106,0.01128,0.010289999999999999,0.00819,0.0081,0.00937,0.00959,0.00822,0.00907,0.005849999999999999,0.00732,0.00671,0.00587,0.0075,0.0059900000000000005
16,0.02712,0.032406,0.03306,0.036618000000000005,0.03980800000000001,0.042778,0.039902,0.040746000000000004,0.038462,0.035372,0.034106000000000004,0.034352,0.034324,0.033124,0.029903999999999997,0.02777,0.027847999999999998,0.02598,0.021814,0.02014,0.01804,0.017259999999999998,0.016424,0.015007999999999999,0.014592,0.015532,0.014728000000000002,0.013058,0.012342,0.011923999999999999,0.013528,0.013648,0.014396,0.01617,0.014728,0.014931999999999999,0.013619999999999998,0.012027999999999999,0.011154,0.012457999999999999,0.012827999999999999,0.01131,0.012236,0.008919999999999999,0.010904,0.010142,0.00894,0.009746000000000001,0.00889
17,0.042899999999999994,0.049842,0.05065,0.055686000000000006,0.058406000000000007,0.06257599999999999,0.058784,0.05922200000000001,0.055674,0.050544,0.04777200000000001,0.047114,0.046618,0.04522800000000001,0.041608,0.03825,0.037706,0.03468,0.029848,0.02675,0.02436,0.02308,0.021178,0.019445999999999998,0.018884,0.019214000000000002,0.018446,0.017056,0.015964,0.015768,0.016876000000000002,0.017016000000000003,0.017372,0.02001,0.018396,0.018584,0.01695,0.015865999999999998,0.014208,0.015545999999999999,0.016066000000000004,0.014400000000000001,0.015401999999999999,0.011989999999999999,0.014488,0.013574,0.012009999999999998,0.011992000000000001,0.011789999999999998
18,0.058679999999999996,0.067278,0.06824,0.074754,0.07700400000000002,0.08237399999999999,0.077666,0.077698,0.07288599999999999,0.06571600000000001,0.061438,0.059876000000000006,0.058912000000000006,0.05733200000000001,0.053312,0.04873,0.047564,0.043379999999999995,0.037882000000000006,0.03336,0.03068,0.0289,0.025932,0.023884,0.023176000000000002,0.022896,0.022164000000000003,0.021054000000000003,0.019586,0.019612,0.020224,0.020384,0.020347999999999998,0.023850000000000003,0.022064,0.022236,0.02028,0.019704,0.017262,0.018634,0.019304,0.017490000000000002,0.018567999999999998,0.015059999999999999,0.018071999999999998,0.017006,0.015079999999999998,0.014237999999999999,0.01469
19,0.07446,0.084714,0.08583,0.093822,0.095602,0.102172,0.096548,0.09617400000000001,0.090098,0.080888,0.075104,0.07263800000000001,0.071206,0.06943600000000001,0.06501599999999999,0.05921,0.057421999999999994,0.05208,0.045916000000000005,0.03997,0.037,0.03472,0.030686,0.028322,0.027468,0.026578000000000004,0.025882000000000006,0.025051999999999998,0.023208,0.023456,0.023572000000000003,0.023752000000000002,0.023323999999999998,0.027690000000000006,0.025731999999999998,0.025887999999999998,0.02361,0.023541999999999997,0.020316000000000004,0.021722,0.022542000000000003,0.02058,0.021734,0.01813,0.021655999999999998,0.020437999999999998,0.01815,0.016484000000000002,0.017589999999999998
