edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00014000000000000001,0.00022,0.00027,0.00017999999999999998,0.00023,0.00017999999999999998,0.00011999999999999999,0.00022,0.00017999999999999998,0.00014000000000000001,5.9999999999999995e-05,4e-05,5e-05,5.9999999999999995e-05,5e-05,7.000000000000001e-05,5.9999999999999995e-05,8e-05,5e-05,2.9999999999999997e-05,2.9999999999999997e-05,5e-05,2e-05,7.000000000000001e-05,8.999999999999999e-05,0.0001,8.999999999999999e-05,7.000000000000001e-05,0.00011999999999999999,0.0001,0.00011999999999999999,0.00016,5e-05,0.0001,4e-05,0.00013000000000000002,0.00015,0.00016,8.999999999999999e-05,7.000000000000001e-05,4e-05,4e-05,5e-05,4e-05,5e-05,4e-05,4e-05,2.9999999999999997e-05,2e-05
11,0.004745999999999999,0.00519,0.005314,0.005183999999999999,0.004636000000000001,0.004102,0.003212,0.002926,0.0026360000000000008,0.002528,0.0025420000000000004,0.0021820000000000003,0.001968,0.001812,0.0016,0.0013520000000000001,0.0012160000000000003,0.0011320000000000002,0.001032,0.0009239999999999999,0.000834,0.000892,0.0008800000000000001,0.000998,0.0011880000000000003,0.001322,0.0015580000000000001,0.001704,0.0018679999999999999,0.0019039999999999999,0.0018720000000000004,0.00206,0.0021999999999999997,0.002334,0.0020800000000000003,0.0019379999999999996,0.0017759999999999998,0.001612,0.0014880000000000002,0.001348,0.001256,0.001142,0.001064,0.000926,0.0009400000000000001,0.0007260000000000001,0.000628,0.0006960000000000001,0.000584
12,0.009352000000000001,0.010160000000000002,0.010358,0.010188,0.009042000000000001,0.008024,0.006304000000000001,0.005632,0.005092,0.004915999999999999,0.005024,0.004324000000000001,0.0038859999999999997,0.003564,0.00315,0.002634,0.0023720000000000004,0.002184,0.0020139999999999997,0.0018179999999999997,0.001638,0.001734,0.0017400000000000002,0.001926,0.002286,0.0025440000000000003,0.0030259999999999996,0.003338,0.0036160000000000003,0.003708,0.0036240000000000005,0.00396,0.00435,0.004568,0.00412,0.0037459999999999998,0.0034019999999999996,0.003064,0.002886,0.002626,0.002472,0.002244,0.002078,0.0018119999999999998,0.00183,0.001412,0.001216,0.0013620000000000001,0.001148
13,0.013958,0.015130000000000003,0.015401999999999997,0.015191999999999999,0.013448000000000002,0.011945999999999998,0.009396,0.008338000000000002,0.007548000000000001,0.007304,0.0075060000000000005,0.006466000000000001,0.005803999999999999,0.0053159999999999995,0.0047,0.003916,0.0035280000000000003,0.003236,0.0029959999999999995,0.002711999999999999,0.0024419999999999997,0.0025759999999999997,0.0026,0.0028539999999999998,0.0033840000000000003,0.003766,0.004494,0.004972,0.005364,0.005511999999999999,0.005376000000000001,0.00586,0.006499999999999999,0.006802,0.0061600000000000005,0.005553999999999999,0.005028,0.004516,0.0042840000000000005,0.003904,0.003688,0.0033459999999999996,0.0030919999999999997,0.0026979999999999994,0.0027199999999999998,0.0020980000000000005,0.0018039999999999998,0.002028,0.0017119999999999998
14,0.018564,0.0201,0.020446,0.020196,0.017854000000000002,0.015868,0.012487999999999999,0.011044,0.010004,0.009692000000000001,0.009988000000000002,0.008608000000000001,0.007722,0.007068,0.00625,0.005198,0.004684,0.004288,0.003978,0.0036059999999999994,0.0032459999999999998,0.0034179999999999996,0.0034600000000000004,0.0037819999999999998,0.004482,0.004987999999999999,0.005961999999999999,0.006606,0.007112,0.007315999999999999,0.007128000000000001,0.0077599999999999995,0.00865,0.009035999999999999,0.008199999999999999,0.007362,0.006654,0.005968,0.005682,0.005182,0.0049039999999999995,0.004448,0.004106,0.0035839999999999995,0.00361,0.0027840000000000005,0.002392,0.0026939999999999998,0.002276
15,0.023170000000000003,0.025070000000000002,0.02549,0.0252,0.022260000000000002,0.01979,0.01558,0.01375,0.01246,0.01208,0.01247,0.01075,0.009640000000000001,0.00882,0.0078,0.0064800000000000005,0.00584,0.00534,0.00496,0.0045,0.00405,0.00426,0.00432,0.00471,0.00558,0.00621,0.00743,0.00824,0.00886,0.00912,0.00888,0.00966,0.0108,0.011269999999999999,0.01024,0.00917,0.00828,0.0074199999999999995,0.00708,0.00646,0.0061200000000000004,0.00555,0.00512,0.00447,0.0045,0.00347,0.00298,0.0033599999999999997,0.0028399999999999996
16,0.050735999999999996,0.050878,0.050236,0.046965999999999994,0.040964,0.035840000000000004,0.028802,0.026274000000000002,0.023516,0.022850000000000002,0.022424,0.019548000000000003,0.017405999999999998,0.016066,0.014408,0.012684,0.011529999999999999,0.010376,0.009111999999999999,0.008076,0.00712,0.007104,0.007052,0.00733,0.008322,0.009231999999999999,0.010641999999999999,0.011899999999999999,0.012644,0.01347,0.013280000000000002,0.014474,0.015514,0.01668,0.015686,0.014422,0.013311999999999997,0.012193999999999998,0.01114,0.010348,0.010034000000000001,0.009562,0.009089999999999999,0.008398,0.008218,0.007046000000000001,0.006163999999999999,0.006292,0.005882
17,0.078302,0.076686,0.074982,0.068732,0.059668000000000006,0.05189,0.042024,0.038798,0.034572000000000006,0.033620000000000004,0.032378,0.028346,0.025172,0.023311999999999996,0.021016000000000003,0.018888,0.01722,0.015411999999999999,0.013264,0.011652,0.010189999999999998,0.009948,0.009784000000000001,0.009949999999999999,0.011064000000000001,0.012254,0.013854,0.01556,0.016428,0.01782,0.01768,0.019287999999999996,0.020228000000000003,0.02209,0.021131999999999998,0.019674,0.018344,0.016967999999999997,0.0152,0.014235999999999999,0.013948,0.013573999999999998,0.013059999999999999,0.012326,0.011936,0.010622000000000001,0.009347999999999999,0.009224,0.008924
18,0.10586799999999998,0.102494,0.099728,0.09049800000000001,0.078372,0.06794,0.055245999999999996,0.051322,0.045628,0.04439,0.042332,0.037143999999999996,0.032938,0.030558,0.027624000000000006,0.025092,0.02291,0.020448,0.017415999999999997,0.015227999999999998,0.013259999999999997,0.012792,0.012516000000000001,0.01257,0.013805999999999999,0.015276,0.017065999999999998,0.019219999999999998,0.020212,0.02217,0.022080000000000002,0.024102,0.024942,0.0275,0.026578000000000004,0.024926,0.023375999999999997,0.021741999999999997,0.01926,0.018123999999999998,0.017862000000000003,0.017585999999999997,0.01703,0.016253999999999998,0.015654,0.014198000000000002,0.012532,0.012155999999999998,0.011966000000000001
19,0.13343399999999997,0.12830200000000003,0.124474,0.112264,0.09707600000000001,0.08399000000000001,0.068468,0.063846,0.056684,0.05516,0.052286,0.045942,0.040704000000000004,0.037804000000000004,0.034232000000000005,0.031296,0.028599999999999997,0.025484,0.021567999999999997,0.018803999999999998,0.016329999999999997,0.015636,0.015248000000000001,0.015189999999999997,0.016548,0.018298,0.020277999999999997,0.022879999999999994,0.023996000000000003,0.026519999999999995,0.026480000000000004,0.028915999999999997,0.029656,0.032909999999999995,0.032024000000000004,0.030177999999999996,0.028407999999999996,0.026515999999999998,0.02332,0.022011999999999997,0.021776,0.021598,0.021,0.020182,0.019372,0.017774,0.015716,0.015087999999999999,0.015008
