edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00011999999999999999,5.9999999999999995e-05,5.9999999999999995e-05,4e-05,0.00022,8e-05,0.00014000000000000001,0.00011999999999999999,8e-05,0.00017999999999999998,5.9999999999999995e-05,4e-05,5.9999999999999995e-05,5.9999999999999995e-05,2e-05,0.0,5e-05,8e-05,5.9999999999999995e-05,5.9999999999999995e-05,2.9999999999999997e-05,7.000000000000001e-05,4e-05,0.00011999999999999999,8e-05,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,0.00014000000000000001,0.0,5e-05,0.00023999999999999998,5e-05,0.00034,5e-05,5e-05,0.0,0.00022,8.999999999999999e-05,8e-05,8e-05,0.0,4e-05,0.00011999999999999999,8e-05,8e-05,0.00015,0.00011,4e-05
11,0.003286,0.004258,0.004275999999999999,0.004378,0.004350000000000001,0.0035540000000000003,0.0030299999999999997,0.00255,0.0022600000000000003,0.0022060000000000005,0.002024,0.00134,0.0014860000000000001,0.00146,0.0012560000000000002,0.0011099999999999999,0.0009640000000000001,0.00082,0.000748,0.000696,0.0006540000000000001,0.0006300000000000001,0.0006180000000000001,0.0007559999999999999,0.0008039999999999999,0.000762,0.00078,0.000902,0.0011020000000000001,0.001034,0.0011140000000000002,0.0013759999999999998,0.001442,0.0018880000000000001,0.001384,0.0014019999999999998,0.0011960000000000002,0.001552,0.0013640000000000002,0.0013839999999999998,0.0011240000000000002,0.0009800000000000002,0.000936,0.0007999999999999999,0.000954,0.000842,0.000862,0.000752,0.000748
12,0.006452,0.008456000000000002,0.008492000000000001,0.008716,0.008480000000000001,0.007028,0.005919999999999999,0.00498,0.00444,0.0042320000000000005,0.003988,0.00264,0.0029120000000000005,0.0028599999999999997,0.0024920000000000003,0.0022199999999999998,0.0018780000000000001,0.00156,0.001436,0.001332,0.001278,0.00119,0.0011960000000000002,0.001392,0.001528,0.0014340000000000002,0.0014700000000000002,0.0017140000000000002,0.002064,0.002068,0.002178,0.0025119999999999995,0.0028339999999999997,0.003436,0.002718,0.0027539999999999995,0.0023920000000000005,0.0028840000000000003,0.0026379999999999997,0.002688,0.0021680000000000002,0.0019600000000000004,0.0018319999999999999,0.00148,0.001828,0.0016040000000000002,0.0015739999999999999,0.001394,0.001456
13,0.009617999999999998,0.012654000000000002,0.012708,0.013053999999999998,0.012610000000000003,0.010502000000000001,0.008809999999999998,0.007410000000000001,0.006620000000000001,0.0062580000000000005,0.005951999999999999,0.003940000000000001,0.004338,0.004259999999999999,0.003728000000000001,0.0033299999999999996,0.0027919999999999998,0.0023,0.002124,0.001968,0.0019019999999999998,0.0017500000000000003,0.0017740000000000002,0.0020279999999999994,0.0022519999999999997,0.002106,0.00216,0.0025259999999999996,0.003026,0.003102,0.003242,0.0036479999999999998,0.004226,0.004984,0.004052000000000001,0.004105999999999999,0.0035880000000000005,0.004216,0.003912,0.003992,0.003212,0.0029400000000000003,0.002728,0.00216,0.002702,0.002366,0.002286,0.002036,0.0021639999999999997
14,0.012783999999999998,0.016852,0.016923999999999998,0.017391999999999998,0.01674,0.013976,0.011699999999999999,0.00984,0.0088,0.008284000000000001,0.007916,0.00524,0.005764,0.005659999999999999,0.0049640000000000005,0.0044399999999999995,0.003706,0.00304,0.002812,0.002604,0.0025259999999999996,0.00231,0.0023520000000000004,0.0026639999999999997,0.002976,0.002778,0.00285,0.0033380000000000003,0.003988,0.004136,0.004306,0.004784,0.005618,0.006532,0.005386,0.005457999999999999,0.004784000000000001,0.005548,0.005186,0.0052959999999999995,0.004256,0.003920000000000001,0.0036239999999999996,0.0028399999999999996,0.003576,0.003128,0.002998,0.002678,0.002872
15,0.01595,0.02105,0.02114,0.02173,0.02087,0.01745,0.01459,0.01227,0.01098,0.01031,0.009880000000000002,0.00654,0.00719,0.0070599999999999994,0.0062,0.00555,0.00462,0.00378,0.0035,0.0032400000000000003,0.00315,0.00287,0.0029300000000000003,0.0033,0.0037,0.0034500000000000004,0.00354,0.00415,0.00495,0.00517,0.00537,0.00592,0.00701,0.00808,0.006719999999999999,0.006809999999999999,0.00598,0.00688,0.00646,0.0066,0.0053,0.004900000000000001,0.00452,0.00352,0.00445,0.0038900000000000002,0.0037099999999999998,0.00332,0.0035800000000000003
16,0.040032,0.046939999999999996,0.044719999999999996,0.04134999999999999,0.037998000000000004,0.031972,0.027829999999999997,0.02349,0.02097,0.01893,0.01692,0.01331,0.01276,0.011768,0.010039999999999999,0.009302,0.007718,0.006666,0.005788000000000001,0.0052640000000000004,0.004882,0.004358000000000001,0.004296,0.0044599999999999996,0.004668,0.004982,0.0049559999999999995,0.005686,0.006554,0.006882,0.007222,0.007756,0.009516,0.010688000000000001,0.00966,0.009472,0.008684,0.009274000000000001,0.008628,0.009205999999999999,0.0076419999999999995,0.007488000000000001,0.006965999999999999,0.006380000000000001,0.007202,0.006365999999999999,0.005834,0.00569,0.0056760000000000005
17,0.064114,0.07282999999999999,0.0683,0.060969999999999996,0.055126,0.046494,0.04107,0.034710000000000005,0.03096,0.027549999999999998,0.023960000000000002,0.02008,0.01833,0.016475999999999998,0.013879999999999998,0.013053999999999998,0.010816,0.009552,0.008076,0.007288,0.006614,0.0058460000000000005,0.005662000000000001,0.005619999999999999,0.0056359999999999995,0.006513999999999999,0.006372,0.007222,0.008158,0.008594000000000001,0.009074000000000002,0.009591999999999998,0.012021999999999998,0.013295999999999999,0.012600000000000002,0.012134,0.011388,0.011668000000000001,0.010796,0.011812,0.009984,0.010076,0.009411999999999998,0.00924,0.009954000000000001,0.008842000000000001,0.007958,0.008060000000000001,0.007772
18,0.08819600000000001,0.09871999999999999,0.09187999999999999,0.08059,0.072254,0.06101600000000001,0.054310000000000004,0.045930000000000006,0.04095,0.03617,0.031,0.026850000000000002,0.023899999999999998,0.021184,0.01772,0.016806,0.013914000000000001,0.012438000000000001,0.010363999999999998,0.009312,0.008346,0.007334,0.007028,0.00678,0.006604,0.008046,0.007788,0.008758,0.009762,0.010306000000000001,0.010926000000000002,0.011427999999999999,0.014528,0.015904,0.01554,0.014796,0.014091999999999999,0.014062000000000002,0.012964,0.014417999999999999,0.012326,0.012664000000000002,0.011858,0.012100000000000001,0.012706,0.011318,0.010082,0.01043,0.009868
19,0.112278,0.12460999999999998,0.11546,0.10021,0.089382,0.075538,0.06755,0.057150000000000006,0.05094,0.044789999999999996,0.03804,0.033620000000000004,0.02947,0.025892,0.02156,0.020558,0.017012,0.015323999999999999,0.012652,0.011336,0.010078,0.008822,0.008394,0.00794,0.007571999999999999,0.009578,0.009204,0.010294000000000001,0.011366,0.012018000000000001,0.012778000000000003,0.013264,0.017034,0.018512,0.01848,0.017458,0.016796,0.016456000000000002,0.015132000000000001,0.017024,0.014667999999999999,0.015252,0.014304,0.014960000000000001,0.015458000000000001,0.013794,0.012206,0.0128,0.011964
