edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.00019,7.000000000000001e-05,0.00033,0.00013000000000000002,0.0002,0.00014000000000000001,0.0,0.0,8e-05,0.00015,0.00015,7.000000000000001e-05,0.0,0.0,0.0,0.00017,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00023999999999999998,0.0,0.0,0.0,0.00013000000000000002,0.0,0.0,0.0,0.00028000000000000003,0.0,0.00014000000000000001,0.00027,0.00013000000000000002,0.0,0.00013000000000000002,0.0,0.00013000000000000002,0.0,0.00013000000000000002,0.0,0.0,0.00011999999999999999,0.00011999999999999999,0.0,0.00023999999999999998
11,0.001866,0.002754,0.002834,0.00318,0.0030199999999999997,0.0029000000000000002,0.002794,0.002408,0.0024899999999999996,0.0022359999999999997,0.002166,0.002098,0.0021439999999999996,0.0022199999999999998,0.0019100000000000002,0.001496,0.0015959999999999998,0.00124,0.001098,0.0007740000000000001,0.0007899999999999999,0.0009,0.00063,0.000704,0.0008919999999999999,0.000768,0.001016,0.0012259999999999999,0.0014940000000000003,0.0014140000000000001,0.0016320000000000002,0.001592,0.0020680000000000004,0.0023959999999999997,0.0021379999999999997,0.0028160000000000004,0.0017879999999999999,0.001468,0.0019,0.0010779999999999997,0.001306,0.0011099999999999999,0.000942,0.000882,0.001024,0.0007679999999999999,0.0006839999999999999,0.0005759999999999999,0.000888
12,0.003732,0.005318000000000001,0.0055980000000000005,0.006030000000000001,0.0059099999999999995,0.005600000000000001,0.005448,0.004816,0.004979999999999999,0.004391999999999999,0.004182,0.004046,0.004218,0.0044399999999999995,0.0038200000000000005,0.002992,0.003022,0.00248,0.002196,0.0015480000000000001,0.00148,0.0018,0.00126,0.001408,0.0015439999999999998,0.001536,0.002032,0.0024519999999999998,0.0028580000000000003,0.0028280000000000002,0.0032640000000000004,0.003184,0.003856000000000001,0.004791999999999999,0.004136,0.0053620000000000004,0.003446,0.002936,0.00367,0.0021559999999999995,0.002482,0.0022199999999999998,0.001754,0.001764,0.002048,0.001416,0.0012479999999999998,0.0011519999999999998,0.001536
13,0.0055980000000000005,0.007882,0.008362000000000001,0.00888,0.008799999999999999,0.0083,0.008102,0.007224,0.007469999999999999,0.006547999999999999,0.006198,0.005994,0.006292,0.006659999999999999,0.005730000000000001,0.004488,0.004448,0.0037199999999999998,0.0032940000000000005,0.0023220000000000003,0.00217,0.0027,0.0018900000000000002,0.002112,0.0021959999999999996,0.002304,0.003048,0.003678,0.004222,0.004242000000000001,0.004896000000000001,0.004776,0.0056440000000000014,0.007188,0.006134,0.007908000000000002,0.005104,0.004404,0.00544,0.0032339999999999995,0.0036579999999999994,0.0033299999999999996,0.0025659999999999997,0.002646,0.003072,0.0020639999999999994,0.0018119999999999998,0.0017279999999999997,0.002184
14,0.007464,0.010446,0.011126,0.01173,0.011689999999999999,0.011,0.010756,0.009632,0.009959999999999998,0.008703999999999998,0.008214,0.007942,0.008366,0.008879999999999999,0.007640000000000001,0.005984,0.005874,0.00496,0.004392,0.0030960000000000002,0.0028599999999999997,0.0036,0.00252,0.002816,0.002848,0.003072,0.004064,0.0049039999999999995,0.005586000000000001,0.0056560000000000004,0.006528000000000001,0.006368,0.007432000000000001,0.009583999999999999,0.008132,0.010454000000000001,0.006762,0.005872,0.00721,0.004311999999999999,0.004834,0.0044399999999999995,0.003378,0.003528,0.004096,0.0027119999999999996,0.002376,0.0023039999999999996,0.002832
15,0.00933,0.013009999999999999,0.013890000000000001,0.01458,0.01458,0.013699999999999999,0.01341,0.012039999999999999,0.01245,0.01086,0.010230000000000001,0.009890000000000001,0.01044,0.0111,0.009550000000000001,0.0074800000000000005,0.0073,0.0062,0.00549,0.00387,0.0035499999999999998,0.0045,0.00315,0.00352,0.0035,0.0038399999999999997,0.00508,0.00613,0.0069500000000000004,0.00707,0.00816,0.00796,0.00922,0.011980000000000001,0.01013,0.013,0.00842,0.00734,0.00898,0.00539,0.00601,0.00555,0.00419,0.00441,0.00512,0.0033599999999999997,0.00294,0.0028799999999999997,0.00348
16,0.026109999999999998,0.033356,0.031344000000000004,0.030510000000000002,0.028450000000000003,0.025929999999999998,0.02541,0.022803999999999998,0.022688,0.019308,0.018784,0.01691,0.017065999999999998,0.016654,0.014644000000000003,0.0125,0.011545999999999999,0.010039999999999999,0.009035999999999999,0.00687,0.0059700000000000005,0.006594,0.005382,0.005284,0.0051459999999999995,0.005736,0.00684,0.008446,0.008862,0.009332,0.01018,0.0106,0.01237,0.015372,0.013766000000000002,0.0158,0.010901999999999998,0.010314,0.011618,0.0071979999999999995,0.009052,0.007965999999999999,0.007391999999999999,0.007496,0.008353999999999999,0.006184,0.005667999999999999,0.006054,0.0061400000000000005
17,0.04289,0.05370199999999999,0.048798,0.04644,0.04232,0.03816,0.03741,0.033568,0.032926000000000004,0.027756,0.027337999999999998,0.02393,0.023692,0.022208,0.019738,0.01752,0.015792,0.013879999999999998,0.012582,0.00987,0.00839,0.008688000000000001,0.007614000000000001,0.0070480000000000004,0.006791999999999999,0.007632,0.008600000000000002,0.010762,0.010774,0.011594,0.0122,0.013239999999999998,0.015519999999999999,0.018764000000000003,0.017402,0.018600000000000002,0.013384,0.013288,0.014256,0.009006,0.012093999999999999,0.010381999999999997,0.010594,0.010582000000000001,0.011588,0.009008,0.008395999999999999,0.009228000000000002,0.0088
18,0.05967,0.07404799999999999,0.066252,0.06237,0.05619,0.05039,0.049409999999999996,0.044332,0.043164,0.036204,0.03589199999999999,0.030950000000000002,0.030317999999999998,0.027762000000000002,0.024832,0.022539999999999998,0.020038,0.01772,0.016128,0.012870000000000001,0.010810000000000002,0.010782,0.009846,0.008811999999999999,0.008438000000000001,0.009528,0.010360000000000001,0.013078,0.012686,0.013855999999999999,0.014220000000000002,0.01588,0.018670000000000003,0.022156000000000002,0.021038000000000005,0.0214,0.015865999999999998,0.016262000000000002,0.016894000000000003,0.010814,0.015135999999999998,0.012797999999999999,0.013796,0.013668,0.014821999999999998,0.011832,0.011123999999999998,0.012402000000000002,0.011460000000000001
19,0.07645,0.09439399999999999,0.083706,0.07830000000000001,0.07006,0.06262,0.06141,0.055096,0.053402,0.044652000000000004,0.044446,0.03797,0.036944000000000005,0.033316,0.029926,0.027559999999999998,0.024284000000000003,0.02156,0.019674,0.015870000000000002,0.01323,0.012876000000000002,0.012078000000000002,0.010576,0.010084,0.011424,0.01212,0.015394000000000001,0.014598000000000003,0.016117999999999997,0.01624,0.01852,0.02182,0.025548,0.024673999999999998,0.0242,0.018348,0.019236,0.019532000000000004,0.012622,0.018177999999999996,0.015213999999999998,0.016998,0.016753999999999998,0.018055999999999996,0.014656,0.013851999999999998,0.015576000000000001,0.01412
