edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.00011999999999999999,0.00017999999999999998,5.9999999999999995e-05,0.00011999999999999999,0.00017999999999999998,5.9999999999999995e-05,0.00011999999999999999,5.9999999999999995e-05,0.00011999999999999999,0.00029,0.0,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.0,0.00031,5.9999999999999995e-05,0.0,0.0,8e-05,0.0,0.00016,0.0,0.0,0.0,8e-05,8e-05,0.00016,0.00023999999999999998,0.00023999999999999998,8e-05,0.00015,7.000000000000001e-05,0.00015,7.000000000000001e-05,7.000000000000001e-05,7.000000000000001e-05,0.00014000000000000001,0.0,7.000000000000001e-05,7.000000000000001e-05,7.000000000000001e-05,0.00013000000000000002,5.9999999999999995e-05,5.9999999999999995e-05,0.0,5.9999999999999995e-05
11,0.0030600000000000002,0.00394,0.0036900000000000006,0.003988,0.004218,0.004794,0.003946,0.003686,0.0036000000000000003,0.003366,0.00349,0.0029460000000000003,0.00311,0.002988,0.0025740000000000003,0.0020800000000000003,0.001956,0.0021559999999999995,0.0016400000000000002,0.001408,0.0013199999999999998,0.00156,0.0013260000000000001,0.001622,0.0017579999999999998,0.001602,0.002076,0.0021680000000000002,0.002484,0.0024400000000000003,0.0030119999999999995,0.0031239999999999996,0.002758,0.00346,0.0025259999999999996,0.0023859999999999997,0.00178,0.0019180000000000002,0.0016239999999999998,0.0015060000000000002,0.0013859999999999999,0.00155,0.001296,0.0011819999999999999,0.00118,0.001052,0.000716,0.0008619999999999999,0.001
12,0.0061200000000000004,0.007759999999999999,0.0072,0.007916,0.008315999999999999,0.009408,0.007832,0.007252,0.0071400000000000005,0.006612,0.006690000000000001,0.0058920000000000005,0.00616,0.005915999999999999,0.0050880000000000005,0.0040999999999999995,0.003912,0.004001999999999999,0.00322,0.002816,0.0026399999999999996,0.00304,0.0026520000000000003,0.003084,0.0035159999999999996,0.003204,0.004152,0.004256,0.004888,0.00472,0.005784,0.006008,0.005436,0.006770000000000001,0.004982,0.004622,0.003489999999999999,0.003766,0.0031779999999999994,0.0028720000000000004,0.0027719999999999997,0.0030299999999999997,0.002522,0.0022939999999999996,0.0022299999999999998,0.0020440000000000002,0.001372,0.0017239999999999998,0.00194
13,0.009179999999999999,0.011579999999999997,0.01071,0.011843999999999999,0.012414,0.014021999999999998,0.011718000000000001,0.010818,0.010680000000000002,0.009857999999999999,0.009890000000000001,0.008838,0.00921,0.008844,0.007602,0.0061200000000000004,0.005868,0.005847999999999998,0.0048,0.004224,0.003959999999999999,0.00452,0.003978000000000001,0.0045460000000000006,0.005273999999999999,0.0048059999999999995,0.006228,0.006344000000000001,0.007292,0.007000000000000001,0.008556,0.008891999999999999,0.008114,0.01008,0.007438000000000001,0.0068579999999999995,0.005199999999999999,0.005614000000000001,0.004731999999999999,0.0042380000000000004,0.004157999999999999,0.00451,0.0037479999999999996,0.0034059999999999993,0.0032800000000000004,0.003036,0.0020279999999999994,0.0025859999999999993,0.00288
14,0.012240000000000001,0.015399999999999997,0.01422,0.015772,0.016512,0.018636,0.015604000000000002,0.014384,0.014220000000000002,0.013104,0.01309,0.011784000000000001,0.01226,0.011772,0.010116000000000002,0.008140000000000001,0.007824,0.007693999999999999,0.00638,0.005632,0.005279999999999999,0.006,0.0053040000000000006,0.006008,0.007031999999999999,0.006408,0.008304,0.008432,0.009696,0.009280000000000002,0.011328,0.011776,0.010792,0.01339,0.009894,0.009094,0.0069099999999999995,0.007462000000000001,0.006286,0.0056040000000000005,0.0055439999999999994,0.0059900000000000005,0.004974,0.0045179999999999994,0.00433,0.0040279999999999995,0.0026839999999999998,0.0034479999999999997,0.0038200000000000005
15,0.015300000000000001,0.019219999999999998,0.01773,0.0197,0.02061,0.02325,0.019489999999999997,0.01795,0.01776,0.01635,0.01629,0.01473,0.01531,0.0147,0.01263,0.01016,0.009779999999999999,0.00954,0.00796,0.00704,0.0066,0.0074800000000000005,0.00663,0.00747,0.00879,0.00801,0.01038,0.01052,0.0121,0.01156,0.0141,0.01466,0.013470000000000001,0.0167,0.01235,0.01133,0.00862,0.00931,0.00784,0.00697,0.0069299999999999995,0.00747,0.0062,0.00563,0.00538,0.005019999999999999,0.0033399999999999997,0.00431,0.0047599999999999995
16,0.038296000000000004,0.044356,0.041658,0.044256000000000004,0.044182,0.043488,0.037972,0.035122,0.0327,0.030376,0.027178,0.025759999999999998,0.024856000000000003,0.023031999999999997,0.020829999999999998,0.017759999999999998,0.016916,0.015778,0.013699999999999999,0.01184,0.010822,0.010916,0.010032,0.01044,0.012098,0.011832,0.014618,0.015364000000000001,0.016616,0.016084,0.01849,0.019926000000000003,0.019424,0.023088,0.017617999999999998,0.017009999999999997,0.01401,0.013492,0.011372,0.011158000000000001,0.010212,0.0108,0.010228000000000001,0.009058,0.00912,0.008314,0.006708,0.007644,0.00891
17,0.061292,0.069492,0.065586,0.068812,0.067754,0.063726,0.05645400000000001,0.052294,0.04764,0.044402000000000004,0.038066,0.03678999999999999,0.034402,0.031363999999999996,0.02903,0.02536,0.024052,0.022015999999999997,0.01944,0.016640000000000002,0.015043999999999998,0.014352,0.013434000000000001,0.01341,0.015406,0.015654,0.018856,0.020207999999999997,0.021131999999999998,0.020607999999999998,0.022879999999999994,0.025192,0.025378,0.029476,0.022885999999999997,0.02269,0.019399999999999997,0.017674,0.014904,0.015346,0.013493999999999999,0.01413,0.014256,0.012486,0.01286,0.011607999999999999,0.010076,0.010978000000000002,0.01306
18,0.084288,0.09462800000000002,0.08951400000000001,0.09336799999999999,0.09132599999999999,0.083964,0.074936,0.06946600000000001,0.06258,0.05842800000000001,0.048954,0.047819999999999994,0.043948,0.039695999999999995,0.03723,0.032959999999999996,0.031188000000000004,0.028253999999999998,0.02518,0.021439999999999997,0.019266,0.017788,0.016835999999999997,0.01638,0.018713999999999998,0.019476,0.023094,0.025051999999999998,0.025648,0.025131999999999998,0.027269999999999996,0.030458,0.031332,0.03586400000000001,0.028153999999999995,0.028369999999999996,0.02479,0.021856,0.018436,0.019534000000000003,0.016776,0.01746,0.018284,0.015913999999999998,0.016599999999999997,0.014901999999999997,0.013444,0.014312000000000002,0.01721
19,0.107284,0.11976400000000001,0.113442,0.11792399999999999,0.114898,0.104202,0.093418,0.086638,0.07751999999999999,0.072454,0.059842000000000006,0.05884999999999999,0.053494,0.048027999999999994,0.04543,0.04056,0.038324,0.034491999999999995,0.03092,0.02624,0.023488,0.021224,0.020238,0.019350000000000003,0.022022,0.023298000000000003,0.027332000000000002,0.029896000000000002,0.030164,0.029656,0.031659999999999994,0.035724000000000006,0.037286,0.042252,0.033422,0.03405,0.03018,0.026037999999999995,0.021968,0.023722,0.020058,0.020790000000000003,0.022312000000000002,0.019341999999999998,0.02034,0.018195999999999997,0.016811999999999997,0.017646000000000002,0.02136
20,0.13028,0.1449,0.13737,0.14248,0.13847,0.12444,0.1119,0.10381,0.09246,0.08648,0.07073,0.06988,0.06304,0.05636,0.053630000000000004,0.048159999999999994,0.04546,0.040729999999999995,0.03666,0.031039999999999998,0.027710000000000002,0.02466,0.02364,0.02232,0.02533,0.027120000000000002,0.03157,0.03474,0.03468,0.03418,0.03605,0.04099,0.04324,0.04864,0.038689999999999995,0.039729999999999994,0.03557,0.03022,0.0255,0.02791,0.02334,0.024120000000000003,0.02634,0.02277,0.024079999999999997,0.02149,0.02018,0.020980000000000002,0.02551
21,0.14275200000000002,0.155588,0.147772,0.150112,0.145952,0.13207,0.120746,0.111988,0.100502,0.09530600000000002,0.082294,0.07951,0.075336,0.06809399999999999,0.06607,0.061102,0.057828000000000004,0.053376,0.049949999999999994,0.04325,0.040451999999999995,0.036964,0.03596800000000001,0.033594,0.035304,0.036642,0.039869999999999996,0.042660000000000003,0.04203,0.041462000000000006,0.042534,0.04838800000000001,0.049356000000000004,0.054688,0.04534,0.04532599999999999,0.041836,0.036804,0.033134000000000004,0.03529,0.031439999999999996,0.031434,0.033238,0.02917,0.03032,0.02753,0.026515999999999998,0.027294,0.030512
