edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.0,4e-05,0.0,0.00014000000000000001,5e-05,0.00023999999999999998,5e-05,5e-05,0.00016,0.00011,0.00011,5e-05,0.00011,5.9999999999999995e-05,0.00017,0.00011999999999999999,0.00017999999999999998,5.9999999999999995e-05,0.0,5.9999999999999995e-05,7.000000000000001e-05,7.000000000000001e-05,7.000000000000001e-05,0.0,0.00014000000000000001,0.0,0.00028000000000000003,7.000000000000001e-05,0.00020999999999999998,0.00014000000000000001,7.000000000000001e-05,0.0003,0.00038,0.00031,0.00023,0.00023999999999999998,8e-05,0.00023999999999999998,8e-05,8e-05,0.00025,0.00041,8e-05,0.00023999999999999998,0.00016,0.00032,0.00016,0.00032
11,0.001866,0.001908,0.0021460000000000003,0.002344,0.0024519999999999998,0.0025919999999999997,0.0029660000000000003,0.0024619999999999998,0.0028539999999999998,0.0029400000000000003,0.0029259999999999998,0.002908,0.0025519999999999996,0.00296,0.002722,0.0024899999999999996,0.002144,0.002166,0.002008,0.001924,0.001872,0.00149,0.001522,0.001688,0.0015619999999999998,0.0016120000000000002,0.001588,0.0019299999999999999,0.001848,0.00219,0.0018040000000000003,0.0024279999999999996,0.0025519999999999996,0.002864,0.002614,0.0023859999999999997,0.0020060000000000004,0.002016,0.0020700000000000002,0.001564,0.002018,0.002014,0.002198,0.0016640000000000001,0.0016519999999999998,0.0016699999999999998,0.001802,0.001856,0.001492
12,0.003732,0.003816,0.004252000000000001,0.004688,0.004763999999999999,0.005134,0.005692,0.004874,0.005658,0.00572,0.005742,0.005706,0.0050539999999999995,0.005810000000000001,0.005383999999999999,0.00481,0.004168,0.004152,0.003956,0.003848,0.0036839999999999998,0.00291,0.0029739999999999996,0.0033059999999999995,0.0031239999999999996,0.003084,0.003176,0.0035800000000000003,0.003626,0.00417,0.0034680000000000006,0.0047859999999999995,0.004803999999999999,0.0053479999999999995,0.004918,0.004542,0.003772,0.003952,0.0039000000000000003,0.003048,0.003956,0.003778,0.003986,0.003248,0.003064,0.00318,0.0032839999999999996,0.0035520000000000005,0.0026639999999999997
13,0.0055980000000000005,0.005724,0.006358000000000002,0.007032000000000001,0.007076,0.007676,0.008418000000000002,0.007286,0.008461999999999999,0.0085,0.008558,0.008504,0.007555999999999999,0.00866,0.008046,0.007129999999999999,0.0061920000000000005,0.006138,0.005903999999999999,0.005772,0.005495999999999999,0.00433,0.004426,0.0049239999999999996,0.004686,0.004556,0.004764,0.005229999999999999,0.005404,0.006149999999999999,0.005132,0.007143999999999999,0.007055999999999999,0.007832,0.007221999999999998,0.006697999999999999,0.005538,0.005888,0.005730000000000001,0.0045320000000000004,0.005894,0.005542,0.005773999999999999,0.004832,0.004476,0.004690000000000001,0.004766,0.005248000000000001,0.003836
14,0.007464,0.007632,0.008464000000000001,0.009376,0.009388,0.010218,0.011144,0.009698,0.011266,0.011280000000000002,0.011373999999999999,0.011302,0.010058,0.01151,0.010708,0.00945,0.008216,0.008124000000000001,0.007852,0.007696,0.0073079999999999985,0.00575,0.005878,0.006542,0.006247999999999999,0.0060279999999999995,0.006352,0.00688,0.007182,0.008129999999999998,0.006796,0.009501999999999998,0.009308,0.010316,0.009526,0.008853999999999999,0.007304000000000001,0.007824,0.007560000000000001,0.006016,0.007832,0.007306,0.007561999999999999,0.006416000000000001,0.005888,0.0062,0.006248,0.0069440000000000005,0.005008
15,0.00933,0.00954,0.01057,0.011720000000000001,0.011699999999999999,0.01276,0.013869999999999999,0.01211,0.014070000000000001,0.014060000000000001,0.01419,0.0141,0.01256,0.01436,0.01337,0.01177,0.01024,0.01011,0.009800000000000001,0.00962,0.00912,0.00717,0.00733,0.00816,0.007809999999999999,0.0075,0.007940000000000001,0.00853,0.008960000000000001,0.01011,0.00846,0.011859999999999999,0.01156,0.0128,0.01183,0.011009999999999999,0.00907,0.00976,0.00939,0.0075,0.00977,0.00907,0.009349999999999999,0.008,0.0073,0.00771,0.007730000000000001,0.00864,0.00618
16,0.02767,0.029368000000000002,0.029880000000000004,0.032488,0.031992,0.03287999999999999,0.032848,0.030356,0.030316,0.02966,0.02832,0.026158,0.025363999999999998,0.025803999999999997,0.02456,0.022168,0.019872,0.020182,0.018456000000000004,0.016758,0.014872,0.012688,0.012245999999999998,0.012320000000000001,0.012022,0.010858000000000001,0.011626000000000001,0.012387999999999998,0.012596,0.013713999999999999,0.013368,0.015676,0.015916,0.018132000000000002,0.016112,0.015032,0.012598000000000002,0.013068,0.012114000000000002,0.010971999999999999,0.012374,0.011604,0.012306,0.0105,0.010222,0.010193999999999998,0.010204000000000001,0.010818000000000001,0.008943999999999999
17,0.046009999999999995,0.049196000000000004,0.049190000000000005,0.053256,0.05228399999999999,0.05299999999999999,0.051826,0.048602000000000006,0.046562,0.045259999999999995,0.04245,0.038216,0.038168,0.037247999999999996,0.03575,0.032566000000000005,0.029504,0.030253999999999996,0.027112,0.023896,0.020624000000000003,0.018205999999999996,0.017162,0.01648,0.016234000000000002,0.014216,0.015312000000000001,0.016246,0.016232,0.017317999999999997,0.018276,0.019492000000000002,0.020272,0.023464,0.020394000000000002,0.019054,0.016126,0.016375999999999998,0.014838,0.014443999999999999,0.014978,0.014138,0.015262000000000001,0.013,0.013143999999999998,0.012677999999999998,0.012678,0.012996,0.011708
18,0.06434999999999999,0.069024,0.0685,0.074024,0.07257599999999999,0.07311999999999999,0.070804,0.06684800000000002,0.062808,0.06086,0.05658,0.050274,0.050971999999999996,0.04869199999999999,0.046939999999999996,0.042963999999999995,0.039136000000000004,0.040325999999999994,0.035768,0.031034,0.026375999999999997,0.023723999999999995,0.022077999999999997,0.020640000000000002,0.020446000000000002,0.017574,0.018998,0.020104,0.019868000000000004,0.020922,0.023183999999999996,0.023308,0.024628,0.028796,0.024676000000000003,0.023076,0.019654,0.019683999999999997,0.017562,0.017916,0.017582,0.016672,0.018218,0.0155,0.016066,0.015161999999999998,0.015152,0.015174,0.014472
19,0.08269,0.088852,0.08781,0.094792,0.09286799999999999,0.09323999999999999,0.08978200000000001,0.085094,0.079054,0.07646,0.07071000000000001,0.062332,0.063776,0.060135999999999995,0.058129999999999994,0.05336199999999999,0.048768,0.050398,0.044424000000000005,0.038172000000000005,0.032128,0.029241999999999997,0.026994,0.0248,0.024658000000000003,0.020932,0.022684000000000003,0.023961999999999997,0.023504,0.024526,0.028092,0.027124000000000002,0.028984000000000003,0.034128,0.028958000000000005,0.027098,0.023182,0.022992,0.020286000000000002,0.021387999999999997,0.020186,0.019206,0.021174,0.018,0.018987999999999998,0.017646,0.017626000000000003,0.017352,0.017236
