edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00011999999999999999,0.00019,0.00020999999999999998,0.00020999999999999998,0.00028000000000000003,0.00020999999999999998,0.0003,0.00023,0.00023,0.00014000000000000001,8.999999999999999e-05,2e-05,5e-05,0.00014000000000000001,0.00011,7.000000000000001e-05,5e-05,7.000000000000001e-05,0.00017999999999999998,5.9999999999999995e-05,8.999999999999999e-05,0.0,0.0001,0.00011,0.0,4e-05,0.0,4e-05,0.00013000000000000002,0.0,8.999999999999999e-05,0.0,5e-05,0.0,0.0002,0.0001,0.0,0.00014000000000000001,0.0,5e-05,0.00017999999999999998,5e-05,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
11,0.007154000000000001,0.008442,0.008919999999999999,0.009336000000000002,0.009193999999999999,0.008522000000000002,0.008156,0.007610000000000001,0.006736000000000001,0.0063679999999999995,0.005874000000000001,0.004776,0.00443,0.0043,0.00342,0.0031320000000000002,0.0025479999999999995,0.0024179999999999996,0.002384,0.001774,0.001508,0.001478,0.0014240000000000001,0.0014180000000000002,0.001228,0.001206,0.001306,0.0011480000000000001,0.0013980000000000002,0.00122,0.001276,0.0010619999999999998,0.0014320000000000001,0.0013199999999999998,0.00153,0.0012240000000000003,0.000936,0.0012000000000000001,0.00108,0.0009640000000000001,0.00098,0.001032,0.00095,0.000802,0.000728,0.0006860000000000001,0.000526,0.000528,0.00062
12,0.014188000000000001,0.016694000000000004,0.01763,0.018462000000000003,0.018108,0.016834000000000002,0.016012000000000002,0.014990000000000002,0.013242,0.012596,0.011658000000000002,0.009532,0.00881,0.00846,0.006730000000000001,0.006194000000000001,0.005045999999999999,0.004766,0.004587999999999999,0.0034879999999999998,0.0029259999999999998,0.002956,0.002748,0.002726,0.002456,0.002372,0.002612,0.002256,0.002666,0.00244,0.0024619999999999998,0.0021239999999999996,0.002814,0.0026399999999999996,0.0028599999999999997,0.0023480000000000003,0.001872,0.0022600000000000003,0.00216,0.0018780000000000001,0.00178,0.0020139999999999997,0.00172,0.001604,0.001456,0.0013720000000000002,0.001052,0.001056,0.00124
13,0.021222000000000005,0.024946000000000003,0.026339999999999995,0.027588000000000005,0.027021999999999997,0.025146000000000005,0.023867999999999997,0.02237,0.019748,0.018823999999999997,0.017442000000000003,0.014288,0.013190000000000002,0.012620000000000001,0.010039999999999999,0.009256,0.0075439999999999995,0.007114,0.0067919999999999986,0.005201999999999999,0.004344,0.0044340000000000004,0.004072,0.004034000000000001,0.003684,0.003538,0.0039180000000000005,0.0033640000000000002,0.003934,0.00366,0.0036479999999999998,0.0031859999999999996,0.004196000000000001,0.003959999999999999,0.004189999999999999,0.0034720000000000003,0.0028079999999999997,0.0033200000000000005,0.0032400000000000003,0.0027919999999999998,0.0025800000000000003,0.0029959999999999995,0.00249,0.0024059999999999997,0.002184,0.0020580000000000004,0.001578,0.0015840000000000001,0.0018599999999999999
14,0.028256000000000003,0.033198,0.03505,0.036714000000000004,0.035936,0.03345800000000001,0.031724,0.029750000000000002,0.026254000000000003,0.025051999999999998,0.023226000000000004,0.019044000000000002,0.01757,0.01678,0.013349999999999999,0.012318,0.010042,0.009462,0.008995999999999999,0.006915999999999999,0.005762,0.005912,0.005396,0.005342,0.004912,0.004704,0.005224,0.004472,0.005202,0.00488,0.004834,0.004247999999999999,0.0055780000000000005,0.005279999999999999,0.00552,0.004596,0.003744,0.00438,0.00432,0.003706,0.0033799999999999998,0.003978,0.0032600000000000003,0.003208,0.002912,0.0027440000000000003,0.002104,0.002112,0.00248
15,0.03529,0.04145,0.04376,0.045840000000000006,0.04485,0.04177,0.03958,0.03713,0.03276,0.03128,0.02901,0.0238,0.02195,0.02094,0.01666,0.015380000000000001,0.012539999999999999,0.011810000000000001,0.0112,0.00863,0.00718,0.00739,0.006719999999999999,0.0066500000000000005,0.00614,0.00587,0.00653,0.00558,0.00647,0.0060999999999999995,0.006019999999999999,0.00531,0.00696,0.0066,0.006849999999999999,0.005719999999999999,0.00468,0.00544,0.0054,0.00462,0.00418,0.00496,0.004030000000000001,0.00401,0.00364,0.0034300000000000003,0.00263,0.00264,0.0031
16,0.057158,0.06323000000000001,0.064688,0.066458,0.062884,0.05857600000000001,0.055589999999999994,0.051744,0.04636799999999999,0.043852,0.039994,0.034088,0.03239,0.030524000000000003,0.025641999999999998,0.023829999999999997,0.020176,0.018934,0.01738,0.013630000000000001,0.011632,0.01114,0.010121999999999999,0.00987,0.009212,0.008853999999999999,0.009118000000000001,0.00825,0.009016,0.008846,0.008721999999999999,0.008432,0.009465999999999999,0.009895999999999999,0.009444,0.008446,0.007183999999999999,0.007856,0.0075840000000000005,0.007002,0.00669,0.0074199999999999995,0.006214000000000001,0.006215999999999999,0.005888,0.005868,0.00484,0.004836,0.005154
17,0.07902600000000001,0.08500999999999999,0.08561600000000001,0.08707600000000001,0.080918,0.075382,0.0716,0.066358,0.059976,0.056424,0.050978,0.044376000000000006,0.04283,0.040108000000000005,0.034623999999999995,0.03228,0.027811999999999996,0.026058,0.02356,0.018630000000000004,0.016084,0.01489,0.013524000000000001,0.01309,0.012284,0.011838,0.011706,0.01092,0.011562000000000001,0.011591999999999998,0.011424,0.011554000000000002,0.011971999999999998,0.013191999999999999,0.012038,0.011172000000000001,0.009687999999999999,0.010271999999999998,0.009768,0.009384,0.0092,0.009879999999999998,0.008398,0.008422,0.008136000000000001,0.008306,0.00705,0.007032,0.007208
18,0.10089400000000001,0.10679,0.10654400000000001,0.10769400000000001,0.098952,0.09218800000000002,0.08760999999999998,0.080972,0.073584,0.068996,0.061962,0.054664000000000004,0.053270000000000005,0.049692,0.04360599999999999,0.040729999999999995,0.035448,0.033182,0.029740000000000003,0.02363,0.020536000000000002,0.01864,0.016926,0.01631,0.015356000000000002,0.014821999999999998,0.014294000000000001,0.01359,0.014108,0.014338,0.014126000000000001,0.014676000000000002,0.014477999999999998,0.016488,0.014632000000000001,0.013897999999999999,0.012192,0.012688,0.011952000000000003,0.011766000000000002,0.011710000000000002,0.01234,0.010582000000000001,0.010628,0.010384000000000001,0.010744,0.00926,0.009228,0.009262
19,0.122762,0.12857,0.127472,0.128312,0.11698600000000002,0.108994,0.10361999999999999,0.095586,0.08719199999999999,0.081568,0.072946,0.064952,0.06371,0.059275999999999995,0.052587999999999996,0.04918,0.043084000000000004,0.040305999999999995,0.03592,0.028630000000000003,0.024988,0.02239,0.020328,0.019530000000000002,0.018428,0.017806,0.016881999999999998,0.016259999999999997,0.016654,0.017083999999999995,0.016828000000000003,0.017798,0.016984,0.019784,0.017225999999999998,0.016624000000000003,0.014695999999999999,0.015104,0.014136000000000001,0.014147999999999999,0.01422,0.0148,0.012765999999999998,0.012834,0.012632,0.013182,0.01147,0.011424,0.011316
