edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.0,0.0,0.0,0.0,0.0,0.00011999999999999999,0.0,0.00013000000000000002,0.00027,0.00014000000000000001,0.0,0.0,0.00015,0.00015,0.0,0.00031,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.00019,0.0,0.0,0.0,0.0002,0.0002,0.00041,0.0,0.00020999999999999998,0.00020999999999999998,0.0,0.0,0.00020999999999999998,0.0,0.0,0.0,0.00022,0.00022,0.00022,0.0,0.00023,0.00023,0.0
11,0.001082,0.0013939999999999998,0.001706,0.001662,0.0021260000000000003,0.002444,0.0020340000000000002,0.0018160000000000001,0.0021739999999999993,0.00201,0.002238,0.00143,0.002196,0.002186,0.001972,0.002046,0.00221,0.0015059999999999997,0.001442,0.001028,0.0011519999999999998,0.000898,0.0011220000000000002,0.0007840000000000001,0.001026,0.0015480000000000001,0.0016059999999999998,0.0011,0.0016600000000000002,0.001538,0.001772,0.0020040000000000006,0.002492,0.002398,0.0023940000000000003,0.001646,0.00152,0.001358,0.00156,0.001034,0.0016300000000000002,0.0016519999999999998,0.0014019999999999998,0.002034,0.0016580000000000002,0.001232,0.0013739999999999998,0.001068,0.000756
12,0.002164,0.0027879999999999997,0.003412,0.003324,0.004252000000000001,0.004888,0.003948,0.0036320000000000002,0.004217999999999999,0.0037500000000000003,0.004336,0.00286,0.004392,0.004222,0.0037939999999999996,0.004092,0.004109999999999999,0.002852,0.002884,0.002056,0.0023039999999999996,0.001796,0.0022440000000000003,0.0015680000000000002,0.002052,0.002706,0.003022,0.0022,0.0033200000000000005,0.003076,0.003344,0.0038080000000000006,0.004574,0.004796,0.0045780000000000005,0.0030819999999999997,0.00304,0.002716,0.0029100000000000003,0.002068,0.0032600000000000003,0.0033039999999999996,0.002584,0.0038479999999999994,0.0030960000000000007,0.002464,0.002518,0.0019059999999999997,0.001512
13,0.0032460000000000006,0.004181999999999999,0.005118,0.004986000000000001,0.006378000000000001,0.007332,0.005862000000000001,0.005448000000000001,0.0062619999999999985,0.00549,0.006434,0.004290000000000001,0.006588000000000001,0.0062580000000000005,0.0056159999999999995,0.006138000000000001,0.006009999999999999,0.0041979999999999995,0.004326,0.003084,0.0034559999999999994,0.0026939999999999998,0.0033660000000000005,0.0023520000000000004,0.0030780000000000004,0.003864,0.004438,0.0033000000000000004,0.00498,0.004614,0.004916,0.005612000000000001,0.006656,0.007194000000000001,0.006762000000000001,0.0045179999999999994,0.004560000000000001,0.0040739999999999995,0.004260000000000001,0.003102,0.00489,0.0049559999999999995,0.003766,0.005661999999999998,0.004534,0.0036959999999999996,0.0036619999999999995,0.0027439999999999995,0.0022679999999999996
14,0.004328,0.005575999999999999,0.006824,0.006648,0.008504000000000001,0.009776,0.007776000000000001,0.0072640000000000005,0.008306,0.00723,0.008532,0.00572,0.008784,0.008294000000000001,0.007437999999999999,0.008184,0.007909999999999999,0.0055439999999999994,0.005768,0.004112,0.004607999999999999,0.003592,0.004488000000000001,0.0031360000000000003,0.004104,0.0050219999999999996,0.005854,0.0044,0.006640000000000001,0.006152,0.006488000000000001,0.007416000000000002,0.008738,0.009592,0.008946,0.005954,0.00608,0.005432,0.00561,0.004136,0.006520000000000001,0.006607999999999999,0.004947999999999999,0.007475999999999998,0.005972000000000001,0.004928,0.004806,0.0035819999999999992,0.003024
15,0.00541,0.00697,0.00853,0.00831,0.01063,0.01222,0.009689999999999999,0.00908,0.01035,0.00897,0.01063,0.00715,0.01098,0.01033,0.00926,0.010230000000000001,0.009810000000000001,0.006889999999999999,0.00721,0.00514,0.0057599999999999995,0.00449,0.00561,0.00392,0.00513,0.00618,0.0072699999999999996,0.0055,0.0083,0.007690000000000001,0.008060000000000001,0.00922,0.01082,0.01199,0.011130000000000001,0.00739,0.0076,0.00679,0.00696,0.00517,0.008150000000000001,0.00826,0.00613,0.00929,0.00741,0.0061600000000000005,0.00595,0.00442,0.00378
16,0.01939,0.024439999999999996,0.024144,0.025046,0.027090000000000003,0.028876,0.027083999999999997,0.026046,0.025782000000000003,0.023158,0.0223,0.019874000000000003,0.022208,0.019528,0.01906,0.019084,0.01659,0.014443999999999999,0.013123999999999999,0.011177999999999999,0.010419999999999999,0.008852,0.009646,0.008464,0.009086,0.009006,0.010442,0.009188,0.012012,0.011934000000000002,0.011838000000000001,0.01315,0.014054,0.016534,0.015122,0.012058,0.011108,0.010228,0.00965,0.008396,0.010958,0.010836,0.009424,0.011491999999999999,0.011422,0.008798,0.009354,0.008572,0.007534
17,0.033370000000000004,0.041909999999999996,0.039757999999999995,0.041782,0.043550000000000005,0.045531999999999996,0.044478,0.043012,0.04121400000000001,0.037346,0.03397,0.032598,0.033436,0.028725999999999998,0.02886,0.027937999999999998,0.02337,0.021997999999999997,0.019038,0.017216,0.015079999999999998,0.013214,0.013681999999999998,0.013007999999999999,0.013042000000000002,0.011831999999999999,0.013614,0.012876000000000002,0.015724000000000002,0.016178,0.015616,0.017079999999999998,0.017288,0.021078,0.019114,0.016725999999999998,0.014616,0.013666000000000001,0.01234,0.011622,0.013766000000000002,0.013411999999999999,0.012718,0.013694,0.015434,0.011436,0.012757999999999999,0.012724,0.011288
18,0.047349999999999996,0.059379999999999995,0.055372,0.058517999999999994,0.06001000000000001,0.06218799999999999,0.06187199999999999,0.059978000000000004,0.05664600000000001,0.05153399999999999,0.04564,0.045321999999999994,0.044664,0.037924,0.03866000000000001,0.036792,0.03015,0.029552,0.024952,0.023253999999999997,0.019739999999999994,0.017576,0.017718,0.017551999999999998,0.016998000000000003,0.014657999999999997,0.016786,0.016564,0.019436,0.020422,0.019393999999999998,0.021009999999999997,0.020522,0.025622,0.023106,0.021394000000000003,0.018124,0.017103999999999998,0.015030000000000002,0.014848,0.016574000000000002,0.015988,0.016012000000000002,0.015896,0.019445999999999998,0.014074000000000001,0.016162,0.016876,0.015042
19,0.061329999999999996,0.07684999999999999,0.070986,0.07525399999999999,0.07647,0.078844,0.07926599999999999,0.076944,0.072078,0.06572199999999999,0.05731,0.058046,0.055892,0.047122,0.04846,0.045646,0.03693,0.03710599999999999,0.030866,0.029292,0.024399999999999998,0.021938000000000003,0.021754,0.022095999999999998,0.020954,0.017484,0.019958,0.020252000000000003,0.023148,0.024666,0.023172,0.024939999999999997,0.023756,0.030166,0.027098,0.026062000000000002,0.021632,0.020542,0.01772,0.018074000000000003,0.019382,0.018564,0.019306,0.018098,0.023458,0.016712000000000005,0.019566,0.021027999999999998,0.018796
20,0.07531,0.09431999999999999,0.0866,0.09198999999999999,0.09293000000000001,0.0955,0.09666,0.09391,0.08751,0.07991,0.06898,0.07077,0.06712,0.05632,0.05826,0.0545,0.04371,0.04466,0.03678,0.03533,0.02906,0.0263,0.02579,0.02664,0.02491,0.020309999999999998,0.023129999999999998,0.023940000000000003,0.02686,0.02891,0.026949999999999998,0.02887,0.02699,0.03471,0.03109,0.03073,0.02514,0.02398,0.02041,0.0213,0.02219,0.02114,0.022600000000000002,0.020300000000000002,0.027469999999999998,0.019350000000000003,0.022969999999999997,0.02518,0.02255
21,0.087304,0.10475799999999999,0.096762,0.101866,0.104372,0.10861,0.108584,0.103016,0.09686800000000001,0.089734,0.08074200000000001,0.080318,0.07789800000000001,0.068354,0.069878,0.06715,0.058934,0.058797999999999996,0.050252000000000005,0.047176,0.04129,0.038458,0.038214,0.034702,0.035002000000000005,0.030982,0.033304,0.034364000000000006,0.036872,0.03587,0.033608000000000006,0.037012,0.033142,0.040172000000000006,0.038066,0.036997999999999996,0.0317,0.030240000000000003,0.026792000000000003,0.027594,0.029122,0.027452,0.027858,0.025448000000000002,0.031932,0.024996,0.026716,0.029498,0.027834
22,0.099298,0.11519599999999999,0.10692399999999999,0.111742,0.11581399999999999,0.12172,0.12050799999999999,0.112122,0.106226,0.099558,0.092504,0.089866,0.088676,0.080388,0.081496,0.0798,0.074158,0.07293599999999999,0.063724,0.059022,0.05352,0.050616,0.050637999999999996,0.042764,0.04509400000000001,0.041654,0.043478,0.044788,0.046884,0.04283,0.040266,0.045154,0.039293999999999996,0.045634,0.045042,0.043266,0.038259999999999995,0.0365,0.033174,0.03388800000000001,0.036054,0.033764,0.033116,0.030596,0.036393999999999996,0.030642,0.030462,0.033816000000000006,0.033118
23,0.111292,0.125634,0.117086,0.12161799999999999,0.127256,0.13483,0.13243200000000002,0.12122799999999999,0.115584,0.10938200000000001,0.10426600000000001,0.099414,0.09945400000000001,0.09242199999999999,0.093114,0.09245,0.089382,0.087074,0.077196,0.070868,0.06575,0.062774,0.06306199999999999,0.05082600000000001,0.055186000000000006,0.052326000000000004,0.053652,0.055212000000000004,0.056896,0.049789999999999994,0.04692400000000001,0.053295999999999996,0.045446,0.051096,0.052018,0.049534,0.04482,0.042760000000000006,0.039555999999999994,0.040182,0.042986,0.040076,0.038374000000000005,0.035744,0.040856,0.036287999999999994,0.034207999999999995,0.038134,0.038402
24,0.123286,0.136072,0.127248,0.131494,0.138698,0.14794,0.14435599999999998,0.130334,0.12494200000000001,0.119206,0.116028,0.108962,0.110232,0.104456,0.104732,0.1051,0.10460599999999999,0.10121199999999998,0.09066800000000001,0.082714,0.07798,0.074932,0.07548599999999998,0.058888,0.065278,0.062998,0.06382600000000001,0.06563600000000001,0.066908,0.05675,0.053582000000000005,0.061438,0.051598,0.056558000000000004,0.058994,0.055802,0.051379999999999995,0.049019999999999994,0.045938,0.046475999999999996,0.049918,0.046388000000000006,0.043632000000000004,0.040892,0.045318,0.041934,0.037954,0.042452,0.043686
