edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,5e-05,5e-05,0.0001,0.00015,0.0,0.00011,0.00011,0.00017999999999999998,0.00031,5.9999999999999995e-05,0.0,5.9999999999999995e-05,0.00013000000000000002,7.000000000000001e-05,0.00013000000000000002,0.0002,0.0,0.00014000000000000001,0.00014000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,8.999999999999999e-05,8.999999999999999e-05,0.0,8.999999999999999e-05,8.999999999999999e-05,0.0001,0.0001,0.0001,0.0,0.00011,0.0,0.00011,0.00011,0.0,0.00011,0.00022,0.0,0.0,0.00011,0.0,0.00011,0.00011999999999999999,0.00023999999999999998,0.00011999999999999999
11,0.0023299999999999996,0.0030039999999999997,0.003084,0.003918,0.004356,0.004452000000000001,0.00406,0.004716,0.004794,0.004423999999999999,0.00512,0.004928,0.005248,0.0041459999999999995,0.00417,0.003896,0.0035119999999999995,0.0027040000000000002,0.002942,0.002662,0.002348,0.0021739999999999997,0.00216,0.0020620000000000005,0.001616,0.001828,0.0017800000000000001,0.001454,0.0017439999999999999,0.001546,0.0016780000000000002,0.001726,0.0021520000000000003,0.001544,0.0019560000000000003,0.001796,0.0019700000000000004,0.001256,0.001342,0.001286,0.001452,0.001072,0.00095,0.001152,0.0011279999999999999,0.000996,0.001408,0.001234,0.000952
12,0.0046099999999999995,0.005957999999999999,0.006068,0.007686,0.008712,0.008794,0.00801,0.009251999999999998,0.009278,0.008788,0.01024,0.009796000000000001,0.010366000000000002,0.008222,0.00821,0.007592000000000001,0.007023999999999999,0.005268,0.005744,0.005324,0.004696,0.0043479999999999994,0.00432,0.004124000000000001,0.003232,0.0035659999999999997,0.0034699999999999996,0.002908,0.0033979999999999995,0.003002,0.003256,0.0033520000000000004,0.004203999999999999,0.003088,0.0038020000000000003,0.003592,0.00383,0.0024019999999999996,0.002684,0.0024619999999999998,0.002684,0.002144,0.0019,0.0021939999999999998,0.0022559999999999998,0.001882,0.0026959999999999996,0.002228,0.0017840000000000002
13,0.006889999999999999,0.008912,0.009052,0.011453999999999999,0.013068,0.013136000000000002,0.01196,0.013787999999999998,0.013762,0.013151999999999999,0.015359999999999999,0.014664000000000002,0.015484000000000001,0.012297999999999998,0.012250000000000002,0.011288,0.010535999999999998,0.007832,0.008546000000000002,0.007986,0.007044,0.006522,0.0064800000000000005,0.0061860000000000005,0.004848000000000001,0.0053040000000000006,0.0051600000000000005,0.004362,0.005051999999999999,0.004458,0.004834,0.004978,0.006256,0.004632,0.005648,0.0053879999999999996,0.005690000000000001,0.0035479999999999995,0.004026,0.0036379999999999993,0.003916,0.003216,0.0028499999999999997,0.003236,0.0033839999999999994,0.002767999999999999,0.003984,0.0032220000000000005,0.0026160000000000007
14,0.00917,0.011866,0.012036,0.015222,0.017424,0.017478,0.01591,0.018323999999999997,0.018246,0.017515999999999997,0.02048,0.019532,0.020602,0.016374,0.01629,0.014984,0.014047999999999998,0.010396,0.011348,0.010648,0.009392,0.008695999999999999,0.00864,0.008248000000000002,0.006464,0.007042,0.006849999999999999,0.005816,0.006705999999999999,0.005914,0.006412,0.0066040000000000005,0.008308,0.006176,0.007494000000000001,0.007184,0.00755,0.004694,0.005368,0.004814,0.005148,0.004288,0.0038,0.0042780000000000006,0.0045119999999999995,0.0036539999999999993,0.005272,0.004216,0.0034480000000000005
15,0.01145,0.01482,0.01502,0.01899,0.02178,0.02182,0.01986,0.02286,0.02273,0.02188,0.0256,0.024399999999999998,0.02572,0.02045,0.020329999999999997,0.01868,0.01756,0.012960000000000001,0.014150000000000001,0.01331,0.01174,0.01087,0.0108,0.01031,0.00808,0.00878,0.008539999999999999,0.0072699999999999996,0.00836,0.00737,0.00799,0.008230000000000001,0.01036,0.007719999999999999,0.00934,0.00898,0.00941,0.00584,0.00671,0.0059900000000000005,0.00638,0.00536,0.00475,0.00532,0.00564,0.00454,0.00656,0.00521,0.00428
16,0.025529999999999997,0.03022,0.032586,0.036954,0.0407,0.04093600000000001,0.03839,0.040558,0.038762,0.035296,0.03789,0.037426,0.036522,0.033064,0.030778,0.027991999999999996,0.026622,0.022456,0.021486,0.019828,0.018094000000000002,0.016527999999999998,0.016218,0.015148,0.013498000000000001,0.01334,0.013014,0.011692000000000001,0.01182,0.011911999999999999,0.011854,0.012118,0.013517999999999999,0.011936,0.012532,0.012096,0.012558,0.00877,0.00982,0.009332,0.009082000000000002,0.008960000000000001,0.008018,0.008092,0.007923999999999999,0.0071140000000000005,0.008618,0.00767,0.0073100000000000005
17,0.03961,0.04562000000000001,0.050152,0.05491800000000001,0.05962,0.06005200000000001,0.05692,0.058256,0.054793999999999995,0.048712000000000005,0.05018,0.050452,0.047324,0.045677999999999996,0.041226,0.037304000000000004,0.035684,0.031952,0.028822000000000004,0.026345999999999998,0.024448,0.022186,0.021636000000000002,0.019985999999999997,0.018916000000000002,0.0179,0.017488,0.016113999999999996,0.01528,0.016454,0.015718,0.016006,0.016676,0.016152,0.015724000000000002,0.015212,0.015706,0.011699999999999999,0.01293,0.012674,0.011784000000000001,0.01256,0.011286,0.010864,0.010207999999999998,0.009688,0.010676000000000001,0.010129999999999998,0.01034
18,0.053689999999999995,0.061020000000000005,0.06771799999999999,0.072882,0.07854,0.079168,0.07545,0.07595400000000001,0.07082600000000001,0.062128,0.06247,0.063478,0.058126000000000004,0.058292000000000004,0.05167399999999999,0.046616,0.044746,0.04144799999999999,0.036158,0.032864,0.030802,0.027843999999999994,0.027054,0.024824,0.024334,0.02246,0.021962,0.020536,0.01874,0.020995999999999997,0.019582000000000002,0.019894000000000002,0.019834,0.020367999999999997,0.018916,0.018328,0.018854,0.014629999999999999,0.016040000000000002,0.016016,0.014486,0.01616,0.014554,0.013635999999999999,0.012492,0.012262,0.012734000000000002,0.01259,0.013370000000000002
19,0.06777,0.07642,0.085284,0.09084600000000001,0.09745999999999999,0.09828400000000002,0.09398000000000001,0.093652,0.086858,0.075544,0.07476,0.07650399999999999,0.068928,0.070906,0.06212199999999999,0.055928,0.05380800000000001,0.050943999999999996,0.043494,0.039382,0.037156,0.033502,0.032472,0.029661999999999997,0.029752000000000004,0.027019999999999995,0.026436,0.024957999999999998,0.0222,0.025538,0.023445999999999998,0.023782000000000005,0.022992,0.024583999999999998,0.022108,0.021443999999999998,0.022001999999999997,0.01756,0.019150000000000004,0.019358,0.017188000000000002,0.019760000000000003,0.017821999999999998,0.016408000000000002,0.014776,0.014836000000000002,0.014792000000000001,0.015050000000000001,0.016399999999999998
