edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00019,0.00027,0.00038,0.00032,0.00022,0.00053,0.00047,0.00039,0.00025,0.00035,0.0002,0.00014000000000000001,0.00017,0.00020999999999999998,0.00027,0.00014000000000000001,0.00026000000000000003,0.00011999999999999999,0.00013000000000000002,0.00023999999999999998,0.00023,0.00014000000000000001,7.000000000000001e-05,0.0001,8e-05,5e-05,0.00014000000000000001,0.00014000000000000001,0.00011999999999999999,0.00023999999999999998,0.00017999999999999998,0.00028000000000000003,8.999999999999999e-05,0.00013000000000000002,0.0001,2.9999999999999997e-05,8.999999999999999e-05,8.999999999999999e-05,0.00011999999999999999,0.00027,5.9999999999999995e-05,8.999999999999999e-05,2.9999999999999997e-05,5.9999999999999995e-05,5e-05,0.0,2.9999999999999997e-05,5.9999999999999995e-05,8.999999999999999e-05
11,0.00661,0.007795999999999999,0.0078119999999999995,0.008232000000000001,0.008328,0.00848,0.007774,0.0074399999999999996,0.007028,0.006901999999999999,0.006258,0.0056159999999999995,0.005565999999999999,0.005168,0.004852,0.004157999999999999,0.004108,0.0035060000000000004,0.00323,0.003194,0.003068,0.002614,0.00269,0.00268,0.0028020000000000002,0.0030719999999999996,0.0031579999999999998,0.0030900000000000003,0.0032780000000000005,0.0035360000000000005,0.0033599999999999997,0.00375,0.0033579999999999994,0.0035920000000000006,0.003144,0.003042,0.002522,0.0024259999999999998,0.0023100000000000004,0.002114,0.0020440000000000002,0.00196,0.001794,0.001582,0.001518,0.0013,0.001206,0.00108,0.001136
12,0.01303,0.015321999999999997,0.015244,0.016144000000000002,0.016436,0.01643,0.015078000000000001,0.01449,0.013806,0.013453999999999999,0.012315999999999999,0.011092000000000001,0.010961999999999998,0.010126000000000001,0.009434,0.008176000000000001,0.007956,0.0068920000000000006,0.00633,0.006148,0.005906000000000001,0.005087999999999999,0.0053100000000000005,0.00526,0.005524,0.006094,0.006175999999999999,0.00604,0.006436000000000001,0.006832,0.006539999999999999,0.00722,0.006625999999999999,0.007054000000000001,0.006188,0.006054,0.004954,0.004762,0.0045000000000000005,0.003958000000000001,0.0040279999999999995,0.0038299999999999996,0.003558,0.003104,0.002986,0.0026,0.0023819999999999996,0.0021000000000000003,0.002182
13,0.01945,0.022847999999999997,0.022675999999999998,0.024056000000000004,0.024544,0.024380000000000002,0.022382,0.02154,0.020584,0.020006,0.018373999999999998,0.016568000000000003,0.016357999999999998,0.015084000000000002,0.014015999999999999,0.012193999999999998,0.011804,0.010278,0.009430000000000001,0.009101999999999999,0.008744,0.007561999999999998,0.007930000000000001,0.00784,0.008246,0.009115999999999999,0.009193999999999999,0.008990000000000001,0.009594,0.010128000000000002,0.00972,0.01069,0.009893999999999998,0.010516000000000003,0.009231999999999999,0.009066,0.007385999999999999,0.007097999999999999,0.0066900000000000015,0.005802,0.006012,0.005699999999999999,0.005322,0.004625999999999999,0.004454,0.0039000000000000003,0.0035579999999999995,0.00312,0.003228
14,0.02587,0.030373999999999995,0.030107999999999996,0.031968,0.032652,0.03233,0.029686,0.02859,0.027362,0.026558,0.024432,0.022044,0.021754,0.020042,0.018598,0.016212,0.015652,0.013663999999999999,0.012530000000000001,0.012055999999999999,0.011582,0.010036,0.01055,0.01042,0.010968,0.012138,0.012211999999999999,0.011940000000000001,0.012752000000000001,0.013424000000000002,0.012899999999999998,0.014159999999999999,0.013161999999999998,0.013978000000000003,0.012276,0.012078,0.009818,0.009434,0.00888,0.007646000000000001,0.007996,0.0075699999999999995,0.007086,0.006148,0.005921999999999999,0.0052,0.004734,0.00414,0.004274
15,0.03229,0.037899999999999996,0.03754,0.039880000000000006,0.04076,0.04028,0.03699,0.03564,0.034140000000000004,0.03311,0.03049,0.02752,0.027149999999999997,0.025,0.02318,0.02023,0.0195,0.01705,0.01563,0.015009999999999999,0.01442,0.01251,0.01317,0.013,0.013689999999999999,0.01516,0.01523,0.01489,0.01591,0.01672,0.016079999999999997,0.01763,0.01643,0.01744,0.01532,0.01509,0.01225,0.01177,0.01107,0.00949,0.009980000000000001,0.009439999999999999,0.00885,0.00767,0.00739,0.0065,0.00591,0.0051600000000000005,0.00532
16,0.057678,0.06362,0.063634,0.064648,0.06403999999999999,0.062204,0.057614000000000005,0.054216,0.050676,0.048161999999999996,0.043567999999999996,0.04057,0.03911799999999999,0.036484,0.033847999999999996,0.030436,0.02872,0.025148,0.022822000000000002,0.021202,0.01939,0.017276,0.017342,0.017248,0.017338,0.018992000000000002,0.018814,0.018539999999999997,0.0197,0.020604,0.020277999999999997,0.021872,0.021218,0.021684000000000002,0.019988,0.019556,0.01727,0.016006,0.014984,0.013635999999999999,0.0145,0.013828,0.013137999999999999,0.01202,0.011448,0.010234,0.009616,0.008798,0.009114
17,0.083066,0.08934,0.089728,0.089416,0.08732,0.084128,0.078238,0.072792,0.067212,0.06321399999999999,0.056646,0.05362000000000001,0.051086,0.047968000000000004,0.044516,0.040642,0.037939999999999995,0.033246,0.030014000000000002,0.027393999999999998,0.02436,0.022042000000000003,0.021514,0.021496,0.020986,0.022823999999999997,0.022398,0.02219,0.02349,0.024488,0.024475999999999998,0.026114000000000002,0.026006,0.025927999999999996,0.024655999999999997,0.024021999999999998,0.02229,0.020242,0.018897999999999998,0.017781999999999996,0.01902,0.018216,0.017425999999999997,0.01637,0.015506,0.013968,0.013322,0.012436,0.012908
18,0.10845399999999998,0.11506,0.11582200000000001,0.114184,0.11059999999999999,0.106052,0.098862,0.09136799999999999,0.08374799999999999,0.078266,0.069724,0.06667000000000001,0.063054,0.059452,0.055184,0.050848,0.047159999999999994,0.04134399999999999,0.037206,0.033586,0.029330000000000002,0.026808,0.025686,0.025744,0.024634,0.026656,0.025981999999999998,0.02584,0.027280000000000002,0.028372,0.028673999999999998,0.030356,0.030794,0.030171999999999997,0.029324,0.028488,0.02731,0.024478000000000003,0.022812000000000002,0.021927999999999996,0.02354,0.022604,0.021713999999999997,0.02072,0.019564,0.017702000000000002,0.017028,0.016074,0.016701999999999998
19,0.133842,0.14078,0.141916,0.138952,0.13388,0.127976,0.11948600000000002,0.109944,0.100284,0.09331800000000001,0.08280199999999999,0.07972,0.07502199999999999,0.07093600000000001,0.06585200000000001,0.061054000000000004,0.05637999999999999,0.04944199999999999,0.044398,0.039778,0.034300000000000004,0.031574000000000005,0.029857999999999996,0.029992,0.028282000000000005,0.030488,0.029566,0.029490000000000002,0.03107,0.032256,0.032872,0.034598,0.035581999999999996,0.034415999999999995,0.033991999999999994,0.032954,0.03233,0.028714000000000003,0.026726,0.026073999999999996,0.028059999999999998,0.026992,0.026001999999999994,0.025070000000000002,0.023622,0.021436,0.020734000000000002,0.019712000000000004,0.020496
