edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00011,0.00011,0.00019,8e-05,0.00017,0.00026000000000000003,0.00015,0.00020999999999999998,0.00028000000000000003,0.0001,0.00023,2.9999999999999997e-05,0.00016,0.00016,2.9999999999999997e-05,2.9999999999999997e-05,7.000000000000001e-05,7.000000000000001e-05,0.00020999999999999998,0.00011,0.00011,0.00023,4e-05,0.00016,0.00017,0.00025,0.00026000000000000003,0.0,0.00013000000000000002,0.00013000000000000002,8.999999999999999e-05,5e-05,0.0001,0.00015,0.00015,0.0002,0.0001,0.00035,0.00015,0.0003,0.0001,0.0002,0.0001,5e-05,5e-05,5e-05,5e-05,5e-05,0.00016
11,0.0031959999999999996,0.003486,0.004162,0.004066000000000001,0.004629999999999999,0.004661999999999999,0.00415,0.004292,0.004051999999999999,0.0037419999999999997,0.004162,0.003744,0.003508,0.0037099999999999998,0.0034019999999999996,0.0027819999999999998,0.0027159999999999997,0.002636,0.0027159999999999997,0.002182,0.002134,0.002074,0.0018160000000000003,0.002202,0.00237,0.002488,0.0022380000000000004,0.0020780000000000004,0.0019399999999999999,0.002192,0.00213,0.0026439999999999996,0.002926,0.002564,0.002522,0.002494,0.0020740000000000003,0.0020780000000000004,0.002036,0.001804,0.0018080000000000004,0.001786,0.0016260000000000003,0.0016979999999999996,0.001616,0.0013900000000000002,0.0011980000000000003,0.0014200000000000003,0.001398
12,0.006282,0.006862,0.008134,0.008052000000000002,0.009089999999999997,0.009064,0.008150000000000001,0.008374000000000001,0.007824,0.007383999999999998,0.008093999999999999,0.007458,0.006856,0.00726,0.006774,0.005534,0.0053620000000000004,0.005202,0.005221999999999999,0.004254000000000001,0.004158,0.003918,0.0035920000000000006,0.0042439999999999995,0.00457,0.004726,0.004216,0.004156000000000001,0.0037499999999999994,0.004254,0.00417,0.005238,0.005752,0.004978000000000001,0.004894,0.004788000000000001,0.004048,0.0038060000000000004,0.003922,0.0033079999999999997,0.0035160000000000005,0.0033720000000000004,0.0031520000000000007,0.003345999999999999,0.003182,0.00273,0.002346,0.00279,0.0026360000000000003
13,0.009367999999999998,0.010237999999999999,0.012106,0.012038000000000002,0.013549999999999998,0.013465999999999997,0.012150000000000001,0.012456,0.011595999999999999,0.011025999999999998,0.012026,0.011172,0.010204000000000001,0.010809999999999998,0.010145999999999999,0.008286,0.008008,0.007768,0.007727999999999999,0.006326000000000001,0.006182,0.005762000000000001,0.005368000000000001,0.006286,0.006770000000000001,0.006964000000000001,0.006194000000000001,0.006234000000000001,0.00556,0.0063159999999999996,0.00621,0.007832,0.008577999999999999,0.007392000000000001,0.007266,0.007082,0.0060220000000000004,0.005534000000000001,0.005808,0.004812,0.005224,0.004958000000000001,0.004678000000000001,0.004993999999999999,0.0047480000000000005,0.004070000000000001,0.003494,0.0041600000000000005,0.0038740000000000003
14,0.012453999999999998,0.013614,0.016078,0.016024,0.018009999999999998,0.017868,0.016149999999999998,0.016538,0.015367999999999998,0.014667999999999997,0.015958,0.014886,0.013552,0.01436,0.013517999999999999,0.011038,0.010654,0.010334,0.010234,0.008398,0.008206,0.007606,0.007144000000000001,0.008327999999999999,0.00897,0.009202,0.008172,0.008312000000000002,0.007369999999999999,0.008378,0.00825,0.010426,0.011404,0.009806,0.009638,0.009375999999999999,0.007996,0.007262,0.007694,0.0063159999999999996,0.006932000000000001,0.006544,0.006204,0.006641999999999999,0.006314,0.00541,0.004642,0.00553,0.005112
15,0.01554,0.016989999999999998,0.020050000000000002,0.02001,0.02247,0.022269999999999998,0.020149999999999998,0.02062,0.01914,0.01831,0.01989,0.018600000000000002,0.0169,0.01791,0.016890000000000002,0.013789999999999998,0.013300000000000001,0.0129,0.01274,0.01047,0.010230000000000001,0.00945,0.008919999999999999,0.010369999999999999,0.01117,0.011439999999999999,0.010150000000000001,0.01039,0.009179999999999999,0.01044,0.010289999999999999,0.01302,0.01423,0.01222,0.01201,0.01167,0.009970000000000001,0.00899,0.00958,0.00782,0.00864,0.00813,0.007730000000000001,0.008289999999999999,0.00788,0.00675,0.00579,0.006900000000000001,0.00635
16,0.03494799999999999,0.038054000000000004,0.041716,0.04135200000000001,0.042783999999999996,0.041786000000000004,0.038902,0.038308,0.035098,0.033513999999999995,0.033008,0.031554,0.028585999999999997,0.029366,0.027702,0.024151999999999996,0.023030000000000002,0.021424,0.020526,0.017556000000000002,0.015814,0.014569999999999998,0.01372,0.014173999999999999,0.014584,0.014766,0.013596,0.013980000000000001,0.013394,0.014565999999999999,0.014166,0.016454,0.017702000000000002,0.01667,0.016018,0.01588,0.014170000000000002,0.012263999999999999,0.012746,0.01169,0.012274,0.011356000000000002,0.010734,0.011035999999999999,0.010572,0.009704,0.008955999999999999,0.009956,0.00951
17,0.054355999999999995,0.059118,0.06338200000000001,0.062694,0.063098,0.061301999999999995,0.057654,0.055996,0.051056000000000004,0.048718,0.04612600000000001,0.04450800000000001,0.040271999999999995,0.040822000000000004,0.038514,0.034513999999999996,0.032760000000000004,0.029948,0.028311999999999997,0.024642000000000004,0.021398,0.01969,0.01852,0.017978,0.017998,0.018092,0.017041999999999998,0.01757,0.017608000000000002,0.018692,0.018042000000000002,0.019888,0.021174,0.02112,0.020026,0.020089999999999997,0.01837,0.015538,0.015912,0.015560000000000001,0.015908,0.014582000000000001,0.013738,0.013782,0.013264,0.012657999999999999,0.012121999999999999,0.013012000000000001,0.012669999999999999
18,0.07376399999999998,0.080182,0.085048,0.084036,0.083412,0.080818,0.076406,0.073684,0.067014,0.06392199999999999,0.059244,0.05746200000000001,0.051958,0.05227799999999999,0.04932600000000001,0.04487599999999999,0.04249,0.038472,0.036098,0.031728,0.026982,0.024809999999999995,0.02332,0.021782000000000003,0.021412,0.021418,0.020488,0.02116,0.021822,0.022817999999999998,0.021918,0.023322,0.024646,0.02557,0.024034,0.0243,0.02257,0.018812,0.019077999999999998,0.01943,0.019541999999999997,0.017808,0.016742,0.016527999999999998,0.015955999999999998,0.015612,0.015288,0.016068,0.015829999999999997
19,0.09317199999999999,0.10124599999999999,0.106714,0.105378,0.103726,0.10033399999999999,0.09515799999999999,0.091372,0.082972,0.07912599999999999,0.072362,0.070416,0.06364399999999999,0.063734,0.060138000000000004,0.055237999999999995,0.052219999999999996,0.046996,0.043884,0.038814,0.032566000000000005,0.029929999999999995,0.02812,0.025586,0.024826,0.024744,0.023933999999999997,0.02475,0.026036,0.026944000000000003,0.025794,0.026756,0.028118,0.03002,0.028042,0.028509999999999997,0.026770000000000002,0.022085999999999998,0.022244,0.0233,0.023176,0.021034000000000004,0.019746000000000003,0.019274,0.018648,0.018566,0.018454,0.019124000000000002,0.01899
