edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0001,2.9999999999999997e-05,0.00013000000000000002,0.0001,0.00013000000000000002,7.000000000000001e-05,2.9999999999999997e-05,0.00023999999999999998,2.9999999999999997e-05,0.0,2.9999999999999997e-05,0.0,7.000000000000001e-05,4e-05,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.00011999999999999999,5.9999999999999995e-05,0.0,0.00014000000000000001,0.0,0.00022,0.0,0.00015,8e-05,0.0,8e-05,0.0,7.000000000000001e-05,0.00014000000000000001,0.00014000000000000001,0.0,0.0,5.9999999999999995e-05,0.0,0.0,0.00011999999999999999,0.00011,0.0,0.0,0.0,0.0,0.0,0.0
11,0.003082,0.003776,0.0037460000000000006,0.0036419999999999994,0.003152,0.002648,0.002384,0.0025040000000000006,0.0018060000000000003,0.0017079999999999997,0.001526,0.000898,0.001046,0.000882,0.000876,0.0007,0.000552,0.00043,0.000462,0.00039600000000000003,0.000306,0.000448,0.00047,0.00032999999999999994,0.000508,0.000422,0.000638,0.00064,0.0007880000000000001,0.000754,0.0008039999999999999,0.0008719999999999999,0.0011320000000000002,0.0009319999999999999,0.0009960000000000001,0.001062,0.000866,0.000768,0.0008760000000000002,0.000782,0.0006919999999999999,0.00087,0.00073,0.000618,0.00055,0.000446,0.000426,0.000478,0.00045599999999999997
12,0.006064,0.007522,0.007362000000000001,0.0071839999999999985,0.006174,0.005226000000000001,0.004738,0.0047680000000000005,0.003582,0.0034159999999999993,0.003022,0.001796,0.002022,0.001724,0.001752,0.0013599999999999999,0.001104,0.00086,0.000924,0.0007920000000000001,0.000612,0.000776,0.0008799999999999999,0.0006599999999999999,0.000876,0.000844,0.001056,0.00128,0.001426,0.0014280000000000002,0.0016079999999999998,0.0016640000000000001,0.0022640000000000004,0.0017939999999999998,0.0018520000000000003,0.001984,0.001732,0.001536,0.0016920000000000001,0.001564,0.0013839999999999998,0.0016200000000000001,0.00135,0.001236,0.0011,0.000892,0.000852,0.000956,0.0009119999999999999
13,0.009046000000000002,0.011267999999999999,0.010978000000000003,0.010725999999999998,0.009196,0.007804000000000001,0.007092,0.007032000000000001,0.005358000000000002,0.005123999999999998,0.0045179999999999994,0.0026939999999999998,0.002998,0.0025659999999999997,0.002628,0.0020199999999999997,0.0016559999999999997,0.0012900000000000001,0.001386,0.0011880000000000003,0.000918,0.0011040000000000002,0.0012900000000000001,0.0009899999999999998,0.0012440000000000003,0.001266,0.001474,0.0019199999999999998,0.002064,0.002102,0.002412,0.0024560000000000003,0.003396,0.002655999999999999,0.0027080000000000008,0.002906,0.002598,0.002304,0.0025080000000000002,0.002346,0.0020759999999999997,0.00237,0.00197,0.0018540000000000002,0.0016500000000000002,0.001338,0.001278,0.0014340000000000002,0.0013679999999999999
14,0.012028,0.015014,0.014594000000000003,0.014267999999999998,0.012218,0.010382,0.009446,0.009296,0.0071340000000000015,0.006831999999999999,0.006014,0.003592,0.003974,0.003408,0.003504,0.0026799999999999997,0.002208,0.00172,0.001848,0.0015840000000000001,0.001224,0.001432,0.0017,0.0013199999999999998,0.0016120000000000002,0.001688,0.0018919999999999998,0.00256,0.002702,0.0027760000000000003,0.0032159999999999997,0.003248,0.004528000000000001,0.0035179999999999994,0.0035640000000000003,0.0038280000000000002,0.003464,0.003072,0.003324,0.003128,0.0027679999999999996,0.00312,0.00259,0.002472,0.0022,0.001784,0.001704,0.001912,0.0018239999999999999
15,0.015009999999999999,0.018760000000000002,0.01821,0.01781,0.01524,0.012960000000000001,0.011800000000000001,0.01156,0.00891,0.008539999999999999,0.00751,0.00449,0.00495,0.00425,0.00438,0.0033399999999999997,0.00276,0.00215,0.00231,0.00198,0.0015300000000000001,0.00176,0.00211,0.00165,0.00198,0.00211,0.00231,0.0032,0.0033399999999999997,0.0034500000000000004,0.004019999999999999,0.00404,0.00566,0.00438,0.00442,0.00475,0.00433,0.0038399999999999997,0.00414,0.00391,0.00346,0.00387,0.00321,0.00309,0.00275,0.0022299999999999998,0.00213,0.00239,0.00228
16,0.036995999999999994,0.043733999999999995,0.04136,0.0358,0.02989,0.025068,0.02357,0.022189999999999998,0.018619999999999998,0.015913999999999998,0.01387,0.010862,0.009962,0.008978,0.008434,0.007098,0.005936,0.005252,0.004528000000000001,0.004247999999999999,0.0034000000000000002,0.0033979999999999995,0.0036160000000000003,0.003072,0.0034239999999999995,0.003376,0.00353,0.004492,0.00486,0.0052380000000000005,0.005606,0.005960000000000001,0.007388,0.0071600000000000006,0.007208,0.00757,0.006934,0.00666,0.006442,0.006674,0.006196,0.006449999999999999,0.005442,0.00582,0.005944,0.004928,0.004226,0.004528000000000001,0.004556
17,0.05898199999999999,0.068708,0.06450999999999998,0.053790000000000004,0.044539999999999996,0.037176,0.03534,0.03282,0.028329999999999998,0.023287999999999996,0.020230000000000005,0.017234000000000003,0.014974,0.013706,0.012487999999999999,0.010856,0.009112,0.008353999999999999,0.006746,0.006516,0.00527,0.005036,0.005122,0.004494,0.004867999999999999,0.004641999999999999,0.00475,0.005784000000000001,0.00638,0.007026000000000001,0.007192,0.007880000000000002,0.009115999999999999,0.009940000000000001,0.009995999999999998,0.01039,0.009538,0.00948,0.008744,0.009438,0.008931999999999999,0.00903,0.007674,0.008549999999999999,0.009138,0.007625999999999999,0.006322,0.006666,0.006832
18,0.080968,0.093682,0.08766,0.07178,0.059190000000000006,0.049284,0.04711,0.043449999999999996,0.03803999999999999,0.030662,0.026590000000000003,0.023606000000000002,0.019986,0.018434,0.016542,0.014614,0.012288,0.011456,0.008964,0.008783999999999998,0.007140000000000001,0.006673999999999999,0.006628,0.005916,0.006311999999999999,0.005907999999999999,0.0059700000000000005,0.007076000000000001,0.0079,0.008814,0.008778,0.009800000000000001,0.010844000000000001,0.012719999999999999,0.012783999999999998,0.013210000000000001,0.012142,0.0123,0.011046000000000002,0.012202000000000001,0.011668,0.011609999999999999,0.009906,0.011279999999999998,0.012332000000000001,0.010324,0.008417999999999998,0.008804000000000001,0.009108
19,0.10295399999999999,0.118656,0.11081,0.08977000000000002,0.07384,0.061392,0.05888000000000001,0.054079999999999996,0.04775,0.038036,0.03295,0.029978,0.024998,0.023162,0.020596,0.018372,0.015464,0.014558,0.011182000000000001,0.011052,0.009010000000000002,0.008312,0.008134,0.007337999999999999,0.007755999999999998,0.007174,0.007189999999999999,0.008368,0.00942,0.010602,0.010363999999999998,0.011720000000000003,0.012572000000000002,0.0155,0.015571999999999999,0.016030000000000003,0.014746,0.015120000000000001,0.013348000000000002,0.014966000000000002,0.014404,0.014189999999999998,0.012138000000000001,0.014009999999999998,0.015526,0.013022,0.010513999999999999,0.010942,0.011384
