edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00017999999999999998,0.0,0.00029,0.00029,0.00058,0.00011,0.00017,0.00011,0.00011,5e-05,0.00011,0.0001,0.0,0.0,0.0001,0.00011,5e-05,0.0,0.00011999999999999999,5.9999999999999995e-05,0.0,7.000000000000001e-05,0.00014000000000000001,0.0,0.0,0.00022,0.0,7.000000000000001e-05,0.00014000000000000001,0.00020999999999999998,0.0002,0.0,0.00025,0.0,0.0,0.00011999999999999999,5.9999999999999995e-05,0.00028000000000000003,5e-05,0.00011,0.0001,5e-05,0.00015,0.0001,0.0,5e-05,0.0,4e-05,0.0
11,0.005328,0.0060999999999999995,0.006514,0.0069960000000000005,0.008018,0.00668,0.005071999999999999,0.004458000000000001,0.0043040000000000005,0.0037559999999999994,0.003306,0.002996,0.0027760000000000003,0.003146,0.002494,0.002608,0.0024439999999999996,0.00236,0.0017900000000000006,0.001686,0.001468,0.001536,0.001608,0.001422,0.001498,0.00196,0.0019219999999999999,0.002154,0.002686,0.0026939999999999998,0.0029140000000000004,0.0029100000000000003,0.00302,0.00294,0.0024159999999999997,0.0022080000000000003,0.0019080000000000002,0.001862,0.001688,0.001666,0.001636,0.001606,0.0015779999999999998,0.0012300000000000002,0.0011960000000000002,0.0011560000000000001,0.000794,0.0009519999999999999,0.00073
12,0.010476000000000001,0.012199999999999999,0.012738,0.013702,0.015456000000000001,0.01325,0.009973999999999998,0.008806000000000001,0.008497999999999999,0.007461999999999999,0.006502000000000001,0.005892,0.0055520000000000005,0.006292,0.004888,0.005106000000000001,0.004837999999999999,0.00472,0.003460000000000001,0.003312,0.002936,0.003002,0.0030760000000000006,0.002844,0.002996,0.0036999999999999997,0.0038439999999999998,0.0042380000000000004,0.005232,0.005178,0.005628,0.0058200000000000005,0.00579,0.00588,0.0048319999999999995,0.004296,0.0037560000000000002,0.003444,0.0033259999999999995,0.0032219999999999996,0.0031720000000000003,0.003162,0.003006,0.00236,0.0023920000000000005,0.002262,0.001588,0.0018639999999999998,0.00146
13,0.015624000000000002,0.018299999999999997,0.018962,0.020408000000000003,0.022893999999999998,0.01982,0.014875999999999997,0.013154000000000002,0.012692,0.011167999999999999,0.009698,0.008787999999999999,0.008328,0.009437999999999998,0.007282,0.007604000000000001,0.007231999999999999,0.007080000000000001,0.005130000000000002,0.004938,0.004404,0.004468,0.004544,0.004266,0.004494,0.005439999999999999,0.005766,0.006322000000000001,0.007777999999999999,0.0076619999999999995,0.008341999999999999,0.00873,0.00856,0.00882,0.007247999999999999,0.006384,0.0056040000000000005,0.005026,0.004964,0.004777999999999999,0.004708,0.004718,0.0044340000000000004,0.0034900000000000005,0.0035880000000000005,0.0033680000000000003,0.002382,0.002776,0.00219
14,0.020772000000000002,0.024399999999999998,0.025186,0.027114,0.030332,0.02639,0.019777999999999997,0.017502000000000004,0.016885999999999998,0.014873999999999998,0.012894000000000001,0.011684,0.011104000000000001,0.012584,0.009676,0.010102,0.009626,0.00944,0.006800000000000001,0.0065639999999999995,0.005872,0.005934,0.006012000000000001,0.005688,0.005992,0.007179999999999999,0.0076879999999999995,0.008406,0.010324,0.010146,0.011056,0.011640000000000001,0.01133,0.01176,0.009663999999999999,0.008472,0.007452,0.006607999999999999,0.006601999999999999,0.006333999999999999,0.0062439999999999996,0.006274,0.005862,0.00462,0.004784000000000001,0.0044740000000000005,0.003176,0.003688,0.00292
15,0.025920000000000002,0.0305,0.03141,0.03382,0.037770000000000005,0.03296,0.02468,0.02185,0.021079999999999998,0.01858,0.01609,0.01458,0.01388,0.01573,0.01207,0.0126,0.01202,0.011800000000000001,0.00847,0.00819,0.00734,0.0074,0.0074800000000000005,0.00711,0.00749,0.008919999999999999,0.009609999999999999,0.010490000000000001,0.01287,0.01263,0.01377,0.01455,0.0141,0.0147,0.01208,0.01056,0.009300000000000001,0.00819,0.00824,0.00789,0.0077800000000000005,0.00783,0.00729,0.00575,0.00598,0.00558,0.0039700000000000004,0.0046,0.00365
16,0.054046,0.058338,0.058957999999999997,0.059958,0.061746,0.054121999999999997,0.044340000000000004,0.04025,0.035876,0.031473999999999995,0.028756,0.025564,0.024024,0.02514,0.021472,0.021345999999999997,0.019714,0.020238,0.015288,0.014292000000000001,0.012278,0.012204000000000001,0.01237,0.011544,0.012144000000000002,0.014064,0.01515,0.01631,0.018722000000000003,0.019978000000000003,0.020158000000000002,0.021747999999999997,0.02145,0.023525999999999995,0.019960000000000002,0.019125999999999997,0.017013999999999998,0.01509,0.014960000000000001,0.013807999999999999,0.013605999999999998,0.013652000000000001,0.012856,0.011323999999999999,0.011385999999999999,0.010896000000000001,0.008634000000000001,0.009334,0.00793
17,0.082172,0.086176,0.086506,0.086096,0.085722,0.07528399999999999,0.064,0.05865,0.050671999999999995,0.044368,0.041422,0.036548000000000004,0.034168,0.03455,0.030874,0.030091999999999997,0.027408000000000002,0.028676,0.022106,0.020394000000000002,0.017216000000000002,0.017008000000000002,0.017259999999999998,0.015978000000000003,0.016798,0.019208,0.02069,0.022130000000000004,0.024574000000000002,0.027326,0.026546,0.028946,0.028799999999999996,0.032352,0.02784,0.027692,0.024727999999999997,0.021990000000000003,0.02168,0.019726,0.019431999999999998,0.019474,0.018422,0.016898,0.016792,0.016212,0.013298,0.014067999999999999,0.01221
18,0.110298,0.114014,0.114054,0.11223399999999999,0.109698,0.096446,0.08366000000000001,0.07705,0.065468,0.057262,0.05408800000000001,0.047532,0.044312,0.04396,0.040276,0.03883799999999999,0.035102,0.037113999999999994,0.028924,0.026496000000000002,0.022154000000000004,0.021812,0.02215,0.020412,0.021452000000000006,0.024352,0.026230000000000003,0.027950000000000003,0.030426,0.034673999999999996,0.032934,0.03614399999999999,0.03615,0.041178,0.03572,0.036258,0.03244199999999999,0.02889,0.028400000000000005,0.025643999999999997,0.025257999999999996,0.025296,0.023988,0.022472000000000002,0.022198,0.021528,0.017962,0.018802,0.016489999999999998
19,0.138424,0.141852,0.141602,0.138372,0.13367400000000002,0.117608,0.10332000000000002,0.09545,0.08026400000000002,0.07015600000000001,0.06675400000000001,0.058516,0.054456,0.05337000000000001,0.049678,0.047583999999999994,0.042796,0.045551999999999995,0.035742,0.03259800000000001,0.027092,0.026616,0.027039999999999998,0.024846,0.026106,0.029496,0.03177000000000001,0.03377,0.036278000000000005,0.042022,0.039322,0.043342,0.0435,0.05000399999999999,0.0436,0.044823999999999996,0.04015599999999999,0.03579,0.035120000000000005,0.031562,0.031083999999999997,0.031118000000000003,0.029553999999999997,0.028045999999999998,0.027604,0.026844,0.022625999999999997,0.023536,0.02077
