edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00017,0.0,0.0,0.0,0.0,0.00019,0.00078,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047999999999999996,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998,0.0,0.0,0.0,0.00047,0.0,0.0,0.00015,0.0,0.0,0.0,0.00013000000000000002,0.0,0.0,0.00013000000000000002,0.00013000000000000002
11,0.00163,0.001462,0.001908,0.002436,0.002484,0.00312,0.003314,0.002366,0.0028900000000000006,0.00265,0.001954,0.002702,0.0018620000000000002,0.00277,0.00173,0.0017299999999999998,0.001344,0.001332,0.0011539999999999999,0.001206,0.0011259999999999998,0.0011140000000000002,0.0011480000000000001,0.000978,0.0018379999999999998,0.001506,0.000936,0.001674,0.0016320000000000002,0.001748,0.001604,0.002346,0.002004,0.00253,0.0021079999999999996,0.001888,0.0015300000000000001,0.001992,0.0010680000000000002,0.001194,0.0008200000000000001,0.000936,0.000976,0.001014,0.0011339999999999998,0.000914,0.00078,0.000642,0.0005940000000000001
12,0.00309,0.002924,0.003816,0.004872,0.004968,0.006050000000000001,0.005848,0.0045320000000000004,0.005580000000000001,0.0053,0.003908,0.005404,0.0037240000000000003,0.00554,0.00346,0.00326,0.002688,0.002664,0.0023079999999999997,0.002412,0.0022519999999999997,0.0022280000000000004,0.0022960000000000003,0.001956,0.0031959999999999996,0.003012,0.001872,0.0031179999999999997,0.0032640000000000004,0.003496,0.003208,0.004692,0.004008,0.00488,0.004215999999999999,0.003776,0.0030600000000000002,0.003514,0.0021360000000000003,0.002388,0.00149,0.001872,0.001952,0.002028,0.0021379999999999997,0.001828,0.00156,0.0011539999999999999,0.0010580000000000003
13,0.00455,0.004386,0.005724,0.007308,0.007452,0.00898,0.008381999999999999,0.006697999999999999,0.00827,0.007949999999999999,0.005862,0.008106,0.005586000000000001,0.00831,0.005189999999999999,0.00479,0.004032,0.003996,0.003462,0.0036179999999999997,0.0033779999999999995,0.0033420000000000004,0.0034440000000000004,0.002934,0.004554,0.0045179999999999994,0.0028079999999999997,0.004562,0.004896000000000001,0.0052439999999999995,0.0048119999999999994,0.007038,0.006012000000000001,0.00723,0.006323999999999999,0.005664,0.0045899999999999995,0.005036,0.0032040000000000003,0.0035819999999999997,0.00216,0.0028079999999999997,0.002928,0.003042,0.003142,0.002742,0.00234,0.001666,0.0015220000000000003
14,0.00601,0.005848,0.007632,0.009744,0.009936,0.01191,0.010915999999999999,0.008863999999999999,0.010960000000000001,0.0106,0.007816,0.010808,0.007448000000000001,0.01108,0.00692,0.006319999999999999,0.005376,0.005328,0.0046159999999999994,0.004824,0.004503999999999999,0.004456000000000001,0.004592000000000001,0.003912,0.005911999999999999,0.006024,0.003744,0.006006,0.006528000000000001,0.006992,0.006416,0.009384,0.008016,0.00958,0.008431999999999999,0.007552,0.0061200000000000004,0.006558,0.004272000000000001,0.004776,0.00283,0.003744,0.003904,0.004056,0.0041459999999999995,0.003656,0.00312,0.002178,0.0019860000000000004
15,0.00747,0.00731,0.00954,0.01218,0.01242,0.014839999999999999,0.01345,0.01103,0.01365,0.01325,0.00977,0.01351,0.00931,0.01385,0.00865,0.00785,0.006719999999999999,0.00666,0.00577,0.006030000000000001,0.00563,0.00557,0.00574,0.004889999999999999,0.0072699999999999996,0.00753,0.00468,0.00745,0.00816,0.00874,0.00802,0.01173,0.01002,0.01193,0.010539999999999999,0.009439999999999999,0.0076500000000000005,0.00808,0.00534,0.00597,0.0035,0.00468,0.00488,0.00507,0.00515,0.00457,0.0039,0.00269,0.0024500000000000004
16,0.021752,0.024122,0.027856000000000002,0.028216,0.028782000000000002,0.03184,0.028153999999999995,0.025077999999999996,0.026634,0.023544,0.019808,0.022701999999999996,0.017158,0.021606,0.015310000000000002,0.014172,0.013802,0.012564,0.010916,0.009954000000000001,0.009738,0.009166,0.008752000000000001,0.0078119999999999995,0.010256,0.010353999999999999,0.008404,0.011462,0.012548,0.013242,0.011948,0.015838,0.016640000000000002,0.018164000000000003,0.016628,0.015242,0.013106000000000001,0.012495999999999998,0.009661999999999999,0.009138,0.0079,0.00835,0.009256,0.008876000000000002,0.00891,0.007816,0.006888,0.0066679999999999994,0.0059640000000000006
17,0.036034,0.040934000000000005,0.046172000000000005,0.044252,0.045144000000000004,0.04884,0.042858,0.039126,0.039617999999999993,0.033838,0.029846,0.031894,0.025006,0.029362000000000003,0.021970000000000003,0.020494,0.020884,0.018468,0.016061999999999996,0.013878,0.013846,0.012762,0.011764,0.010733999999999999,0.013241999999999999,0.013177999999999999,0.012128,0.015474,0.016936,0.017744,0.015875999999999998,0.019946000000000002,0.02326,0.024398,0.022715999999999997,0.021044000000000004,0.018562000000000002,0.016912,0.013984,0.012306000000000001,0.0123,0.01202,0.013632000000000002,0.012682,0.012669999999999999,0.011062,0.009876,0.010646,0.009478000000000002
18,0.050316,0.05774600000000001,0.064488,0.060288,0.061506000000000005,0.06584000000000001,0.057561999999999995,0.05317399999999999,0.052601999999999996,0.044132000000000005,0.039884,0.041086,0.032854,0.037118000000000005,0.028630000000000003,0.026816000000000003,0.027966,0.024372,0.021207999999999998,0.017802,0.017954,0.016358,0.014776,0.013655999999999998,0.016228,0.016002,0.015852,0.019486,0.021324,0.022246000000000002,0.019804,0.024054000000000002,0.02988,0.030632,0.028803999999999996,0.026846000000000005,0.024018,0.021327999999999996,0.018306,0.015474,0.016700000000000003,0.015690000000000003,0.018008,0.016488,0.01643,0.014308,0.012864,0.014623999999999996,0.012992
19,0.064598,0.07455800000000001,0.082804,0.07632400000000002,0.077868,0.08284,0.072266,0.06722199999999999,0.065586,0.054426,0.049921999999999994,0.050277999999999996,0.040701999999999995,0.044874000000000004,0.03529000000000001,0.033138,0.035048,0.030276,0.026354,0.021726,0.022062000000000002,0.019954,0.017788,0.016578,0.019214,0.018825999999999996,0.019576,0.023498,0.025712,0.026747999999999997,0.023732,0.028162000000000003,0.0365,0.036866,0.03489199999999999,0.032648,0.029474000000000004,0.025744,0.022628,0.018642,0.0211,0.01936,0.022384,0.020294,0.020189999999999996,0.017554000000000004,0.015852,0.018601999999999997,0.016506
