edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00027,0.00016,0.00020999999999999998,0.00020999999999999998,0.0005200000000000001,0.00026000000000000003,0.00026000000000000003,0.00026000000000000003,0.00032,0.00032,0.00016,5e-05,0.00035999999999999997,0.00020999999999999998,0.00035999999999999997,0.00031,0.00032,0.00011,0.00038,5.9999999999999995e-05,0.00023,0.00043,0.0,7.000000000000001e-05,0.00027,0.00014000000000000001,0.00014000000000000001,0.0,0.00022,0.00044,8e-05,8e-05,0.00023999999999999998,0.0004,0.00023999999999999998,8e-05,0.0,8e-05,0.00023,0.00038,0.00022,0.00015,0.00014000000000000001,7.000000000000001e-05,0.00020999999999999998,0.0,7.000000000000001e-05,0.00014000000000000001,0.00014000000000000001
11,0.005692,0.006018,0.006627999999999999,0.00726,0.008022,0.00818,0.006874,0.006939999999999999,0.006306,0.006466,0.005921999999999999,0.005488,0.00602,0.00509,0.0050420000000000005,0.004313999999999999,0.0038359999999999996,0.003902,0.00343,0.0028859999999999997,0.003162,0.002696,0.0026420000000000003,0.002738,0.002938,0.002964,0.0030139999999999998,0.002884,0.003128,0.00296,0.003356000000000001,0.0031420000000000003,0.004154,0.0038300000000000005,0.0037640000000000004,0.002918,0.0026360000000000003,0.002608,0.0022319999999999996,0.0024399999999999995,0.00256,0.0018499999999999999,0.0020839999999999995,0.001706,0.002228,0.001768,0.001544,0.001254,0.0014039999999999999
12,0.011113999999999999,0.011876,0.013045999999999999,0.01431,0.015524,0.0161,0.013488,0.013619999999999998,0.012291999999999999,0.012612,0.011684,0.010926,0.01168,0.009970000000000001,0.009724,0.008317999999999999,0.007351999999999999,0.007694000000000001,0.00648,0.005711999999999999,0.0060940000000000005,0.004961999999999999,0.0052840000000000005,0.005406,0.005606,0.005788,0.005887999999999999,0.005768,0.006036,0.0054800000000000005,0.006632000000000002,0.006204,0.008067999999999999,0.007260000000000002,0.007288,0.005756,0.005272000000000001,0.005136,0.004234,0.004499999999999999,0.0049,0.0035499999999999998,0.0040279999999999995,0.0033419999999999995,0.004246,0.003536,0.003018,0.0023680000000000003,0.0026680000000000002
13,0.016536,0.017734,0.019464,0.02136,0.023026,0.02402,0.020102000000000002,0.020300000000000002,0.018278,0.018758,0.017445999999999996,0.016364,0.01734,0.014850000000000002,0.014406,0.012322,0.010868,0.011486000000000001,0.009529999999999999,0.008537999999999999,0.009026,0.007228,0.007926,0.008074000000000001,0.008274,0.008612,0.008762,0.008652,0.008944,0.008,0.009908000000000004,0.009266,0.011982000000000001,0.010690000000000003,0.010811999999999999,0.008594,0.007908,0.007664,0.006235999999999999,0.006559999999999999,0.007239999999999999,0.00525,0.005971999999999999,0.004978,0.006264,0.0053040000000000006,0.004492,0.0034820000000000007,0.003932
14,0.021958,0.023592,0.025882,0.02841,0.030528,0.03194,0.026716,0.02698,0.024264,0.024904,0.023208,0.021802,0.023,0.01973,0.019088,0.016325999999999997,0.014384,0.015278,0.012580000000000001,0.011363999999999999,0.011958,0.009493999999999999,0.010568000000000001,0.010742000000000002,0.010942,0.011436,0.011635999999999999,0.011536,0.011852,0.01052,0.013184000000000003,0.012328,0.015896,0.014120000000000002,0.014336,0.011432000000000001,0.010544000000000001,0.010192,0.008237999999999999,0.00862,0.00958,0.0069500000000000004,0.007916,0.006614,0.008282,0.007072,0.005966,0.004596,0.005196
15,0.027379999999999998,0.02945,0.032299999999999995,0.03546,0.03803,0.03986,0.03333,0.033659999999999995,0.03025,0.03105,0.02897,0.027239999999999997,0.02866,0.02461,0.02377,0.020329999999999997,0.0179,0.01907,0.01563,0.01419,0.01489,0.01176,0.013210000000000001,0.01341,0.013609999999999999,0.01426,0.01451,0.01442,0.01476,0.01304,0.016460000000000002,0.015390000000000001,0.019809999999999998,0.01755,0.01786,0.01427,0.013179999999999999,0.01272,0.01024,0.01068,0.01192,0.00865,0.009859999999999999,0.00825,0.0103,0.00884,0.00744,0.00571,0.00646
16,0.047718,0.052837999999999996,0.05554799999999999,0.058769999999999996,0.060458,0.061674,0.0545,0.052483999999999996,0.047896,0.046084,0.04289199999999999,0.039982,0.040341999999999996,0.036496,0.034588,0.03057,0.027021999999999997,0.027828,0.023088,0.02084,0.020276,0.01642,0.018036,0.01764,0.017526,0.017942,0.018636,0.018666000000000002,0.0188,0.017731999999999998,0.020814,0.02004,0.024099999999999996,0.022518,0.022528,0.019408,0.017906,0.016948,0.015844,0.016244,0.016516,0.013918000000000002,0.014856,0.012747999999999999,0.014542000000000001,0.013635999999999999,0.011654,0.010461999999999999,0.010978
17,0.06805599999999999,0.076226,0.07879599999999999,0.08207999999999999,0.082886,0.08348799999999999,0.07567,0.071308,0.065542,0.061118,0.056814,0.05272400000000001,0.052024,0.04838200000000001,0.04540600000000001,0.04081,0.036143999999999996,0.036586,0.030546,0.02749,0.025661999999999997,0.02108,0.022862,0.02187,0.021442,0.021624,0.022762,0.022912,0.022840000000000003,0.022424,0.025168,0.02469,0.028390000000000002,0.027486,0.027196,0.024546,0.022632000000000003,0.021176,0.021448000000000002,0.021808,0.021112,0.019186,0.019852,0.017245999999999997,0.018784,0.018432,0.015868000000000004,0.015213999999999998,0.015496
18,0.088394,0.099614,0.102044,0.10538999999999998,0.10531399999999999,0.105302,0.09684000000000001,0.090132,0.083188,0.076152,0.07073600000000001,0.065466,0.06370599999999998,0.060268,0.056224,0.05105,0.045266,0.045343999999999995,0.038004,0.034140000000000004,0.031048000000000003,0.025740000000000002,0.027688,0.0261,0.025358,0.025306000000000006,0.026888,0.027158,0.02688,0.027116,0.029522,0.029340000000000005,0.03268,0.032454000000000004,0.031864,0.029684,0.027358000000000004,0.025404,0.027052,0.027372,0.025707999999999998,0.024454,0.024848,0.021744,0.023026,0.023228000000000002,0.020082,0.019966,0.020014
19,0.108732,0.123002,0.125292,0.12869999999999998,0.127742,0.127116,0.11801,0.108956,0.10083400000000001,0.091186,0.084658,0.078208,0.075388,0.072154,0.067042,0.06129,0.054388,0.054102,0.045462,0.04079,0.036433999999999994,0.030400000000000007,0.032514,0.030330000000000003,0.029273999999999998,0.028988000000000003,0.031014000000000003,0.031403999999999994,0.030920000000000003,0.031808,0.033875999999999996,0.03399,0.036969999999999996,0.037422,0.036532,0.034822000000000006,0.032084,0.029632,0.032656,0.032936,0.030303999999999994,0.029722000000000002,0.029844000000000002,0.026241999999999998,0.027268,0.028024,0.024296,0.024718,0.024532
20,0.12907,0.14639,0.14854,0.15200999999999998,0.15017,0.14893,0.13918,0.12778,0.11848,0.10622,0.09858,0.09095,0.08707,0.08404,0.07786,0.07153,0.06351,0.06286,0.05292,0.047439999999999996,0.04182,0.03506,0.037340000000000005,0.03456,0.03319,0.032670000000000005,0.03514,0.03565,0.03496,0.0365,0.03823,0.03864,0.04126,0.04239,0.0412,0.03996,0.03681,0.03386,0.038259999999999995,0.0385,0.0349,0.03499,0.03484,0.03074,0.03151,0.03282,0.02851,0.02947,0.02905
21,0.143064,0.1586,0.15675999999999998,0.159822,0.15841799999999998,0.154684,0.146304,0.13652,0.126674,0.11485200000000001,0.107048,0.099738,0.09355799999999999,0.092364,0.08632,0.080456,0.07232999999999999,0.071924,0.06413200000000001,0.057286000000000004,0.052076,0.046084,0.046218,0.042884,0.041699999999999994,0.041762,0.044090000000000004,0.04307,0.042646,0.043854,0.045073999999999996,0.04542,0.047608,0.04929,0.047354,0.045972,0.042704,0.03986,0.043873999999999996,0.044104,0.041512,0.041046,0.040454000000000004,0.036838,0.038738,0.038546,0.03406,0.034072,0.03372
22,0.157058,0.17081,0.16498,0.16763399999999998,0.166666,0.160438,0.153428,0.14526,0.134868,0.123484,0.115516,0.108526,0.100046,0.100688,0.09478,0.089382,0.08115,0.080988,0.075344,0.06713200000000001,0.06233199999999999,0.057108000000000006,0.055096000000000006,0.051208000000000004,0.05020999999999999,0.050853999999999996,0.05304,0.05048999999999999,0.050332,0.051208,0.051918,0.0522,0.053956000000000004,0.05619,0.053508,0.051983999999999995,0.048598,0.04586,0.049488,0.049707999999999995,0.04812399999999999,0.047102000000000005,0.046068,0.042936,0.045966,0.044272000000000006,0.03961,0.038674,0.03839
23,0.17105199999999998,0.18302,0.1732,0.175446,0.174914,0.166192,0.16055200000000003,0.154,0.14306200000000002,0.13211599999999998,0.123984,0.11731399999999999,0.10653399999999999,0.109012,0.10324,0.09830799999999999,0.08997,0.09005200000000001,0.086556,0.07697799999999999,0.072588,0.068132,0.063974,0.05953200000000001,0.05872,0.059946,0.061989999999999996,0.057909999999999996,0.058018,0.058561999999999996,0.058762,0.058980000000000005,0.060304,0.06309000000000001,0.059662,0.05799599999999999,0.054492000000000006,0.051859999999999996,0.055102,0.055312,0.054736,0.053158000000000004,0.051682,0.049034,0.053194000000000005,0.04999800000000001,0.04516,0.043275999999999995,0.04306
