edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00037,0.0,0.00049,0.0,0.00027,0.0005600000000000001,0.0003,0.00045,0.0,0.00045,0.0,0.00014000000000000001,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.00019,0.0004,0.0,0.00041999999999999996,0.0,0.0,0.00023,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.00020999999999999998,0.0,0.0,0.00020999999999999998,0.0,0.0002,0.0,0.00041,0.0004,0.0002,0.00039,0.0,0.0,0.0,0.0
11,0.002324,0.002346,0.003534,0.00304,0.0032760000000000003,0.003972000000000001,0.0030299999999999993,0.0035220000000000004,0.002398,0.0033280000000000002,0.0024539999999999996,0.0023859999999999997,0.00265,0.002092,0.0018399999999999998,0.00211,0.0017899999999999997,0.001428,0.001344,0.0013180000000000002,0.001102,0.0011480000000000001,0.000992,0.001112,0.0016059999999999998,0.0010539999999999998,0.0012839999999999998,0.001294,0.002278,0.001962,0.002146,0.00165,0.0022359999999999997,0.002614,0.0023899999999999998,0.00189,0.002046,0.001276,0.002046,0.0018499999999999999,0.0018379999999999998,0.0016179999999999999,0.00173,0.001594,0.0015540000000000003,0.0013119999999999998,0.00063,0.000884,0.000966
12,0.0042780000000000006,0.004692,0.0065780000000000005,0.00608,0.006282,0.007384,0.005759999999999999,0.006594,0.004796,0.006206000000000001,0.004907999999999999,0.004631999999999999,0.0053,0.004184,0.0036799999999999997,0.004069999999999999,0.0035799999999999994,0.002856,0.002688,0.0026360000000000003,0.0020139999999999997,0.001896,0.001984,0.0018039999999999998,0.0032119999999999996,0.0021079999999999996,0.002338,0.002588,0.004326000000000001,0.003924,0.004292,0.0033,0.004471999999999999,0.005228,0.004569999999999999,0.00378,0.004092,0.002342,0.004092,0.0035,0.0036759999999999996,0.002826,0.00306,0.002988,0.0027180000000000004,0.0026239999999999996,0.00126,0.001768,0.001932
13,0.0062320000000000006,0.007038,0.009622,0.009120000000000001,0.009288000000000001,0.010796000000000002,0.00849,0.009666000000000001,0.007194000000000001,0.009084,0.007362,0.006877999999999999,0.007949999999999999,0.0062759999999999995,0.00552,0.00603,0.005369999999999999,0.004284,0.004032,0.003954,0.0029259999999999998,0.0026439999999999996,0.002976,0.0024959999999999995,0.004817999999999999,0.0031619999999999994,0.0033919999999999996,0.003882,0.006374,0.005886000000000001,0.006438,0.0049499999999999995,0.0067079999999999996,0.007842,0.006749999999999999,0.00567,0.006138000000000001,0.0034080000000000004,0.006138000000000001,0.005149999999999999,0.005513999999999999,0.004033999999999999,0.00439,0.004382,0.0038820000000000005,0.003935999999999999,0.0018900000000000002,0.0026520000000000003,0.0028979999999999995
14,0.008186,0.009384,0.012666,0.01216,0.012294000000000001,0.014208000000000002,0.011219999999999999,0.012738,0.009592,0.011962,0.009815999999999998,0.009123999999999998,0.0106,0.008368,0.007359999999999999,0.007989999999999999,0.007159999999999999,0.005712,0.005376,0.005272000000000001,0.003838,0.003392,0.003968,0.003188,0.006423999999999999,0.004215999999999999,0.004445999999999999,0.005176,0.008422,0.007848,0.008584,0.0066,0.008943999999999999,0.010456,0.00893,0.00756,0.008184,0.0044740000000000005,0.008184,0.0068,0.007351999999999999,0.005242,0.005719999999999999,0.005776,0.005046,0.005247999999999999,0.00252,0.003536,0.003864
15,0.01014,0.01173,0.015710000000000002,0.0152,0.015300000000000001,0.01762,0.013949999999999999,0.01581,0.01199,0.014839999999999999,0.01227,0.01137,0.01325,0.01046,0.0092,0.009949999999999999,0.00895,0.00714,0.006719999999999999,0.0065899999999999995,0.00475,0.00414,0.00496,0.0038799999999999998,0.008029999999999999,0.0052699999999999995,0.0055,0.00647,0.01047,0.009810000000000001,0.01073,0.00825,0.011179999999999999,0.01307,0.01111,0.00945,0.010230000000000001,0.00554,0.010230000000000001,0.00845,0.00919,0.00645,0.00705,0.00717,0.00621,0.00656,0.00315,0.00442,0.00483
16,0.026253999999999996,0.029599999999999998,0.032085999999999996,0.032465999999999995,0.030268,0.033648,0.027055999999999997,0.027131999999999996,0.022656,0.023722,0.020572000000000003,0.01991,0.019504,0.016478000000000003,0.015257999999999999,0.015395999999999998,0.013102,0.011832,0.01058,0.010138,0.007794,0.006607999999999999,0.0072699999999999996,0.0070480000000000004,0.010356,0.00778,0.00861,0.00974,0.013396000000000002,0.013478,0.012994,0.011822,0.014998,0.017672,0.016002,0.01465,0.01397,0.009794,0.013436,0.012747999999999999,0.012916,0.010138,0.010291999999999999,0.01091,0.009876,0.009828,0.007082,0.008343999999999999,0.008778000000000001
17,0.042367999999999996,0.04747,0.048462,0.049732,0.045236000000000005,0.049676000000000005,0.040161999999999996,0.038454,0.033322,0.032604,0.028874000000000004,0.028450000000000003,0.025758000000000003,0.022496,0.021316,0.020842,0.017254,0.016524,0.014440000000000001,0.013686,0.010837999999999999,0.009076,0.00958,0.010216000000000001,0.012681999999999999,0.010289999999999999,0.011720000000000001,0.01301,0.016322000000000003,0.017146,0.015258,0.015394,0.018816,0.022274000000000002,0.020894,0.019850000000000003,0.01771,0.014047999999999998,0.016642000000000004,0.017046,0.016642,0.013826,0.013534,0.014650000000000002,0.013541999999999998,0.013096,0.011014,0.012268,0.012726000000000001
18,0.05848199999999999,0.06534,0.06483799999999999,0.06699799999999999,0.060203999999999994,0.065704,0.053268,0.049775999999999994,0.043988,0.041486,0.037176,0.03699,0.032012,0.028513999999999994,0.027374000000000002,0.026288,0.021405999999999998,0.021216000000000002,0.0183,0.017234,0.013881999999999999,0.011544,0.011890000000000001,0.013384,0.015007999999999999,0.0128,0.014830000000000001,0.016280000000000003,0.019248,0.020814,0.017522000000000003,0.018966,0.022634,0.026875999999999997,0.025786,0.025050000000000003,0.02145,0.018302,0.019848,0.021344000000000002,0.020368,0.017514,0.016776,0.01839,0.017207999999999998,0.016363999999999997,0.014946,0.016192,0.016673999999999998
19,0.074596,0.08320999999999999,0.081214,0.08426399999999999,0.075172,0.081732,0.06637399999999999,0.061098,0.054653999999999994,0.050367999999999996,0.04547800000000001,0.04553,0.03826600000000001,0.03453199999999999,0.033432,0.031734,0.025558,0.025908,0.02216,0.020781999999999995,0.016926,0.014012,0.014199999999999999,0.016552,0.017334,0.01531,0.01794,0.01955,0.022174,0.024482,0.019786,0.022538,0.026452,0.031478,0.030678,0.030250000000000003,0.025189999999999997,0.022555999999999996,0.023054,0.025641999999999998,0.024094,0.021202000000000002,0.020018,0.022130000000000004,0.020874,0.019631999999999997,0.018878,0.020116,0.020622
