edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0002,0.0002,8.999999999999999e-05,8.999999999999999e-05,0.00028000000000000003,0.00019,0.0002,0.0001,0.00032,0.00017999999999999998,0.00022,7.000000000000001e-05,0.00026000000000000003,0.00011,0.00016,4e-05,0.0,0.00011999999999999999,0.00013000000000000002,0.00013000000000000002,8.999999999999999e-05,0.00013000000000000002,0.0,0.00023,5e-05,5e-05,0.0,0.00019,0.00014000000000000001,0.00015,5e-05,0.0001,0.00032,0.00022,0.00011,0.00011,0.00011999999999999999,0.00023999999999999998,0.0,0.00035999999999999997,0.00011999999999999999,0.00017999999999999998,0.00037,5.9999999999999995e-05,0.00037,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00013000000000000002
11,0.0033580000000000007,0.0035880000000000005,0.0036,0.003546,0.004208,0.00433,0.003978000000000001,0.003932,0.004163999999999999,0.004104,0.0037260000000000006,0.0036199999999999995,0.0035559999999999993,0.003084,0.002824,0.0025280000000000003,0.002472,0.002694,0.002682,0.0023599999999999993,0.002402,0.0024719999999999994,0.0022600000000000003,0.002202,0.0023339999999999997,0.001966,0.002032,0.0023039999999999996,0.00244,0.002502,0.0026419999999999994,0.0025,0.0028039999999999996,0.0026739999999999997,0.0028239999999999997,0.00222,0.002344,0.002202,0.002112,0.002274,0.002066,0.0021000000000000003,0.0019760000000000003,0.001682,0.0019260000000000002,0.001572,0.001678,0.001268,0.0011979999999999998
12,0.006516000000000001,0.006976000000000001,0.00711,0.007002,0.008136,0.008469999999999998,0.007756,0.007763999999999999,0.008008,0.008028,0.007232000000000001,0.00717,0.006851999999999999,0.006058000000000001,0.005488000000000001,0.0050160000000000005,0.004944,0.005268000000000001,0.005234,0.004589999999999999,0.004714,0.004813999999999999,0.004520000000000001,0.004174000000000001,0.004618,0.0038819999999999996,0.004064,0.004418,0.004739999999999999,0.004854,0.005233999999999999,0.0049,0.005288,0.005127999999999999,0.005538,0.004330000000000001,0.004568000000000001,0.004164,0.004224,0.004188000000000001,0.004012000000000001,0.004019999999999999,0.0035820000000000005,0.0033039999999999996,0.0034820000000000003,0.003084,0.003296,0.002476,0.0022660000000000002
13,0.009674,0.010364,0.010620000000000001,0.010458000000000002,0.012063999999999998,0.012609999999999998,0.011533999999999999,0.011595999999999999,0.011852,0.011952000000000003,0.010738000000000001,0.010719999999999999,0.010147999999999997,0.009032,0.008152000000000001,0.007504000000000001,0.007416000000000001,0.007842000000000002,0.007786,0.006819999999999999,0.007026000000000001,0.007155999999999999,0.006780000000000001,0.006146,0.006901999999999999,0.005797999999999999,0.006096,0.006532,0.007039999999999999,0.007206,0.007825999999999998,0.007299999999999999,0.007772,0.007581999999999999,0.008251999999999999,0.006440000000000001,0.006792,0.006126000000000001,0.0063360000000000005,0.0061020000000000015,0.0059580000000000015,0.005939999999999999,0.005188000000000002,0.004925999999999999,0.005038,0.004595999999999999,0.004913999999999999,0.0036839999999999998,0.003334
14,0.012832000000000001,0.013752,0.01413,0.013914000000000001,0.015992,0.01675,0.015312,0.015427999999999999,0.015695999999999998,0.015876,0.014244000000000001,0.01427,0.013443999999999998,0.012006000000000001,0.010816000000000001,0.009992000000000001,0.009888,0.010416,0.010338000000000002,0.009049999999999999,0.009338,0.009498,0.009040000000000001,0.008118,0.009186,0.0077139999999999995,0.008128,0.008646,0.00934,0.009558,0.010417999999999998,0.009699999999999999,0.010256,0.010036,0.010966,0.00855,0.009016,0.008088000000000001,0.008448,0.008016,0.007904000000000001,0.007859999999999999,0.006794000000000001,0.006547999999999999,0.006594,0.006108,0.006531999999999999,0.004892,0.0044020000000000005
15,0.01599,0.01714,0.01764,0.01737,0.01992,0.02089,0.01909,0.019260000000000003,0.01954,0.0198,0.01775,0.01782,0.016739999999999998,0.01498,0.01348,0.01248,0.01236,0.01299,0.01289,0.01128,0.01165,0.01184,0.011300000000000001,0.01009,0.011470000000000001,0.009630000000000001,0.01016,0.01076,0.011640000000000001,0.01191,0.013009999999999999,0.0121,0.01274,0.01249,0.01368,0.01066,0.01124,0.01005,0.01056,0.00993,0.00985,0.009779999999999999,0.008400000000000001,0.00817,0.008150000000000001,0.00762,0.008150000000000001,0.0060999999999999995,0.00547
16,0.03403,0.038094,0.038826,0.038566,0.042214,0.044488,0.039488,0.038786,0.036503999999999995,0.036126000000000005,0.032886000000000006,0.032136000000000005,0.030022,0.0282,0.026502,0.023577999999999998,0.023766,0.023302,0.022038,0.019683999999999997,0.018356,0.017567999999999997,0.017296,0.015652,0.016422,0.015192,0.014708,0.015106000000000001,0.015596,0.01597,0.016394,0.016236,0.016704,0.017652,0.017394,0.015096,0.01474,0.013684000000000002,0.013508000000000001,0.013234,0.012386,0.012399999999999998,0.011045999999999999,0.010924,0.010748,0.010502000000000001,0.010714,0.008966,0.008702
17,0.05207,0.059048,0.060012,0.059762,0.064508,0.068086,0.059885999999999995,0.058311999999999996,0.053467999999999995,0.052452,0.048022,0.04645200000000001,0.043304,0.04142,0.039524000000000004,0.034676,0.035171999999999995,0.033614,0.031186,0.028088000000000002,0.025062,0.023296,0.023292,0.021214,0.021374,0.020753999999999998,0.019256,0.019452,0.019552,0.020030000000000003,0.019777999999999997,0.020372,0.020668,0.022814,0.021108000000000002,0.019532000000000004,0.018240000000000003,0.017317999999999997,0.016456,0.016538,0.014922000000000001,0.01502,0.013692,0.013678000000000001,0.013346,0.013384,0.013277999999999998,0.011832,0.011934000000000002
18,0.07011,0.080002,0.081198,0.080958,0.08680199999999999,0.091684,0.08028400000000001,0.077838,0.070432,0.068778,0.063158,0.06076800000000001,0.056586,0.05464,0.05254600000000001,0.045774,0.046578,0.043926,0.040334,0.036492,0.031768,0.029023999999999998,0.029288,0.026776,0.026326000000000002,0.026316000000000003,0.023804000000000002,0.023798000000000003,0.023508,0.024090000000000004,0.023162,0.024508000000000002,0.024631999999999998,0.027975999999999997,0.024822,0.023968000000000003,0.021740000000000002,0.020952,0.019404,0.019842,0.017458,0.01764,0.016338000000000002,0.016432000000000002,0.015944,0.016266000000000003,0.015842,0.014698000000000001,0.015166
19,0.08814999999999999,0.100956,0.102384,0.102154,0.10909599999999998,0.115282,0.10068200000000001,0.097364,0.08739599999999999,0.085104,0.07829400000000002,0.075084,0.06986800000000001,0.06786,0.065568,0.056872,0.057984,0.054238,0.049482,0.044896,0.038474,0.034752,0.035284,0.03233799999999999,0.031278,0.031878000000000004,0.028352,0.028144000000000006,0.027464000000000002,0.02815,0.026546,0.028644,0.028596,0.033138,0.028536000000000002,0.028404000000000002,0.025240000000000002,0.024586,0.022352,0.023146,0.019994,0.020259999999999997,0.018984,0.019186,0.018542000000000003,0.019148,0.018406,0.017564,0.018398
20,0.10618999999999999,0.12190999999999999,0.12357,0.12334999999999999,0.13138999999999998,0.13888,0.12108,0.11689,0.10436,0.10143,0.09343000000000001,0.08940000000000001,0.08315,0.08108,0.07859000000000001,0.06797,0.06939000000000001,0.06455,0.05863,0.0533,0.04518,0.040479999999999995,0.041280000000000004,0.037899999999999996,0.03623,0.03744,0.0329,0.032490000000000005,0.031420000000000003,0.03221,0.02993,0.032780000000000004,0.032560000000000006,0.038299999999999994,0.03225,0.03284,0.028739999999999998,0.02822,0.0253,0.026449999999999998,0.02253,0.022879999999999998,0.02163,0.02194,0.02114,0.02203,0.02097,0.02043,0.02163
21,0.120458,0.132568,0.13241999999999998,0.13274,0.139094,0.14607399999999998,0.12983799999999998,0.1255,0.114796,0.110834,0.102988,0.10039200000000001,0.093334,0.091654,0.089774,0.080538,0.080786,0.07710800000000001,0.072242,0.065848,0.058126,0.053281999999999996,0.052988,0.049184,0.04862,0.047903999999999995,0.043747999999999995,0.043573999999999995,0.04229,0.042978,0.040462000000000005,0.043156,0.042046,0.047006,0.041464,0.041596,0.03734,0.035872,0.032706000000000006,0.033638,0.030218,0.030112,0.027948,0.028316,0.0273,0.027776,0.02708,0.026028,0.026972000000000003
22,0.134726,0.143226,0.14126999999999998,0.14213,0.146798,0.153268,0.138596,0.13411,0.125232,0.120238,0.11254600000000001,0.11138400000000001,0.103518,0.102228,0.10095799999999999,0.093106,0.092182,0.089666,0.085854,0.07839600000000001,0.071072,0.06608399999999999,0.064696,0.060467999999999994,0.06101,0.058368,0.054596000000000006,0.054658,0.05316,0.053745999999999995,0.050994,0.053531999999999996,0.051531999999999994,0.055712,0.050677999999999994,0.050352,0.045939999999999995,0.043524,0.040112,0.040826,0.037906,0.037343999999999995,0.034266,0.034692,0.033460000000000004,0.033521999999999996,0.03319,0.031626,0.032314
23,0.148994,0.153884,0.15012,0.15152000000000002,0.154502,0.160462,0.14735399999999998,0.14271999999999999,0.135668,0.129642,0.122104,0.122376,0.113702,0.11280199999999999,0.11214199999999999,0.105674,0.103578,0.10222400000000001,0.09946600000000001,0.090944,0.084018,0.078886,0.076404,0.071752,0.0734,0.068832,0.065444,0.065742,0.06403,0.064514,0.061526,0.063908,0.061018,0.06441799999999999,0.059891999999999994,0.059108,0.05453999999999999,0.051176,0.047518,0.048013999999999994,0.045594,0.04457599999999999,0.040584,0.041068,0.039619999999999995,0.039268,0.0393,0.03722400000000001,0.03765600000000001
