edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,4e-05,4e-05,8.999999999999999e-05,8.999999999999999e-05,5e-05,0.00015,0.0001,0.00027,0.00038,0.00016,0.00022,0.00011,5e-05,5e-05,0.00011,5.9999999999999995e-05,0.00017,0.00011999999999999999,5.9999999999999995e-05,0.00013000000000000002,7.000000000000001e-05,0.0,0.0,0.00016,0.0,0.00017999999999999998,0.00017999999999999998,0.0,0.0001,0.0,0.00011,0.00034,0.0,0.0,0.0,0.0,0.00011999999999999999,0.0,0.00011,0.00011,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,0.0
11,0.0033580000000000003,0.004312,0.004872,0.005396,0.0056819999999999996,0.005608,0.005015999999999999,0.004722,0.004808,0.0041259999999999995,0.00449,0.003935999999999999,0.0036339999999999996,0.0034899999999999996,0.0028039999999999996,0.0023039999999999996,0.0021759999999999995,0.001998,0.0013700000000000001,0.0017980000000000001,0.0014520000000000002,0.0010840000000000001,0.0014140000000000001,0.001318,0.001014,0.001506,0.0013959999999999999,0.0011619999999999998,0.001458,0.0014140000000000001,0.001682,0.0017780000000000003,0.001996,0.001732,0.001546,0.001506,0.0018640000000000004,0.001638,0.001252,0.001552,0.0013520000000000001,0.0011359999999999999,0.001142,0.001266,0.0009320000000000001,0.001108,0.000768,0.000804,0.00062
12,0.0066760000000000005,0.008584,0.009654,0.010702,0.011314,0.011066000000000001,0.009931999999999998,0.009174,0.009236000000000001,0.008091999999999998,0.008760000000000002,0.007762,0.007217999999999999,0.0069299999999999995,0.005498,0.004547999999999999,0.004181999999999999,0.0038760000000000005,0.00268,0.003466,0.002834,0.0021680000000000002,0.0028280000000000002,0.002476,0.002028,0.0028320000000000003,0.002612,0.0023239999999999997,0.0028160000000000004,0.0028280000000000002,0.0032539999999999995,0.003216,0.003992,0.003464,0.003092,0.003012,0.0036080000000000005,0.003276,0.002394,0.0029939999999999997,0.002594,0.0022719999999999997,0.002284,0.002532,0.0018640000000000002,0.002216,0.001536,0.0014980000000000002,0.00124
13,0.009994,0.012856,0.014436,0.016007999999999998,0.016946000000000003,0.016524,0.014847999999999997,0.013626,0.013663999999999999,0.012058,0.013030000000000003,0.011587999999999998,0.010801999999999999,0.01037,0.008192,0.0067919999999999986,0.006187999999999999,0.0057540000000000004,0.0039900000000000005,0.005134,0.004216000000000001,0.003252,0.004242000000000001,0.003634,0.003042,0.004158,0.003828,0.003486,0.004174,0.004242000000000001,0.0048259999999999996,0.004654,0.005987999999999999,0.005196,0.004638,0.0045179999999999994,0.005352000000000001,0.004914,0.0035359999999999996,0.004436,0.003836,0.0034079999999999996,0.003426,0.003798,0.0027960000000000003,0.003324,0.002304,0.0021920000000000004,0.0018599999999999999
14,0.013312,0.017128,0.019218,0.021314,0.022578,0.021981999999999998,0.019764,0.018078,0.018092,0.016023999999999997,0.0173,0.015413999999999997,0.014386,0.013810000000000001,0.010886,0.009035999999999999,0.008194,0.007632000000000001,0.0053,0.006802,0.0055980000000000005,0.0043360000000000004,0.0056560000000000004,0.004791999999999999,0.004056,0.005484,0.005044,0.004647999999999999,0.0055320000000000005,0.0056560000000000004,0.006398,0.006092,0.007984,0.006928,0.006184,0.006024,0.007096000000000001,0.006552,0.004678,0.005878,0.005078,0.004543999999999999,0.004568,0.005064,0.0037280000000000004,0.004432,0.003072,0.002886,0.00248
15,0.01663,0.0214,0.024,0.02662,0.028210000000000002,0.027440000000000003,0.02468,0.02253,0.02252,0.019989999999999997,0.02157,0.01924,0.01797,0.01725,0.01358,0.01128,0.010199999999999999,0.00951,0.00661,0.00847,0.00698,0.00542,0.00707,0.00595,0.00507,0.006809999999999999,0.00626,0.005809999999999999,0.006889999999999999,0.00707,0.00797,0.00753,0.009980000000000001,0.00866,0.007730000000000001,0.00753,0.00884,0.00819,0.0058200000000000005,0.00732,0.00632,0.005679999999999999,0.00571,0.00633,0.00466,0.00554,0.0038399999999999997,0.0035800000000000003,0.0031
16,0.032265999999999996,0.03843,0.040968000000000004,0.04378,0.044482,0.044268,0.041128,0.038238,0.035902,0.034268,0.033346,0.029774000000000002,0.027167999999999998,0.025998,0.021240000000000002,0.018926,0.017175999999999997,0.015192,0.012484,0.012424,0.010506,0.009276,0.010398,0.009030000000000002,0.008372,0.009285999999999999,0.009086,0.008348,0.009215999999999998,0.009874,0.010358000000000001,0.010296,0.01298,0.012078,0.010718,0.010022,0.011359999999999999,0.01024,0.008406,0.009414,0.009342000000000001,0.008194,0.008428000000000001,0.00894,0.0071259999999999995,0.007896,0.006206,0.006042,0.005564
17,0.047902,0.05546,0.057936,0.06094,0.060753999999999996,0.061096000000000004,0.057576,0.053946,0.04928400000000001,0.048546,0.045122,0.040308,0.036366,0.034746,0.028900000000000002,0.026571999999999995,0.024151999999999996,0.020874000000000004,0.018358,0.016378,0.014032,0.013132000000000001,0.013726,0.012110000000000001,0.011674,0.011762,0.011911999999999999,0.010886,0.011541999999999998,0.012678,0.012746,0.013061999999999999,0.01598,0.015496000000000001,0.013706000000000001,0.012513999999999999,0.01388,0.012289999999999999,0.010992,0.011508,0.012364,0.010708,0.011146000000000001,0.011550000000000001,0.009591999999999998,0.010252,0.008572,0.008504000000000001,0.008028
18,0.063538,0.07249000000000001,0.074904,0.0781,0.077026,0.077924,0.074024,0.069654,0.062666,0.062824,0.056898000000000004,0.050842,0.045564,0.043494,0.03656,0.034218,0.031127999999999996,0.026555999999999996,0.024232,0.020332,0.017558,0.016988,0.017054000000000003,0.015190000000000002,0.014976,0.014237999999999999,0.014738,0.013424,0.013867999999999998,0.015482,0.015134,0.015828,0.01898,0.018914,0.016694000000000004,0.015006,0.0164,0.01434,0.013578,0.013602,0.015385999999999999,0.013222000000000001,0.013864000000000001,0.01416,0.012058,0.012608000000000001,0.010938,0.010966000000000002,0.010492
19,0.07917400000000001,0.08952000000000002,0.091872,0.09526000000000001,0.093298,0.09475199999999999,0.09047200000000001,0.085362,0.076048,0.077102,0.06867400000000001,0.06137600000000001,0.054762,0.052242000000000004,0.04422000000000001,0.041864,0.038104,0.032238,0.030105999999999997,0.024286,0.021084,0.020844,0.020382,0.01827,0.018278,0.016714000000000003,0.017564,0.015962,0.016194,0.018286,0.017522000000000003,0.018593999999999996,0.02198,0.022332,0.019682,0.017497999999999996,0.018920000000000003,0.016390000000000002,0.016164,0.015695999999999998,0.018408,0.015736,0.016582,0.01677,0.014523999999999999,0.014964000000000002,0.013304,0.013428,0.012955999999999999
20,0.09481,0.10654999999999999,0.10884,0.11242,0.10956999999999999,0.11158,0.10692,0.10107,0.08943000000000001,0.09137999999999999,0.08045000000000001,0.07191,0.06396,0.06099,0.05188,0.04951,0.045079999999999995,0.03792,0.03598,0.028239999999999998,0.02461,0.0247,0.023710000000000002,0.02135,0.02158,0.019190000000000002,0.020390000000000002,0.0185,0.01852,0.02109,0.01991,0.02136,0.02498,0.02575,0.022670000000000003,0.019989999999999997,0.02144,0.01844,0.01875,0.01779,0.02143,0.01825,0.0193,0.019379999999999998,0.016989999999999998,0.01732,0.01567,0.01589,0.01542
21,0.10068,0.11109999999999999,0.11269,0.115458,0.112734,0.114206,0.1102,0.10418199999999998,0.093208,0.09451599999999999,0.083756,0.07589,0.06844800000000001,0.064498,0.057666,0.054560000000000004,0.051158,0.044256000000000004,0.04212,0.034631999999999996,0.031508,0.03067,0.030122,0.027818000000000002,0.027174,0.025022000000000003,0.025740000000000002,0.024068000000000003,0.024302,0.025731999999999998,0.024992,0.025695999999999997,0.02918,0.029358000000000002,0.02721,0.025234,0.025666,0.023167999999999998,0.022956,0.022022,0.025062,0.022490000000000003,0.022918,0.023053999999999998,0.020572,0.021892,0.019096,0.019752000000000002,0.019976
22,0.10654999999999999,0.11565,0.11654,0.11849599999999999,0.115898,0.11683199999999999,0.11348,0.107294,0.096986,0.097652,0.087062,0.07987000000000001,0.072936,0.068006,0.063452,0.059609999999999996,0.057235999999999995,0.050592,0.048260000000000004,0.041024,0.038405999999999996,0.03664,0.036534000000000004,0.034286000000000004,0.032768,0.030854,0.03109,0.029636000000000003,0.030084,0.030373999999999998,0.030073999999999997,0.030032,0.03337999999999999,0.032966,0.03175,0.030478,0.029892000000000002,0.027896,0.027162,0.026254000000000003,0.028694000000000004,0.02673,0.026536,0.026728000000000002,0.024153999999999995,0.026463999999999998,0.022521999999999997,0.023614,0.024532
