edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.00029,7.000000000000001e-05,0.00031,8e-05,0.00023999999999999998,0.00041,0.00033,0.0,8e-05,0.0,0.0,0.0,0.00016,0.00023999999999999998,0.00016,8e-05,8.999999999999999e-05,0.0,0.00019,0.0001,0.00011,0.00011,0.00011999999999999999,0.0,0.00023999999999999998,0.00037,0.00011999999999999999,0.00023999999999999998,0.00011999999999999999,0.00023,0.00023,0.00011,0.00011,0.00022,0.00011,0.00031,0.0003,0.0001,0.0,0.0,0.00029,0.00019,0.00017999999999999998,0.0,0.0,8.999999999999999e-05,0.0,8e-05
11,0.0026939999999999998,0.0036200000000000004,0.0038499999999999997,0.0045639999999999995,0.004456000000000001,0.003972000000000001,0.003822,0.003522,0.003914,0.003176,0.003182,0.002898,0.002782,0.002564,0.002186,0.0021680000000000002,0.0017620000000000001,0.002022,0.001622,0.001888,0.0014980000000000002,0.00131,0.001682,0.001628,0.001572,0.001862,0.002478,0.00227,0.00262,0.002968,0.002852,0.0029019999999999996,0.0030020000000000003,0.003392,0.002862,0.0028020000000000002,0.002682,0.0024959999999999995,0.002076,0.002284,0.002004,0.0020620000000000005,0.002232,0.001712,0.001572,0.001324,0.001248,0.001186,0.0009059999999999999
12,0.0053879999999999996,0.006950000000000001,0.00763,0.008818,0.008832000000000001,0.007704000000000001,0.007234,0.0067139999999999995,0.007828,0.006272000000000001,0.006364,0.005796,0.005564,0.004968,0.004132,0.004176,0.003444,0.003954,0.003244,0.0035859999999999998,0.002896,0.0025099999999999996,0.0032539999999999995,0.0031360000000000003,0.003144,0.003484,0.004586000000000001,0.00442,0.005,0.005816,0.005474000000000001,0.005574,0.005894000000000001,0.006674,0.005503999999999999,0.005494000000000001,0.0050539999999999995,0.004691999999999999,0.004052000000000001,0.004568,0.004008,0.0038340000000000006,0.004274000000000001,0.0032440000000000004,0.003144,0.002648,0.0024059999999999997,0.002372,0.001732
13,0.008082,0.010280000000000001,0.01141,0.013071999999999999,0.013208000000000001,0.011436000000000002,0.010646000000000001,0.009905999999999998,0.011742,0.009368,0.009545999999999999,0.008694,0.008346,0.007372,0.006078000000000001,0.006184,0.0051259999999999995,0.005885999999999999,0.004866,0.005284,0.004294,0.0037099999999999993,0.0048259999999999996,0.0046440000000000006,0.004716000000000001,0.005106,0.006694,0.0065699999999999995,0.00738,0.008664,0.008096,0.008245999999999998,0.008786000000000002,0.009956,0.008146,0.008186,0.0074259999999999994,0.006887999999999999,0.006028,0.006852,0.006012000000000001,0.005606000000000001,0.006316000000000001,0.004776,0.004716000000000001,0.003972000000000001,0.0035639999999999995,0.003558,0.002558
14,0.010775999999999999,0.01361,0.015189999999999999,0.017325999999999998,0.017584,0.015168000000000001,0.014058,0.013097999999999999,0.015656,0.012464000000000001,0.012728,0.011592,0.011128,0.009776,0.008024000000000002,0.008192,0.006808,0.007818,0.006488,0.006982,0.005692,0.00491,0.006398,0.006152,0.006288,0.006728,0.008801999999999999,0.008719999999999999,0.00976,0.011511999999999998,0.010718,0.010917999999999999,0.011678000000000001,0.013238,0.010788,0.010878,0.009798,0.009084,0.008004,0.009136,0.008016,0.007378000000000001,0.008358,0.006308,0.006288,0.005296,0.004722,0.004744,0.003384
15,0.013470000000000001,0.01694,0.018969999999999997,0.02158,0.02196,0.0189,0.01747,0.01629,0.01957,0.015560000000000001,0.01591,0.01449,0.01391,0.01218,0.009970000000000001,0.010199999999999999,0.008490000000000001,0.00975,0.00811,0.00868,0.00709,0.00611,0.00797,0.00766,0.00786,0.00835,0.01091,0.01087,0.01214,0.01436,0.01334,0.01359,0.01457,0.01652,0.01343,0.01357,0.01217,0.01128,0.009980000000000001,0.01142,0.01002,0.00915,0.0104,0.00784,0.00786,0.00662,0.00588,0.0059299999999999995,0.00421
16,0.036306000000000005,0.04199800000000001,0.041638,0.042182000000000004,0.041016000000000004,0.03658,0.032869999999999996,0.03158,0.031156,0.027664,0.026308,0.023206,0.022344000000000003,0.019346,0.017344000000000002,0.016604,0.014752,0.015254000000000002,0.01323,0.012356,0.011178,0.009604,0.011516,0.011132,0.011514,0.012334,0.014394,0.014438,0.017078,0.019352,0.019112,0.019652,0.020986,0.02361,0.02097,0.020582,0.019286,0.01753,0.015412,0.016381999999999997,0.015504,0.014188000000000003,0.014914000000000002,0.012844,0.012886000000000002,0.011655999999999998,0.010172,0.01045,0.009262000000000001
17,0.059142,0.06705599999999999,0.064306,0.06278399999999999,0.060072,0.054259999999999996,0.04826999999999999,0.04686999999999999,0.042742,0.039768,0.036706,0.031922,0.030778000000000003,0.026512,0.024718000000000004,0.023007999999999997,0.021013999999999994,0.020758000000000002,0.01835,0.016032,0.015266,0.013097999999999999,0.015062,0.014603999999999999,0.015168,0.016318000000000003,0.017878,0.018006,0.022015999999999997,0.024344,0.024884,0.025713999999999997,0.027402000000000003,0.0307,0.02851,0.027594,0.026402000000000002,0.023780000000000003,0.020844,0.021344,0.020988,0.019226000000000004,0.019428,0.017848,0.017912000000000004,0.016692,0.014464,0.01497,0.014314
18,0.08197800000000001,0.092114,0.086974,0.083386,0.07912800000000002,0.07194,0.06367,0.062159999999999986,0.054328,0.051872,0.047104,0.040638,0.039212000000000004,0.033678,0.032091999999999996,0.029411999999999997,0.027275999999999995,0.026262,0.023469999999999998,0.019708,0.019354,0.016592,0.018608,0.018076000000000002,0.018822,0.020302,0.021362,0.021574,0.026954000000000002,0.029335999999999997,0.030656000000000003,0.031776,0.033818,0.037790000000000004,0.036050000000000006,0.034606000000000005,0.033518,0.03003,0.026276,0.026305999999999996,0.026472,0.024264000000000004,0.023942,0.022851999999999997,0.022938000000000004,0.021727999999999997,0.018756000000000002,0.01949,0.019366
19,0.104814,0.117172,0.10964199999999999,0.103988,0.098184,0.08962,0.07906999999999999,0.07744999999999999,0.065914,0.063976,0.05750200000000001,0.049354,0.047646,0.04084399999999999,0.039466,0.035815999999999994,0.033538,0.031766,0.02859,0.023384000000000002,0.023442,0.020086,0.022154,0.021548,0.022476,0.024286000000000002,0.024845999999999997,0.025142000000000005,0.031892,0.034328000000000004,0.036427999999999995,0.037838,0.04023399999999999,0.04488,0.043590000000000004,0.041618,0.040634,0.03628,0.031708,0.03126799999999999,0.031956,0.029302000000000005,0.028456000000000002,0.027856,0.027964000000000003,0.026764,0.023048,0.02401,0.024418
