edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00014000000000000001,0.0,7.000000000000001e-05,0.0,0.00015,7.000000000000001e-05,8e-05,8e-05,0.00023999999999999998,0.00017,0.00017,0.00017,8e-05,0.00017,8e-05,8e-05,0.00025,0.00035,8.999999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.00017,0.00017,0.0,0.00035999999999999997,0.00017999999999999998,0.00017999999999999998,0.00019,0.00019,0.00019,0.00019,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.004939999999999999,0.005644,0.006032,0.007104000000000001,0.008208,0.008224,0.006866,0.0067,0.0067079999999999996,0.005906,0.006311999999999999,0.005879999999999999,0.005464,0.004765999999999999,0.00498,0.0038740000000000007,0.0036399999999999996,0.0036779999999999994,0.0029959999999999995,0.0024,0.001768,0.0018640000000000002,0.001622,0.0013080000000000001,0.0014140000000000001,0.0013260000000000001,0.001354,0.0013080000000000001,0.0013939999999999998,0.00116,0.00139,0.0019439999999999998,0.001712,0.001492,0.0017719999999999997,0.001876,0.0014160000000000002,0.0017739999999999998,0.001492,0.001818,0.0017379999999999997,0.00145,0.00164,0.0019420000000000001,0.00123,0.000936,0.000754,0.0011539999999999999,0.000884
12,0.00974,0.011288,0.011994,0.014208000000000002,0.016266,0.016378,0.013652,0.01332,0.013175999999999998,0.011642,0.012453999999999998,0.011589999999999998,0.010848,0.009361999999999999,0.009880000000000002,0.007668000000000001,0.00703,0.007005999999999998,0.005901999999999999,0.0048,0.003536,0.0037280000000000004,0.003244,0.0026160000000000003,0.0028280000000000002,0.0026520000000000003,0.002708,0.0026160000000000003,0.0027879999999999997,0.00232,0.00262,0.0037179999999999995,0.003254,0.002984,0.0031839999999999998,0.0035720000000000005,0.0026520000000000007,0.0033579999999999994,0.002794,0.0034460000000000003,0.0032859999999999994,0.00271,0.00328,0.0038840000000000003,0.00246,0.001872,0.001508,0.0023079999999999997,0.001768
13,0.014539999999999999,0.016932000000000003,0.017956,0.021312000000000005,0.024324,0.024532,0.020437999999999994,0.01994,0.019643999999999995,0.017378,0.018596,0.017299999999999996,0.016232,0.013957999999999996,0.014780000000000001,0.011462000000000002,0.010419999999999999,0.010333999999999998,0.008808,0.007199999999999999,0.0053040000000000006,0.005592000000000001,0.004866,0.003924,0.004242000000000001,0.003978000000000001,0.004062,0.003924,0.004181999999999999,0.0034799999999999996,0.00385,0.0054919999999999995,0.004796,0.004476,0.004596,0.005268000000000001,0.003888000000000001,0.004942,0.004096,0.005074,0.004834,0.0039700000000000004,0.00492,0.0058260000000000004,0.00369,0.0028079999999999997,0.002262,0.003462,0.0026520000000000003
14,0.01934,0.022576,0.023918,0.028416000000000004,0.032382,0.032686,0.027223999999999998,0.02656,0.026111999999999996,0.023114,0.024738,0.02301,0.021616,0.018553999999999998,0.01968,0.015256000000000002,0.01381,0.013661999999999997,0.011713999999999999,0.0096,0.007072,0.007456000000000001,0.006488,0.0052320000000000005,0.0056560000000000004,0.0053040000000000006,0.005416,0.0052320000000000005,0.005575999999999999,0.00464,0.00508,0.007265999999999999,0.006338,0.005968,0.006008,0.006964000000000001,0.005124000000000001,0.006526,0.005398000000000001,0.0067020000000000005,0.006382,0.00523,0.00656,0.007768000000000001,0.00492,0.003744,0.003016,0.0046159999999999994,0.003536
15,0.02414,0.02822,0.02988,0.03552,0.04044,0.04084,0.03401,0.03318,0.03258,0.02885,0.030879999999999998,0.02872,0.027,0.023149999999999997,0.024579999999999998,0.01905,0.0172,0.016989999999999998,0.01462,0.012,0.00884,0.00932,0.00811,0.00654,0.00707,0.00663,0.00677,0.00654,0.00697,0.0058,0.00631,0.00904,0.00788,0.00746,0.0074199999999999995,0.00866,0.00636,0.00811,0.0067,0.00833,0.00793,0.00649,0.008199999999999999,0.009710000000000002,0.00615,0.00468,0.00377,0.00577,0.00442
16,0.039200000000000006,0.044323999999999995,0.047240000000000004,0.05212400000000001,0.057493999999999996,0.05713800000000001,0.050684,0.04834600000000001,0.04683,0.042404000000000004,0.042165999999999995,0.03988,0.037212,0.033555999999999996,0.034402,0.028584000000000002,0.026488,0.024428,0.021054,0.01815,0.014056,0.013663999999999999,0.012276,0.010690000000000002,0.010114000000000001,0.010029999999999999,0.009548,0.00879,0.00994,0.008636,0.009565999999999998,0.011009999999999999,0.01043,0.010225999999999999,0.010664,0.011478,0.00945,0.010731999999999998,0.009519999999999999,0.010592,0.010638,0.009458,0.011312,0.012256,0.009542000000000002,0.007847999999999999,0.006894,0.008422,0.007847999999999999
17,0.054259999999999996,0.060427999999999996,0.0646,0.06872800000000001,0.074548,0.073436,0.067358,0.063512,0.061079999999999995,0.05595800000000001,0.053452,0.05104,0.047424,0.043962,0.044224,0.038118,0.035775999999999995,0.031866,0.027488,0.024300000000000002,0.019271999999999997,0.018008,0.016442000000000002,0.014839999999999999,0.013158,0.01343,0.012326,0.01104,0.01291,0.011472,0.012821999999999998,0.01298,0.01298,0.012991999999999998,0.013908,0.014296,0.012539999999999999,0.013354,0.01234,0.012853999999999999,0.013346,0.012425999999999998,0.014424,0.014802000000000001,0.012934000000000001,0.011016,0.010018,0.011074,0.011276
18,0.06931999999999999,0.076532,0.08196,0.08533200000000002,0.09160199999999999,0.089734,0.084032,0.078678,0.07533,0.069512,0.064738,0.062200000000000005,0.05763599999999999,0.05436800000000001,0.05404599999999999,0.047652,0.045064,0.039304,0.033921999999999994,0.03045,0.024488,0.022351999999999997,0.020608,0.018990000000000003,0.016201999999999998,0.016829999999999998,0.015104,0.01329,0.01588,0.014308,0.016078,0.01495,0.015529999999999999,0.015757999999999998,0.017152,0.017114,0.015629999999999998,0.015976,0.01516,0.015116,0.016054,0.015393999999999998,0.017536000000000003,0.017348000000000002,0.016326,0.014184,0.013142,0.013725999999999999,0.014703999999999998
19,0.08438,0.092636,0.09932,0.10193600000000001,0.10865599999999999,0.106032,0.10070599999999999,0.09384400000000001,0.08957999999999999,0.083066,0.076024,0.07336,0.067848,0.064774,0.063868,0.05718600000000001,0.054352000000000004,0.046742,0.040356,0.0366,0.029704,0.026695999999999998,0.024774,0.02314,0.019246,0.02023,0.017882,0.01554,0.018850000000000002,0.017144,0.019334,0.01692,0.01808,0.018524,0.020396,0.019932000000000002,0.01872,0.018598,0.01798,0.017378,0.018762,0.018362,0.020648000000000003,0.019894000000000002,0.019718000000000003,0.017352,0.016266000000000003,0.016378,0.018132
