edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00066,0.0,0.00033,0.0,0.00034,0.0007099999999999999,0.00037,0.0,0.00041,0.0,0.00085,0.00043,0.0,0.00041999999999999996,0.00041,0.0,0.00041,0.0,0.0008100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.005406,0.0065060000000000005,0.005922,0.006884,0.008228,0.008494,0.008712,0.007326000000000001,0.006778,0.006758,0.007788,0.008368,0.007246,0.007898,0.007752000000000001,0.005744,0.0061340000000000006,0.007834,0.007606,0.005152,0.004692,0.005124000000000001,0.0043360000000000004,0.004462,0.004456000000000001,0.004412,0.0035499999999999998,0.002932,0.004391999999999999,0.0028120000000000003,0.0041719999999999995,0.004098,0.002944,0.0044399999999999995,0.004366,0.004738,0.005026,0.004722,0.0038799999999999998,0.004906000000000001,0.0035740000000000004,0.003072,0.002492,0.0019600000000000004,0.002022,0.001108,0.00062,0.001104,0.00048200000000000006
12,0.010152000000000001,0.013012000000000001,0.011514000000000002,0.013768,0.016116,0.016278,0.017054000000000003,0.014652000000000002,0.013146000000000001,0.013516,0.014726,0.016306,0.014492,0.015375999999999999,0.015094000000000002,0.011488,0.011858,0.015668,0.014402,0.010304,0.009384,0.010248000000000002,0.008672000000000001,0.008924,0.008912000000000002,0.008824,0.0070999999999999995,0.005864,0.007914,0.0056240000000000005,0.008343999999999999,0.008196,0.005888,0.008879999999999999,0.008732,0.009476,0.010052,0.009444,0.0077599999999999995,0.009812000000000001,0.007148000000000001,0.006144,0.004984,0.003920000000000001,0.004044,0.002216,0.00124,0.002208,0.0009640000000000001
13,0.014898000000000002,0.019518,0.017106000000000003,0.020652,0.024004,0.024062000000000004,0.025396000000000005,0.021978,0.019514,0.020274,0.021664000000000003,0.024243999999999998,0.021738,0.022854,0.022436000000000005,0.017232,0.017582,0.023502000000000002,0.021197999999999998,0.015456,0.014076,0.015372000000000002,0.013008,0.013385999999999999,0.013368000000000001,0.013236000000000001,0.010649999999999998,0.008796,0.011435999999999998,0.008436,0.012515999999999998,0.012294000000000001,0.008832000000000001,0.013319999999999999,0.013097999999999999,0.014214000000000003,0.015078,0.014165999999999998,0.011640000000000001,0.014718000000000002,0.010722,0.009216,0.007476,0.005880000000000001,0.006065999999999999,0.003324,0.0018599999999999999,0.0033119999999999994,0.0014460000000000002
14,0.019644000000000002,0.026024000000000002,0.022698,0.027536,0.031892,0.031846000000000006,0.033738,0.029304000000000004,0.025882000000000002,0.027032,0.028602,0.032182,0.028984,0.030332,0.029778000000000002,0.022976,0.023306,0.031336,0.027993999999999995,0.020608,0.018768,0.020496000000000004,0.017344000000000002,0.017848,0.017824000000000003,0.017648,0.014199999999999999,0.011728,0.014957999999999999,0.011248000000000001,0.016687999999999998,0.016392,0.011776,0.017759999999999998,0.017464,0.018952,0.020104,0.018888,0.015519999999999999,0.019624000000000003,0.014296000000000001,0.012288,0.009968,0.007840000000000001,0.008088,0.004432,0.00248,0.004416,0.0019280000000000002
15,0.024390000000000002,0.03253,0.02829,0.03442,0.03978,0.039630000000000006,0.04208,0.03663,0.03225,0.03379,0.03554,0.040119999999999996,0.03623,0.03781,0.03712,0.02872,0.02903,0.03917,0.03479,0.02576,0.02346,0.02562,0.02168,0.02231,0.02228,0.02206,0.01775,0.01466,0.01848,0.014060000000000001,0.02086,0.020489999999999998,0.01472,0.0222,0.02183,0.023690000000000003,0.02513,0.02361,0.019399999999999997,0.02453,0.01787,0.015359999999999999,0.01246,0.009800000000000001,0.01011,0.00554,0.0031,0.00552,0.0024100000000000002
16,0.040884000000000004,0.048604,0.048574,0.052872,0.055452,0.058814000000000005,0.057284,0.054128,0.050202,0.05095999999999999,0.051462,0.054105999999999994,0.04907,0.053042,0.05042,0.045638,0.042268,0.053244,0.04784600000000001,0.039076,0.036164,0.034616,0.031674,0.032934,0.032676000000000004,0.033428,0.03064,0.027746000000000003,0.028212,0.026107999999999996,0.031254,0.031582,0.026539999999999998,0.037384,0.035144,0.036576,0.039942,0.040104,0.03778999999999999,0.040278,0.034554,0.030771999999999997,0.025718,0.022528,0.020478000000000003,0.012718,0.008076,0.00948,0.007324
17,0.057378,0.064678,0.068858,0.07132400000000001,0.07112399999999999,0.07799800000000003,0.072488,0.07162600000000001,0.06815399999999999,0.06813,0.067384,0.068092,0.06191000000000001,0.068274,0.06372,0.062556,0.055506,0.06731800000000002,0.060902,0.052391999999999994,0.048868,0.043612,0.041668000000000004,0.043558,0.043072000000000006,0.044796,0.04353,0.04083200000000001,0.037944000000000006,0.038155999999999995,0.041648,0.042674000000000004,0.03836,0.052568,0.048458,0.049462000000000006,0.054754000000000004,0.056597999999999996,0.056179999999999994,0.056026,0.051238,0.046183999999999996,0.038976,0.035256,0.030846,0.019896,0.013052,0.013439999999999999,0.012237999999999999
18,0.073872,0.080752,0.089142,0.08977600000000001,0.08679600000000001,0.09718200000000002,0.08769199999999999,0.089124,0.086106,0.08529999999999999,0.083306,0.082078,0.07475,0.083506,0.07702,0.07947399999999999,0.068744,0.081392,0.073958,0.065708,0.061572,0.052607999999999995,0.051662000000000007,0.054182,0.053468,0.056164,0.056420000000000005,0.05391800000000001,0.047676,0.05020399999999999,0.052042000000000005,0.05376600000000001,0.050179999999999995,0.067752,0.06177200000000001,0.062348,0.069566,0.073092,0.07457,0.071774,0.06792200000000001,0.061596000000000005,0.052234,0.04798399999999999,0.041214,0.027073999999999997,0.018028000000000002,0.0174,0.017152
19,0.090366,0.09682600000000001,0.10942600000000001,0.108228,0.102468,0.11636600000000001,0.10289599999999999,0.10662200000000001,0.10405800000000001,0.10247,0.09922800000000001,0.096064,0.08759,0.098738,0.09032,0.09639199999999999,0.081982,0.09546600000000001,0.08701400000000001,0.079024,0.07427600000000001,0.061604,0.061656,0.064806,0.063864,0.067532,0.06931,0.06700400000000001,0.057408,0.062251999999999995,0.062436,0.064858,0.06199999999999999,0.08293600000000001,0.07508600000000001,0.07523400000000001,0.084378,0.089586,0.09295999999999997,0.08752199999999999,0.08460600000000001,0.07700800000000001,0.065492,0.060712,0.051582,0.034252000000000005,0.023004,0.02136,0.022066
20,0.10686,0.1129,0.12971000000000002,0.12668000000000001,0.11814,0.13555,0.1181,0.12412000000000001,0.12201000000000001,0.11964,0.11515,0.11005,0.10043,0.11397,0.10362,0.11331000000000001,0.09522,0.10954000000000001,0.10006999999999999,0.09234,0.08698,0.0706,0.07165,0.07543000000000001,0.07426,0.07890000000000001,0.08220000000000001,0.08009000000000001,0.06714,0.07429999999999999,0.07282999999999999,0.07595,0.07382,0.09812,0.0884,0.08812,0.09919,0.10608,0.11134999999999999,0.10327,0.10129,0.09242,0.07875,0.07343999999999999,0.061950000000000005,0.04143,0.02798,0.02532,0.02698
21,0.10846800000000001,0.120104,0.12998400000000002,0.12459,0.119134,0.133726,0.119782,0.126172,0.128548,0.122764,0.11976200000000001,0.11589,0.104614,0.117414,0.11095000000000001,0.11610000000000001,0.10264,0.116732,0.107832,0.098848,0.0975,0.08064,0.081638,0.082518,0.08022,0.086048,0.088742,0.08377,0.079786,0.082924,0.079408,0.085206,0.082782,0.104368,0.097764,0.097112,0.108052,0.112306,0.11536,0.11202,0.111304,0.09994800000000001,0.08744,0.08544199999999999,0.074578,0.050538,0.041620000000000004,0.037014000000000005,0.034862000000000004
22,0.11007600000000001,0.127308,0.130258,0.1225,0.120128,0.13190200000000002,0.121464,0.12822399999999998,0.135086,0.125888,0.12437400000000001,0.12173,0.108798,0.12085800000000001,0.11828,0.11889,0.11006,0.123924,0.11559399999999999,0.10535599999999999,0.10802,0.09068,0.091626,0.089606,0.08618,0.093196,0.09528400000000001,0.08745,0.092432,0.091548,0.085986,0.094462,0.091744,0.11061600000000002,0.107128,0.10610400000000002,0.116914,0.118532,0.11937,0.12077000000000002,0.12131800000000001,0.107476,0.09613,0.09744399999999999,0.087206,0.059646,0.055260000000000004,0.048708,0.042744
23,0.11168399999999999,0.134512,0.130532,0.12041000000000002,0.121122,0.130078,0.123146,0.130276,0.141624,0.129012,0.12898600000000002,0.12757,0.112982,0.124302,0.12561000000000003,0.12168000000000001,0.11747999999999999,0.13111599999999998,0.123356,0.111864,0.11854,0.10072,0.10161400000000001,0.096694,0.09214,0.10034399999999999,0.101826,0.09112999999999999,0.105078,0.100172,0.092564,0.103718,0.10070599999999999,0.11686400000000001,0.116492,0.115096,0.125776,0.12475800000000001,0.12337999999999999,0.12952000000000002,0.131332,0.11500400000000001,0.10482000000000001,0.109446,0.099834,0.06875400000000001,0.0689,0.060402000000000004,0.050626000000000004
24,0.113292,0.14171599999999998,0.130806,0.11832000000000001,0.122116,0.128254,0.12482800000000001,0.132328,0.148162,0.132136,0.13359800000000002,0.13341,0.11716599999999999,0.127746,0.13294,0.12447,0.1249,0.138308,0.13111799999999998,0.118372,0.12906,0.11076,0.111602,0.10378200000000001,0.09809999999999999,0.107492,0.10836799999999999,0.09481,0.11772400000000001,0.10879599999999999,0.099142,0.112974,0.10966799999999999,0.12311200000000001,0.125856,0.124088,0.134638,0.13098400000000002,0.12739,0.13827,0.141346,0.12253200000000002,0.11351,0.12144799999999999,0.112462,0.077862,0.08254,0.07209600000000001,0.058508
25,0.1149,0.14892,0.13108,0.11623,0.12311,0.12643000000000001,0.12651,0.13438,0.15469999999999998,0.13526,0.13821,0.13925,0.12135,0.13119,0.14027,0.12726,0.13232,0.1455,0.13888,0.12487999999999999,0.13958,0.12079999999999999,0.12159,0.11087000000000001,0.10406,0.11464,0.11491,0.09849,0.13037,0.11742,0.10572,0.12223,0.11863,0.12936,0.13522,0.13308,0.1435,0.13721,0.13140000000000002,0.14702,0.15136000000000002,0.13006,0.1222,0.13344999999999999,0.12509,0.08697,0.09618,0.08379,0.06639
26,0.10951400000000001,0.13605799999999998,0.12331800000000001,0.11048400000000001,0.11404600000000001,0.118302,0.116734,0.12537399999999999,0.141088,0.12352999999999999,0.12909800000000002,0.12824000000000002,0.11558999999999998,0.126744,0.12892,0.120324,0.12492599999999998,0.13747399999999999,0.130928,0.12229599999999999,0.132708,0.118828,0.11867,0.110846,0.104616,0.114324,0.115444,0.10120599999999999,0.12862,0.11632200000000001,0.10604999999999999,0.120962,0.118964,0.125716,0.131208,0.13245400000000002,0.14087,0.13827,0.132164,0.147454,0.14730200000000002,0.133236,0.123392,0.132012,0.12195,0.090024,0.09793400000000001,0.089176,0.07201
27,0.104128,0.123196,0.115556,0.104738,0.104982,0.11017400000000001,0.106958,0.116368,0.127476,0.1118,0.11998600000000001,0.11723,0.10983,0.122298,0.11757000000000001,0.113388,0.117532,0.129448,0.122976,0.11971199999999999,0.125836,0.11685599999999999,0.11575,0.110822,0.105172,0.114008,0.115978,0.103922,0.12687,0.11522400000000001,0.10638,0.11969400000000001,0.119298,0.122072,0.127196,0.131828,0.13824,0.13933,0.132928,0.147888,0.143244,0.136412,0.124584,0.130574,0.11881,0.09307800000000001,0.099688,0.094562,0.07762999999999999
28,0.09874200000000001,0.11033399999999999,0.10779400000000001,0.09899200000000001,0.095918,0.10204600000000001,0.097182,0.107362,0.11386399999999999,0.10006999999999999,0.11087400000000001,0.10622,0.10407,0.117852,0.10622,0.106452,0.11013799999999999,0.121422,0.115024,0.117128,0.118964,0.114884,0.11283,0.11079800000000001,0.105728,0.113692,0.116512,0.106638,0.12512,0.114126,0.10671000000000001,0.118426,0.11963199999999999,0.11842799999999999,0.123184,0.13120199999999999,0.13560999999999998,0.14039,0.133692,0.148322,0.139186,0.139588,0.125776,0.129136,0.11567,0.09613200000000001,0.101442,0.09994800000000001,0.08325
29,0.093356,0.09747199999999999,0.100032,0.09324600000000001,0.08685400000000001,0.093918,0.08740600000000001,0.098356,0.100252,0.08834,0.101762,0.09521,0.09831000000000001,0.11340599999999999,0.09487000000000001,0.099516,0.102744,0.113396,0.107072,0.11454399999999999,0.112092,0.112912,0.10991,0.110774,0.106284,0.113376,0.117046,0.10935399999999999,0.12337000000000001,0.113028,0.10704000000000001,0.117158,0.11996599999999999,0.11478400000000001,0.119172,0.130576,0.13298,0.14145,0.134456,0.148756,0.135128,0.142764,0.126968,0.127698,0.11253,0.099186,0.103196,0.105334,0.08887
30,0.08796999999999999,0.08461,0.09226999999999999,0.0875,0.07779000000000001,0.08579,0.07762999999999999,0.08935,0.08664,0.07661,0.09265000000000001,0.0842,0.09255,0.10895999999999999,0.08352,0.09258,0.09534999999999999,0.10537,0.09912,0.11195999999999999,0.10522,0.11094,0.10699,0.11075,0.10684,0.11306000000000001,0.11758,0.11206999999999999,0.12162,0.11193,0.10737000000000001,0.11589,0.12029999999999999,0.11114,0.11516,0.12994999999999998,0.13035,0.14251,0.13522,0.14919,0.13107,0.14594,0.12816,0.12626,0.10939,0.10224,0.10495,0.11072,0.09448999999999999
31,0.07640000000000001,0.077444,0.08240399999999999,0.07841,0.07039200000000001,0.078458,0.07165200000000001,0.08315399999999999,0.07854000000000001,0.071798,0.083506,0.07697200000000001,0.08531799999999999,0.095454,0.07531399999999999,0.084898,0.087296,0.09586,0.091644,0.099244,0.09321800000000001,0.098512,0.09664199999999999,0.10071,0.098238,0.102102,0.10664,0.10213799999999999,0.11006,0.100676,0.09855000000000001,0.106444,0.109164,0.103974,0.10661,0.119472,0.120598,0.129492,0.124574,0.13648400000000002,0.120486,0.13279,0.11921999999999999,0.11753800000000002,0.105328,0.095658,0.097416,0.101944,0.08646799999999999
32,0.06483,0.07027800000000001,0.07253799999999999,0.06931999999999999,0.062994,0.07112600000000001,0.065674,0.076958,0.07044,0.066986,0.074362,0.069744,0.078086,0.081948,0.067108,0.07721599999999999,0.07924199999999999,0.08635,0.084168,0.086528,0.08121600000000001,0.08608400000000001,0.086294,0.09067,0.089636,0.091144,0.09570000000000001,0.09220599999999998,0.0985,0.089422,0.08973,0.09699799999999999,0.09802799999999999,0.096808,0.09806000000000001,0.108994,0.110846,0.116474,0.113928,0.12377799999999999,0.109902,0.11964,0.11028,0.108816,0.10126600000000001,0.08907599999999999,0.089882,0.093168,0.078446
33,0.05326,0.063112,0.06267199999999999,0.060230000000000006,0.055596000000000007,0.063794,0.059696,0.070762,0.062340000000000007,0.062174,0.065218,0.062516,0.070854,0.06844199999999999,0.058902,0.069534,0.071188,0.07684,0.07669200000000001,0.073812,0.069214,0.07365599999999999,0.075946,0.08063,0.08103400000000001,0.08018600000000001,0.08475999999999999,0.082274,0.08694,0.078168,0.08091,0.08755199999999999,0.086892,0.089642,0.08950999999999999,0.09851599999999999,0.10109399999999999,0.103456,0.103282,0.111072,0.099318,0.10649,0.10133999999999999,0.100094,0.09720400000000001,0.082494,0.082348,0.084392,0.070424
34,0.041690000000000005,0.055945999999999996,0.052806,0.05114,0.048198,0.056462000000000005,0.053718,0.064566,0.054240000000000003,0.057361999999999996,0.056074,0.055288000000000004,0.063622,0.05493599999999999,0.050696,0.061852000000000004,0.063134,0.06733,0.06921600000000001,0.061096000000000004,0.057212000000000006,0.061228,0.065598,0.07059,0.072432,0.06922800000000001,0.07382,0.072342,0.07537999999999999,0.066914,0.07209,0.078106,0.075756,0.082476,0.08095999999999999,0.08803799999999999,0.09134199999999999,0.090438,0.092636,0.098366,0.08873400000000001,0.09334,0.0924,0.09137200000000001,0.093142,0.07591200000000001,0.07481399999999999,0.075616,0.062402
