edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00035,0.00051,0.00035999999999999997,0.00058,0.00049,0.00047,0.00058,0.00033,0.00041999999999999996,0.00035,0.00019,0.00011,8.999999999999999e-05,0.00017,0.00028000000000000003,0.00017,0.00027,0.00016,0.00020999999999999998,0.00017,5e-05,0.00016,0.00022,0.00011,0.0002,0.00014000000000000001,0.00017,0.00011,0.0003,0.00014000000000000001,0.00047,0.00047,0.00035,0.0003,0.00023999999999999998,0.00017999999999999998,0.00023,0.00015,0.0002,0.00022,0.00019,0.00023999999999999998,8.999999999999999e-05,0.00014000000000000001,0.00014000000000000001,2e-05,0.00011,2e-05,4e-05
11,0.007071999999999999,0.007896,0.008039999999999999,0.008187999999999999,0.00807,0.007836,0.007120000000000001,0.006158,0.005961999999999999,0.005704,0.005142000000000001,0.004948,0.004706,0.0048319999999999995,0.004384000000000001,0.003861999999999999,0.0038480000000000003,0.0033300000000000005,0.003032,0.002716,0.0024719999999999994,0.002592,0.002764,0.002662,0.0028860000000000005,0.003002,0.003796,0.003336,0.004068,0.0037140000000000003,0.004152,0.004044000000000001,0.004546,0.004229999999999999,0.0038399999999999997,0.003252,0.003188,0.0028439999999999997,0.002658,0.00287,0.002558,0.002388,0.0026219999999999998,0.0022299999999999998,0.002032,0.0018960000000000001,0.0016220000000000002,0.0014460000000000002,0.0013340000000000001
12,0.013793999999999999,0.015282,0.015719999999999998,0.015796,0.01565,0.015202,0.013660000000000002,0.011986,0.011504,0.011058,0.010093999999999999,0.009786,0.009322,0.009493999999999999,0.008487999999999999,0.007553999999999998,0.007426,0.006500000000000001,0.005854,0.005262,0.004893999999999999,0.005024,0.005307999999999999,0.005214000000000001,0.0055720000000000006,0.005863999999999999,0.007422,0.006562,0.007836,0.007288,0.007833999999999999,0.007618000000000001,0.008742,0.00816,0.00744,0.006324,0.0061459999999999996,0.005538,0.005116000000000001,0.00552,0.004926,0.004536,0.005154,0.004319999999999999,0.0039239999999999995,0.003772,0.003134,0.0028720000000000004,0.002628
13,0.020516,0.022668000000000004,0.023399999999999997,0.023403999999999998,0.02323,0.022567999999999998,0.020200000000000003,0.017814,0.017046,0.016412000000000003,0.015045999999999999,0.014623999999999998,0.013938000000000002,0.014156,0.012592,0.011245999999999997,0.011004000000000002,0.009670000000000002,0.008676000000000001,0.007808000000000001,0.007315999999999999,0.007455999999999999,0.007851999999999998,0.007766000000000001,0.008258000000000001,0.008726,0.011048,0.009788,0.011604,0.010862000000000002,0.011516,0.011192000000000002,0.012937999999999998,0.01209,0.011040000000000001,0.009396000000000002,0.009104,0.008232000000000001,0.007574000000000001,0.00817,0.007293999999999999,0.006684000000000001,0.007686,0.006409999999999999,0.005816,0.005647999999999999,0.004646,0.004298,0.003922
14,0.027238,0.030054,0.03108,0.031011999999999998,0.030809999999999997,0.029934,0.026740000000000003,0.023642,0.022588,0.021766,0.019998000000000002,0.019462,0.018554,0.018818,0.016696000000000003,0.014937999999999996,0.014582000000000001,0.012840000000000002,0.011498000000000001,0.010354,0.009738,0.009888,0.010395999999999999,0.010317999999999999,0.010944,0.011588,0.014674,0.013014,0.015372,0.014436000000000001,0.015198,0.014766000000000001,0.017134,0.01602,0.01464,0.012468,0.012062,0.010926,0.010032,0.01082,0.009661999999999999,0.008832000000000001,0.010218,0.0085,0.007708,0.007524,0.006158,0.005724,0.005216
15,0.033960000000000004,0.03744,0.038759999999999996,0.038619999999999995,0.03839,0.0373,0.033280000000000004,0.02947,0.02813,0.027120000000000002,0.02495,0.024300000000000002,0.023170000000000003,0.02348,0.0208,0.01863,0.01816,0.01601,0.014320000000000001,0.0129,0.01216,0.012320000000000001,0.01294,0.01287,0.013630000000000001,0.01445,0.0183,0.016239999999999997,0.01914,0.01801,0.018879999999999997,0.01834,0.02133,0.01995,0.01824,0.01554,0.01502,0.013619999999999998,0.01249,0.013470000000000001,0.012029999999999999,0.01098,0.01275,0.01059,0.0096,0.0094,0.00767,0.00715,0.00651
16,0.05841,0.064614,0.065106,0.064116,0.063418,0.060245999999999994,0.054292,0.049236,0.044456,0.04192,0.038340000000000006,0.036216,0.034707999999999996,0.034196,0.030932,0.028696,0.027018,0.02379,0.021085999999999997,0.018498,0.017288,0.016398,0.01686,0.016593999999999998,0.017574000000000003,0.018718,0.022682,0.021684,0.024358,0.02331,0.024272,0.024166,0.0269,0.026512,0.024052,0.021515999999999997,0.020424,0.019201999999999997,0.017655999999999998,0.018386,0.017242,0.016597999999999998,0.017522,0.015936,0.014811999999999997,0.014443999999999999,0.012507999999999998,0.01233,0.010960000000000001
17,0.08286,0.091788,0.09145199999999999,0.089612,0.088446,0.083192,0.075304,0.06900200000000001,0.060781999999999996,0.05672,0.051730000000000005,0.04813200000000001,0.046246,0.044912,0.041064,0.038762,0.035876000000000005,0.03157,0.027852000000000002,0.024096000000000003,0.022416,0.020475999999999998,0.02078,0.020318,0.021518000000000002,0.022985999999999996,0.027064,0.027128,0.029576,0.02861,0.029664000000000003,0.029991999999999998,0.03247,0.033074,0.029863999999999998,0.027492000000000003,0.025828,0.024784,0.022822,0.023302,0.022454000000000002,0.022216,0.022294,0.021282,0.020023999999999997,0.019488,0.017345999999999997,0.017509999999999998,0.01541
18,0.10731,0.11896199999999998,0.117798,0.115108,0.113474,0.10613800000000001,0.096316,0.088768,0.07710800000000001,0.07152000000000001,0.06512000000000001,0.060048000000000004,0.05778400000000001,0.055628,0.051196,0.048827999999999996,0.044734,0.039349999999999996,0.034618,0.029694,0.027543999999999996,0.024554000000000003,0.024700000000000003,0.024041999999999994,0.025462000000000002,0.027253999999999997,0.031445999999999995,0.032572000000000004,0.034794,0.033909999999999996,0.035056,0.035817999999999996,0.03804,0.039636,0.035676,0.033468000000000005,0.031232,0.030366,0.027988,0.028217999999999997,0.027666000000000003,0.027834,0.027066000000000003,0.026628,0.025235999999999998,0.024531999999999995,0.022184,0.02269,0.01986
19,0.13176,0.146136,0.144144,0.14060399999999998,0.13850200000000001,0.129084,0.117328,0.108534,0.093434,0.08632000000000001,0.07851000000000001,0.071964,0.06932200000000001,0.066344,0.061328,0.05889399999999999,0.053592,0.04713,0.041384,0.035292000000000004,0.032672,0.028632,0.02862,0.027766,0.029405999999999998,0.031522,0.035828000000000006,0.03801600000000001,0.040012,0.039209999999999995,0.040448000000000005,0.041644,0.043609999999999996,0.046198,0.041488,0.039444,0.036635999999999995,0.035948,0.033153999999999996,0.033134000000000004,0.032878,0.033451999999999996,0.031838,0.031974,0.030447999999999992,0.029576,0.027021999999999997,0.02787,0.024310000000000002
20,0.15621000000000002,0.17331,0.17049,0.1661,0.16353,0.15203,0.13834,0.12830000000000003,0.10976000000000001,0.10112,0.09190000000000001,0.08388,0.08086,0.07706,0.07146,0.06896,0.062450000000000006,0.054909999999999994,0.04815,0.04089,0.0378,0.03271,0.03254,0.03149,0.033350000000000005,0.03579,0.04021,0.04346,0.04523,0.04451,0.045840000000000006,0.04747,0.04918,0.05276,0.047299999999999995,0.04542,0.04204,0.041530000000000004,0.03832,0.03805,0.038090000000000006,0.03907,0.03661,0.03732,0.03566,0.03462,0.03186,0.033049999999999996,0.02876
21,0.166082,0.181008,0.177022,0.172674,0.168666,0.158232,0.14353200000000002,0.13615,0.117734,0.109428,0.101316,0.093548,0.090732,0.08735,0.082868,0.079582,0.07433,0.06776399999999999,0.061225999999999996,0.052734,0.049768,0.044418,0.043396000000000004,0.041378,0.042120000000000005,0.045329999999999995,0.048516,0.05086,0.052238,0.05124599999999999,0.052338,0.053644,0.05559,0.058811999999999996,0.053772,0.051546,0.048771999999999996,0.047404,0.044882,0.044897999999999993,0.04506,0.045944000000000006,0.043351999999999995,0.044014000000000005,0.041786000000000004,0.04064,0.038612,0.038844000000000004,0.035306000000000004
22,0.175954,0.188706,0.183554,0.179248,0.17380199999999998,0.164434,0.14872400000000002,0.144,0.125708,0.11773600000000001,0.110732,0.10321599999999999,0.100604,0.09764,0.094276,0.09020399999999999,0.08621000000000001,0.080618,0.07430199999999999,0.064578,0.061736,0.056126,0.054251999999999995,0.051266000000000006,0.05089,0.054869999999999995,0.056822000000000004,0.05826,0.05924599999999999,0.057982,0.058836,0.059817999999999996,0.062,0.064864,0.060244,0.057671999999999994,0.055504000000000005,0.053278000000000006,0.051444000000000004,0.051746,0.05203,0.052818,0.05009399999999999,0.050707999999999996,0.047911999999999996,0.04665999999999999,0.045364,0.044638,0.04185200000000001
23,0.185826,0.196404,0.190086,0.18582200000000001,0.178938,0.17063599999999998,0.153916,0.15185,0.13368200000000002,0.126044,0.12014799999999999,0.112884,0.110476,0.10793,0.105684,0.100826,0.09809,0.09347200000000001,0.08737799999999998,0.076422,0.07370399999999999,0.067834,0.065108,0.061154,0.05966,0.06441,0.065128,0.06566,0.066254,0.06471799999999998,0.065334,0.06599200000000001,0.06841,0.07091599999999999,0.066716,0.06379800000000001,0.06223600000000001,0.059152,0.058006,0.058594,0.059,0.059692,0.056836,0.057402,0.054038,0.05268,0.052116,0.050432000000000005,0.04839800000000001
24,0.19569799999999998,0.204102,0.196618,0.19239599999999998,0.18407400000000002,0.176838,0.159108,0.1597,0.141656,0.134352,0.12956399999999998,0.122552,0.120348,0.11822,0.117092,0.11144799999999999,0.10997,0.106326,0.10045399999999999,0.088266,0.085672,0.079542,0.075964,0.07104200000000001,0.06843,0.07394999999999999,0.073434,0.07306,0.073262,0.07145399999999999,0.071832,0.072166,0.07482000000000001,0.076968,0.07318799999999999,0.069924,0.068968,0.06502600000000001,0.064568,0.06544200000000001,0.06597,0.066566,0.063578,0.064096,0.060164,0.0587,0.058868000000000004,0.056226,0.054944
25,0.20557,0.21180000000000002,0.20315,0.19897,0.18921000000000002,0.18303999999999998,0.1643,0.16755,0.14962999999999999,0.14266,0.13898,0.13222,0.13022,0.12850999999999999,0.1285,0.12207,0.12185,0.11918000000000001,0.11353,0.10011,0.09764,0.09125,0.08682,0.08093,0.0772,0.08349,0.08174,0.08045999999999999,0.08027,0.07819,0.07833,0.07834,0.08123000000000001,0.08302,0.07966,0.07604999999999999,0.0757,0.0709,0.07113,0.07229000000000001,0.07293999999999999,0.07343999999999999,0.07032,0.07079,0.06629,0.06472,0.06562,0.062020000000000006,0.06149
26,0.192152,0.19808800000000001,0.18868200000000002,0.184764,0.17586000000000002,0.16994399999999998,0.15233000000000002,0.15465,0.13838399999999998,0.13280599999999998,0.128958,0.122704,0.12106,0.119738,0.120222,0.115508,0.115128,0.11399600000000001,0.10874800000000001,0.097348,0.095874,0.092006,0.088916,0.083706,0.08079399999999999,0.086974,0.086168,0.08522199999999999,0.085966,0.084336,0.08427799999999999,0.08518,0.085942,0.08797400000000001,0.084872,0.081756,0.080926,0.076674,0.07686,0.07867,0.07932800000000001,0.079024,0.076958,0.076298,0.07250200000000001,0.07042399999999999,0.071634,0.06780599999999999,0.06656400000000001
27,0.17873399999999998,0.184376,0.174214,0.170558,0.16251,0.156848,0.14036,0.14175,0.127138,0.12295199999999999,0.11893599999999999,0.113188,0.1119,0.110966,0.111944,0.108946,0.10840599999999999,0.108812,0.103966,0.094586,0.094108,0.092762,0.091012,0.086482,0.084388,0.090458,0.090596,0.089984,0.091662,0.09048199999999999,0.090226,0.09202,0.09065400000000001,0.092928,0.090084,0.087462,0.086152,0.08244800000000001,0.08259,0.08505,0.085716,0.084608,0.083596,0.081806,0.07871399999999999,0.076128,0.077648,0.073592,0.07163800000000001
