edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0002,0.00019,0.00035999999999999997,0.00037,0.00029,0.00045,0.00057,0.00051,0.00033,0.00039,0.00017999999999999998,0.0002,0.00011999999999999999,0.00011999999999999999,0.00016,0.00022,0.00014000000000000001,8e-05,0.0,8.999999999999999e-05,0.0002,5e-05,5e-05,0.0001,0.00013000000000000002,0.00020999999999999998,0.00017999999999999998,0.00013000000000000002,0.00023,0.00017999999999999998,0.00017999999999999998,8e-05,0.00020999999999999998,0.00020999999999999998,8e-05,2.9999999999999997e-05,0.00013000000000000002,5e-05,0.00011999999999999999,7.000000000000001e-05,8.999999999999999e-05,7.000000000000001e-05,0.00013000000000000002,8.999999999999999e-05,5.9999999999999995e-05,2e-05,5.9999999999999995e-05,8e-05,0.0
11,0.0061660000000000005,0.0064139999999999996,0.006784,0.006664,0.006600000000000001,0.006258,0.006188000000000001,0.006247999999999999,0.005862,0.005457999999999999,0.005186,0.004772,0.004373999999999999,0.00427,0.0033520000000000004,0.003118,0.00281,0.0024980000000000002,0.0022760000000000002,0.002104,0.0022360000000000006,0.001878,0.001942,0.002176,0.0024899999999999996,0.002714,0.0027860000000000003,0.002686,0.002786,0.0031040000000000004,0.003128,0.00328,0.003278,0.003264,0.002434,0.0023380000000000002,0.0021399999999999995,0.00196,0.0019820000000000003,0.001728,0.0016140000000000002,0.001582,0.0016339999999999998,0.001412,0.0012980000000000001,0.001136,0.0011680000000000002,0.00102,0.0009019999999999999
12,0.012132,0.012637999999999998,0.013208,0.012957999999999999,0.01291,0.012065999999999999,0.011806,0.011985999999999998,0.011394,0.010526,0.010192,0.009344,0.008627999999999999,0.00842,0.006544,0.006016,0.00548,0.004916,0.0045520000000000005,0.004118,0.0042720000000000015,0.0037059999999999997,0.0038339999999999997,0.004252,0.004849999999999999,0.0052179999999999995,0.005392,0.005242,0.005342,0.006028,0.006076,0.00648,0.006346,0.006318,0.004788000000000001,0.004646000000000001,0.004149999999999999,0.0038699999999999993,0.003844,0.0033859999999999997,0.0031379999999999997,0.003094,0.0031379999999999997,0.002734,0.002536,0.002252,0.0022760000000000002,0.0019600000000000004,0.0018039999999999998
13,0.018098,0.018861999999999997,0.019631999999999997,0.019252,0.019219999999999998,0.017873999999999998,0.017424,0.017724,0.016926,0.015594,0.015198,0.013916,0.012881999999999998,0.01257,0.009736,0.008914000000000002,0.008150000000000001,0.007334,0.006828000000000002,0.006132,0.006308000000000002,0.005534,0.005726,0.006327999999999999,0.00721,0.0077220000000000006,0.007998000000000002,0.007798,0.007898,0.008952000000000002,0.009023999999999999,0.00968,0.009414000000000002,0.009372,0.007142000000000001,0.006954000000000002,0.00616,0.005779999999999999,0.005706,0.005044000000000001,0.004662,0.004606,0.004642,0.004056,0.003774,0.0033680000000000003,0.0033840000000000003,0.0029000000000000002,0.0027059999999999996
14,0.024064,0.025085999999999997,0.026055999999999996,0.025546,0.02553,0.023681999999999998,0.023042,0.023462,0.022458,0.020662,0.020204,0.018488,0.017136,0.016720000000000002,0.012928,0.011812000000000001,0.01082,0.009752,0.009104000000000001,0.008146,0.008344,0.007362,0.007618,0.008404,0.00957,0.010226,0.010604,0.010354,0.010454000000000001,0.011876000000000001,0.011972,0.012879999999999999,0.012482000000000002,0.012426,0.009496000000000001,0.009262000000000001,0.00817,0.007689999999999999,0.007568,0.006702,0.006186,0.006118,0.0061459999999999996,0.005378,0.005012,0.004484,0.004492,0.00384,0.0036079999999999997
15,0.03003,0.03131,0.032479999999999995,0.03184,0.03184,0.02949,0.02866,0.0292,0.027989999999999998,0.02573,0.02521,0.023059999999999997,0.02139,0.02087,0.016120000000000002,0.01471,0.01349,0.01217,0.011380000000000001,0.01016,0.01038,0.00919,0.00951,0.01048,0.01193,0.01273,0.013210000000000001,0.01291,0.013009999999999999,0.0148,0.01492,0.016079999999999997,0.015550000000000001,0.01548,0.01185,0.01157,0.01018,0.0096,0.00943,0.00836,0.00771,0.00763,0.0076500000000000005,0.0067,0.00625,0.0056,0.0056,0.00478,0.00451
16,0.052504,0.054564,0.054512,0.05313,0.05217,0.049378,0.047392,0.045926,0.0431,0.039856,0.037962,0.034491999999999995,0.032156,0.030768,0.025204,0.023462,0.022387999999999998,0.019719999999999998,0.017866,0.015816,0.014981999999999999,0.013596,0.013571999999999999,0.014218,0.015354,0.016102,0.016946000000000003,0.016916,0.01764,0.019212,0.019718,0.021183999999999998,0.020810000000000002,0.021416,0.017366,0.017324000000000003,0.015431999999999998,0.01466,0.013896,0.013334,0.012079999999999999,0.011859999999999999,0.011668,0.010512,0.010244,0.009465999999999999,0.008726,0.007970000000000001,0.007850000000000001
17,0.074978,0.077818,0.076544,0.07442,0.0725,0.06926600000000001,0.06612399999999999,0.062652,0.058210000000000005,0.053982,0.050713999999999995,0.04592399999999999,0.042921999999999995,0.040665999999999994,0.034288,0.032214,0.031286,0.02727,0.024352,0.021472,0.019584,0.018002000000000004,0.017634,0.017956000000000003,0.018778,0.019474,0.020682000000000002,0.020921999999999996,0.022269999999999998,0.023624000000000003,0.024516,0.026288,0.02607,0.027351999999999998,0.022882,0.023078,0.020683999999999998,0.019719999999999998,0.018362000000000003,0.018308,0.01645,0.01609,0.015686,0.014324000000000002,0.014237999999999999,0.013331999999999998,0.011852,0.01116,0.011190000000000002
18,0.097452,0.10107200000000001,0.098576,0.09570999999999999,0.09283000000000001,0.089154,0.084856,0.079378,0.07332000000000001,0.068108,0.063466,0.057356,0.053688,0.050564,0.043372,0.040965999999999995,0.040184,0.034820000000000004,0.030838,0.027128,0.024186,0.022408,0.021695999999999997,0.021694,0.022202000000000003,0.022846,0.024418,0.024928,0.0269,0.028036000000000002,0.029314,0.031392,0.03133,0.033288,0.028398000000000003,0.028832,0.025936,0.02478,0.022828,0.023281999999999997,0.020819999999999998,0.02032,0.019703999999999996,0.018136,0.018231999999999998,0.017198,0.014978,0.014350000000000002,0.014530000000000003
19,0.119926,0.124326,0.120608,0.117,0.11316000000000001,0.109042,0.103588,0.096104,0.08843000000000001,0.082234,0.076218,0.068788,0.06445400000000001,0.060462,0.052456,0.049718,0.049082,0.04237,0.037323999999999996,0.032784,0.028787999999999998,0.026814,0.025758000000000003,0.025432000000000003,0.025626000000000003,0.026217999999999998,0.028154,0.028933999999999998,0.03153,0.032448,0.034111999999999996,0.036496,0.036590000000000004,0.039223999999999995,0.033914,0.034586,0.031188,0.029839999999999995,0.027294,0.028255999999999996,0.025189999999999997,0.024550000000000002,0.023721999999999993,0.021948,0.022226,0.021064,0.018104,0.01754,0.017870000000000004
20,0.1424,0.14758000000000002,0.14264,0.13829,0.13349,0.12893000000000002,0.12232,0.11283,0.10354000000000001,0.09636,0.08897,0.08022,0.07522,0.07036,0.06154,0.05847,0.05798,0.04992,0.04381,0.038439999999999995,0.03339,0.031219999999999998,0.02982,0.02917,0.02905,0.029589999999999998,0.03189,0.03294,0.03616,0.03686,0.03890999999999999,0.0416,0.04185,0.04516,0.03943,0.04034,0.03644,0.0349,0.031760000000000004,0.033229999999999996,0.02956,0.02878,0.027739999999999997,0.02576,0.02622,0.02493,0.02123,0.020730000000000002,0.02121
21,0.153646,0.15715800000000002,0.15053199999999997,0.146304,0.139598,0.13514199999999998,0.127902,0.120482,0.11033600000000002,0.104146,0.09629599999999999,0.08832599999999999,0.08369199999999999,0.078826,0.07011400000000001,0.068024,0.067922,0.061412,0.055042,0.049066,0.044542,0.04176,0.040288,0.03805,0.038082,0.038956000000000005,0.04046,0.040924,0.044059999999999995,0.044674,0.045734,0.048216,0.04856,0.051548,0.04582,0.04646,0.042932000000000005,0.041392,0.037888,0.039658,0.036848,0.03596,0.03459399999999999,0.032510000000000004,0.032284,0.030582,0.027246000000000003,0.025864,0.026002
