edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00011999999999999999,0.0,0.0,0.0,0.0,0.0,0.00029,0.00015,0.0,0.00015,0.00015,0.0,0.00015,0.0,0.00015,0.0,0.00047999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.00031,0.00062,0.0,0.0,0.00032,0.0,0.00033,0.00032
11,0.0020420000000000004,0.002444,0.002604,0.002724,0.003364,0.0036320000000000002,0.0029280000000000005,0.0034,0.0025940000000000004,0.003238,0.0025879999999999996,0.0027960000000000003,0.00309,0.002184,0.002164,0.001852,0.002162,0.001356,0.001242,0.001222,0.001112,0.001108,0.001004,0.00115,0.0009480000000000001,0.000644,0.0011539999999999999,0.0009960000000000001,0.001248,0.0010760000000000001,0.001164,0.001734,0.0017280000000000002,0.001628,0.001322,0.00181,0.0009519999999999999,0.0017079999999999997,0.001754,0.001794,0.00202,0.0021319999999999998,0.002278,0.0013839999999999998,0.0008179999999999999,0.001136,0.0008640000000000001,0.0014860000000000001,0.001472
12,0.0039640000000000005,0.004888,0.005208,0.005448,0.006728,0.0072640000000000005,0.005566000000000001,0.0066500000000000005,0.005188000000000001,0.006326000000000001,0.005026,0.005592000000000001,0.006030000000000001,0.004368,0.004178000000000001,0.003704,0.0038439999999999998,0.002712,0.002484,0.002444,0.002224,0.002216,0.002008,0.0023,0.0018960000000000001,0.001288,0.0023079999999999997,0.0019920000000000003,0.002496,0.0021520000000000003,0.002328,0.003468,0.0031660000000000004,0.002956,0.002644,0.00362,0.0019039999999999999,0.0034159999999999993,0.003508,0.003588,0.0037199999999999998,0.003954,0.003936,0.0027679999999999996,0.0016359999999999999,0.0019520000000000002,0.0017280000000000002,0.0026420000000000003,0.0026239999999999996
13,0.005886,0.007332,0.007812,0.008171999999999999,0.010091999999999999,0.010896000000000001,0.008204000000000001,0.0099,0.007782000000000001,0.009414,0.007463999999999999,0.008388000000000001,0.00897,0.0065520000000000005,0.006192000000000001,0.005555999999999999,0.005526,0.0040680000000000004,0.003726,0.003666,0.0033359999999999996,0.003324,0.003012,0.00345,0.002844,0.001932,0.003462,0.0029880000000000006,0.003744,0.0032280000000000004,0.0034920000000000003,0.005202,0.0046040000000000005,0.004284,0.003966,0.00543,0.002856,0.005123999999999998,0.005262,0.005382,0.00542,0.005775999999999999,0.005594,0.0041519999999999994,0.0024539999999999996,0.002768,0.0025920000000000006,0.0037980000000000006,0.0037759999999999994
14,0.007808000000000001,0.009776,0.010416,0.010896,0.013456,0.014528000000000001,0.010842000000000001,0.01315,0.010376000000000002,0.012502000000000001,0.009902,0.011184000000000001,0.01191,0.008736,0.008206000000000001,0.007408,0.007208,0.005424,0.004968,0.004888,0.004448,0.004432,0.004016,0.0046,0.0037920000000000002,0.002576,0.0046159999999999994,0.0039840000000000006,0.004992,0.0043040000000000005,0.004656,0.006936,0.0060420000000000005,0.005612,0.005288,0.00724,0.0038079999999999998,0.006831999999999999,0.007016,0.007176,0.0071200000000000005,0.007597999999999999,0.007252000000000001,0.005535999999999999,0.0032719999999999997,0.003584,0.0034560000000000003,0.004954000000000001,0.004928
15,0.00973,0.01222,0.01302,0.013619999999999998,0.01682,0.01816,0.01348,0.016399999999999998,0.01297,0.01559,0.01234,0.013980000000000001,0.01485,0.01092,0.01022,0.00926,0.00889,0.0067800000000000004,0.00621,0.00611,0.00556,0.00554,0.005019999999999999,0.00575,0.00474,0.00322,0.00577,0.00498,0.00624,0.00538,0.0058200000000000005,0.00867,0.0074800000000000005,0.00694,0.00661,0.00905,0.0047599999999999995,0.008539999999999999,0.00877,0.00897,0.00882,0.00942,0.00891,0.00692,0.00409,0.0044,0.00432,0.00611,0.00608
16,0.022058,0.027022,0.027257999999999998,0.028838,0.031453999999999996,0.032774,0.028482,0.028239999999999998,0.025572000000000004,0.026778,0.022882,0.023236,0.022085999999999998,0.018751999999999998,0.016714,0.015166,0.014222,0.011698,0.010352,0.010330000000000002,0.008237999999999999,0.009532,0.007873999999999999,0.0077859999999999995,0.007372,0.005862,0.008091999999999998,0.007102000000000001,0.008346,0.00701,0.007428,0.010706,0.009468,0.009678,0.009548,0.011796000000000001,0.0069500000000000004,0.010468,0.010754,0.010614,0.01055,0.011556,0.010394,0.009728,0.006516,0.006534000000000001,0.0074,0.008190000000000001,0.008426
17,0.03438599999999999,0.04182400000000001,0.041496,0.044056,0.046088,0.047388000000000007,0.043483999999999995,0.04008,0.038174,0.03796599999999999,0.033423999999999995,0.03249200000000001,0.029322,0.026583999999999997,0.023208,0.021072000000000004,0.019554,0.016616,0.014494,0.01455,0.010916,0.013524000000000001,0.010728,0.009822,0.010003999999999999,0.008504,0.010414,0.009224,0.010452,0.008639999999999998,0.009035999999999999,0.012742000000000002,0.011456000000000001,0.012416,0.012486,0.014542000000000001,0.00914,0.012395999999999999,0.012738,0.012258000000000002,0.01228,0.013692,0.011878,0.012536000000000002,0.008942,0.008667999999999999,0.01048,0.010270000000000001,0.010771999999999999
18,0.046714,0.056626,0.05573399999999999,0.05927399999999999,0.060721999999999984,0.062001999999999995,0.058486,0.051919999999999994,0.050775999999999995,0.049153999999999996,0.04396599999999999,0.04174800000000001,0.036558,0.034415999999999995,0.029702,0.026978000000000002,0.024885999999999995,0.021534,0.018636000000000003,0.018770000000000002,0.013593999999999998,0.017515999999999997,0.013582,0.011858,0.012636,0.011146000000000001,0.012736,0.011346,0.012558,0.01027,0.010644,0.014778000000000003,0.013444000000000001,0.015153999999999999,0.015424,0.017288,0.011330000000000002,0.014324,0.014722,0.013902000000000001,0.01401,0.015828,0.013361999999999999,0.015344000000000002,0.011367999999999998,0.010801999999999999,0.01356,0.012350000000000002,0.013117999999999998
19,0.059042000000000004,0.071428,0.06997199999999999,0.07449199999999999,0.07535599999999999,0.076616,0.073488,0.06376,0.063378,0.060342,0.054507999999999994,0.05100400000000001,0.043794,0.042248,0.036196,0.032884000000000004,0.030217999999999995,0.026452000000000003,0.022778000000000003,0.022990000000000003,0.016272,0.021508,0.016436,0.013894,0.015267999999999999,0.013788,0.015058,0.013468,0.014664,0.011899999999999999,0.012251999999999999,0.016814,0.015432000000000003,0.017891999999999998,0.018362000000000003,0.020034,0.01352,0.016252,0.016706000000000002,0.015546,0.015739999999999997,0.017963999999999997,0.014845999999999998,0.018152,0.013793999999999999,0.012936,0.016640000000000002,0.014430000000000004,0.015463999999999999
