edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00011,8e-05,0.00017,0.00016,0.00022,0.00017999999999999998,0.00013000000000000002,0.00026000000000000003,0.00013000000000000002,8e-05,8e-05,8e-05,5e-05,2e-05,2e-05,0.0001,5e-05,0.0,2.9999999999999997e-05,0.0,7.000000000000001e-05,4e-05,0.00011,0.00016,8e-05,8.999999999999999e-05,8.999999999999999e-05,5e-05,5e-05,0.0,0.0,0.0,0.0,0.00011,0.0,5e-05,5e-05,0.0001,0.00015,0.0,0.0,0.0,0.0,8.999999999999999e-05,0.0,0.0,0.0,5e-05,5e-05
11,0.007762,0.009146,0.009729999999999999,0.009676000000000002,0.00975,0.009602000000000001,0.007972,0.007516,0.006833999999999999,0.0058260000000000004,0.00578,0.00495,0.004619999999999999,0.004174,0.003684,0.0031460000000000004,0.0028139999999999997,0.002494,0.002392,0.0018559999999999998,0.001788,0.0016760000000000004,0.0017560000000000002,0.00163,0.001624,0.001474,0.001466,0.0012980000000000001,0.0014080000000000002,0.001246,0.001302,0.001322,0.0013640000000000002,0.001464,0.0011979999999999998,0.001248,0.00128,0.001284,0.0012239999999999998,0.0008160000000000001,0.000718,0.0005980000000000001,0.000716,0.0007840000000000001,0.0005480000000000001,0.000584,0.00043200000000000004,0.00044599999999999994,0.00043599999999999997
12,0.015413999999999997,0.018211999999999996,0.019289999999999998,0.019192000000000004,0.01928,0.019024,0.015814,0.014772,0.013537999999999998,0.011572,0.01148,0.00982,0.00919,0.008327999999999999,0.0073479999999999995,0.0061920000000000005,0.005578,0.004988,0.004754,0.0037119999999999996,0.0035059999999999996,0.0033120000000000007,0.003402,0.0031,0.0031680000000000002,0.002858,0.0028419999999999995,0.0025459999999999997,0.0027660000000000002,0.002492,0.002604,0.002644,0.0027280000000000004,0.0028179999999999998,0.0023959999999999997,0.002446,0.0025099999999999996,0.002468,0.0022979999999999997,0.0016320000000000002,0.001436,0.0011960000000000002,0.001432,0.0014780000000000001,0.0010960000000000002,0.001168,0.0008640000000000001,0.000842,0.000822
13,0.023065999999999996,0.027277999999999997,0.028849999999999997,0.028708000000000004,0.028809999999999995,0.028446000000000003,0.023656000000000003,0.022028000000000002,0.020241999999999993,0.017317999999999997,0.01718,0.01469,0.013759999999999998,0.012482,0.011012000000000001,0.009238000000000001,0.008342,0.007482000000000001,0.007116000000000001,0.005568,0.005224,0.004948000000000001,0.005048000000000001,0.00457,0.004712,0.004241999999999999,0.004218,0.0037939999999999996,0.004124,0.003738,0.003906,0.003966,0.004092,0.0041719999999999995,0.003594,0.0036439999999999997,0.00374,0.003652,0.0033719999999999996,0.0024480000000000005,0.002154,0.0017940000000000002,0.0021479999999999997,0.0021720000000000003,0.001644,0.0017519999999999999,0.0012960000000000003,0.001238,0.0012079999999999999
14,0.030717999999999995,0.036343999999999994,0.03841,0.038224,0.03834,0.037868,0.031498,0.029284,0.026945999999999994,0.023064,0.022879999999999998,0.019559999999999998,0.01833,0.016635999999999998,0.014676,0.012284000000000002,0.011106,0.009976,0.009478,0.007423999999999999,0.006942,0.006584000000000001,0.006694000000000001,0.00604,0.006256,0.005625999999999999,0.005593999999999999,0.005042,0.005482,0.004984,0.005208,0.005288,0.005456000000000001,0.005526,0.004791999999999999,0.004842,0.00497,0.004835999999999999,0.004445999999999999,0.0032640000000000004,0.002872,0.0023920000000000005,0.002864,0.002866,0.0021920000000000004,0.002336,0.0017280000000000002,0.0016339999999999998,0.0015940000000000001
15,0.038369999999999994,0.04541,0.04797,0.047740000000000005,0.047869999999999996,0.04729,0.03934,0.036539999999999996,0.03365,0.02881,0.028579999999999998,0.02443,0.0229,0.02079,0.01834,0.01533,0.013869999999999999,0.01247,0.01184,0.00928,0.00866,0.00822,0.00834,0.00751,0.0078,0.00701,0.00697,0.0062900000000000005,0.00684,0.00623,0.00651,0.00661,0.0068200000000000005,0.00688,0.0059900000000000005,0.00604,0.0062,0.006019999999999999,0.00552,0.00408,0.00359,0.00299,0.0035800000000000003,0.0035600000000000002,0.0027400000000000002,0.00292,0.00216,0.0020299999999999997,0.00198
16,0.063132,0.070978,0.07281399999999999,0.072456,0.07018200000000001,0.06817400000000001,0.05698,0.053104,0.04795,0.04307,0.041662,0.036578000000000006,0.034308,0.031982,0.029212,0.025334,0.023176000000000002,0.021138,0.019716,0.015614000000000001,0.014324,0.013684000000000002,0.013028,0.011547999999999998,0.011980000000000001,0.011108,0.01102,0.009926,0.010612,0.009904,0.01007,0.010152000000000001,0.01047,0.010788,0.009766000000000002,0.009658,0.008958,0.009058,0.007883999999999999,0.00691,0.006221999999999999,0.005958,0.006458,0.006112,0.005470000000000001,0.0053479999999999995,0.004188000000000001,0.004152,0.003954
17,0.087894,0.09654599999999999,0.097658,0.097172,0.09249399999999999,0.08905800000000001,0.07462,0.06966800000000001,0.06225,0.05733,0.054744,0.048726,0.04571599999999999,0.043174,0.040084,0.035338,0.032482,0.029806000000000006,0.027592,0.021948,0.019988,0.019148000000000002,0.017716000000000003,0.015586,0.01616,0.015206,0.01507,0.013562000000000001,0.014384000000000001,0.013578000000000002,0.01363,0.013694000000000001,0.01412,0.014696,0.013542000000000002,0.013276,0.011716,0.012096,0.010248,0.00974,0.008853999999999999,0.008925999999999998,0.009335999999999999,0.008664,0.008199999999999999,0.007776,0.006216,0.006274000000000001,0.005927999999999999
18,0.112656,0.122114,0.12250200000000001,0.12188800000000001,0.114806,0.10994200000000001,0.09226000000000001,0.086232,0.07655,0.07159,0.067826,0.060874000000000004,0.057123999999999994,0.054366,0.050956,0.045342,0.041788000000000006,0.038474,0.035468000000000006,0.028282000000000005,0.025651999999999998,0.024612000000000002,0.022404000000000004,0.019623999999999996,0.02034,0.019304,0.019119999999999998,0.017198,0.018156,0.017252000000000003,0.017189999999999997,0.017236,0.01777,0.018604,0.017318000000000004,0.016894,0.014474,0.015134,0.012611999999999998,0.01257,0.011486000000000001,0.011893999999999998,0.012214,0.011216,0.01093,0.010204000000000001,0.008244,0.008396,0.007902
19,0.137418,0.147682,0.147346,0.14660399999999998,0.137118,0.13082600000000003,0.10990000000000001,0.102796,0.09085,0.08585,0.080908,0.07302199999999999,0.068532,0.06555799999999999,0.061828,0.055346,0.051094,0.047142,0.043343999999999994,0.034616,0.031316,0.030076000000000002,0.027092,0.023662,0.02452,0.023402000000000003,0.02317,0.020834,0.021927999999999996,0.020926000000000004,0.02075,0.020778,0.02142,0.022512,0.021094,0.020512,0.017232,0.018172,0.014976,0.0154,0.014118,0.014861999999999998,0.015092,0.013768,0.01366,0.012631999999999999,0.010272,0.010518000000000001,0.009876
