edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0003,0.00011999999999999999,5.9999999999999995e-05,0.00031,5.9999999999999995e-05,0.00027,0.00014000000000000001,0.00020999999999999998,0.00028000000000000003,0.00022,0.0,0.0,0.00015,8e-05,0.0,8e-05,0.0,8.999999999999999e-05,0.0,0.0,0.0001,0.00020999999999999998,0.00011,0.0,0.00011999999999999999,0.00038,0.00039,0.0,0.0004,0.0,0.00014000000000000001,0.00028000000000000003,0.00044,0.0003,0.0,0.00015,0.0,0.00015,0.0,0.0003,0.0,0.00029,0.00029,0.00014000000000000001,0.0,0.00015,0.0,0.0,0.00015
11,0.0021979999999999994,0.002936,0.002424,0.0036360000000000008,0.003004,0.003450000000000001,0.0030900000000000003,0.003296,0.0035779999999999996,0.0031579999999999998,0.002944,0.002834,0.002614,0.002418,0.001982,0.001866,0.00198,0.0016660000000000002,0.0014,0.0013460000000000002,0.0013880000000000001,0.0011240000000000002,0.001174,0.0009019999999999999,0.0012399999999999998,0.001286,0.0014900000000000002,0.000796,0.001746,0.001456,0.0017759999999999998,0.001654,0.002124,0.0021619999999999994,0.0017079999999999997,0.001452,0.00177,0.0013119999999999998,0.001224,0.002152,0.001024,0.001962,0.0015840000000000001,0.001052,0.001482,0.0015499999999999997,0.000968,0.00135,0.0013579999999999998
12,0.004095999999999999,0.005752,0.004788,0.006962,0.005947999999999999,0.0066300000000000005,0.00604,0.006382,0.006875999999999999,0.006095999999999999,0.005888,0.005668,0.005078,0.004756,0.003964,0.0036520000000000003,0.00396,0.003242,0.0028,0.0026920000000000004,0.002676,0.0020380000000000003,0.0022379999999999995,0.0018039999999999998,0.0023599999999999997,0.0021920000000000004,0.0025900000000000003,0.001592,0.0030919999999999997,0.002912,0.003412,0.0030280000000000003,0.0038079999999999998,0.004023999999999999,0.0034159999999999993,0.002754,0.00354,0.0024739999999999996,0.002448,0.004004,0.002048,0.0036340000000000005,0.002878,0.0019640000000000005,0.002964,0.00295,0.001936,0.0027,0.0025659999999999997
13,0.0059939999999999985,0.008568,0.0071519999999999995,0.010288000000000002,0.008892,0.009810000000000003,0.008990000000000001,0.009468,0.010173999999999997,0.009034,0.008832000000000001,0.008502000000000001,0.007542,0.0070940000000000005,0.005946,0.005438000000000001,0.005939999999999999,0.004817999999999999,0.004199999999999999,0.004038,0.003964,0.0029519999999999998,0.003301999999999999,0.0027059999999999996,0.0034799999999999996,0.003098,0.0036900000000000006,0.002388,0.004438,0.004368,0.0050479999999999995,0.0044020000000000005,0.005492,0.005885999999999998,0.005123999999999998,0.004056,0.0053100000000000005,0.0036359999999999995,0.003672,0.005855999999999999,0.003072,0.005306,0.0041719999999999995,0.002876000000000001,0.004445999999999999,0.00435,0.002904,0.004050000000000001,0.0037739999999999996
14,0.007891999999999998,0.011383999999999998,0.009516,0.013614000000000003,0.011836000000000001,0.012990000000000002,0.011940000000000001,0.012554000000000001,0.013471999999999998,0.011972,0.011776,0.011336,0.010006000000000001,0.009432000000000001,0.007928,0.007224,0.00792,0.006394,0.0056,0.005384000000000001,0.005252,0.003866,0.004366,0.0036079999999999997,0.0046,0.004004000000000001,0.00479,0.003184,0.005784,0.005824,0.006683999999999999,0.005776000000000001,0.007176,0.007747999999999999,0.006831999999999999,0.005358000000000001,0.00708,0.004798,0.004896,0.007708,0.004096,0.006978000000000001,0.005466,0.0037880000000000006,0.005928,0.00575,0.003872,0.0054,0.004982
15,0.009789999999999998,0.014199999999999999,0.01188,0.01694,0.01478,0.01617,0.01489,0.01564,0.01677,0.01491,0.01472,0.01417,0.01247,0.01177,0.00991,0.00901,0.0099,0.00797,0.007,0.006730000000000001,0.00654,0.00478,0.00543,0.00451,0.005719999999999999,0.00491,0.005889999999999999,0.00398,0.00713,0.00728,0.008320000000000001,0.00715,0.00886,0.009609999999999999,0.008539999999999999,0.00666,0.00885,0.00596,0.0061200000000000004,0.00956,0.00512,0.00865,0.0067599999999999995,0.0047,0.00741,0.00715,0.00484,0.00675,0.00619
16,0.02185,0.028094,0.027323999999999998,0.031978,0.030927999999999997,0.031786,0.028905999999999998,0.02908,0.027857999999999997,0.025448000000000002,0.024218000000000003,0.022875999999999997,0.02175,0.020086,0.017272,0.015482,0.015376,0.013280000000000002,0.011528,0.010684,0.009992000000000001,0.00777,0.008028,0.007282,0.00782,0.007686,0.008064,0.006353999999999999,0.009044,0.009272,0.010036,0.009280000000000002,0.011506,0.012237999999999999,0.01164,0.009518,0.011266,0.009,0.008958,0.011612,0.0076760000000000005,0.010564,0.008924,0.006974,0.009616,0.008784,0.00663,0.008721999999999999,0.008058
17,0.033909999999999996,0.041988,0.042768,0.047016,0.047076,0.047402,0.042921999999999995,0.04252,0.038945999999999995,0.035986000000000004,0.033716,0.031582,0.031030000000000002,0.028401999999999997,0.024634,0.021954,0.020852000000000002,0.01859,0.016056,0.014638,0.013444000000000001,0.01076,0.010626000000000002,0.010054,0.00992,0.010461999999999999,0.010237999999999999,0.008728,0.010958,0.011264,0.011751999999999999,0.01141,0.014152,0.014865999999999999,0.014739999999999998,0.012376,0.013681999999999998,0.012039999999999999,0.011796,0.013664,0.010232,0.012478,0.011087999999999999,0.009248000000000001,0.011822000000000001,0.010417999999999998,0.00842,0.010693999999999999,0.009926
18,0.04597,0.05588200000000001,0.05821199999999999,0.062054000000000005,0.063224,0.063018,0.056938,0.05596000000000001,0.050033999999999995,0.046524,0.043214,0.040288,0.04031,0.036717999999999994,0.031996,0.028425999999999996,0.026328000000000004,0.0239,0.020584,0.018591999999999997,0.016896,0.01375,0.013224,0.012826,0.01202,0.013238,0.012412000000000001,0.011101999999999999,0.012872,0.013256,0.013468,0.01354,0.016797999999999997,0.017494,0.017839999999999998,0.015233999999999998,0.016097999999999998,0.015080000000000001,0.014634000000000001,0.015716,0.012788,0.014392,0.013251999999999998,0.011522000000000001,0.014028000000000002,0.012052,0.010209999999999999,0.012666,0.011794
19,0.05803,0.06977599999999999,0.07365599999999999,0.077092,0.079372,0.078634,0.070954,0.0694,0.061122,0.057061999999999995,0.052712,0.048994,0.049589999999999995,0.04503399999999999,0.039358000000000004,0.034898,0.031804,0.02921,0.025112000000000002,0.022546,0.020348,0.016739999999999998,0.015822,0.015598,0.01412,0.016014,0.014586000000000002,0.013475999999999998,0.014786,0.015247999999999998,0.015184,0.01567,0.019444,0.020122,0.020939999999999997,0.018092,0.018514,0.01812,0.017471999999999998,0.017768,0.015343999999999998,0.016305999999999998,0.015416,0.013796,0.016234000000000002,0.013686,0.012,0.014638,0.013661999999999999
