edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0002,0.00032,0.00035,0.0006,0.00076,0.00064,0.00057,0.00078,0.0007,0.00047999999999999996,0.00035999999999999997,0.00023999999999999998,0.00027,0.00015,0.00028000000000000003,0.00029,0.00023,0.00023,0.00023999999999999998,0.00025,0.00017999999999999998,0.00019,0.00016,0.00029,0.00013000000000000002,8.999999999999999e-05,0.00013000000000000002,0.00017999999999999998,0.00022,4e-05,0.00014000000000000001,0.00023,5e-05,0.00017999999999999998,0.00017999999999999998,0.00013000000000000002,0.00017,8.999999999999999e-05,0.00017,0.00013000000000000002,8e-05,8e-05,4e-05,0.0,0.0,8e-05,0.0,4e-05,4e-05
11,0.009393999999999998,0.010435999999999999,0.009975999999999999,0.009839999999999998,0.0103,0.010466000000000001,0.009720000000000001,0.008291999999999999,0.007676,0.0069900000000000006,0.0062,0.005600000000000001,0.005718,0.005046,0.004694,0.004438000000000001,0.004052000000000001,0.003648,0.0035540000000000003,0.003172,0.0027660000000000002,0.002702,0.0031420000000000003,0.003104,0.0033580000000000003,0.002876,0.002746,0.0030060000000000004,0.002524,0.00229,0.002866,0.0028419999999999995,0.003,0.0026880000000000003,0.0024720000000000002,0.0019599999999999995,0.0019439999999999998,0.0018180000000000004,0.001542,0.001682,0.001508,0.0014,0.001054,0.001046,0.000904,0.0008179999999999999,0.00047599999999999997,0.0005780000000000001,0.000634
12,0.018587999999999997,0.020552,0.019602,0.01908,0.019840000000000003,0.020292,0.01887,0.015804,0.014651999999999997,0.013500000000000002,0.012039999999999999,0.010960000000000001,0.011166,0.009942,0.009107999999999998,0.008586,0.007874,0.007066000000000001,0.006868,0.006094,0.005351999999999999,0.005214000000000001,0.006124000000000001,0.0059180000000000005,0.006586000000000001,0.0056619999999999995,0.0053620000000000004,0.0058319999999999995,0.004828,0.00454,0.005592,0.005454,0.00595,0.005196,0.004764,0.003789999999999999,0.0037179999999999995,0.003546,0.0029140000000000004,0.003234,0.002936,0.0027199999999999998,0.002068,0.002092,0.001808,0.001556,0.0009519999999999999,0.001116,0.001228
13,0.027781999999999998,0.030668,0.029228,0.028319999999999998,0.029380000000000007,0.030118000000000002,0.028020000000000003,0.023316000000000003,0.021627999999999998,0.02001,0.01788,0.01632,0.016614,0.014837999999999999,0.013522,0.012734000000000002,0.011696000000000002,0.010484000000000002,0.010182,0.009015999999999998,0.007937999999999999,0.007726,0.009106000000000001,0.008732,0.009814000000000002,0.008448,0.007978,0.008657999999999999,0.007131999999999999,0.00679,0.008318,0.008065999999999999,0.008900000000000002,0.007704,0.007056000000000001,0.005619999999999998,0.0054919999999999995,0.005274000000000001,0.004286000000000001,0.004786,0.004364,0.004039999999999999,0.0030819999999999997,0.0031379999999999997,0.0027119999999999996,0.002294,0.001428,0.001654,0.001822
14,0.036976,0.040784,0.038854,0.037559999999999996,0.03892,0.039944,0.03717,0.030828,0.028603999999999994,0.026520000000000002,0.023719999999999998,0.02168,0.022062000000000002,0.019733999999999998,0.017936,0.016882,0.015518,0.013902000000000001,0.013496000000000001,0.011937999999999999,0.010523999999999999,0.010237999999999999,0.012088000000000002,0.011545999999999999,0.013042000000000002,0.011234,0.010594000000000001,0.011484,0.009436,0.00904,0.011044,0.010677999999999998,0.011850000000000001,0.010212,0.009348,0.007449999999999998,0.007265999999999999,0.007002,0.005658000000000001,0.006338,0.005791999999999999,0.005359999999999999,0.004096,0.004184,0.003616,0.003032,0.0019039999999999999,0.0021920000000000004,0.0024159999999999997
15,0.04617,0.0509,0.048479999999999995,0.046799999999999994,0.04846,0.04977,0.04632,0.038340000000000006,0.03558,0.033030000000000004,0.02956,0.027039999999999998,0.027510000000000003,0.02463,0.022350000000000002,0.02103,0.01934,0.01732,0.01681,0.01486,0.01311,0.01275,0.01507,0.01436,0.01627,0.01402,0.013210000000000001,0.01431,0.01174,0.01129,0.01377,0.01329,0.0148,0.01272,0.011640000000000001,0.00928,0.00904,0.00873,0.007030000000000001,0.00789,0.00722,0.006679999999999999,0.00511,0.00523,0.00452,0.00377,0.0023799999999999997,0.00273,0.0030099999999999997
16,0.069882,0.073242,0.07006799999999999,0.067758,0.067758,0.06833,0.0633,0.054218,0.050188,0.046278,0.042268,0.038001999999999994,0.038136,0.035182000000000005,0.032798,0.030724,0.028048000000000003,0.02558,0.023674,0.021067999999999996,0.018784,0.01865,0.0195,0.018931999999999997,0.020763999999999998,0.018632,0.018574,0.01923,0.015771999999999998,0.016055999999999997,0.018071999999999998,0.018241999999999998,0.019620000000000002,0.018074000000000003,0.016184,0.014416,0.013161999999999998,0.01291,0.010662000000000001,0.011448,0.011178,0.010508,0.00939,0.008904,0.008147999999999999,0.006993999999999999,0.005642,0.00552,0.005744
17,0.093594,0.095584,0.091656,0.088716,0.08705599999999998,0.08688999999999998,0.08028,0.070096,0.06479599999999999,0.059525999999999996,0.054976,0.048964,0.048762,0.045734000000000004,0.043246,0.040418,0.036756,0.03384,0.030538000000000003,0.027275999999999998,0.024457999999999997,0.024550000000000002,0.02393,0.023503999999999997,0.025258000000000003,0.023244,0.023938,0.024149999999999998,0.019804,0.020822,0.022374,0.023194,0.024439999999999996,0.023428000000000004,0.020728,0.019552,0.017283999999999997,0.01709,0.014294000000000001,0.015006,0.015136,0.014336,0.013670000000000002,0.012578,0.011776,0.010218,0.008904,0.00831,0.008478
18,0.117306,0.11792600000000002,0.113244,0.10967400000000001,0.10635399999999999,0.10544999999999999,0.09725999999999999,0.08597400000000001,0.079404,0.072774,0.067684,0.05992599999999999,0.059388,0.056286,0.053694000000000006,0.050112,0.045464000000000004,0.0421,0.037402,0.033484,0.030132,0.03045,0.02836,0.028076,0.029752000000000004,0.027856000000000002,0.029301999999999998,0.02907,0.023836,0.025588,0.026676000000000002,0.028146,0.029259999999999998,0.028782000000000002,0.025272,0.024688,0.021405999999999998,0.02127,0.017926,0.018564,0.019094,0.018164000000000003,0.01795,0.016252000000000003,0.015404,0.013442,0.012166,0.011100000000000002,0.011212
19,0.14101799999999998,0.140268,0.134832,0.130632,0.12565199999999999,0.12401,0.11424000000000001,0.101852,0.094012,0.08602199999999999,0.08039199999999999,0.070888,0.07001399999999999,0.06683800000000001,0.06414199999999999,0.059806,0.05417200000000001,0.05036,0.04426600000000001,0.039692,0.035806,0.03635,0.03279,0.032647999999999996,0.034246000000000006,0.032468000000000004,0.034665999999999995,0.03398999999999999,0.027867999999999993,0.030354,0.030978000000000002,0.033098,0.03408,0.034136,0.029816,0.029823999999999996,0.025528,0.02545,0.021558,0.022122,0.023052000000000003,0.021992,0.02223,0.019926000000000003,0.019032,0.016666,0.015428,0.013890000000000001,0.013946
