edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00014000000000000001,0.00028000000000000003,0.00014000000000000001,0.00015,0.00015,0.0,0.00017,0.0,0.00035,0.0,0.0,0.0,0.0,0.00038,0.0,0.0,0.0,0.00022,0.0,0.00023999999999999998,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.00085,0.0005600000000000001,0.00028000000000000003,0.0,0.0,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0018199999999999998,0.0023959999999999997,0.0016560000000000001,0.0025239999999999998,0.0033560000000000005,0.002278,0.00271,0.002888,0.0026,0.00242,0.002232,0.0022299999999999998,0.002198,0.002668,0.0019140000000000001,0.0017280000000000002,0.0018,0.001436,0.0013599999999999999,0.0010459999999999998,0.001322,0.0008779999999999999,0.001178,0.0007700000000000001,0.0010400000000000001,0.0011179999999999999,0.000914,0.001252,0.0016899999999999999,0.0018059999999999999,0.002206,0.0022,0.002074,0.002686,0.0023740000000000002,0.0026340000000000005,0.00198,0.001626,0.001772,0.0015760000000000001,0.000954,0.000844,0.001184,0.0007840000000000001,0.00095,0.0008300000000000001,0.000552,0.0010960000000000002,0.000748
12,0.0034999999999999996,0.004512,0.0031720000000000003,0.004898,0.006562000000000001,0.004556,0.00525,0.005776,0.004849999999999999,0.00484,0.004464,0.0044599999999999996,0.004396,0.0049559999999999995,0.0038280000000000002,0.0034560000000000003,0.0036,0.0026520000000000003,0.0027199999999999998,0.0018519999999999997,0.002644,0.0017559999999999997,0.002356,0.0015400000000000001,0.0020800000000000003,0.001946,0.001828,0.002504,0.0033799999999999998,0.0036119999999999998,0.004412,0.00411,0.004148,0.004521999999999999,0.004188000000000001,0.004988,0.00396,0.003252,0.0029939999999999997,0.0031520000000000003,0.001908,0.001688,0.002368,0.0015680000000000002,0.0019,0.0016600000000000002,0.001104,0.0021920000000000004,0.001496
13,0.005179999999999999,0.006628000000000001,0.0046879999999999995,0.007271999999999999,0.009768000000000002,0.006834,0.00779,0.008664,0.0070999999999999995,0.00726,0.0066960000000000006,0.00669,0.006593999999999999,0.007243999999999999,0.005742000000000001,0.005184000000000001,0.0054,0.003868,0.00408,0.0026579999999999993,0.003966,0.0026339999999999996,0.003534,0.00231,0.00312,0.002774,0.002742,0.0037560000000000002,0.00507,0.005417999999999999,0.006618000000000001,0.00602,0.006221999999999999,0.006357999999999999,0.006002,0.0073420000000000004,0.005939999999999999,0.004878,0.004216,0.0047279999999999996,0.002862,0.002532,0.0035519999999999996,0.0023520000000000004,0.0028499999999999997,0.00249,0.0016559999999999997,0.003288,0.002244
14,0.006859999999999999,0.008744,0.0062039999999999994,0.009645999999999998,0.012974000000000001,0.009112,0.01033,0.011552,0.009349999999999999,0.00968,0.008928,0.008919999999999999,0.008792,0.009532,0.0076560000000000005,0.006912000000000001,0.0072,0.005084,0.0054399999999999995,0.0034639999999999996,0.005288,0.0035119999999999995,0.004712,0.0030800000000000003,0.0041600000000000005,0.0036019999999999997,0.003656,0.005008,0.0067599999999999995,0.0072239999999999995,0.008824,0.007930000000000001,0.008296,0.008194,0.007816,0.009696,0.00792,0.006504,0.005438,0.006304000000000001,0.003816,0.003376,0.004736,0.0031360000000000003,0.0038,0.0033200000000000005,0.002208,0.004384000000000001,0.002992
15,0.008539999999999999,0.01086,0.007719999999999999,0.01202,0.01618,0.01139,0.01287,0.01444,0.0116,0.0121,0.01116,0.01115,0.01099,0.01182,0.00957,0.00864,0.009,0.0063,0.0068,0.0042699999999999995,0.00661,0.00439,0.005889999999999999,0.00385,0.0052,0.00443,0.00457,0.00626,0.00845,0.00903,0.01103,0.00984,0.010369999999999999,0.010029999999999999,0.009630000000000001,0.01205,0.0099,0.00813,0.00666,0.00788,0.00477,0.00422,0.00592,0.00392,0.00475,0.00415,0.00276,0.0054800000000000005,0.0037400000000000003
16,0.024812,0.030518,0.027798,0.029274,0.033232,0.026564,0.026314,0.026936,0.023774,0.022717999999999995,0.02127,0.01961,0.017731999999999998,0.017943999999999998,0.01614,0.015104000000000001,0.014702,0.011882,0.010731999999999998,0.008856,0.010536,0.007261999999999999,0.008672000000000001,0.006752000000000001,0.00802,0.007104,0.007644,0.0089,0.01145,0.011828,0.013885999999999999,0.013392,0.013931999999999998,0.014778,0.013842000000000002,0.015996,0.013826,0.011192,0.009964,0.010948000000000001,0.008204000000000001,0.0069900000000000006,0.008657999999999999,0.007336,0.008276,0.00707,0.005124,0.007704000000000001,0.00646
17,0.041084,0.050176000000000005,0.047875999999999995,0.04652800000000001,0.050284,0.041738,0.039757999999999995,0.039432,0.035948,0.033336,0.03138,0.02807,0.024474,0.024068,0.02271,0.021568,0.020404,0.017464,0.014664,0.013442,0.014462,0.010134,0.011454,0.009654,0.01084,0.009778,0.010718,0.01154,0.01445,0.014626,0.016741999999999996,0.016944000000000004,0.017494,0.019525999999999998,0.018054,0.019942,0.017752000000000004,0.014254000000000001,0.013268,0.014016,0.011637999999999999,0.009760000000000001,0.011396000000000002,0.010752,0.011802,0.00999,0.007488,0.009928000000000001,0.009179999999999999
18,0.057356000000000004,0.06983400000000001,0.06795399999999999,0.06378199999999999,0.067336,0.056912000000000004,0.05320199999999999,0.051927999999999995,0.048122,0.04395399999999999,0.04148999999999999,0.03653,0.031216,0.030192,0.02928,0.028032000000000005,0.026106,0.023046,0.018596,0.018028,0.018387999999999998,0.013006,0.014236,0.012556,0.01366,0.012452000000000001,0.013792000000000002,0.01418,0.01745,0.017424,0.019597999999999997,0.020496000000000004,0.021056,0.024274,0.022266000000000005,0.023888000000000003,0.021678000000000003,0.017316,0.016572,0.017084,0.015071999999999999,0.012530000000000001,0.014134,0.014167999999999998,0.015328,0.01291,0.009852,0.012152000000000001,0.0119
19,0.07362800000000001,0.089492,0.088032,0.081036,0.084388,0.07208600000000001,0.066646,0.06442400000000001,0.060296,0.054571999999999996,0.05159999999999999,0.04499,0.037958,0.036316,0.03585,0.034496,0.031808,0.028628,0.022528,0.022614000000000002,0.022314,0.015878,0.017018000000000002,0.015458,0.01648,0.015126,0.016866,0.01682,0.02045,0.020222,0.022454000000000002,0.024048000000000003,0.024618,0.029022,0.026478,0.027834000000000005,0.025604000000000002,0.020378,0.019875999999999998,0.020152,0.018506,0.015300000000000001,0.016872,0.017583999999999995,0.018854,0.01583,0.012216,0.014376000000000002,0.01462
