edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00032,0.00027,0.00025,0.00035999999999999997,0.00035999999999999997,0.00035999999999999997,0.00033,0.00029,0.0003,0.00022,0.00019,0.00016,0.00013000000000000002,0.00015,0.00013000000000000002,0.00014000000000000001,0.00017,0.00014000000000000001,0.00019,0.00017,8e-05,0.00014000000000000001,0.00011,0.00011,0.00013000000000000002,0.00020999999999999998,0.00014000000000000001,0.00017999999999999998,0.00011999999999999999,0.00026000000000000003,0.00017999999999999998,0.00022,0.00016,0.00020999999999999998,0.00017,0.00011999999999999999,0.00014000000000000001,0.0001,0.00014000000000000001,0.00011999999999999999,8.999999999999999e-05,0.00011,0.00017999999999999998,7.000000000000001e-05,0.0001,0.0001,8.999999999999999e-05,0.00011999999999999999,0.00011
11,0.005928,0.006578,0.007242,0.007426,0.007400000000000001,0.007418,0.006737999999999999,0.006492,0.006351999999999999,0.0058839999999999995,0.005456000000000001,0.005162000000000001,0.004934,0.004738,0.004178,0.00378,0.0034679999999999997,0.003398,0.00315,0.002662,0.0025060000000000004,0.0022600000000000003,0.002666,0.002356,0.0024439999999999996,0.00261,0.002746,0.0028360000000000004,0.00268,0.003102,0.003202,0.003242,0.0033,0.0034779999999999998,0.00313,0.0027840000000000005,0.0021839999999999997,0.0021060000000000002,0.002002,0.001952,0.00176,0.0018520000000000003,0.001748,0.001518,0.00159,0.0014460000000000002,0.0012460000000000001,0.0012799999999999999,0.001136
12,0.011536,0.012886,0.014234,0.014492,0.014440000000000001,0.014476,0.013146,0.012693999999999999,0.012404,0.011548,0.010721999999999999,0.010164000000000001,0.009738000000000002,0.009326000000000001,0.008226,0.007419999999999999,0.0067659999999999994,0.006656,0.00611,0.005154,0.004932000000000001,0.00438,0.005222,0.004602,0.004757999999999999,0.00501,0.005351999999999999,0.005492,0.00524,0.005944,0.0062239999999999995,0.006264,0.0064399999999999995,0.006745999999999999,0.00609,0.005448000000000001,0.004227999999999999,0.004112,0.0038639999999999994,0.003784,0.00343,0.0035940000000000004,0.0033160000000000004,0.002966,0.0030800000000000003,0.002792,0.002402,0.00244,0.002162
13,0.017144,0.019194,0.021226,0.021558,0.021480000000000003,0.021533999999999998,0.019553999999999995,0.018896,0.018456,0.017211999999999995,0.015988,0.015166000000000002,0.014542000000000001,0.013914,0.012274,0.011059999999999999,0.010063999999999998,0.009914000000000001,0.009069999999999998,0.007646,0.007358000000000001,0.0065,0.007778,0.006848,0.007071999999999998,0.007409999999999999,0.007958,0.008147999999999999,0.0078,0.008786,0.009245999999999999,0.009285999999999999,0.009579999999999998,0.010013999999999999,0.009049999999999999,0.008112,0.006271999999999998,0.006118,0.0057259999999999985,0.005616,0.0050999999999999995,0.005336000000000001,0.004884,0.0044139999999999995,0.004569999999999999,0.004138,0.0035580000000000004,0.0035999999999999995,0.0031880000000000003
14,0.022751999999999998,0.025502,0.028218,0.028624,0.028520000000000004,0.028592,0.025961999999999995,0.025098,0.024508,0.022875999999999997,0.021254000000000002,0.020168000000000002,0.019346,0.018501999999999998,0.016322,0.0147,0.013361999999999999,0.013172000000000001,0.012029999999999999,0.010138,0.009784000000000001,0.008620000000000001,0.010334,0.009094,0.009385999999999999,0.009810000000000001,0.010564,0.010804000000000001,0.01036,0.011628,0.012268,0.012308,0.012719999999999999,0.013282,0.01201,0.010775999999999999,0.008315999999999999,0.008124000000000001,0.007587999999999998,0.007448000000000001,0.00677,0.007078000000000001,0.006452,0.005862,0.006059999999999999,0.005484,0.004714,0.0047599999999999995,0.004214000000000001
15,0.02836,0.03181,0.03521,0.03569,0.03556,0.03565,0.032369999999999996,0.0313,0.03056,0.02854,0.02652,0.02517,0.024149999999999998,0.02309,0.020370000000000003,0.01834,0.01666,0.01643,0.01499,0.01263,0.01221,0.01074,0.01289,0.01134,0.011699999999999999,0.01221,0.01317,0.013460000000000001,0.01292,0.01447,0.01529,0.01533,0.01586,0.016550000000000002,0.01497,0.013439999999999999,0.01036,0.01013,0.00945,0.00928,0.00844,0.00882,0.00802,0.00731,0.007549999999999999,0.00683,0.00587,0.00592,0.00524
16,0.050662,0.057068,0.06041,0.05985,0.05818400000000001,0.057946,0.05192399999999999,0.049724000000000004,0.046572,0.043328000000000005,0.039257999999999994,0.03668,0.035019999999999996,0.033346,0.030042000000000003,0.027984000000000002,0.025619999999999997,0.024484000000000002,0.022298000000000002,0.018894,0.01726,0.015196000000000001,0.016626000000000002,0.014724000000000001,0.015117999999999998,0.015596,0.016104,0.016516000000000003,0.016318000000000003,0.017916,0.018836,0.019164,0.020072,0.02144,0.019592,0.018006,0.014745999999999999,0.014276,0.013553999999999998,0.013052,0.012405999999999999,0.012504,0.011564,0.010646,0.010834,0.010461999999999999,0.00916,0.009148,0.008806000000000001
17,0.072964,0.082326,0.08561,0.08401,0.080808,0.080242,0.07147799999999999,0.068148,0.062584,0.058116,0.051995999999999994,0.04819,0.04589,0.043602,0.039714,0.037628,0.03458,0.032538,0.029606,0.025158,0.022310000000000003,0.019652,0.020362,0.018108,0.018536,0.018982,0.019038,0.019572,0.019716,0.021362,0.022382000000000003,0.022998,0.024284,0.02633,0.024214,0.022572000000000002,0.019131999999999996,0.018421999999999997,0.017658,0.016824,0.016372,0.016187999999999998,0.015107999999999998,0.013982,0.014117999999999999,0.014093999999999997,0.01245,0.012376000000000002,0.012372
18,0.095266,0.107584,0.11081,0.10817000000000002,0.10343200000000001,0.102538,0.09103199999999999,0.086572,0.078596,0.072904,0.064734,0.0597,0.05676,0.053858,0.049386,0.04727200000000001,0.043539999999999995,0.040591999999999996,0.036914,0.031422000000000005,0.02736,0.024108000000000004,0.024097999999999998,0.021492,0.021954,0.022368000000000002,0.021972000000000002,0.022628,0.023114000000000003,0.024808,0.025928,0.026832,0.028496,0.031219999999999998,0.028835999999999997,0.027138000000000002,0.023518,0.022567999999999998,0.021762,0.020595999999999996,0.020338000000000002,0.019872,0.018652,0.017317999999999997,0.017402,0.017726,0.01574,0.015604000000000002,0.015938
19,0.11756799999999999,0.132842,0.13601,0.13233,0.126056,0.124834,0.11058599999999999,0.10499599999999999,0.094608,0.087692,0.077472,0.07121000000000001,0.06763,0.064114,0.059058000000000006,0.056915999999999994,0.0525,0.048646,0.044222000000000004,0.037686,0.032409999999999994,0.028564,0.027834,0.024876000000000002,0.025372,0.025754000000000003,0.024905999999999998,0.025684,0.026512,0.028253999999999998,0.029474000000000004,0.030666000000000002,0.032708,0.036109999999999996,0.033458,0.031704,0.027903999999999998,0.026713999999999998,0.025866,0.024367999999999997,0.024304,0.023555999999999997,0.022195999999999997,0.020654,0.020686,0.021358,0.019030000000000002,0.018832,0.019503999999999997
