edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005200000000000001,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.000906,0.000764,0.0011220000000000002,0.00159,0.001468,0.0013,0.001528,0.001682,0.00236,0.002096,0.002048,0.001622,0.00189,0.0022299999999999998,0.0019579999999999997,0.001374,0.00103,0.000618,0.0009,0.000628,0.00093,0.00044400000000000006,0.000618,0.000646,0.000592,0.0010500000000000002,0.00044800000000000005,0.00035999999999999997,0.0013679999999999999,0.001886,0.0020659999999999997,0.0013039999999999998,0.001228,0.0022679999999999996,0.001848,0.0026079999999999996,0.0012079999999999999,0.001522,0.001238,0.0008300000000000001,0.001544,0.0011519999999999998,0.0009400000000000001,0.001036,0.001034,0.00093,0.0007199999999999999,0.0008160000000000001,0.000504
12,0.001812,0.001528,0.0022440000000000003,0.00318,0.002936,0.0026,0.003056,0.003364,0.00472,0.004192,0.004096,0.003244,0.00378,0.0044599999999999996,0.003915999999999999,0.002748,0.00206,0.001236,0.0018,0.001256,0.00186,0.0008880000000000001,0.001236,0.001292,0.001184,0.0021000000000000003,0.0008960000000000001,0.0007199999999999999,0.0027359999999999997,0.003252,0.003602,0.0026079999999999996,0.002456,0.004535999999999999,0.003696,0.005215999999999999,0.0024159999999999997,0.003044,0.002476,0.0016600000000000002,0.003088,0.0023039999999999996,0.0018800000000000002,0.002072,0.002068,0.00186,0.0014399999999999999,0.0016320000000000002,0.001008
13,0.002718,0.0022919999999999998,0.0033660000000000005,0.004770000000000001,0.004404,0.0039000000000000003,0.0045839999999999995,0.005045999999999999,0.007080000000000001,0.006288,0.006144,0.004866,0.00567,0.00669,0.005873999999999999,0.004122,0.00309,0.0018540000000000002,0.0027,0.0018839999999999998,0.00279,0.0013320000000000003,0.0018540000000000002,0.0019380000000000003,0.0017759999999999998,0.0031500000000000005,0.0013440000000000004,0.00108,0.004103999999999999,0.004618000000000001,0.005138000000000001,0.003912,0.003684,0.006803999999999999,0.005544,0.007824,0.0036239999999999996,0.004566,0.003714,0.00249,0.004632,0.0034559999999999994,0.0028200000000000005,0.003108,0.003102,0.00279,0.00216,0.0024480000000000005,0.001512
14,0.003624,0.003056,0.004488000000000001,0.00636,0.005872,0.0052,0.006112,0.006728,0.00944,0.008384,0.008192,0.006488,0.00756,0.008919999999999999,0.007831999999999999,0.005496,0.00412,0.002472,0.0036,0.002512,0.00372,0.0017760000000000002,0.002472,0.002584,0.002368,0.004200000000000001,0.0017920000000000002,0.0014399999999999999,0.0054719999999999994,0.005984,0.006674,0.005215999999999999,0.004912,0.009071999999999998,0.007392,0.010431999999999999,0.0048319999999999995,0.006088,0.004952,0.0033200000000000005,0.006176,0.004607999999999999,0.0037600000000000003,0.004144,0.004136,0.00372,0.0028799999999999997,0.0032640000000000004,0.002016
15,0.00453,0.00382,0.00561,0.00795,0.00734,0.0065,0.00764,0.00841,0.011800000000000001,0.01048,0.01024,0.00811,0.00945,0.01115,0.009789999999999998,0.00687,0.00515,0.00309,0.0045,0.00314,0.0046500000000000005,0.00222,0.00309,0.00323,0.00296,0.00525,0.0022400000000000002,0.0018,0.00684,0.00735,0.00821,0.00652,0.00614,0.01134,0.00924,0.01304,0.00604,0.0076100000000000004,0.00619,0.00415,0.007719999999999999,0.0057599999999999995,0.0047,0.00518,0.00517,0.0046500000000000005,0.0036,0.00408,0.00252
16,0.014978000000000002,0.01685,0.019122,0.020048,0.020272,0.019386000000000004,0.018694,0.019332000000000002,0.019936,0.018987999999999998,0.018392,0.016122,0.016636,0.017128,0.015946,0.012544000000000001,0.010144,0.008678000000000002,0.009624,0.007618000000000001,0.006934,0.0049180000000000005,0.005198,0.005468,0.00562,0.00739,0.00517,0.005755999999999999,0.009529999999999999,0.010757999999999998,0.011044,0.010054,0.00954,0.015712,0.013771999999999998,0.015794,0.008742000000000002,0.010432,0.009838000000000001,0.0073679999999999995,0.009442,0.009172000000000001,0.0073360000000000005,0.008236,0.008150000000000001,0.007412000000000001,0.0070999999999999995,0.006474000000000001,0.0056099999999999995
17,0.025426,0.029880000000000004,0.032634,0.032146,0.03320399999999999,0.03227200000000001,0.029747999999999997,0.030254,0.028072,0.027496000000000003,0.026543999999999998,0.024134,0.023822000000000003,0.023106,0.022102,0.018218,0.015138,0.014266,0.014748,0.012096,0.009218,0.0076159999999999995,0.007306,0.007705999999999999,0.008280000000000001,0.009529999999999999,0.008100000000000001,0.009712,0.012219999999999998,0.014166,0.013878,0.013588000000000001,0.01294,0.020084000000000005,0.018303999999999997,0.018548,0.011444000000000001,0.013254000000000002,0.013486000000000001,0.010585999999999998,0.011164,0.012584,0.009972000000000002,0.011292,0.01113,0.010173999999999999,0.0106,0.008868000000000001,0.0087
18,0.035874,0.042910000000000004,0.046146,0.044244,0.046135999999999996,0.045158000000000004,0.04080199999999999,0.041176000000000004,0.036208,0.03600400000000001,0.034696,0.032146,0.031008000000000008,0.029083999999999995,0.028258000000000002,0.023892000000000004,0.020131999999999997,0.019854,0.019872,0.016574,0.011501999999999998,0.010314,0.009414,0.009944000000000001,0.010940000000000002,0.011669999999999998,0.011030000000000002,0.013668,0.01491,0.017574,0.016712,0.017122,0.01634,0.024456000000000002,0.022836,0.021301999999999998,0.014146,0.016076,0.017134,0.013803999999999997,0.012886,0.015996,0.012608000000000001,0.014348,0.01411,0.012936,0.0141,0.011262000000000001,0.011789999999999998
19,0.046322,0.055940000000000004,0.059658,0.056341999999999996,0.059067999999999996,0.058044000000000005,0.05185599999999999,0.052098,0.044343999999999995,0.044512,0.042848,0.040158,0.038194000000000006,0.035061999999999996,0.034414,0.029566000000000002,0.025126,0.025442,0.024996,0.021052,0.013786,0.013012000000000001,0.011522000000000001,0.012182,0.013600000000000001,0.01381,0.01396,0.017623999999999997,0.0176,0.020982,0.019546,0.020655999999999997,0.019739999999999997,0.028828000000000003,0.027367999999999996,0.024055999999999998,0.016848000000000002,0.018897999999999998,0.020782,0.017022,0.014608000000000001,0.019408,0.015244,0.017404,0.01709,0.015698,0.0176,0.013656,0.014879999999999999
