edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00022,5e-05,5e-05,0.0001,0.00025,0.00025,0.00025,0.0001,0.0001,0.0001,0.00014000000000000001,0.0,8.999999999999999e-05,8.999999999999999e-05,0.0,8.999999999999999e-05,0.0,5e-05,5e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00011999999999999999,0.0,0.00026000000000000003,7.000000000000001e-05,7.000000000000001e-05,7.000000000000001e-05,0.0,0.0004,0.00019,0.00011999999999999999,5.9999999999999995e-05,0.00011999999999999999,0.00017,0.0,0.00020999999999999998,0.00011,5e-05,0.0001,0.0001,5e-05,0.00015,0.0,0.0,4e-05,0.00013000000000000002,0.0,8.999999999999999e-05,0.00013000000000000002
11,0.00445,0.0054659999999999995,0.0055839999999999996,0.006268,0.006494,0.00603,0.004834000000000001,0.004559999999999999,0.0033599999999999993,0.003246,0.003162,0.002984,0.002828,0.002798,0.0021379999999999997,0.002216,0.002004,0.0016500000000000002,0.0014700000000000002,0.0014320000000000001,0.0014320000000000001,0.001316,0.001222,0.001592,0.001378,0.002044,0.002372,0.002242,0.002504,0.00277,0.002536,0.0028,0.003176,0.0035359999999999996,0.0027,0.002628,0.0023239999999999997,0.002228,0.0016900000000000003,0.0014520000000000002,0.0013340000000000001,0.0015819999999999999,0.00117,0.001342,0.0012079999999999999,0.001218,0.0009119999999999999,0.0007859999999999999,0.001028
12,0.008680000000000002,0.010882,0.011118000000000001,0.012436,0.012738,0.01181,0.009418000000000001,0.009019999999999999,0.006619999999999998,0.006391999999999999,0.006183999999999999,0.005968,0.005566,0.0055060000000000005,0.004275999999999999,0.004342,0.004008,0.00325,0.00289,0.002804,0.002804,0.002512,0.002444,0.0029240000000000004,0.002686,0.004018,0.004674,0.004484,0.004608,0.005350000000000001,0.004952,0.005539999999999999,0.0062320000000000006,0.006901999999999999,0.0054,0.005046,0.004538,0.004405999999999999,0.003280000000000001,0.002804,0.0026179999999999997,0.0030139999999999998,0.00234,0.002684,0.002376,0.002306,0.0018239999999999999,0.001482,0.0019260000000000002
13,0.012910000000000001,0.016298,0.016652,0.018604000000000002,0.018982,0.017589999999999998,0.014002000000000002,0.013479999999999997,0.009879999999999996,0.009537999999999998,0.009205999999999999,0.008952,0.008304,0.008214,0.0064139999999999996,0.006468000000000001,0.006012000000000001,0.00485,0.0043100000000000005,0.004176,0.004176,0.0037080000000000004,0.003666,0.004256,0.003994,0.005991999999999999,0.006976000000000001,0.006726,0.006712000000000001,0.007930000000000001,0.0073679999999999995,0.00828,0.009287999999999998,0.010268,0.008100000000000001,0.007464,0.006752,0.006584,0.004870000000000001,0.004156,0.003902,0.004445999999999999,0.0035099999999999997,0.004026,0.0035439999999999994,0.0033940000000000003,0.0027359999999999997,0.002178,0.0028239999999999997
14,0.01714,0.021713999999999997,0.022186,0.024772000000000002,0.025226,0.02337,0.018586000000000002,0.017939999999999998,0.013139999999999997,0.012683999999999999,0.012228,0.011936,0.011042,0.010922000000000001,0.008551999999999999,0.008594000000000001,0.008016,0.00645,0.005730000000000001,0.005548,0.005548,0.0049039999999999995,0.004888,0.005588,0.005302,0.007965999999999999,0.009278,0.008968,0.008816000000000001,0.01051,0.009784,0.01102,0.012343999999999999,0.013633999999999999,0.0108,0.009882000000000002,0.008966,0.008762,0.0064600000000000005,0.005508,0.005186,0.005878,0.00468,0.005368,0.004712,0.004482,0.0036479999999999998,0.002874,0.003722
15,0.02137,0.027129999999999998,0.027719999999999998,0.030940000000000002,0.03147,0.02915,0.023170000000000003,0.0224,0.016399999999999998,0.01583,0.01525,0.01492,0.013779999999999999,0.013630000000000001,0.01069,0.01072,0.01002,0.00805,0.00715,0.00692,0.00692,0.0060999999999999995,0.00611,0.00692,0.00661,0.00994,0.01158,0.011210000000000001,0.01092,0.01309,0.012199999999999999,0.01376,0.0154,0.017,0.0135,0.0123,0.011179999999999999,0.01094,0.00805,0.006860000000000001,0.00647,0.00731,0.005849999999999999,0.00671,0.00588,0.00557,0.00456,0.00357,0.00462
16,0.049530000000000005,0.057305999999999996,0.056992,0.057244,0.05472199999999999,0.05089,0.042122,0.039254000000000004,0.031869999999999996,0.02964,0.026898,0.025467999999999998,0.023333999999999997,0.022616,0.018684,0.018696,0.016696,0.014204000000000001,0.012884,0.011948,0.010826,0.009626000000000001,0.009912,0.010622,0.01051,0.01332,0.015166,0.016012000000000002,0.016042,0.018536,0.018538,0.020354,0.022416000000000002,0.024964,0.021206,0.019764,0.017315999999999998,0.01685,0.01314,0.011975999999999999,0.011722,0.012707999999999999,0.011136,0.011789999999999998,0.010836,0.010158000000000002,0.008796,0.00829,0.008456
17,0.07769,0.087482,0.08626400000000001,0.083548,0.07797399999999999,0.07263,0.061074,0.056108000000000005,0.04733999999999999,0.043449999999999996,0.038546,0.036016,0.032888,0.031602000000000005,0.026677999999999997,0.026672000000000005,0.023372,0.020358,0.018618000000000003,0.016975999999999998,0.014731999999999999,0.013152,0.013714000000000002,0.014323999999999998,0.014410000000000001,0.0167,0.018751999999999998,0.020814,0.021164000000000002,0.023982,0.024876,0.026948,0.029432000000000003,0.032928,0.028912,0.027228,0.023451999999999997,0.022760000000000002,0.01823,0.017092,0.016974,0.018105999999999997,0.016421999999999996,0.01687,0.015792,0.014746,0.013032,0.01301,0.012291999999999999
18,0.10585,0.11765799999999998,0.115536,0.109852,0.101226,0.09437000000000001,0.08002600000000001,0.07296200000000001,0.06280999999999999,0.05725999999999999,0.050194,0.046563999999999994,0.042441999999999994,0.040588,0.034671999999999994,0.034648000000000005,0.030048,0.026512,0.024351999999999995,0.022004000000000003,0.018638,0.016678000000000005,0.017516,0.018025999999999997,0.01831,0.020079999999999997,0.022338,0.025616,0.026286,0.029428,0.031214,0.033541999999999995,0.036448,0.040892000000000005,0.036618000000000005,0.034691999999999994,0.029588,0.02867,0.02332,0.022208,0.022226,0.023503999999999997,0.021707999999999998,0.02195,0.020748000000000003,0.019334,0.017268,0.01773,0.016128
19,0.13401,0.147834,0.144808,0.136156,0.12447799999999999,0.11610999999999999,0.09897800000000001,0.08981600000000001,0.07828,0.07107,0.061842,0.057111999999999996,0.051995999999999994,0.04957400000000001,0.042665999999999996,0.042624,0.036724,0.032665999999999994,0.030085999999999998,0.027032000000000004,0.022544,0.020204,0.021318,0.021727999999999997,0.02221,0.02346,0.025924,0.030418,0.031408,0.034873999999999995,0.037552,0.040136,0.043463999999999996,0.048856000000000004,0.044323999999999995,0.04215599999999999,0.035724000000000006,0.03458000000000001,0.02841,0.027323999999999998,0.027478,0.028901999999999997,0.026994,0.027030000000000002,0.025704,0.023922000000000002,0.021504,0.02245,0.019964
