edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.0,0.0,0.0,0.00035999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0,0.0
11,0.0012079999999999999,0.001812,0.0025659999999999997,0.002428,0.003538,0.0030940000000000004,0.002532,0.002538,0.0018219999999999998,0.00181,0.002484,0.0026920000000000004,0.0029059999999999997,0.00231,0.002096,0.0021079999999999996,0.0013180000000000002,0.001184,0.0009019999999999999,0.0009119999999999999,0.00079,0.000354,0.0009800000000000002,0.0008039999999999999,0.000446,0.000632,0.001,0.000592,0.000726,0.0007019999999999999,0.0012720000000000001,0.001442,0.0011,0.001796,0.00221,0.001954,0.001094,0.0020180000000000003,0.0019920000000000003,0.00146,0.001008,0.001146,0.0008880000000000001,0.0014360000000000002,0.000814,0.0011480000000000001,0.000612,0.000866,0.000514
12,0.0024159999999999997,0.003624,0.005131999999999999,0.004856,0.006716000000000001,0.006188000000000001,0.005064,0.005076,0.0036439999999999997,0.00362,0.004968,0.005384000000000001,0.0058119999999999995,0.00462,0.004192,0.004215999999999999,0.0026360000000000003,0.002368,0.0018039999999999998,0.0018239999999999999,0.00158,0.000708,0.0019600000000000004,0.0016079999999999998,0.000892,0.001264,0.002,0.001184,0.0011320000000000002,0.0014039999999999999,0.0025440000000000003,0.002884,0.0022,0.003592,0.00442,0.003908,0.002188,0.003696,0.0039840000000000006,0.00292,0.002016,0.002292,0.0017760000000000002,0.002532,0.001628,0.0022960000000000003,0.001224,0.001732,0.001028
13,0.0036239999999999996,0.005436,0.007697999999999999,0.007284,0.009893999999999998,0.009282,0.007596,0.007613999999999999,0.0054659999999999995,0.00543,0.007452,0.008076,0.008718,0.0069299999999999995,0.006288,0.006323999999999999,0.003954,0.0035519999999999996,0.0027059999999999996,0.0027359999999999997,0.00237,0.0010619999999999998,0.0029400000000000003,0.002412,0.001338,0.001896,0.003,0.0017759999999999998,0.001538,0.002106,0.003816,0.004326,0.0033000000000000004,0.0053879999999999996,0.00663,0.005862,0.0032819999999999998,0.005374,0.005976000000000001,0.00438,0.003024,0.0034380000000000005,0.0026640000000000006,0.003628,0.002442,0.0034440000000000004,0.001836,0.002598,0.001542
14,0.0048319999999999995,0.007248,0.010263999999999999,0.009712,0.013071999999999999,0.012376000000000002,0.010128,0.010152,0.007287999999999999,0.00724,0.009936,0.010768000000000002,0.011623999999999999,0.00924,0.008384,0.008431999999999999,0.005272000000000001,0.004736,0.0036079999999999997,0.0036479999999999998,0.00316,0.001416,0.003920000000000001,0.0032159999999999997,0.001784,0.002528,0.004,0.002368,0.0019440000000000002,0.0028079999999999997,0.0050880000000000005,0.005768,0.0044,0.007184,0.00884,0.007816,0.004376,0.007052,0.007968000000000001,0.00584,0.004032,0.004584,0.0035520000000000005,0.004724,0.003256,0.004592000000000001,0.002448,0.003464,0.002056
15,0.00604,0.00906,0.01283,0.01214,0.01625,0.015470000000000001,0.01266,0.01269,0.00911,0.00905,0.01242,0.013460000000000001,0.01453,0.011550000000000001,0.01048,0.010539999999999999,0.0065899999999999995,0.00592,0.00451,0.00456,0.00395,0.00177,0.004900000000000001,0.004019999999999999,0.0022299999999999998,0.00316,0.005,0.00296,0.00235,0.0035099999999999997,0.00636,0.00721,0.0055,0.00898,0.01105,0.00977,0.00547,0.00873,0.00996,0.0073,0.00504,0.005730000000000001,0.00444,0.0058200000000000005,0.004070000000000001,0.00574,0.0030600000000000002,0.00433,0.00257
16,0.020288,0.024488,0.031149999999999997,0.029542000000000002,0.03435,0.032375999999999995,0.028246000000000004,0.025728,0.02122,0.021786,0.023646,0.022752,0.02343,0.019667999999999998,0.018424,0.017376,0.01296,0.011468,0.009664,0.008608000000000001,0.008252,0.005564,0.007622000000000001,0.006214,0.0054800000000000005,0.00543,0.008176000000000001,0.005448000000000001,0.005464,0.007338,0.009295999999999999,0.010734,0.010487999999999999,0.013380000000000001,0.015116,0.013308,0.009446,0.01222,0.013632000000000002,0.010882,0.009198,0.010916,0.008232,0.009032,0.008308,0.009277999999999998,0.005522,0.008498,0.006926
17,0.034536000000000004,0.03991600000000001,0.04947,0.046944,0.052450000000000004,0.049282,0.04383200000000001,0.038765999999999995,0.03333,0.034522000000000004,0.034872,0.032043999999999996,0.03233,0.027786,0.026368000000000003,0.024212,0.01933,0.017016,0.014818000000000001,0.012655999999999999,0.012554000000000003,0.009357999999999998,0.010344,0.008407999999999999,0.00873,0.0077,0.011352000000000001,0.007936,0.008578,0.011166,0.012232,0.014258,0.015476,0.01778,0.019182,0.016846,0.013422,0.015710000000000002,0.017304000000000003,0.014464,0.013355999999999998,0.016102,0.012024,0.012244,0.012546000000000002,0.012816,0.007984,0.012666000000000002,0.011282
18,0.048784,0.05534400000000001,0.06779,0.064346,0.07055000000000002,0.066188,0.059418000000000006,0.051804,0.045439999999999994,0.047257999999999994,0.046098,0.041336,0.04123,0.035904,0.034311999999999995,0.031048000000000003,0.0257,0.022564,0.019972,0.016704,0.016856000000000003,0.013151999999999997,0.013066000000000001,0.010602,0.011980000000000001,0.009970000000000001,0.014528,0.010424000000000001,0.011692000000000001,0.014994000000000002,0.015168,0.017782,0.020464000000000003,0.02218,0.023248,0.020384,0.017398,0.0192,0.020975999999999998,0.018046,0.017514,0.021288,0.015816,0.015456,0.016784000000000004,0.016354,0.010446,0.016834000000000002,0.015638
19,0.06303199999999999,0.070772,0.08611,0.081748,0.08865,0.08309399999999999,0.075004,0.064842,0.05755,0.059994,0.057324,0.050628,0.05013,0.044022000000000006,0.042256,0.037884,0.032069999999999994,0.028111999999999995,0.025126000000000006,0.020752,0.021158,0.016946,0.015788000000000003,0.012796,0.01523,0.012240000000000001,0.017704,0.012912000000000003,0.014806000000000001,0.018822000000000002,0.018104,0.021306,0.025452000000000002,0.026580000000000003,0.027314,0.023922000000000002,0.021374,0.02269,0.024648,0.021628,0.021671999999999997,0.026474,0.019607999999999997,0.018668,0.021022000000000002,0.019891999999999996,0.012908,0.021002000000000003,0.019994
