edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.0001,0.00015,5e-05,0.0002,0.00026000000000000003,0.00032,0.00016,0.00022,5.9999999999999995e-05,5.9999999999999995e-05,0.00016,0.00011,0.0,0.00016,0.00038,0.00022,0.00011,0.00023,0.00017999999999999998,0.00017999999999999998,5.9999999999999995e-05,0.0,0.0,0.00013000000000000002,0.0,0.00013000000000000002,7.000000000000001e-05,0.00013000000000000002,0.0,0.00031,0.0,0.00011999999999999999,0.00017999999999999998,0.00011999999999999999,0.0,0.00011,0.00011,0.00023,5.9999999999999995e-05,5e-05,0.00016,0.00020999999999999998,5e-05,0.0,5e-05,0.0,0.00019,5e-05
11,0.00183,0.002698,0.002648,0.0026919999999999995,0.0030200000000000005,0.003316,0.0034,0.0036420000000000003,0.003376,0.003682000000000001,0.0034080000000000004,0.0036,0.0029500000000000004,0.003154,0.002822,0.0027379999999999995,0.002624,0.0022879999999999997,0.002176,0.0018720000000000002,0.0016979999999999999,0.0015840000000000001,0.0014479999999999999,0.0016539999999999999,0.0016179999999999999,0.001428,0.0017980000000000001,0.0016660000000000002,0.0021739999999999993,0.002334,0.0025900000000000003,0.002444,0.002878,0.002918,0.002366,0.002164,0.0018840000000000003,0.0021379999999999997,0.0017359999999999997,0.001712,0.00156,0.0016239999999999998,0.001516,0.0012,0.0011140000000000002,0.001324,0.000898,0.0012839999999999998,0.001082
12,0.00366,0.0052959999999999995,0.005146,0.005333999999999999,0.005840000000000001,0.006372,0.0064800000000000005,0.007124,0.006531999999999999,0.0073040000000000015,0.006756,0.00704,0.005790000000000001,0.006308,0.005484,0.005095999999999999,0.0050279999999999995,0.004466,0.004122000000000001,0.0035640000000000003,0.003216,0.003108,0.0028959999999999997,0.0033079999999999997,0.003106,0.002856,0.003466,0.003262,0.004217999999999999,0.004668,0.00487,0.004888,0.005636,0.005656,0.004612,0.004328,0.0036580000000000002,0.004166,0.0032419999999999997,0.003364,0.00307,0.003088,0.002822,0.0023499999999999997,0.0022280000000000004,0.002598,0.001796,0.0023779999999999995,0.002114
13,0.00549,0.007894,0.007644000000000001,0.007976,0.00866,0.009427999999999999,0.00956,0.010606,0.009688,0.010926000000000003,0.010104,0.01048,0.00863,0.009462,0.008145999999999999,0.007453999999999999,0.007431999999999999,0.006644,0.006068000000000001,0.005256,0.004734,0.004632,0.004344,0.004961999999999999,0.004594,0.004284,0.005134,0.004858,0.0062619999999999985,0.007002,0.00715,0.007332,0.008394,0.008394,0.0068579999999999995,0.006492000000000001,0.005432000000000001,0.006194,0.004748,0.005015999999999999,0.00458,0.004552,0.004128,0.0034999999999999996,0.0033420000000000004,0.003872,0.0026939999999999998,0.0034719999999999994,0.003146
14,0.00732,0.010492,0.010142000000000002,0.010618,0.01148,0.012484,0.01264,0.014088000000000002,0.012844,0.014548000000000004,0.013452000000000002,0.01392,0.011470000000000001,0.012616,0.010808,0.009812,0.009836000000000001,0.008822,0.008014,0.006948,0.006252,0.006156,0.005791999999999999,0.0066159999999999995,0.006082,0.005712,0.006802,0.0064540000000000005,0.008306,0.009336,0.009430000000000001,0.009776,0.011151999999999999,0.011132,0.009104,0.008656,0.0072060000000000015,0.008222,0.006253999999999999,0.0066679999999999994,0.00609,0.006016,0.0054340000000000005,0.00465,0.004456000000000001,0.0051459999999999995,0.003592,0.004566,0.004178
15,0.00915,0.01309,0.01264,0.01326,0.0143,0.01554,0.01572,0.01757,0.016,0.018170000000000002,0.016800000000000002,0.01736,0.01431,0.01577,0.013470000000000001,0.01217,0.012240000000000001,0.011,0.00996,0.00864,0.00777,0.007679999999999999,0.00724,0.00827,0.00757,0.00714,0.00847,0.00805,0.01035,0.01167,0.011710000000000002,0.01222,0.01391,0.013869999999999999,0.011349999999999999,0.01082,0.00898,0.01025,0.0077599999999999995,0.008320000000000001,0.0076,0.0074800000000000005,0.00674,0.0058,0.00557,0.00642,0.00449,0.00566,0.00521
16,0.026677999999999997,0.034069999999999996,0.032917999999999996,0.034054,0.034384,0.035398,0.035206,0.034252,0.030384,0.032186,0.029346000000000004,0.028686,0.025119999999999996,0.025316,0.02356,0.020926000000000004,0.020485999999999997,0.018911999999999998,0.016772000000000002,0.014492000000000001,0.013378,0.011786,0.011328,0.011434,0.01132,0.011399999999999999,0.011940000000000001,0.011734,0.014068,0.015406,0.015652000000000003,0.016424,0.018626,0.019714,0.016722,0.016374000000000003,0.013934,0.014398,0.012052,0.011662,0.011079999999999998,0.010731999999999998,0.01036,0.009465999999999999,0.009940000000000001,0.009896,0.007996,0.009285999999999999,0.009164
17,0.044205999999999995,0.055049999999999995,0.053196,0.054848,0.054468,0.05525599999999999,0.054692,0.050934,0.044768,0.046202,0.041892000000000006,0.040012,0.03593,0.034862000000000004,0.03365,0.029682000000000004,0.028732,0.026824,0.023584000000000004,0.020344,0.018986,0.015892,0.015416,0.014597999999999998,0.01507,0.01566,0.01541,0.015418,0.017786,0.019142,0.019594,0.020628,0.023341999999999998,0.025558,0.022094000000000003,0.021928,0.018888,0.018546,0.016344,0.015004000000000002,0.014559999999999998,0.013984,0.013980000000000001,0.013131999999999998,0.01431,0.013372,0.011502,0.012912,0.013117999999999998
18,0.061734,0.07602999999999999,0.07347399999999998,0.07564200000000001,0.074552,0.07511399999999999,0.074178,0.06761599999999998,0.059152,0.060218,0.054438,0.051337999999999995,0.04674,0.044408,0.04374,0.038438,0.036978,0.034736,0.030396,0.026195999999999997,0.024594,0.019998,0.019503999999999997,0.017762,0.01882,0.019919999999999997,0.01888,0.019102,0.021504000000000006,0.022878,0.023536,0.024832,0.028058,0.031402,0.027466,0.027482,0.023842,0.022694,0.020635999999999998,0.018346,0.01804,0.017236,0.0176,0.016797999999999997,0.01868,0.016848,0.015008,0.016538,0.017072
19,0.079262,0.09700999999999999,0.093752,0.09643600000000001,0.094636,0.09497199999999997,0.093664,0.084298,0.073536,0.07423400000000001,0.06698400000000002,0.062664,0.05755,0.05395400000000001,0.053829999999999996,0.047194,0.04522399999999999,0.042648000000000005,0.037208,0.032048,0.030202000000000003,0.024104,0.023592,0.020926000000000004,0.02257,0.02418,0.022350000000000002,0.022786,0.025222,0.026614,0.027478000000000002,0.029036000000000003,0.032774,0.037246,0.032838,0.033036,0.028796,0.026841999999999998,0.024928,0.021688000000000002,0.021519999999999997,0.020488,0.02122,0.020464,0.02305,0.020324000000000002,0.018514000000000003,0.020164,0.021026
