edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00011999999999999999,0.00025,0.00011,0.00014000000000000001,0.00032,0.0002,0.00017,8e-05,5e-05,0.00017,8.999999999999999e-05,0.00011999999999999999,8e-05,0.00011999999999999999,8e-05,8e-05,7.000000000000001e-05,5.9999999999999995e-05,5e-05,7.000000000000001e-05,5.9999999999999995e-05,0.00014000000000000001,8e-05,7.000000000000001e-05,7.000000000000001e-05,0.00013000000000000002,0.00013000000000000002,4e-05,0.00016,0.00022,8.999999999999999e-05,0.00011,7.000000000000001e-05,0.00014000000000000001,0.0002,0.00014000000000000001,0.00017,0.0001,0.0002,0.00016,2.9999999999999997e-05,0.00011999999999999999,8e-05,8.999999999999999e-05,7.000000000000001e-05,7.000000000000001e-05,2.9999999999999997e-05,4e-05,8.999999999999999e-05
11,0.003164,0.003952000000000001,0.004114,0.004068,0.004426,0.003954,0.0035539999999999994,0.003162,0.00292,0.003028,0.0027199999999999998,0.00237,0.00207,0.0020900000000000003,0.0017440000000000003,0.0016480000000000002,0.001528,0.001322,0.001264,0.001232,0.0010780000000000004,0.0011960000000000002,0.001164,0.0011259999999999998,0.001324,0.00143,0.0017119999999999998,0.001624,0.0018880000000000001,0.0020099999999999996,0.002208,0.0022559999999999998,0.0024699999999999995,0.002826,0.0024480000000000005,0.0020519999999999996,0.00189,0.0019160000000000002,0.001638,0.0019219999999999999,0.001474,0.0014860000000000001,0.001482,0.0012020000000000002,0.001278,0.0010599999999999997,0.000958,0.0009120000000000002,0.0009559999999999999
12,0.006208,0.007654000000000001,0.008117999999999998,0.007996,0.008532,0.0077080000000000004,0.006937999999999999,0.0062439999999999996,0.00579,0.005886,0.00535,0.00462,0.004059999999999999,0.00406,0.0034080000000000004,0.003216,0.002986,0.002584,0.0024779999999999997,0.002394,0.0020960000000000006,0.002252,0.0022480000000000004,0.0021819999999999995,0.002578,0.00273,0.0032939999999999996,0.0032080000000000003,0.0036160000000000007,0.0038,0.004326,0.0044020000000000005,0.00487,0.0055119999999999995,0.0046960000000000005,0.003964,0.00361,0.003732,0.003076,0.003684,0.0029179999999999996,0.0028520000000000004,0.002884,0.002314,0.002486,0.0020499999999999997,0.0018859999999999999,0.0017840000000000002,0.001822
13,0.009251999999999998,0.011356000000000002,0.012121999999999997,0.011923999999999999,0.012638,0.011462,0.010321999999999998,0.009326,0.00866,0.008744,0.00798,0.00687,0.006049999999999999,0.006030000000000001,0.005072000000000001,0.004784000000000001,0.004444,0.003846,0.0036919999999999995,0.0035559999999999997,0.003114000000000001,0.003308,0.0033320000000000003,0.003237999999999999,0.003832,0.004030000000000001,0.004875999999999999,0.004792000000000001,0.0053440000000000015,0.005589999999999999,0.006443999999999999,0.006548,0.0072699999999999996,0.008198,0.0069440000000000005,0.005875999999999998,0.00533,0.005548,0.004514000000000001,0.0054459999999999995,0.004362,0.004218000000000001,0.004286,0.0034260000000000002,0.0036939999999999994,0.0030399999999999997,0.0028139999999999997,0.0026560000000000004,0.002688
14,0.012296,0.015058000000000002,0.016125999999999998,0.015852,0.016744,0.015215999999999999,0.013705999999999998,0.012407999999999999,0.01153,0.011602,0.01061,0.00912,0.008039999999999999,0.008,0.006736000000000001,0.006352,0.005902,0.005108,0.004906,0.004718,0.004132,0.004364,0.004416000000000001,0.004293999999999999,0.005086,0.00533,0.006457999999999999,0.006376000000000001,0.007072000000000001,0.007379999999999999,0.008562,0.008693999999999999,0.00967,0.010884,0.009192,0.007787999999999998,0.00705,0.007364,0.005952,0.007208,0.005806,0.005584,0.0056879999999999995,0.004538,0.004902,0.00403,0.0037419999999999997,0.0035280000000000003,0.003554
15,0.01534,0.018760000000000002,0.02013,0.019780000000000002,0.02085,0.018969999999999997,0.01709,0.01549,0.0144,0.01446,0.01324,0.01137,0.010029999999999999,0.009970000000000001,0.008400000000000001,0.00792,0.00736,0.00637,0.0061200000000000004,0.00588,0.00515,0.00542,0.0055,0.00535,0.00634,0.00663,0.008039999999999999,0.00796,0.0088,0.00917,0.01068,0.01084,0.01207,0.01357,0.011439999999999999,0.009699999999999999,0.00877,0.009179999999999999,0.00739,0.00897,0.00725,0.0069500000000000004,0.00709,0.0056500000000000005,0.00611,0.005019999999999999,0.00467,0.0044,0.00442
16,0.03936,0.044253999999999995,0.045214,0.044112,0.042808,0.038762,0.034808,0.031292,0.027723999999999995,0.026594,0.024238,0.020829999999999998,0.018514,0.017878,0.016106000000000002,0.014988,0.013496000000000001,0.011942,0.010707999999999999,0.009774000000000001,0.008452,0.008284,0.008028,0.007892,0.008876,0.009404,0.010858,0.011244,0.012298,0.012853999999999999,0.014192,0.014551999999999999,0.016244,0.017826,0.015305999999999998,0.013894,0.01274,0.012433999999999999,0.010528,0.01182,0.010308,0.009868,0.009768,0.008790000000000001,0.008960000000000001,0.008065999999999999,0.007418,0.007464,0.007386
17,0.06337999999999999,0.06974799999999999,0.070298,0.068444,0.06476599999999999,0.058554,0.052525999999999996,0.047094000000000004,0.041047999999999994,0.03872799999999999,0.035236,0.030289999999999997,0.026997999999999998,0.025786,0.023812,0.022055999999999996,0.019632,0.017514,0.015295999999999999,0.013668000000000001,0.011753999999999999,0.011148,0.010556000000000001,0.010433999999999999,0.011411999999999999,0.012178000000000001,0.013675999999999999,0.014528,0.015796,0.016538,0.017704,0.018264,0.020418,0.022082,0.019171999999999998,0.018088,0.01671,0.015688,0.013666,0.01467,0.013366,0.012786000000000002,0.012446,0.01193,0.011810000000000001,0.011112,0.010166,0.010528,0.010352
18,0.0874,0.095242,0.09538200000000001,0.09277600000000001,0.086724,0.078346,0.070244,0.06289600000000001,0.05437199999999999,0.050862,0.046234000000000004,0.03975,0.035482,0.033693999999999995,0.031518,0.029124000000000004,0.025768,0.023086,0.019883999999999995,0.017562,0.015056,0.014011999999999998,0.013084,0.012976,0.013948,0.014951999999999998,0.016493999999999998,0.017812,0.019294000000000002,0.020222,0.021216,0.021976,0.024592,0.026338,0.023037999999999996,0.022282000000000003,0.02068,0.018942,0.016804,0.01752,0.016424,0.015704,0.015123999999999999,0.01507,0.01466,0.014158,0.012914,0.013591999999999998,0.013318
19,0.11142,0.120736,0.120466,0.117108,0.10868199999999999,0.098138,0.087962,0.078698,0.06769599999999999,0.062996,0.057232000000000005,0.049210000000000004,0.043966,0.041602,0.039224,0.036192,0.031904,0.028657999999999996,0.024471999999999997,0.021456000000000003,0.018357999999999996,0.016876,0.015612000000000001,0.015517999999999999,0.016484000000000002,0.017726,0.019312,0.021096,0.022792000000000003,0.023906,0.024727999999999997,0.025688,0.028766,0.030594,0.026903999999999997,0.026476000000000003,0.02465,0.022195999999999997,0.019941999999999998,0.020369999999999996,0.019482,0.018622,0.017802,0.01821,0.01751,0.017204,0.015662000000000002,0.016655999999999997,0.016284
