edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0002,0.0001,5e-05,0.00019,0.00014000000000000001,8.999999999999999e-05,0.00014000000000000001,0.00037,0.00014000000000000001,5e-05,8.999999999999999e-05,5e-05,5e-05,0.0,0.0001,0.00015,0.0,0.00011,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.00039,0.0001,0.00019,0.00019,0.0,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,0.0,8.999999999999999e-05,0.00017,8.999999999999999e-05,8e-05,8e-05,0.0,0.0,8e-05,0.00016
11,0.0032,0.0034379999999999997,0.003814,0.004192,0.004258,0.004008,0.0033439999999999998,0.0035660000000000006,0.003034,0.0031759999999999996,0.002684,0.0024519999999999998,0.0020759999999999997,0.0018640000000000002,0.0019660000000000003,0.001732,0.00168,0.0014399999999999999,0.001294,0.0009119999999999999,0.000898,0.0007840000000000001,0.0009720000000000001,0.0008640000000000001,0.000962,0.0009339999999999999,0.000954,0.0009739999999999999,0.001514,0.00155,0.0012700000000000003,0.002074,0.001804,0.002456,0.00233,0.0016719999999999999,0.0020959999999999998,0.0019060000000000001,0.001974,0.001962,0.002004,0.0021019999999999997,0.0017480000000000002,0.0015940000000000001,0.001276,0.0013260000000000001,0.0013119999999999998,0.0014399999999999999,0.001362
12,0.0062,0.006775999999999999,0.0075780000000000005,0.008194,0.008376000000000001,0.007926,0.006547999999999999,0.0067620000000000015,0.005927999999999999,0.0063019999999999994,0.005278000000000001,0.004854,0.004102,0.0037280000000000004,0.0038320000000000003,0.003314,0.00336,0.0027699999999999995,0.0024080000000000004,0.0018239999999999999,0.001796,0.0015680000000000002,0.0019440000000000002,0.0017280000000000002,0.001924,0.0018679999999999999,0.001908,0.0019479999999999999,0.003028,0.003,0.0024400000000000003,0.003758,0.003508,0.0047220000000000005,0.004470000000000001,0.0033439999999999998,0.004102,0.003722,0.0038579999999999995,0.003924,0.0039180000000000005,0.004033999999999999,0.003406,0.003108,0.002472,0.0026520000000000003,0.0026239999999999996,0.0028,0.002564
13,0.0092,0.010114,0.011342000000000003,0.012196,0.012494000000000002,0.011844,0.009751999999999999,0.009958,0.008822,0.009428,0.007872,0.007256,0.006127999999999999,0.005592000000000001,0.005698000000000001,0.004896000000000001,0.005040000000000001,0.0040999999999999995,0.003522000000000001,0.0027359999999999997,0.0026939999999999998,0.0023520000000000004,0.002916,0.0025920000000000006,0.002886,0.002802,0.002862,0.0029219999999999997,0.004542,0.004449999999999999,0.003610000000000001,0.005441999999999999,0.005212,0.006988,0.00661,0.005016,0.006107999999999999,0.005538,0.005741999999999999,0.005886000000000001,0.005832,0.005965999999999999,0.005064,0.004622,0.0036680000000000003,0.003978000000000001,0.003935999999999999,0.0041600000000000005,0.003766
14,0.012199999999999999,0.013451999999999999,0.015106000000000001,0.016198,0.016612000000000002,0.015762,0.012955999999999999,0.013154000000000002,0.011715999999999999,0.012554000000000001,0.010466000000000001,0.009658000000000002,0.008154,0.007456000000000001,0.007564,0.006478,0.00672,0.00543,0.004636,0.0036479999999999998,0.003592,0.0031360000000000003,0.0038880000000000004,0.0034560000000000003,0.003848,0.0037359999999999997,0.003816,0.0038959999999999997,0.006056,0.0059,0.00478,0.0071259999999999995,0.006915999999999999,0.009254,0.00875,0.0066879999999999995,0.008114,0.007354,0.007625999999999999,0.007848,0.007746,0.007898,0.0067220000000000005,0.006136,0.004864,0.0053040000000000006,0.005247999999999999,0.00552,0.004968
15,0.0152,0.01679,0.01887,0.0202,0.020730000000000002,0.01968,0.01616,0.01635,0.01461,0.01568,0.01306,0.012060000000000001,0.01018,0.00932,0.00943,0.008060000000000001,0.008400000000000001,0.0067599999999999995,0.00575,0.00456,0.00449,0.00392,0.004860000000000001,0.00432,0.00481,0.00467,0.00477,0.00487,0.00757,0.00735,0.00595,0.00881,0.00862,0.011519999999999999,0.01089,0.00836,0.010119999999999999,0.00917,0.00951,0.009810000000000001,0.00966,0.00983,0.00838,0.0076500000000000005,0.006059999999999999,0.00663,0.00656,0.00688,0.00617
16,0.035185999999999995,0.040428,0.041176000000000004,0.041555999999999996,0.039642,0.037158000000000004,0.030899999999999997,0.030134,0.025378,0.025788000000000002,0.021582,0.019064,0.017488,0.015172000000000001,0.014995999999999999,0.012802,0.012452,0.010852,0.009184000000000001,0.007833999999999999,0.006906000000000001,0.006212,0.006658,0.005778,0.006149999999999999,0.006059999999999999,0.0066159999999999995,0.0069039999999999995,0.008966000000000002,0.009222,0.008616,0.011064000000000001,0.011104,0.013931999999999998,0.012912000000000002,0.011558,0.012324,0.011158,0.011704,0.011114,0.011522000000000001,0.011818,0.010478000000000001,0.01011,0.00925,0.009454,0.008814,0.009344,0.008778000000000001
17,0.055172,0.064066,0.063482,0.06291200000000001,0.058554,0.054636,0.04564,0.04391799999999999,0.036146,0.035896,0.030104,0.026067999999999997,0.024796,0.021024,0.020561999999999997,0.017544,0.016503999999999998,0.014944,0.012618,0.011108,0.009321999999999999,0.008504000000000001,0.008456,0.007235999999999999,0.00749,0.007449999999999999,0.008461999999999999,0.008937999999999998,0.010362,0.011094000000000001,0.011282,0.013318,0.013588,0.016344,0.014934000000000001,0.014756,0.014528,0.013146000000000001,0.013897999999999999,0.012417999999999998,0.013384,0.013806,0.012576,0.01257,0.012440000000000001,0.012278,0.011068,0.011807999999999999,0.011385999999999999
18,0.07515799999999999,0.08770399999999998,0.08578800000000002,0.08426800000000001,0.077466,0.072114,0.060379999999999996,0.05770199999999999,0.046914000000000004,0.046004,0.03862600000000001,0.033072000000000004,0.032104,0.026875999999999997,0.026128,0.022286,0.020555999999999998,0.019036,0.016052,0.014381999999999997,0.011738,0.010796000000000002,0.010253999999999997,0.008693999999999999,0.00883,0.00884,0.010308,0.010971999999999999,0.011758000000000001,0.012966000000000002,0.013948,0.015571999999999999,0.016072,0.018756000000000002,0.016956,0.017954,0.016732,0.015134,0.016092,0.013722,0.015246,0.015794,0.014674,0.015030000000000002,0.015629999999999998,0.015102,0.013321999999999999,0.014271999999999998,0.013994
19,0.09514399999999999,0.11134199999999998,0.10809400000000001,0.10562400000000001,0.096378,0.08959199999999999,0.07512,0.071486,0.057682000000000004,0.056112,0.047148,0.040076,0.039411999999999996,0.03272799999999999,0.031694,0.027028,0.024607999999999998,0.023128,0.019486,0.017655999999999998,0.014154,0.013088,0.012052,0.010152,0.01017,0.010230000000000001,0.012154,0.013006,0.013154,0.014838,0.016614,0.017826,0.018555999999999996,0.021168,0.018978000000000002,0.021152,0.018936,0.017122,0.018286,0.015026,0.017107999999999998,0.017782,0.016772,0.017490000000000002,0.01882,0.017926,0.015576000000000001,0.016736,0.016602
