edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.00011,0.00033,0.00023,0.0,0.00035999999999999997,0.0,0.00013000000000000002,0.00041999999999999996,0.00029,0.00015,0.0,0.00044,0.0,0.00015,0.0,0.00015,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049,0.0,0.00027,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.00031,0.0,0.00032,0.00033,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0019739999999999996,0.002968,0.002988,0.003526,0.003678,0.004384000000000001,0.0036680000000000003,0.003914,0.0036999999999999997,0.0036780000000000003,0.0035760000000000006,0.0026920000000000004,0.003822,0.0024300000000000003,0.0022419999999999996,0.003218,0.002392,0.002068,0.001752,0.001572,0.001452,0.0011279999999999999,0.0016899999999999999,0.0014119999999999998,0.00116,0.001214,0.001112,0.00128,0.001472,0.0009019999999999999,0.001182,0.0009,0.001514,0.0019260000000000002,0.001222,0.0018379999999999998,0.0017100000000000001,0.001546,0.00133,0.0016760000000000002,0.0013260000000000001,0.0024059999999999997,0.0013880000000000001,0.001074,0.00102,0.001286,0.000778,0.000906,0.000708
12,0.003947999999999999,0.0058260000000000004,0.005646,0.006822000000000001,0.007356,0.008407999999999999,0.0073360000000000005,0.007698,0.006979999999999999,0.007066000000000001,0.007002000000000001,0.005384000000000001,0.007204,0.004860000000000001,0.004333999999999999,0.006436,0.004634,0.003976,0.003504,0.003144,0.002904,0.0022559999999999998,0.0033799999999999998,0.0028239999999999997,0.00232,0.002428,0.002224,0.00256,0.0024539999999999996,0.0018039999999999998,0.0020940000000000004,0.0018,0.002738,0.0038520000000000004,0.002444,0.0036759999999999996,0.0034200000000000003,0.003092,0.00266,0.0030420000000000004,0.0026520000000000003,0.004492,0.0024460000000000003,0.002148,0.00204,0.002572,0.001556,0.001812,0.001416
13,0.0059219999999999984,0.008683999999999999,0.008304,0.010118000000000002,0.011033999999999999,0.012431999999999999,0.011004000000000002,0.011482000000000001,0.01026,0.010454000000000001,0.010428000000000003,0.008076,0.010586,0.007290000000000001,0.006425999999999999,0.009654,0.006876,0.005884,0.005256,0.004716000000000001,0.004356,0.0033839999999999994,0.00507,0.004236,0.0034799999999999996,0.003642,0.0033359999999999996,0.0038399999999999997,0.003436,0.0027059999999999996,0.003006000000000001,0.0027,0.003961999999999999,0.005778,0.003666,0.005513999999999999,0.005130000000000001,0.004638,0.0039900000000000005,0.0044080000000000005,0.003978000000000001,0.006578,0.0035040000000000006,0.0032220000000000005,0.0030600000000000002,0.003858,0.002334,0.002718,0.0021239999999999996
14,0.007895999999999999,0.011542,0.010962,0.013414000000000002,0.014712,0.016456,0.014672000000000001,0.015266000000000002,0.01354,0.013842,0.013854000000000003,0.010768000000000002,0.013968,0.009720000000000001,0.008518,0.012872,0.009118000000000001,0.0077919999999999994,0.007008,0.006288,0.005808,0.0045119999999999995,0.0067599999999999995,0.005647999999999999,0.00464,0.004856,0.004448,0.00512,0.004418,0.0036079999999999997,0.0039180000000000005,0.0036,0.005186,0.007704000000000001,0.004888,0.007351999999999999,0.006840000000000001,0.006184,0.00532,0.005774,0.0053040000000000006,0.008664,0.004562,0.004296,0.00408,0.005144,0.003112,0.003624,0.002832
15,0.009869999999999999,0.0144,0.013619999999999998,0.01671,0.01839,0.02048,0.01834,0.01905,0.01682,0.01723,0.01728,0.013460000000000001,0.01735,0.012150000000000001,0.01061,0.01609,0.011359999999999999,0.009699999999999999,0.00876,0.00786,0.00726,0.00564,0.00845,0.0070599999999999994,0.0058,0.00607,0.00556,0.0064,0.0054,0.00451,0.00483,0.0045,0.00641,0.009630000000000001,0.00611,0.00919,0.00855,0.007730000000000001,0.0066500000000000005,0.00714,0.00663,0.01075,0.00562,0.00537,0.0050999999999999995,0.00643,0.0038900000000000002,0.00453,0.00354
16,0.022618000000000003,0.028086,0.02867,0.03225,0.03442,0.036427999999999995,0.032878,0.032052,0.029938000000000003,0.028436,0.028466,0.024652,0.027198,0.022804,0.019994,0.02343,0.017554,0.016957999999999997,0.01418,0.0128,0.011794,0.009658,0.012338,0.010302,0.008864,0.008386,0.008332,0.008622,0.0076760000000000005,0.007235999999999999,0.006846,0.0078119999999999995,0.00914,0.012260000000000002,0.00834,0.010837999999999999,0.011272,0.009862,0.0085,0.009084,0.009156000000000001,0.01148,0.008628,0.0083,0.0075699999999999995,0.008674,0.0062439999999999996,0.006836,0.005900000000000001
17,0.035366,0.041772,0.04372,0.04778999999999999,0.05045,0.052376,0.047416,0.045054000000000004,0.043056,0.039642,0.039652,0.035844,0.03704600000000001,0.033458,0.029378,0.030770000000000002,0.023748,0.024216,0.019600000000000003,0.017740000000000002,0.016328000000000002,0.013675999999999999,0.016225999999999997,0.013544,0.011928000000000001,0.010702,0.011104000000000001,0.010844000000000001,0.009952000000000003,0.009962,0.008862,0.011123999999999998,0.011869999999999999,0.01489,0.01057,0.012486,0.013994,0.011994,0.010350000000000002,0.011027999999999998,0.011682000000000001,0.01221,0.011635999999999999,0.01123,0.010039999999999999,0.010917999999999999,0.008598000000000001,0.009141999999999999,0.008260000000000002
18,0.048114,0.05545799999999999,0.05877,0.06333,0.06648,0.068324,0.06195400000000001,0.058055999999999996,0.056174,0.050848,0.050837999999999994,0.047036,0.046894000000000005,0.044112,0.038762,0.03811,0.029942,0.031474,0.025019999999999997,0.02268,0.020862000000000002,0.017693999999999998,0.020114,0.016786,0.014992,0.013018,0.013876000000000001,0.013066000000000003,0.012228000000000001,0.012688000000000001,0.010878,0.014436,0.014599999999999998,0.01752,0.0128,0.014134,0.016716,0.014126000000000001,0.0122,0.012971999999999997,0.014208000000000002,0.012940000000000002,0.014644000000000003,0.01416,0.012509999999999999,0.013161999999999998,0.010952,0.011448,0.010620000000000001
19,0.060862,0.069144,0.07382000000000001,0.07887,0.08251,0.08427199999999999,0.076492,0.07105800000000001,0.069292,0.062054000000000005,0.062023999999999996,0.058228,0.05674200000000001,0.054765999999999995,0.048146,0.045450000000000004,0.036135999999999995,0.038732,0.03044,0.027620000000000002,0.025396000000000002,0.021712,0.024002000000000002,0.020027999999999997,0.018056000000000003,0.015334,0.016648000000000003,0.015288000000000001,0.014504000000000001,0.015413999999999999,0.012894000000000001,0.017747999999999996,0.017329999999999998,0.020149999999999998,0.015030000000000002,0.015782,0.019438000000000004,0.016258,0.01405,0.014915999999999999,0.016734000000000002,0.01367,0.017652,0.01709,0.014979999999999999,0.015406,0.013306,0.013753999999999997,0.01298
