edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,5.9999999999999995e-05,0.00013000000000000002,0.00019,2.9999999999999997e-05,0.00028000000000000003,0.0001,0.00025,0.00013000000000000002,0.00029,0.00016,2.9999999999999997e-05,0.0,0.00019,0.00016,0.00016,0.0,4e-05,4e-05,8e-05,4e-05,0.0,0.0,5e-05,0.0,5e-05,5e-05,5e-05,0.00016,0.0,0.0,5e-05,0.00020999999999999998,5e-05,0.0001,0.0001,0.00025,5e-05,0.00019,5e-05,8.999999999999999e-05,5e-05,8.999999999999999e-05,8.999999999999999e-05,0.0,4e-05,4e-05,4e-05,4e-05,8e-05
11,0.002296,0.002518,0.002896,0.003302,0.0031900000000000006,0.003064,0.0026179999999999997,0.002348,0.00233,0.002272,0.0019360000000000002,0.00198,0.0017519999999999999,0.0018279999999999998,0.0016239999999999998,0.001322,0.0011300000000000001,0.001214,0.000986,0.000898,0.000758,0.000728,0.0008700000000000001,0.000696,0.0010580000000000001,0.001016,0.001396,0.001444,0.001254,0.00106,0.001522,0.0022899999999999995,0.0023039999999999996,0.002468,0.0022,0.002254,0.0016140000000000002,0.001674,0.0017479999999999998,0.0014240000000000001,0.001636,0.001426,0.0011880000000000003,0.001266,0.001024,0.0011439999999999998,0.000822,0.0007239999999999999,0.000832
12,0.004532,0.004906,0.005602000000000001,0.006574,0.0061,0.0060279999999999995,0.004986,0.004566,0.00437,0.004384000000000001,0.003842,0.00396,0.0033139999999999997,0.003496,0.003088,0.002644,0.00222,0.002388,0.001892,0.001756,0.001516,0.001456,0.00169,0.001392,0.0020659999999999997,0.001982,0.002742,0.0027280000000000004,0.002508,0.00212,0.0029939999999999997,0.004369999999999999,0.0045579999999999996,0.004835999999999999,0.0043,0.004258,0.003178,0.0031579999999999998,0.0034459999999999994,0.002758,0.003222,0.0027619999999999997,0.002286,0.002532,0.002008,0.0022479999999999996,0.0016040000000000002,0.001408,0.0015840000000000001
13,0.006767999999999999,0.007293999999999999,0.008308000000000001,0.009845999999999999,0.00901,0.008991999999999998,0.007353999999999999,0.006784,0.00641,0.006496,0.0057480000000000005,0.005939999999999999,0.004876,0.005163999999999999,0.004552,0.003966,0.0033100000000000004,0.0035619999999999996,0.002798,0.002614,0.002274,0.002184,0.0025099999999999996,0.002088,0.003074,0.0029479999999999997,0.0040880000000000005,0.004012000000000001,0.003762,0.00318,0.004466,0.006449999999999998,0.006812,0.007203999999999999,0.0064,0.006262,0.004742,0.004642,0.005143999999999999,0.004092,0.004808,0.004097999999999999,0.0033840000000000003,0.003798,0.002992,0.0033519999999999995,0.002386,0.0020919999999999997,0.0023360000000000004
14,0.009004,0.009682,0.011014000000000001,0.013117999999999998,0.01192,0.011956,0.009722,0.009002000000000001,0.00845,0.008608000000000001,0.007654000000000001,0.00792,0.006438,0.0068319999999999995,0.006016,0.005288,0.0044,0.004736,0.0037040000000000003,0.003472,0.003032,0.002912,0.00333,0.002784,0.004082,0.003914,0.0054340000000000005,0.005296,0.005016,0.00424,0.005938,0.00853,0.009066000000000001,0.009571999999999999,0.0085,0.008266,0.006306,0.006126,0.006841999999999999,0.005426,0.006394,0.005434,0.004482,0.005064,0.003976,0.004456,0.0031680000000000002,0.002776,0.003088
15,0.01124,0.01207,0.013720000000000001,0.016390000000000002,0.01483,0.01492,0.01209,0.01122,0.010490000000000001,0.01072,0.00956,0.0099,0.008,0.0085,0.0074800000000000005,0.00661,0.00549,0.00591,0.00461,0.00433,0.00379,0.00364,0.00415,0.00348,0.00509,0.00488,0.0067800000000000004,0.00658,0.0062699999999999995,0.0053,0.00741,0.01061,0.01132,0.01194,0.0106,0.01027,0.00787,0.0076100000000000004,0.008539999999999999,0.0067599999999999995,0.007980000000000001,0.00677,0.00558,0.00633,0.00496,0.00556,0.00395,0.00346,0.0038399999999999997
16,0.030670000000000003,0.033194,0.033318,0.033336,0.03121,0.029098,0.025338,0.022424,0.020774,0.019969999999999998,0.017528,0.01663,0.014678,0.014346,0.012612,0.010818000000000001,0.01003,0.009876,0.007842,0.0071200000000000005,0.005944,0.005694,0.005972000000000001,0.005238,0.006974,0.007077999999999999,0.009288000000000001,0.009346,0.009644,0.009184,0.010428000000000002,0.013606,0.015174,0.01704,0.014886,0.014617999999999999,0.012024000000000002,0.011164,0.011622,0.01064,0.010962,0.009807999999999999,0.009138,0.009674,0.008667999999999999,0.00848,0.007108000000000001,0.00672,0.006938
17,0.0501,0.054318000000000005,0.052916,0.050282,0.04759,0.043276,0.038585999999999995,0.033628,0.031058,0.02922,0.025495999999999998,0.02336,0.021356,0.020192,0.017744,0.015026,0.014570000000000001,0.013841999999999998,0.011074000000000002,0.00991,0.008098,0.007748,0.007794000000000001,0.006996,0.008858000000000001,0.009276,0.011796,0.012112,0.013018,0.013067999999999998,0.013446,0.016602,0.019028,0.02214,0.019171999999999998,0.018966,0.016178,0.014718,0.014703999999999998,0.01452,0.013944000000000002,0.012846,0.012695999999999999,0.013018,0.012376,0.0114,0.010266,0.009980000000000001,0.010036
18,0.06953,0.07544200000000001,0.072514,0.06722800000000001,0.06397,0.057454000000000005,0.051834000000000005,0.044832,0.041342,0.03847,0.033464,0.030089999999999995,0.028034,0.026037999999999995,0.022875999999999997,0.019234,0.019110000000000002,0.017808,0.014306000000000001,0.012700000000000001,0.010251999999999999,0.009802,0.009616,0.008754,0.010742,0.011473999999999998,0.014304,0.014878,0.016392,0.016952,0.016464,0.019597999999999997,0.022882000000000003,0.027239999999999997,0.023458,0.023314,0.020332,0.018272,0.017785999999999996,0.0184,0.016926000000000004,0.015884,0.016253999999999998,0.016362,0.016084,0.014320000000000001,0.013424,0.013240000000000002,0.013134
19,0.08896,0.096566,0.092112,0.08417400000000001,0.08035,0.071632,0.06508199999999999,0.056035999999999996,0.051626,0.04772,0.041432,0.03682,0.03471200000000001,0.031883999999999996,0.028007999999999998,0.023442,0.023650000000000004,0.021774,0.017538,0.01549,0.012405999999999999,0.011856,0.011437999999999999,0.010511999999999999,0.012626,0.013671999999999997,0.016812,0.017644,0.019766,0.020835999999999997,0.019482,0.022594,0.026736,0.032339999999999994,0.027744,0.027662,0.024486,0.021826,0.020867999999999998,0.02228,0.019908000000000002,0.018922,0.019811999999999996,0.019705999999999998,0.019791999999999997,0.017240000000000002,0.016582,0.0165,0.016232
20,0.10839,0.11769,0.11170999999999999,0.10112,0.09673000000000001,0.08581,0.07833,0.06724,0.06191,0.05697,0.0494,0.04355,0.04139,0.03773,0.03314,0.027649999999999997,0.02819,0.02574,0.02077,0.01828,0.01456,0.01391,0.01326,0.01227,0.01451,0.01587,0.01932,0.02041,0.02314,0.02472,0.0225,0.025589999999999998,0.03059,0.03744,0.03203,0.03201,0.028640000000000002,0.02538,0.02395,0.02616,0.02289,0.02196,0.023370000000000002,0.02305,0.0235,0.02016,0.019739999999999997,0.019760000000000003,0.01933
21,0.123444,0.130632,0.123538,0.113912,0.10711799999999999,0.097266,0.089646,0.08023599999999999,0.07261999999999999,0.068828,0.061822,0.05557,0.053594,0.050976,0.04668,0.040282,0.040100000000000004,0.037745999999999995,0.033347999999999996,0.0304,0.025857999999999996,0.02435,0.022984,0.020806,0.022784,0.023888,0.026094000000000003,0.02693,0.029670000000000002,0.030305999999999996,0.0289,0.031948,0.035834000000000005,0.04180999999999999,0.036566,0.037239999999999995,0.033780000000000004,0.03051,0.028905999999999998,0.031506,0.029084,0.028158000000000002,0.02869,0.027732,0.027937999999999998,0.024874,0.025299999999999996,0.024126,0.024158
22,0.13849799999999998,0.143574,0.135366,0.126704,0.117506,0.10872200000000001,0.10096199999999998,0.093232,0.08333,0.08068600000000001,0.074244,0.06759,0.065798,0.06422199999999999,0.060219999999999996,0.052914,0.05201000000000001,0.049752,0.045926,0.042519999999999995,0.037156,0.03479000000000001,0.032708,0.029342000000000003,0.031058,0.031906,0.032867999999999994,0.033449999999999994,0.0362,0.03589199999999999,0.0353,0.038306,0.041078,0.04618,0.04110200000000001,0.04247,0.03892,0.03564,0.033861999999999996,0.036852,0.035278,0.034356000000000005,0.03401,0.032414,0.032375999999999995,0.029588,0.03086,0.028492000000000003,0.028985999999999998
23,0.153552,0.15651600000000002,0.147194,0.139496,0.12789399999999998,0.120178,0.11227799999999999,0.10622799999999999,0.09404,0.092544,0.08666599999999999,0.07961,0.078002,0.077468,0.07376,0.065546,0.06392,0.06175799999999999,0.058503999999999994,0.05464,0.04845399999999999,0.045230000000000006,0.042432000000000004,0.037878,0.039332,0.039924,0.039642,0.03997,0.04273,0.041478,0.0417,0.044664,0.046322,0.05055,0.045638,0.04769999999999999,0.04406,0.04077,0.038818,0.042198,0.041472,0.040554,0.03933,0.037096000000000004,0.036814,0.034302,0.03642,0.032858000000000005,0.033814
24,0.168606,0.169458,0.159022,0.152288,0.138282,0.131634,0.123594,0.11922399999999998,0.10475,0.104402,0.099088,0.09162999999999999,0.090206,0.090714,0.08730000000000002,0.078178,0.07583,0.073764,0.07108199999999999,0.06675999999999999,0.05975199999999999,0.055670000000000004,0.052156,0.046414000000000004,0.047606,0.047942,0.046416,0.04649,0.04926,0.047064,0.048100000000000004,0.051022000000000005,0.051566,0.054920000000000004,0.050173999999999996,0.05292999999999999,0.0492,0.0459,0.043774,0.047543999999999996,0.047666,0.046752,0.044649999999999995,0.041778,0.041252,0.039015999999999995,0.04198,0.03722400000000001,0.038641999999999996
25,0.18366,0.1824,0.17085,0.16508,0.14867,0.14309,0.13491,0.13222,0.11546,0.11626,0.11151000000000001,0.10365,0.10241,0.10396,0.10084,0.09081,0.08774,0.08577,0.08366,0.07887999999999999,0.07105,0.06611,0.061880000000000004,0.054950000000000006,0.05588,0.05596,0.05319,0.053009999999999995,0.05579,0.052649999999999995,0.0545,0.05738,0.05681,0.05929,0.05471,0.058159999999999996,0.054340000000000006,0.05103,0.048729999999999996,0.05289,0.05386,0.052950000000000004,0.04997,0.04646,0.045689999999999995,0.04373,0.04754,0.04159,0.04347
