edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0,0.00011999999999999999,0.00011999999999999999,0.00013000000000000002,0.00026000000000000003,0.00027,0.00014000000000000001,0.0,0.00031,0.0,0.0,0.0,0.0,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022,0.0,0.0,0.0,0.0,0.0,0.00026000000000000003,0.0,0.0,0.0,0.0,0.0,0.00028000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00148,0.0018820000000000002,0.002176,0.0024579999999999997,0.0030659999999999997,0.003074,0.002824,0.002358,0.003296,0.0028399999999999996,0.002874,0.002434,0.003092,0.003316,0.002068,0.001984,0.0017920000000000002,0.0013260000000000001,0.001112,0.0011259999999999998,0.0012980000000000001,0.0013,0.0013279999999999998,0.000778,0.00099,0.0009800000000000002,0.0008179999999999999,0.001002,0.001392,0.001358,0.001502,0.001662,0.002326,0.002304,0.002366,0.0015300000000000001,0.001988,0.001604,0.001262,0.000782,0.001774,0.00116,0.0008880000000000001,0.0011240000000000002,0.000958,0.001142,0.00065,0.0009199999999999999,0.0008380000000000001
12,0.00296,0.003644,0.0042320000000000005,0.0047859999999999995,0.005872,0.005878,0.005508,0.004716,0.006281999999999999,0.005679999999999999,0.005748,0.004868,0.006184,0.006462,0.004136,0.003968,0.0035840000000000004,0.0026520000000000003,0.002224,0.0022519999999999997,0.0025960000000000002,0.00238,0.0026559999999999995,0.001556,0.00198,0.0019600000000000004,0.0016359999999999999,0.0017439999999999999,0.002784,0.002716,0.003004,0.003324,0.004652,0.004328,0.004732,0.0030600000000000002,0.003976,0.003208,0.002524,0.001564,0.0032479999999999996,0.00232,0.0017760000000000002,0.0022480000000000004,0.001916,0.002284,0.0013,0.0018399999999999998,0.0016760000000000002
13,0.0044399999999999995,0.005405999999999999,0.006288,0.007114,0.008677999999999998,0.008681999999999999,0.008192,0.007073999999999999,0.009267999999999998,0.00852,0.008622,0.007302,0.009276,0.009607999999999998,0.006204,0.005952,0.0053760000000000014,0.003978000000000001,0.0033359999999999996,0.0033779999999999995,0.0038940000000000003,0.0034600000000000004,0.003984,0.002334,0.0029699999999999996,0.0029400000000000003,0.0024539999999999996,0.002486,0.004176,0.0040739999999999995,0.0045060000000000005,0.004986000000000001,0.006978,0.006352,0.007098000000000001,0.0045899999999999995,0.0059640000000000006,0.0048119999999999994,0.003786,0.002346,0.004722,0.0034799999999999996,0.0026640000000000006,0.0033720000000000004,0.002874,0.003426,0.0019500000000000001,0.00276,0.002514
14,0.00592,0.007168,0.008343999999999999,0.009442,0.011484,0.011486,0.010876000000000002,0.009432,0.012254,0.011359999999999999,0.011496,0.009736,0.012368,0.012754,0.008272,0.007936,0.007168000000000001,0.0053040000000000006,0.004448,0.004503999999999999,0.0051920000000000004,0.00454,0.005311999999999999,0.003112,0.00396,0.003920000000000001,0.0032719999999999997,0.003228,0.005568,0.005432,0.006008,0.006648,0.009304,0.008376,0.009464,0.0061200000000000004,0.007952,0.006416,0.005048,0.003128,0.006196,0.00464,0.0035520000000000005,0.004496000000000001,0.003832,0.004568,0.0026,0.0036799999999999997,0.0033520000000000004
15,0.0074,0.00893,0.0104,0.01177,0.014289999999999999,0.014289999999999999,0.013560000000000001,0.011789999999999998,0.01524,0.014199999999999999,0.014369999999999999,0.01217,0.015460000000000002,0.0159,0.01034,0.00992,0.008960000000000001,0.00663,0.00556,0.00563,0.00649,0.00562,0.00664,0.0038900000000000002,0.00495,0.004900000000000001,0.00409,0.0039700000000000004,0.00696,0.00679,0.00751,0.00831,0.011630000000000001,0.0104,0.01183,0.0076500000000000005,0.00994,0.00802,0.00631,0.00391,0.00767,0.0058,0.00444,0.00562,0.00479,0.00571,0.00325,0.0046,0.00419
16,0.017582,0.020732,0.023361999999999997,0.02517,0.028235999999999997,0.030558,0.02719,0.025846,0.026085999999999998,0.025281999999999995,0.024815999999999998,0.02197,0.024684,0.023548000000000003,0.018796,0.017858,0.015636,0.012458000000000002,0.010766,0.01025,0.010324000000000002,0.009046,0.009184,0.006854,0.007880000000000002,0.00751,0.007228,0.006324,0.009932,0.009663999999999999,0.010646000000000001,0.012591999999999999,0.015186,0.015292000000000002,0.015988,0.012356000000000002,0.013501999999999998,0.010626,0.008657999999999999,0.0070999999999999995,0.010044,0.008084,0.007814,0.00811,0.007928000000000001,0.008516,0.006836,0.007940000000000001,0.00641
17,0.027764000000000004,0.032534,0.036323999999999995,0.03857,0.042182,0.046826,0.04082,0.039902,0.036932,0.036364,0.035262,0.03177000000000001,0.033908,0.031196,0.027252,0.025796,0.022312000000000002,0.018286,0.015972,0.014870000000000001,0.014158,0.012471999999999999,0.011727999999999999,0.009818,0.010810000000000002,0.01012,0.010366,0.008678000000000002,0.012904,0.012538,0.013782,0.016874,0.018742,0.020184,0.020146,0.017062,0.017064,0.013231999999999999,0.011006,0.010289999999999999,0.012417999999999998,0.010367999999999999,0.011187999999999998,0.0106,0.011066000000000001,0.011321999999999999,0.010422,0.011280000000000002,0.008629999999999999
18,0.037946,0.044336,0.049285999999999996,0.05197,0.05612799999999999,0.063094,0.054450000000000005,0.053958000000000006,0.047778,0.047445999999999995,0.045708,0.04157,0.043132000000000004,0.038844000000000004,0.035708,0.033734,0.028988,0.024114,0.021178000000000002,0.019489999999999997,0.017992000000000005,0.015898,0.014271999999999998,0.012782,0.013740000000000002,0.01273,0.013504000000000002,0.011032,0.015876,0.015411999999999999,0.016918,0.021155999999999998,0.022298000000000002,0.025076,0.024304,0.021768,0.020626,0.015838,0.013354,0.01348,0.014791999999999998,0.012652,0.014562000000000002,0.01309,0.014204000000000001,0.014128,0.014008,0.014620000000000003,0.01085
19,0.048128,0.056138,0.06224799999999999,0.06537000000000001,0.07007399999999998,0.07936199999999999,0.06808,0.068014,0.058624,0.05852799999999999,0.056153999999999996,0.051370000000000006,0.052356,0.046492000000000006,0.044164,0.041671999999999994,0.035664,0.029942000000000003,0.026384,0.02411,0.021826,0.019323999999999997,0.016815999999999998,0.015746,0.01667,0.01534,0.016642000000000004,0.013386,0.018848,0.018286,0.020054000000000002,0.025437999999999995,0.025854,0.029968000000000005,0.028461999999999998,0.026474000000000004,0.024188,0.018444000000000002,0.015702,0.01667,0.017165999999999997,0.014936,0.017936,0.015579999999999998,0.017342000000000003,0.016933999999999998,0.017594000000000002,0.01796,0.01307
20,0.05831,0.06794,0.07521,0.07876999999999999,0.08402,0.09562999999999999,0.08170999999999999,0.08206999999999999,0.06947,0.06961,0.06659999999999999,0.06117,0.061579999999999996,0.05414,0.05262,0.04961,0.04234,0.03577,0.03159,0.028730000000000002,0.02566,0.02275,0.01936,0.01871,0.019600000000000003,0.01795,0.019780000000000002,0.01574,0.02182,0.02116,0.023190000000000002,0.02972,0.02941,0.03486,0.032619999999999996,0.03118,0.02775,0.02105,0.01805,0.01986,0.01954,0.01722,0.02131,0.01807,0.02048,0.019739999999999997,0.02118,0.0213,0.01529
