edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00026000000000000003,0.0002425,0.000305,0.00029,0.0003575,0.00040375000000000003,0.0004325,0.00030500000000000004,0.00032125000000000003,0.00031875,0.00024125,0.0001675,0.0002225,0.0002025,0.0001925,0.000155,0.0001975,0.00012625,0.00015000000000000001,0.000165,0.0001575,0.00014875,6.625e-05,0.00015375000000000002,0.00014875,0.00017625,0.00019,0.00013000000000000002,0.0001875,0.00025,0.00017999999999999998,0.00015125000000000002,0.0002075,0.000215,0.00016125,8.999999999999999e-05,0.00010625000000000001,0.0001725,0.00013375,0.00020875,0.00010625,0.00012625,0.00015125000000000002,6.125e-05,0.0001325,5.625e-05,7.875e-05,7.375e-05,9e-05
11,0.00564175,0.006175,0.0065535,0.006649,0.00698825,0.007005249999999999,0.006423,0.00615575,0.0059247499999999995,0.00566825,0.0054315,0.005027,0.004906,0.004667,0.004187,0.00369975,0.00345375,0.0032562500000000005,0.0030204999999999997,0.0027294999999999997,0.0027045000000000003,0.0024732499999999998,0.00247975,0.002562,0.00270275,0.002786,0.00287475,0.002798,0.0028675000000000003,0.003095,0.0032555,0.0032725000000000002,0.0035222499999999998,0.00344375,0.00311425,0.00278325,0.0024715,0.00240725,0.002241,0.002167,0.00211225,0.0020062500000000002,0.00200225,0.00175275,0.0018175,0.0015827500000000002,0.0015107500000000002,0.00135325,0.0012855
12,0.0110235,0.0121075,0.012802000000000001,0.013008,0.013619,0.013606749999999999,0.0124135,0.0120065,0.01152825,0.01101775,0.01062175,0.009886500000000001,0.009589499999999999,0.0091315,0.0081815,0.0072445,0.00671,0.00638625,0.0058909999999999995,0.005293999999999999,0.005251500000000001,0.00479775,0.00489325,0.00497025,0.00525675,0.0053957499999999995,0.005559499999999999,0.005466,0.0055475,0.00594,0.006331,0.00639375,0.006836999999999999,0.0066725,0.00606725,0.0054765000000000005,0.00483675,0.004642,0.00434825,0.00412525,0.0041182499999999995,0.00388625,0.0038532500000000003,0.00344425,0.0035025,0.00310925,0.00294275,0.00263275,0.002481
13,0.01640525,0.01804,0.0190505,0.019367000000000002,0.02024975,0.02020825,0.018404,0.017857249999999998,0.01713175,0.01636725,0.015812,0.014746,0.014273000000000001,0.013596,0.012176,0.01078925,0.00996625,0.00951625,0.0087615,0.0078585,0.007798500000000001,0.00712225,0.00730675,0.0073785000000000005,0.00781075,0.008005499999999999,0.00824425,0.008134,0.0082275,0.008785000000000001,0.0094065,0.009515,0.010151750000000001,0.00990125,0.009020249999999999,0.00816975,0.007202,0.00687675,0.0064555,0.0060835,0.0061242499999999995,0.00576625,0.00570425,0.00513575,0.0051875,0.00463575,0.00437475,0.00391225,0.0036765
14,0.021786999999999997,0.023972499999999997,0.025299,0.025726,0.0268805,0.02680975,0.0243945,0.023708,0.02273525,0.02171675,0.02100225,0.0196055,0.0189565,0.0180605,0.0161705,0.014334,0.0132225,0.012646250000000001,0.011632,0.010422999999999998,0.0103455,0.00944675,0.00972025,0.00978675,0.01036475,0.01061525,0.010929,0.010802,0.0109075,0.011630000000000001,0.012482,0.01263625,0.0134665,0.01313,0.01197325,0.010863000000000001,0.00956725,0.0091115,0.00856275,0.00804175,0.00813025,0.00764625,0.00755525,0.00682725,0.0068725,0.00616225,0.00580675,0.00519175,0.004872
15,0.02716875,0.029904999999999998,0.0315475,0.032085,0.03351125,0.03341125,0.030385,0.02955875,0.02833875,0.02706625,0.0261925,0.024465,0.02364,0.022525,0.020165000000000002,0.01787875,0.01647875,0.01577625,0.0145025,0.012987499999999999,0.012892500000000001,0.01177125,0.01213375,0.012195,0.01291875,0.013225,0.01361375,0.01347,0.0135875,0.014475,0.0155575,0.0157575,0.016781249999999998,0.01635875,0.01492625,0.01355625,0.0119325,0.01134625,0.01067,0.01,0.01013625,0.00952625,0.00940625,0.00851875,0.0085575,0.00768875,0.00723875,0.0064712500000000004,0.0060675
16,0.04831025,0.0527865,0.05436975,0.05456875,0.0551955,0.05455575,0.0497175,0.0476135,0.044448,0.04215925,0.039439,0.036926,0.035289,0.03368325,0.030773000000000002,0.0282045,0.026151999999999998,0.0244695,0.022106,0.01971875,0.01851275,0.0167805,0.016878749999999998,0.016485,0.016927249999999998,0.017347500000000002,0.01765925,0.017558,0.0179675,0.01907875,0.01987475,0.020412,0.02154775,0.02165825,0.019879,0.01865025,0.01677625,0.015814,0.01500925,0.01451875,0.01451775,0.01398425,0.01357825,0.0126375,0.012618,0.01179,0.01101925,0.010369,0.0100465
17,0.06945175,0.075668,0.077192,0.0770525,0.07687975,0.07570025,0.06905,0.06566825,0.06055725,0.05725225,0.052685499999999996,0.049387,0.046938,0.0448415,0.041381,0.03853025,0.03582525,0.03316275,0.0297095,0.02645,0.024133,0.02178975,0.02162375,0.020775000000000002,0.02093575,0.02147,0.021704750000000002,0.021646,0.0223475,0.0236825,0.024192,0.025066500000000002,0.02631425,0.02695775,0.02483175,0.023744249999999998,0.02162,0.020281749999999998,0.0193485,0.0190375,0.01889925,0.01844225,0.01775025,0.01675625,0.0166785,0.01589125,0.01479975,0.01426675,0.0140255
18,0.09059325,0.0985495,0.10001425,0.09953624999999999,0.098564,0.09684475000000001,0.0883825,0.083723,0.0766665,0.07234525,0.065932,0.061848,0.058587,0.05599975,0.051989,0.048856,0.0454985,0.041856,0.037313,0.03318125,0.029753250000000002,0.026799,0.02636875,0.025065,0.02494425,0.0255925,0.025750250000000002,0.025734,0.0267275,0.02828625,0.02850925,0.029721,0.03108075,0.03225725,0.0297845,0.02883825,0.02646375,0.0247495,0.02368775,0.02355625,0.02328075,0.02290025,0.02192225,0.020874999999999998,0.020739,0.0199925,0.01858025,0.0181645,0.0180045
19,0.11173475,0.121431,0.1228365,0.12201999999999999,0.12024825,0.11798925,0.107715,0.10177775,0.09277575,0.08743825,0.0791785,0.074309,0.07023599999999999,0.067158,0.062597,0.05918175,0.05517175,0.050549250000000004,0.0449165,0.039912500000000004,0.0353735,0.03180825,0.03111375,0.029355,0.02895275,0.029715000000000002,0.02979575,0.029822,0.031107500000000003,0.03289,0.0328265,0.034375499999999996,0.03584725,0.03755675,0.03473725,0.033932250000000004,0.0313075,0.02921725,0.028027,0.028075,0.02766225,0.02735825,0.02609425,0.02499375,0.024799500000000002,0.02409375,0.022360750000000002,0.022062250000000002,0.021983500000000003
