edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,8.999999999999999e-05,0.00044,0.00029,0.00011999999999999999,0.00016,0.0005899999999999999,0.00034,0.0005600000000000001,0.00022,7.000000000000001e-05,0.00011,0.00011,0.00015,7.000000000000001e-05,0.00011,4e-05,0.0,8e-05,4e-05,4e-05,8e-05,8.999999999999999e-05,4e-05,4e-05,5e-05,8.999999999999999e-05,0.00014000000000000001,0.00013000000000000002,4e-05,0.00013000000000000002,0.00013000000000000002,0.00017,0.00017,8e-05,4e-05,0.00011999999999999999,0.0,4e-05,0.00015,4e-05,0.00011,0.00011,4e-05,0.0001,2.9999999999999997e-05,7.000000000000001e-05,2.9999999999999997e-05,7.000000000000001e-05,2.9999999999999997e-05
11,0.005984,0.006866000000000001,0.006176,0.0056879999999999995,0.006206000000000001,0.006754,0.005484,0.005146,0.004782,0.00423,0.0043040000000000005,0.003632,0.0038740000000000003,0.00361,0.003512,0.003102,0.0025780000000000004,0.0022440000000000003,0.0018440000000000004,0.0016480000000000002,0.0017740000000000002,0.001448,0.0016040000000000002,0.001802,0.002038,0.0020959999999999998,0.002608,0.002836,0.0025080000000000002,0.002558,0.0028659999999999996,0.002864,0.002996,0.0026900000000000006,0.0025440000000000007,0.0023520000000000004,0.001866,0.0018360000000000002,0.001766,0.001524,0.001292,0.0016239999999999998,0.00152,0.00119,0.0011899999999999999,0.001078,0.0008719999999999999,0.000854,0.000882
12,0.011878,0.013292,0.012062,0.011255999999999999,0.012252,0.012917999999999999,0.010628,0.009732000000000001,0.009344000000000002,0.00839,0.008497999999999999,0.007154,0.007598000000000001,0.00715,0.006914000000000001,0.006164,0.005156000000000001,0.0044080000000000005,0.0036480000000000006,0.003256,0.0034680000000000006,0.002806,0.0031680000000000002,0.003564,0.004026,0.004102,0.005076,0.005542,0.004976000000000001,0.004986,0.005601999999999999,0.005558,0.005822,0.005300000000000001,0.005048000000000001,0.004584,0.003732,0.0036320000000000002,0.003382,0.003008,0.0024739999999999996,0.0031379999999999993,0.003,0.0022800000000000003,0.0023499999999999997,0.0020859999999999997,0.001714,0.0016380000000000001,0.001734
13,0.017772000000000003,0.019718,0.017948,0.016824000000000002,0.018298000000000002,0.019082,0.015772,0.014318,0.013906,0.01255,0.012692,0.010675999999999998,0.011322,0.010690000000000002,0.010315999999999999,0.009226,0.007734000000000001,0.006572000000000001,0.005452000000000001,0.004864,0.005162000000000001,0.004163999999999999,0.004732,0.005326,0.006014,0.006107999999999999,0.0075439999999999995,0.008248000000000002,0.007444000000000002,0.007414,0.008338,0.008252,0.008648,0.00791,0.007552000000000001,0.006816000000000001,0.0055980000000000005,0.005428,0.004998000000000001,0.004492,0.0036559999999999995,0.004652,0.00448,0.0033700000000000006,0.0035099999999999992,0.003094,0.0025559999999999997,0.002422,0.0025859999999999998
14,0.023666,0.026144,0.023834,0.022392,0.024344,0.025245999999999998,0.020916,0.018904,0.018468,0.01671,0.016885999999999998,0.014197999999999999,0.015046,0.01423,0.013718,0.012288,0.010312000000000002,0.008736,0.007256000000000001,0.006472,0.006856000000000001,0.005522,0.006296,0.007088,0.008002,0.008114,0.010012,0.010954,0.009912,0.009842,0.011074,0.010946,0.011474,0.010520000000000002,0.010056,0.009048,0.007464,0.007224,0.006614000000000001,0.005976,0.004838,0.006166,0.00596,0.0044599999999999996,0.00467,0.004102000000000001,0.0033979999999999995,0.003206,0.0034379999999999997
15,0.02956,0.03257,0.02972,0.027960000000000002,0.03039,0.03141,0.02606,0.023489999999999997,0.023030000000000002,0.02087,0.021079999999999998,0.01772,0.01877,0.01777,0.01712,0.015349999999999999,0.01289,0.0109,0.00906,0.00808,0.00855,0.00688,0.00786,0.00885,0.00999,0.010119999999999999,0.01248,0.01366,0.01238,0.01227,0.013810000000000001,0.013640000000000001,0.0143,0.013130000000000001,0.01256,0.01128,0.00933,0.00902,0.008230000000000001,0.00746,0.006019999999999999,0.007679999999999999,0.00744,0.00555,0.00583,0.00511,0.00424,0.0039900000000000005,0.00429
16,0.055584,0.05781,0.0531,0.049319999999999996,0.050836,0.050008000000000004,0.044885999999999995,0.040355999999999996,0.038688,0.035384,0.034758,0.029981999999999998,0.029840000000000002,0.028748,0.028304000000000003,0.025574,0.021929999999999998,0.019058,0.015906,0.013187999999999998,0.013246,0.011754,0.012147999999999999,0.01286,0.014362,0.015076,0.017574000000000003,0.018746000000000002,0.017654,0.017512,0.018286,0.018920000000000003,0.019774,0.019324,0.018614000000000002,0.016962,0.014414000000000001,0.013937999999999999,0.013178,0.01218,0.010664,0.012124,0.011776,0.01009,0.010336,0.009408000000000001,0.007928,0.007210000000000001,0.007664
17,0.081608,0.08305000000000001,0.07648,0.07067999999999999,0.07128200000000001,0.06860600000000001,0.063712,0.057221999999999995,0.054346,0.049898,0.048436,0.042244,0.04091,0.039726,0.039488,0.035798,0.03097,0.027216,0.022751999999999998,0.018296,0.017942,0.016628,0.016436,0.016869999999999996,0.018734,0.020032,0.022668,0.023832,0.022927999999999997,0.022753999999999996,0.022762,0.0242,0.025248,0.025518,0.024668,0.022643999999999997,0.019498,0.018856,0.018125999999999996,0.0169,0.015308,0.016568,0.016112,0.014629999999999999,0.014842000000000001,0.013706,0.011616,0.01043,0.011038000000000001
18,0.107632,0.10829,0.09986000000000002,0.09204,0.091728,0.087204,0.082538,0.07408799999999999,0.070004,0.06441200000000001,0.062114,0.054506,0.051980000000000005,0.05070399999999999,0.05067200000000001,0.046022,0.040010000000000004,0.035373999999999996,0.029598,0.023403999999999998,0.022638,0.021502000000000004,0.020724,0.02088,0.023106,0.024988,0.027762000000000002,0.028918,0.028201999999999998,0.027995999999999997,0.027238,0.029479999999999996,0.030722000000000003,0.031712000000000004,0.030722000000000003,0.028326,0.024582,0.023774,0.023073999999999997,0.02162,0.019951999999999998,0.021012,0.020448,0.019170000000000003,0.019348,0.018004000000000003,0.015304,0.01365,0.014412
19,0.133656,0.13353,0.12324,0.11339999999999997,0.11217400000000001,0.10580200000000001,0.10136400000000001,0.090954,0.08566199999999999,0.078926,0.075792,0.066768,0.06305000000000001,0.061682,0.06185600000000001,0.056246000000000004,0.04905,0.043531999999999994,0.036444,0.028512,0.027334,0.026376,0.025012,0.02489,0.027478000000000002,0.029944000000000002,0.032856,0.034004000000000006,0.033476,0.033238,0.031714,0.03476,0.036196,0.037906,0.036775999999999996,0.034008,0.029666000000000005,0.028692,0.028022,0.02634,0.024596,0.025456,0.024784000000000004,0.023710000000000002,0.023854,0.022302,0.018992,0.01687,0.017786
20,0.15968000000000002,0.15877000000000002,0.14662,0.13476,0.13262000000000002,0.12440000000000001,0.12018999999999999,0.10782,0.10132,0.09344,0.08947,0.07903,0.07412,0.07266,0.07304000000000001,0.06647,0.05809,0.05169,0.04329,0.03362,0.03203,0.03125,0.0293,0.0289,0.03185,0.0349,0.037950000000000005,0.03909000000000001,0.03875,0.03848,0.03619,0.04004,0.04167,0.0441,0.04283,0.039689999999999996,0.03475,0.03361,0.03297,0.031059999999999997,0.02924,0.0299,0.02912,0.02825,0.02836,0.026600000000000002,0.02268,0.02009,0.02116
21,0.165976,0.16507600000000003,0.15119200000000002,0.14018,0.137494,0.12849200000000002,0.12333,0.11308599999999999,0.106958,0.101142,0.097868,0.08926600000000001,0.08460200000000001,0.083164,0.083124,0.078068,0.069848,0.063874,0.055352,0.04629,0.043518,0.04238,0.040600000000000004,0.039226,0.041594,0.044162,0.046079999999999996,0.046802,0.045946,0.044893999999999996,0.04278,0.045956000000000004,0.046568,0.049554,0.047168,0.044629999999999996,0.039632,0.038498,0.0386,0.036508,0.035074,0.035724,0.034491999999999995,0.033701999999999996,0.033474,0.031462,0.027602,0.025288,0.025812
22,0.17227199999999998,0.171382,0.155764,0.1456,0.142368,0.132584,0.12647,0.118352,0.11259599999999999,0.108844,0.106266,0.09950200000000001,0.095084,0.093668,0.093208,0.089666,0.081606,0.07605799999999999,0.067414,0.05895999999999999,0.055006,0.05351,0.05190000000000001,0.049552,0.051337999999999995,0.05342399999999999,0.05421,0.054514,0.053142,0.05130799999999999,0.04937,0.051872,0.051466,0.055008,0.051506,0.04957,0.044514,0.043385999999999994,0.04423,0.04195599999999999,0.040908,0.041548,0.039864,0.039153999999999994,0.038588000000000004,0.036323999999999995,0.032524000000000004,0.030485999999999996,0.030463999999999998
23,0.17856799999999998,0.177688,0.16033599999999998,0.15102000000000002,0.147242,0.13667600000000002,0.12960999999999998,0.12361799999999999,0.11823399999999999,0.116546,0.114664,0.109738,0.10556600000000001,0.104172,0.103292,0.10126399999999999,0.093364,0.088242,0.079476,0.07163,0.066494,0.06464,0.0632,0.059878,0.06108199999999999,0.06268599999999999,0.062340000000000007,0.062226000000000004,0.060338,0.057721999999999996,0.05596,0.057788000000000006,0.056364,0.060462,0.05584399999999999,0.054509999999999996,0.049396,0.048274,0.04986,0.047403999999999995,0.046742,0.047372,0.045236,0.044606,0.043702,0.041186,0.037446,0.035684,0.035116
24,0.184864,0.183994,0.164908,0.15644,0.152116,0.140768,0.13275,0.12888400000000003,0.12387199999999998,0.124248,0.12306200000000002,0.119974,0.116048,0.114676,0.113376,0.11286199999999999,0.105122,0.100426,0.091538,0.0843,0.077982,0.07577,0.0745,0.070204,0.070826,0.071948,0.07047,0.069938,0.06753400000000001,0.064136,0.06255,0.06370400000000001,0.061262,0.065916,0.06018199999999999,0.05945,0.054278,0.053162,0.05549,0.052851999999999996,0.05257599999999999,0.053196,0.050608,0.050058,0.048816000000000005,0.046048,0.042367999999999996,0.040881999999999995,0.039768
25,0.19116,0.19030000000000002,0.16948,0.16186,0.15699000000000002,0.14486000000000002,0.13588999999999998,0.13415000000000002,0.12951,0.13194999999999998,0.13146000000000002,0.13021000000000002,0.12653,0.12518,0.12346,0.12445999999999999,0.11688,0.11261,0.1036,0.09697,0.08947,0.0869,0.0858,0.08053,0.08056999999999999,0.08120999999999999,0.07859999999999999,0.07765000000000001,0.07473,0.07055,0.06914000000000001,0.06962,0.06616,0.07137,0.06452,0.06439,0.05916,0.05805,0.06112,0.0583,0.05841,0.05902,0.055979999999999995,0.05551,0.05393,0.05091,0.04729,0.046079999999999996,0.04442
26,0.175216,0.173102,0.15499599999999997,0.147536,0.143566,0.13317600000000002,0.124136,0.123244,0.11905999999999999,0.12091999999999999,0.12052800000000001,0.11980800000000001,0.116838,0.116036,0.11497399999999999,0.116058,0.11060799999999998,0.10675799999999999,0.098658,0.09419799999999999,0.08834399999999999,0.086074,0.08627199999999999,0.08201399999999999,0.082892,0.084496,0.08269999999999998,0.081542,0.07896600000000001,0.075888,0.07404000000000001,0.074768,0.071208,0.075964,0.06877,0.068866,0.064468,0.062948,0.06418399999999999,0.063112,0.063386,0.064156,0.061138,0.060804000000000004,0.057923999999999996,0.055552,0.05363,0.051995999999999994,0.04917
27,0.159272,0.155904,0.140512,0.13321200000000002,0.130142,0.121492,0.112382,0.11233800000000001,0.10861,0.10988999999999999,0.109596,0.109406,0.107146,0.106892,0.106488,0.107656,0.104336,0.100906,0.093716,0.09142600000000001,0.087218,0.085248,0.086744,0.083498,0.085214,0.087782,0.0868,0.085434,0.083202,0.08122599999999999,0.07894,0.079916,0.076256,0.080558,0.07302,0.073342,0.06977599999999999,0.067846,0.06724799999999999,0.067924,0.06836199999999999,0.069292,0.066296,0.066098,0.061918,0.060194000000000004,0.059969999999999996,0.057912,0.05392
