edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00025,0.00034500000000000004,0.00034,0.0005,0.000565,0.000515,0.00049,0.00061,0.000505,0.00037,0.00031,0.000255,0.00019,0.000145,0.00034500000000000004,0.000295,0.00025,0.00021999999999999998,0.000165,0.00019,0.000155,9.5e-05,0.00015000000000000001,0.00021999999999999998,0.00019500000000000002,7.999999999999999e-05,0.00016,0.00026000000000000003,0.000205,0.000155,0.00011000000000000002,0.00023,0.00014000000000000001,0.000185,8.999999999999999e-05,0.00012000000000000002,0.00015500000000000003,0.000115,0.00019,0.00010000000000000002,9e-05,7.500000000000001e-05,3.5e-05,0.0,3.5000000000000004e-05,7.500000000000001e-05,3.5000000000000004e-05,4e-05,4e-05
11,0.009236999999999999,0.00998,0.009423999999999998,0.009569,0.010008,0.009915,0.009145,0.008039000000000001,0.0073939999999999995,0.006803,0.006128,0.005568,0.005658,0.005585,0.004867,0.004561,0.004202000000000001,0.0036290000000000003,0.003495,0.0031479999999999998,0.002894,0.002911,0.0032630000000000003,0.0034670000000000005,0.0038840000000000003,0.0036780000000000003,0.003608,0.0038080000000000006,0.0033980000000000004,0.0031850000000000003,0.00338,0.0033619999999999995,0.00319,0.003092,0.002673,0.002227,0.002031,0.0018620000000000004,0.0017209999999999999,0.001633,0.001557,0.001467,0.00121,0.001126,0.001052,0.00095,0.0007049999999999999,0.000723,0.000688
12,0.018224,0.019615,0.018508,0.018638,0.019451000000000003,0.019315,0.017800000000000003,0.015467999999999999,0.014282999999999997,0.013236000000000001,0.011945999999999998,0.010881,0.011126,0.011025,0.009388999999999998,0.008827,0.008154,0.007038000000000001,0.0068249999999999995,0.0061059999999999994,0.005632999999999999,0.005727,0.006376,0.006714000000000001,0.007573,0.0072759999999999995,0.007055999999999999,0.007356,0.006591,0.006215,0.00665,0.006494,0.006240000000000001,0.005999,0.005256,0.004333999999999999,0.003906999999999999,0.0036090000000000002,0.003252,0.0031659999999999995,0.0030239999999999998,0.0028589999999999996,0.002385,0.002252,0.0020689999999999997,0.001825,0.001375,0.0014060000000000001,0.001336
13,0.027211,0.029249999999999998,0.027592,0.027706999999999996,0.028894000000000003,0.028715,0.026455,0.022897000000000004,0.021171999999999996,0.019669,0.017764000000000002,0.016194,0.016594,0.016465,0.013911,0.013093,0.012105999999999999,0.010447000000000001,0.010155,0.009064,0.008372000000000001,0.008543,0.009489000000000001,0.009961000000000001,0.011262000000000001,0.010874000000000002,0.010504,0.010904,0.009783999999999998,0.009245,0.009920000000000002,0.009626,0.00929,0.008905999999999999,0.007839,0.006440999999999999,0.005782999999999999,0.0053560000000000005,0.004783000000000001,0.004699,0.004491,0.004251,0.0035599999999999994,0.003378,0.0030859999999999993,0.0027,0.002045,0.002089,0.001984
14,0.036198,0.038885,0.036676,0.036775999999999996,0.038336999999999996,0.038114999999999996,0.03511,0.030326000000000006,0.028060999999999996,0.026102,0.023582,0.021507,0.022062000000000002,0.021905,0.018432999999999998,0.017359,0.016058,0.013856,0.013485,0.012022,0.011111,0.011359,0.012602,0.013208000000000001,0.014951000000000002,0.014471999999999999,0.013951999999999999,0.014452,0.012977,0.012275,0.01319,0.012757999999999999,0.01234,0.011812999999999999,0.010422,0.008547999999999998,0.007658999999999999,0.007103,0.006314,0.006232,0.005958,0.005643,0.004735,0.004504,0.004103,0.003575,0.0027149999999999995,0.002772,0.002632
15,0.045185,0.04852,0.045759999999999995,0.045845,0.04778,0.047515,0.043765,0.037755000000000004,0.03495,0.032535,0.0294,0.02682,0.027530000000000002,0.027345,0.022955,0.021625,0.02001,0.017265,0.016815,0.01498,0.013850000000000001,0.014175,0.015715,0.016455,0.01864,0.01807,0.017400000000000002,0.018000000000000002,0.01617,0.015305,0.01646,0.01589,0.015390000000000001,0.01472,0.013005,0.010655,0.009534999999999998,0.00885,0.007845,0.007764999999999999,0.007424999999999999,0.007035,0.00591,0.0056300000000000005,0.0051199999999999996,0.00445,0.003385,0.0034549999999999997,0.00328
16,0.06988,0.072062,0.06870399999999999,0.067662,0.067705,0.066877,0.061808999999999996,0.054516,0.049929,0.046100999999999996,0.042279,0.038349999999999995,0.038701,0.038207000000000005,0.03375499999999999,0.031163,0.028804000000000003,0.025741,0.02378,0.021296999999999996,0.019721000000000002,0.019769,0.020474,0.021133,0.023149,0.022817,0.022764,0.022927000000000003,0.020825,0.020131999999999997,0.021004999999999996,0.020842,0.020239,0.020265000000000002,0.017985,0.015897,0.014043999999999997,0.013578,0.011994000000000001,0.011833999999999999,0.011655000000000002,0.010879999999999999,0.010209,0.009356,0.008862,0.008102,0.006751,0.006467,0.006479
17,0.09457499999999999,0.095604,0.09164800000000001,0.089479,0.08762999999999999,0.086239,0.079853,0.07127700000000001,0.064908,0.059667,0.055158,0.04988000000000001,0.049872,0.049069,0.044555,0.040701,0.03759799999999999,0.034217,0.030745,0.027614,0.025591999999999997,0.025363,0.025233,0.025811,0.027658000000000002,0.027564,0.028128,0.027854,0.025480000000000003,0.024959000000000002,0.02555,0.025793999999999997,0.025088,0.025810000000000003,0.022965,0.021138999999999998,0.018552999999999997,0.018306000000000003,0.016142999999999998,0.015903,0.015885,0.014724999999999999,0.014508,0.013082,0.012604,0.011754,0.010117,0.009479,0.009677999999999999
18,0.11926999999999999,0.119146,0.114592,0.111296,0.107555,0.105601,0.09789699999999998,0.088038,0.07988700000000001,0.07323299999999999,0.068037,0.06141,0.061043,0.059931000000000005,0.055355,0.050239,0.046392,0.042692999999999995,0.03771,0.033931,0.031463,0.030957,0.029991999999999998,0.030489000000000002,0.032167,0.032311,0.033492,0.032781,0.030135000000000002,0.029786,0.030095000000000004,0.030745999999999996,0.029937,0.031355,0.027945,0.026381,0.023062,0.023034,0.020291999999999998,0.019972,0.020115,0.018570000000000003,0.018806999999999997,0.016808000000000003,0.016346,0.015406,0.013483,0.012491000000000002,0.012877
19,0.14396499999999998,0.142688,0.137536,0.13311299999999998,0.12748,0.12496300000000002,0.115941,0.104799,0.094866,0.08679899999999999,0.08091599999999999,0.07294,0.072214,0.07079300000000001,0.06615499999999999,0.059777,0.055186,0.051169000000000006,0.044675000000000006,0.04024799999999999,0.03733399999999999,0.036551,0.034751,0.035167,0.036676,0.037058,0.038855999999999995,0.037708,0.03479,0.034613,0.034640000000000004,0.035698,0.034786,0.0369,0.032925,0.031623,0.027571,0.027762000000000002,0.024440999999999997,0.024041,0.024345000000000002,0.022414999999999997,0.023106,0.020534000000000004,0.020088,0.019058,0.016849,0.015503,0.016076
