edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00014000000000000001,5e-05,0.00014000000000000001,0.00023999999999999998,0.00034,0.0001,0.00015,0.00015,0.0001,5e-05,0.0,0.0,5e-05,0.0,0.0,0.00015,0.0,0.00011,5.9999999999999995e-05,5.9999999999999995e-05,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,8.999999999999999e-05,0.0,8.999999999999999e-05,0.0,0.0,8.999999999999999e-05,8.999999999999999e-05,0.0,0.0,8.999999999999999e-05,0.0,0.0,8e-05,8e-05,8e-05,0.0,0.0,0.0,7.000000000000001e-05,0.0,0.0,7.000000000000001e-05
11,0.004215999999999999,0.00555,0.005716,0.006124000000000001,0.005696,0.005759999999999999,0.004766000000000001,0.004614000000000001,0.0038900000000000002,0.003622,0.0035479999999999995,0.003018,0.0024759999999999995,0.002748,0.0021160000000000003,0.0021019999999999997,0.001392,0.001704,0.0012980000000000001,0.0011860000000000002,0.000946,0.0009279999999999999,0.001052,0.0008240000000000001,0.0009239999999999999,0.0009960000000000001,0.0009519999999999999,0.001232,0.001194,0.0013440000000000001,0.0010779999999999997,0.001488,0.001636,0.001644,0.001936,0.00137,0.0013160000000000001,0.001072,0.000968,0.000996,0.000922,0.00092,0.0009519999999999999,0.000532,0.0006360000000000001,0.000716,0.00048200000000000006,0.000624,0.000372
12,0.008291999999999999,0.01105,0.011292,0.012008000000000001,0.011052,0.011419999999999998,0.009382000000000001,0.009078000000000001,0.007679999999999999,0.007194,0.007095999999999999,0.006036,0.004901999999999999,0.005496,0.0042320000000000005,0.004054,0.002784,0.0032979999999999997,0.002536,0.0023120000000000003,0.001892,0.0018559999999999998,0.002104,0.0016480000000000002,0.001768,0.0019920000000000003,0.0019039999999999999,0.002374,0.002388,0.002598,0.0021559999999999995,0.002976,0.003182,0.003198,0.003872,0.00274,0.002542,0.002144,0.001936,0.001912,0.001764,0.0017600000000000003,0.0019039999999999999,0.001064,0.0012720000000000001,0.0013620000000000001,0.0009640000000000001,0.001248,0.0006739999999999999
13,0.012367999999999999,0.016550000000000002,0.016867999999999998,0.017891999999999998,0.016408,0.017079999999999998,0.013998000000000003,0.013542000000000002,0.011470000000000001,0.010766000000000001,0.010643999999999999,0.009053999999999998,0.007327999999999999,0.008244,0.006348,0.006006,0.004176,0.0048920000000000005,0.003774,0.003438,0.0028380000000000002,0.002784,0.003156,0.0024720000000000002,0.002612,0.0029880000000000006,0.002856,0.0035159999999999996,0.0035819999999999997,0.003852,0.0032339999999999995,0.004464,0.0047279999999999996,0.004752,0.005808,0.004109999999999999,0.0037679999999999996,0.003216,0.002904,0.0028280000000000002,0.002606,0.0026000000000000007,0.002856,0.001596,0.001908,0.002008,0.0014460000000000002,0.001872,0.000976
14,0.016444,0.02205,0.022444,0.023776,0.021764,0.02274,0.018614000000000002,0.018006,0.01526,0.014338000000000002,0.014191999999999998,0.012072,0.009753999999999999,0.010992,0.008464000000000001,0.007958,0.005568,0.006486,0.005012,0.004564,0.003784,0.0037119999999999996,0.004208,0.0032960000000000003,0.003456,0.0039840000000000006,0.0038079999999999998,0.004658,0.004776,0.005106,0.004311999999999999,0.005952,0.006274,0.006306,0.007744,0.00548,0.004994,0.004288,0.003872,0.0037440000000000004,0.003448,0.0034400000000000003,0.0038079999999999998,0.002128,0.0025440000000000003,0.002654,0.0019280000000000002,0.002496,0.001278
15,0.02052,0.02755,0.02802,0.02966,0.027120000000000002,0.028399999999999998,0.02323,0.02247,0.01905,0.01791,0.01774,0.01509,0.01218,0.01374,0.01058,0.00991,0.00696,0.00808,0.00625,0.005690000000000001,0.004730000000000001,0.00464,0.00526,0.00412,0.0043,0.00498,0.0047599999999999995,0.0058,0.00597,0.00636,0.00539,0.00744,0.00782,0.00786,0.00968,0.006849999999999999,0.00622,0.00536,0.00484,0.00466,0.00429,0.00428,0.0047599999999999995,0.00266,0.00318,0.0033,0.0024100000000000002,0.00312,0.00158
16,0.044418,0.051854,0.052252,0.052596000000000004,0.048494,0.047256,0.041186,0.038672,0.033201999999999995,0.03041,0.029226,0.025297999999999998,0.021995999999999998,0.022176,0.018990000000000003,0.01705,0.01355,0.013986,0.01202,0.010074,0.008722,0.00794,0.008,0.006898,0.00717,0.007818,0.007826,0.008865999999999999,0.008865999999999999,0.009468,0.008683999999999999,0.010538,0.01141,0.011806,0.012728,0.010469999999999998,0.009056,0.00829,0.008196,0.007554,0.007002,0.006812,0.007182,0.00558,0.005548,0.005933999999999999,0.004462,0.005163999999999999,0.00397
17,0.068316,0.076158,0.07648400000000001,0.075532,0.06986800000000001,0.06611199999999999,0.05914199999999999,0.054874,0.047354,0.04291,0.040712000000000005,0.035506,0.031812,0.030612,0.027399999999999997,0.02419,0.020139999999999998,0.019892000000000003,0.01779,0.014457999999999999,0.012714,0.011239999999999998,0.01074,0.009676,0.010039999999999999,0.010656,0.010891999999999999,0.011931999999999998,0.011762,0.012576,0.011977999999999997,0.013635999999999999,0.015,0.015752000000000002,0.015776,0.01409,0.011892,0.011220000000000003,0.011552,0.010448,0.009714000000000002,0.009344000000000002,0.009604,0.0085,0.007916000000000001,0.008567999999999997,0.006514,0.007207999999999999,0.006359999999999999
18,0.092214,0.100462,0.10071600000000001,0.09846799999999999,0.09124200000000002,0.084968,0.077098,0.07107600000000001,0.061506,0.055409999999999994,0.052197999999999994,0.045714,0.041628,0.039048,0.03581,0.031330000000000004,0.026729999999999997,0.025798,0.02356,0.018841999999999998,0.016706,0.014539999999999999,0.01348,0.012454,0.01291,0.013493999999999999,0.013958,0.014998000000000001,0.014657999999999997,0.015683999999999997,0.015271999999999999,0.016734000000000002,0.01859,0.019698,0.018824,0.01771,0.014727999999999998,0.014150000000000003,0.014908000000000001,0.013341999999999998,0.012426000000000001,0.011876000000000001,0.012026,0.011420000000000001,0.010284,0.011201999999999998,0.008566,0.009251999999999998,0.00875
19,0.11611199999999999,0.12476599999999999,0.124948,0.121404,0.11261600000000001,0.10382400000000001,0.095054,0.08727800000000001,0.075658,0.06791,0.06368399999999999,0.055922,0.051444,0.047484,0.044219999999999995,0.03847,0.033319999999999995,0.031704,0.029330000000000002,0.023226,0.020698,0.017839999999999998,0.01622,0.015231999999999999,0.01578,0.016332,0.017024,0.018064,0.017554,0.018792,0.018566,0.019832000000000002,0.02218,0.023644000000000002,0.021872,0.02133,0.017564,0.01708,0.018264000000000002,0.016235999999999997,0.015138000000000002,0.014408,0.014448,0.014340000000000002,0.012652,0.013836,0.010618,0.011295999999999999,0.011139999999999999
