edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,3.4e-05,3.2e-05,5e-05,4.599999999999999e-05,6.8e-05,0.000124,0.000304,0.000134,0.00016,0.00011200000000000001,7.6e-05,5.4e-05,4.6e-05,6.6e-05,7.4e-05,0.00015000000000000001,0.00016,0.000106,7.4e-05,3.5999999999999994e-05,6.6e-05,6.2e-05,3.2e-05,5e-05,0.00014,0.000124,0.00010200000000000001,0.000154,5.8e-05,7.999999999999999e-05,0.00015000000000000001,9.400000000000001e-05,0.000186,0.000188,0.000128,0.000148,7e-05,0.000172,0.000136,6.8e-05,7.6e-05,8.2e-05,0.00020999999999999998,9e-05,0.000138,8.200000000000001e-05,0.00013,0.00020400000000000003,0.00012000000000000002
11,0.0017468000000000002,0.0020428,0.0022624000000000003,0.0025052,0.0025475999999999997,0.0030108,0.0030412,0.0028271999999999998,0.0029188,0.002856,0.0027444,0.0026304,0.0024036,0.0028408,0.0023428,0.0022367999999999997,0.0021092,0.0019496,0.0017911999999999997,0.0015784,0.0014563999999999998,0.0012992,0.001332,0.0013216,0.0015775999999999997,0.0015584000000000001,0.0016764000000000002,0.0017148,0.0018855999999999999,0.0020012000000000003,0.0019908,0.002294,0.0024184,0.0026988000000000003,0.0024164,0.002136,0.0017708,0.0018956,0.0016708,0.001574,0.0016468,0.0016836,0.0016843999999999997,0.0015563999999999999,0.0014420000000000001,0.0013988,0.0013348,0.0012752,0.0010860000000000002
12,0.0034596,0.004053599999999999,0.0044748,0.0049644,0.0050272,0.0058976,0.0057784,0.0055204,0.0056776,0.005600000000000001,0.0054128,0.0052068,0.0047612,0.0056156,0.0046115999999999996,0.0043235999999999995,0.004058399999999999,0.0037932,0.0035084000000000005,0.0031208,0.0028467999999999996,0.0025364000000000003,0.002632,0.0025932,0.0030152,0.0029928,0.0032508000000000003,0.0032756,0.0037132,0.0039224,0.0038316,0.004494,0.0046508,0.0052096,0.0047048,0.004124,0.0034716000000000005,0.0036192000000000004,0.0032056000000000003,0.0030800000000000003,0.0032176,0.0032852,0.0031588,0.0030228,0.002746,0.0027156,0.0025396,0.0023464,0.0020520000000000004
13,0.005172400000000001,0.006064399999999999,0.0066872,0.0074236,0.007506799999999999,0.0087844,0.008515600000000002,0.0082136,0.0084364,0.008344,0.0080812,0.0077832,0.0071188,0.008390400000000001,0.0068804,0.006410399999999999,0.0060076,0.0056368,0.0052255999999999995,0.0046632,0.004237199999999999,0.0037736,0.003932,0.0038648000000000003,0.0044528,0.0044272,0.0048252,0.0048364,0.0055408,0.0058436,0.005672399999999999,0.006694,0.006883200000000001,0.0077204000000000005,0.0069932,0.006112,0.005172400000000001,0.0053428,0.0047404000000000005,0.004586,0.0047884,0.004886799999999999,0.0046332,0.0044892,0.00405,0.0040324,0.0037443999999999997,0.0034176,0.003018
14,0.006885199999999999,0.0080752,0.0088996,0.0098828,0.009986400000000001,0.0116712,0.0112528,0.0109068,0.011195199999999999,0.011088,0.010749600000000002,0.0103596,0.0094764,0.0111652,0.0091492,0.0084972,0.0079568,0.007480400000000001,0.006942800000000001,0.0062056,0.005627599999999999,0.0050108,0.0052320000000000005,0.0051364,0.0058904,0.0058616,0.0063996,0.0063972000000000005,0.0073684,0.0077648,0.0075132,0.008893999999999999,0.009115599999999998,0.0102312,0.0092816,0.0081,0.0068732,0.0070664000000000005,0.0062752,0.006091999999999999,0.006359200000000001,0.0064884,0.0061076,0.0059556,0.005354,0.0053492,0.0049492,0.004488799999999999,0.003984
15,0.008598,0.010086,0.011112,0.012342,0.012466,0.014557999999999998,0.013989999999999999,0.013600000000000001,0.013954,0.013832,0.013418,0.012936,0.011834,0.01394,0.011418000000000001,0.010584,0.009906000000000002,0.009323999999999999,0.008660000000000001,0.007748,0.007017999999999999,0.006248,0.0065320000000000005,0.006408,0.0073279999999999994,0.0072959999999999995,0.007974,0.007958,0.009196,0.009686,0.009354000000000001,0.011094,0.011348,0.012742,0.01157,0.010088,0.008574000000000002,0.008790000000000001,0.00781,0.007597999999999999,0.007930000000000001,0.00809,0.007582,0.007422,0.006658,0.006666,0.006154,0.00556,0.00495
16,0.025562,0.029547999999999998,0.03003,0.031763200000000005,0.0315328,0.0332148,0.0318944,0.0303456,0.0288528,0.0275248,0.025525200000000005,0.0243396,0.0228032,0.0234228,0.021006,0.0194548,0.01798,0.0172212,0.015270800000000001,0.013572,0.012087999999999998,0.0105824,0.0105788,0.010102,0.010947599999999998,0.0105076,0.011340800000000002,0.011549599999999998,0.0129524,0.013443199999999999,0.013384800000000002,0.015049600000000002,0.015840399999999998,0.017936399999999998,0.016346,0.014838,0.0127716,0.012543599999999999,0.011158,0.010691599999999999,0.011108400000000001,0.0109932,0.0110104,0.010436,0.0103424,0.009672799999999999,0.0091752,0.008962000000000001,0.0084708
17,0.042525999999999994,0.04901,0.048948000000000005,0.0511844,0.0505996,0.0518716,0.0497988,0.0470912,0.0437516,0.0412176,0.037632399999999996,0.035743199999999996,0.0337724,0.0329056,0.030594,0.0283256,0.026054,0.025118399999999996,0.0218816,0.019396000000000004,0.017158,0.0149168,0.014625599999999999,0.013796,0.014567199999999999,0.013719199999999997,0.014707600000000001,0.015141199999999999,0.016708800000000003,0.017200399999999998,0.0174156,0.0190052,0.0203328,0.0231308,0.021122,0.019588,0.0169692,0.0162972,0.014506000000000002,0.013785200000000001,0.014286799999999999,0.0138964,0.014438800000000002,0.01345,0.0140268,0.0126796,0.0121964,0.012364,0.0119916
18,0.05949,0.068472,0.06786600000000001,0.0706056,0.06966639999999999,0.07052839999999999,0.06770319999999999,0.0638368,0.058650400000000005,0.054910400000000005,0.0497396,0.0471468,0.0447416,0.04238840000000001,0.040182,0.0371964,0.034128000000000006,0.0330156,0.0284924,0.02522,0.022227999999999998,0.0192512,0.0186724,0.01749,0.0181868,0.0169308,0.0180744,0.0187328,0.020465200000000003,0.0209576,0.021446399999999997,0.0229608,0.0248252,0.028325200000000002,0.025897999999999997,0.024338000000000002,0.021166800000000003,0.020050799999999997,0.017854000000000002,0.0168788,0.0174652,0.0167996,0.0178672,0.016464,0.0177112,0.0156864,0.015217600000000001,0.015765999999999995,0.015512399999999999
19,0.076454,0.087934,0.086784,0.0900268,0.0887332,0.08918519999999999,0.0856076,0.0805824,0.07354920000000001,0.0686032,0.0618468,0.0585504,0.05571079999999999,0.051871200000000006,0.04977,0.046067199999999996,0.042202,0.0409128,0.0351032,0.031044,0.027298,0.0235856,0.022719200000000002,0.021184,0.0218064,0.020142399999999998,0.0214412,0.0223244,0.0242216,0.0247148,0.0254772,0.0269164,0.0293176,0.0335196,0.030674,0.029088000000000003,0.0253644,0.0238044,0.021202,0.0199724,0.0206436,0.0197028,0.021295599999999998,0.019478000000000002,0.021395599999999997,0.0186932,0.018238800000000003,0.019167999999999998,0.0190332
