edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.000135,0.00014000000000000001,0.00017,0.00022,0.000285,0.000195,0.0002375,0.00019,9.75e-05,9.250000000000001e-05,7.75e-05,3.5e-05,3.5e-05,7.75e-05,9.75e-05,0.00010750000000000001,4.75e-05,5.5e-05,5.4999999999999995e-05,8.5e-05,4.75e-05,8.75e-05,6.75e-05,0.00011250000000000001,3.9999999999999996e-05,0.0001575,0.0001325,6.500000000000001e-05,0.000225,0.000155,0.0001675,0.0001125,0.0001325,9.5e-05,6.500000000000001e-05,0.0001425,0.0001575,0.0001975,8.5e-05,7.000000000000001e-05,4.75e-05,0.0001325,9.75e-05,7.999999999999999e-05,2.25e-05,5.500000000000001e-05,3.25e-05,3.9999999999999996e-05,5.75e-05
11,0.004304499999999999,0.005094,0.0053155,0.005752999999999999,0.005901000000000001,0.005196,0.004235,0.0038665,0.0035535000000000002,0.0031764999999999996,0.003048,0.002765,0.0025885,0.00258,0.0021045,0.002086,0.0018565,0.001791,0.0014785000000000002,0.0014824999999999999,0.0013080000000000001,0.0012634999999999999,0.001348,0.00141,0.001409,0.001797,0.0020825,0.0020924999999999997,0.0024194999999999998,0.002584,0.0025435,0.0026680000000000002,0.0028495,0.0030505,0.0025145000000000002,0.0023940000000000003,0.0021725,0.0020495,0.0017355000000000003,0.0016875,0.0015575,0.001598,0.001511,0.0013025,0.001229,0.001106,0.0008955,0.000905,0.000812
12,0.008474,0.010048000000000001,0.010461,0.011286,0.011517000000000001,0.010197,0.0082325,0.007542999999999999,0.007009499999999999,0.0062605,0.0060184999999999995,0.005495,0.005142,0.0050825,0.0041115,0.0040645,0.0036655000000000004,0.003527,0.002902,0.0028799999999999997,0.0025685,0.0024395,0.0026285,0.0027075000000000003,0.002778,0.0034365,0.0040325,0.00412,0.004614,0.005013,0.0049195,0.0052235,0.0055665,0.006006,0.004964,0.0046455,0.0041875,0.0039014999999999996,0.003386,0.0033049999999999998,0.0030675,0.0030635000000000003,0.0029245,0.0025250000000000003,0.0024355,0.002157,0.0017584999999999999,0.0017699999999999999,0.0015665
13,0.012643500000000002,0.015002000000000001,0.015606499999999999,0.016819,0.017133,0.015198,0.01223,0.0112195,0.010465499999999999,0.009344499999999999,0.008989,0.008225,0.0076955,0.007585,0.006118500000000001,0.006043000000000001,0.0054745,0.005263,0.0043255,0.0042775,0.003829,0.0036155,0.003909,0.004005,0.004147,0.005076,0.0059825,0.0061475,0.0068085,0.007442,0.0072955,0.0077789999999999995,0.0082835,0.008961499999999999,0.0074135,0.006897,0.0062025,0.0057535,0.0050365,0.0049225,0.0045775,0.004529,0.004338,0.0037475,0.0036420000000000003,0.0032080000000000008,0.0026214999999999997,0.0026349999999999998,0.002321
14,0.016813,0.019955999999999998,0.020752,0.022352,0.022749,0.020199,0.0162275,0.014896,0.013921499999999998,0.0124285,0.011959500000000001,0.010955,0.010249000000000001,0.0100875,0.0081255,0.0080215,0.0072835,0.006999,0.005749000000000001,0.0056749999999999995,0.0050895,0.0047915,0.0051895000000000005,0.0053025,0.005516,0.006715499999999999,0.007932499999999999,0.008175,0.009003,0.009871,0.0096715,0.0103345,0.0110005,0.011916999999999999,0.009863,0.0091485,0.008217499999999999,0.007605499999999999,0.006687,0.00654,0.0060875,0.0059945,0.0057515000000000005,0.0049700000000000005,0.0048485,0.004259000000000001,0.0034844999999999998,0.0034999999999999996,0.0030755
15,0.0209825,0.02491,0.025897499999999997,0.027885,0.028365,0.0252,0.020225,0.0185725,0.017377499999999997,0.0155125,0.01493,0.013685,0.0128025,0.01259,0.010132500000000001,0.01,0.0090925,0.008735,0.0071725,0.0070725,0.00635,0.0059675,0.00647,0.0066,0.0068850000000000005,0.008355,0.009882499999999999,0.0102025,0.011197499999999999,0.0123,0.0120475,0.01289,0.0137175,0.0148725,0.0123125,0.0114,0.0102325,0.0094575,0.008337500000000001,0.0081575,0.0075975,0.00746,0.0071649999999999995,0.0061925,0.006055,0.0053100000000000005,0.0043475,0.004365,0.00383
16,0.0476545,0.05213,0.051956,0.0515875,0.049612,0.044358,0.0370335,0.0343395,0.030604499999999996,0.027907,0.0260965,0.023446500000000002,0.021776999999999998,0.020791999999999998,0.017977,0.0173325,0.015673,0.015018,0.012628499999999999,0.011668000000000001,0.0103505,0.0096345,0.0102125,0.010157,0.0106225,0.0122375,0.013838,0.014665000000000001,0.0161215,0.017834000000000003,0.017772,0.019056999999999998,0.0200915,0.022195,0.0194555,0.0184735,0.016731999999999997,0.015416,0.013663000000000002,0.0131285,0.0127165,0.0125275,0.011999,0.011088999999999998,0.0108315,0.009939,0.008441500000000001,0.0085915,0.0078825
17,0.07432649999999999,0.07935,0.0780145,0.07529,0.070859,0.06351599999999999,0.053842,0.0501065,0.043831499999999995,0.0403015,0.037263,0.033208,0.0307515,0.028994,0.0258215,0.024665,0.0222535,0.021301,0.0180845,0.0162635,0.014351,0.0133015,0.013955,0.013714,0.014360000000000001,0.016120000000000002,0.0177935,0.0191275,0.0210455,0.023368,0.0234965,0.025223999999999996,0.026465500000000003,0.0295175,0.0265985,0.025547,0.0232315,0.0213745,0.0189885,0.018099499999999998,0.0178355,0.017595,0.016833,0.0159855,0.015608000000000002,0.014568,0.0125355,0.012818,0.011935
18,0.10099849999999999,0.10657,0.104073,0.0989925,0.09210600000000001,0.082674,0.0706505,0.0658735,0.0570585,0.052696,0.0484295,0.042969499999999994,0.039726,0.037196,0.033666,0.0319975,0.028834,0.027583999999999997,0.0235405,0.020859000000000003,0.0183515,0.0169685,0.017697499999999998,0.017270999999999998,0.018097500000000002,0.0200025,0.021749,0.02359,0.0259695,0.028901999999999997,0.029221,0.031390999999999995,0.0328395,0.03684,0.03374150000000001,0.0326205,0.029730999999999997,0.027333,0.024314000000000002,0.023070499999999997,0.0229545,0.0226625,0.021667,0.020881999999999998,0.0203845,0.019197,0.0166295,0.0170445,0.0159875
19,0.1276705,0.13379000000000002,0.1301315,0.122695,0.113353,0.101832,0.08745900000000001,0.0816405,0.0702855,0.0650905,0.059596,0.052731,0.0487005,0.045398,0.0415105,0.03933,0.0354145,0.033866999999999994,0.0289965,0.025454500000000005,0.022352,0.0206355,0.02144,0.020828,0.021835,0.023885,0.025704499999999998,0.0280525,0.0308935,0.034435999999999994,0.034945500000000004,0.037557999999999994,0.0392135,0.0441625,0.040884500000000004,0.03969399999999999,0.0362305,0.0332915,0.029639500000000003,0.028041499999999997,0.028073499999999998,0.02773,0.026501,0.0257785,0.025161000000000003,0.023826,0.0207235,0.021270999999999998,0.02004
