edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0003,0.0003,0.0,0.00147,0.0006,0.0003,0.0,0.0003,0.00093,0.00031,0.00032,0.00032,0.00032,0.00032,0.00032,0.00033,0.00034,0.0,0.00035,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.00041,0.00041999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.008024000000000002,0.008214,0.008551999999999999,0.010752000000000001,0.009229999999999999,0.00854,0.006932,0.005651999999999999,0.006773999999999999,0.0057599999999999995,0.0062,0.005938000000000001,0.006006,0.0062120000000000005,0.0051459999999999995,0.005236000000000001,0.006,0.0031360000000000003,0.00468,0.0036079999999999997,0.00325,0.0040999999999999995,0.003244,0.003912,0.004006,0.0037960000000000003,0.004354,0.005274,0.0035520000000000005,0.00391,0.0045520000000000005,0.003868,0.005734,0.004144,0.003444,0.003638,0.003442,0.0032600000000000003,0.003196,0.002862,0.00282,0.001892,0.00215,0.001474,0.001818,0.000722,0.0013460000000000002,0.000484,0.00047400000000000003
12,0.015748,0.016128,0.017103999999999998,0.020034,0.01786,0.01678,0.013864,0.011004,0.012617999999999999,0.011210000000000001,0.01208,0.011556,0.011692000000000001,0.012104,0.009972,0.010142000000000002,0.01166,0.006272000000000001,0.00901,0.007215999999999999,0.0065,0.007829999999999998,0.006488,0.007824,0.008012,0.007592000000000001,0.008298,0.010128,0.007104000000000001,0.00782,0.009104000000000001,0.007736,0.011468,0.008288,0.006888,0.007276,0.006884,0.006520000000000001,0.006392,0.005724,0.00564,0.003784,0.0043,0.002948,0.003636,0.001444,0.0026920000000000004,0.000968,0.0009480000000000001
13,0.023472000000000003,0.024041999999999997,0.025655999999999998,0.029316,0.02649,0.02502,0.020796,0.016356,0.018461999999999996,0.01666,0.01796,0.017174,0.017378,0.017996,0.014797999999999999,0.015048000000000002,0.01732,0.009408000000000001,0.01334,0.010823999999999999,0.00975,0.011559999999999997,0.009732,0.011736,0.012018000000000001,0.011388000000000002,0.012242000000000001,0.014982,0.010656000000000002,0.01173,0.013656000000000003,0.011604,0.017202,0.012432,0.010332000000000001,0.010914000000000002,0.010326,0.00978,0.009588000000000001,0.008586,0.008459999999999999,0.0056760000000000005,0.006449999999999999,0.004422,0.0054540000000000005,0.002166,0.004038,0.001452,0.001422
14,0.031196000000000005,0.031956,0.034207999999999995,0.038598,0.03512,0.03326,0.027728,0.021707999999999998,0.024305999999999998,0.022109999999999998,0.02384,0.022792000000000003,0.023064,0.023888000000000003,0.019624,0.019954,0.02298,0.012544000000000001,0.01767,0.014431999999999999,0.013,0.015289999999999998,0.012976,0.015648,0.016024,0.015184000000000001,0.016186,0.019836000000000003,0.014208000000000002,0.01564,0.018208000000000002,0.015472,0.022936,0.016576,0.013776,0.014552,0.013768,0.013040000000000001,0.012784,0.011448,0.01128,0.007568,0.0086,0.005896,0.007272,0.002888,0.005384000000000001,0.001936,0.0018960000000000001
15,0.03892,0.039869999999999996,0.04276,0.047880000000000006,0.04375,0.0415,0.034659999999999996,0.027059999999999997,0.03015,0.027559999999999998,0.02972,0.02841,0.02875,0.02978,0.02445,0.02486,0.028640000000000002,0.01568,0.022,0.01804,0.01625,0.01902,0.01622,0.019559999999999998,0.020030000000000003,0.01898,0.02013,0.02469,0.01776,0.01955,0.022760000000000002,0.01934,0.02867,0.02072,0.01722,0.01819,0.01721,0.016300000000000002,0.01598,0.01431,0.0141,0.009460000000000001,0.01075,0.00737,0.009089999999999999,0.00361,0.006730000000000001,0.00242,0.00237
16,0.064792,0.06750199999999999,0.066724,0.06971200000000001,0.0663,0.061968,0.055956,0.04995399999999999,0.046286,0.043859999999999996,0.044775999999999996,0.042201999999999996,0.040664,0.042488,0.037496,0.035114,0.040490000000000005,0.029549999999999996,0.033555999999999996,0.028654,0.027059999999999997,0.027606000000000002,0.026091999999999997,0.026657999999999998,0.028776,0.029031999999999995,0.029064,0.03191,0.027122,0.030742000000000005,0.032136000000000005,0.030944,0.04013200000000001,0.033622,0.030767999999999997,0.031164,0.029586,0.026592,0.028152,0.025366,0.024104,0.020387999999999996,0.020027999999999997,0.017466000000000002,0.017366,0.012598,0.011578,0.008304,0.007282
17,0.09066400000000002,0.09513399999999998,0.09068800000000002,0.09154400000000001,0.08885,0.08243600000000001,0.077252,0.072848,0.062422000000000005,0.06016,0.059832,0.055994,0.05257799999999999,0.055195999999999995,0.050542000000000004,0.04536799999999999,0.052340000000000005,0.04342,0.045112,0.039268,0.03787,0.03619200000000001,0.035963999999999996,0.033756,0.037522,0.039083999999999994,0.037998000000000004,0.03913,0.036483999999999996,0.041934000000000006,0.041512,0.042548,0.051594,0.046524,0.044315999999999994,0.044138000000000004,0.041962000000000006,0.036884,0.040324,0.036422,0.034108000000000006,0.031316,0.029306000000000002,0.027562,0.025641999999999998,0.021585999999999998,0.016426000000000003,0.014188000000000001,0.012193999999999998
18,0.11653600000000001,0.12276599999999999,0.11465200000000002,0.113376,0.1114,0.102904,0.098548,0.095742,0.078558,0.07646000000000001,0.07488800000000001,0.069786,0.064492,0.06790399999999999,0.063588,0.055622,0.06419,0.05729,0.056668,0.049882,0.048679999999999994,0.044778000000000005,0.045836,0.040854,0.046268000000000004,0.049136,0.046932,0.046349999999999995,0.045846,0.05312600000000001,0.050888,0.054152,0.063056,0.059426,0.05786399999999999,0.057111999999999996,0.054338000000000004,0.047176,0.05249600000000001,0.047478000000000006,0.044112,0.042244,0.038584,0.037658000000000004,0.033918,0.030573999999999997,0.021274,0.020072000000000003,0.017106000000000003
19,0.142408,0.150398,0.13861600000000002,0.135208,0.13394999999999999,0.123372,0.11984399999999999,0.11863599999999999,0.09469400000000001,0.09276000000000001,0.089944,0.083578,0.07640599999999999,0.08061199999999999,0.076634,0.065876,0.07604,0.07116,0.068224,0.060496,0.059489999999999994,0.053364,0.055708,0.047952,0.05501399999999999,0.05918799999999999,0.055866,0.05356999999999999,0.055208,0.06431800000000001,0.060264,0.065756,0.074518,0.072328,0.07141199999999999,0.070086,0.066714,0.057468000000000005,0.064668,0.058534,0.054116000000000004,0.053172,0.047862,0.047754,0.042194,0.039562,0.026122,0.025956000000000003,0.022018
20,0.16828,0.17803,0.16258,0.15703999999999999,0.1565,0.14384,0.14114,0.14153,0.11083,0.10906,0.105,0.09737,0.08832,0.09331999999999999,0.08968000000000001,0.07612999999999999,0.08789,0.08503,0.07978,0.07110999999999999,0.0703,0.061950000000000005,0.06558,0.055049999999999995,0.06376,0.06924,0.0648,0.06079,0.06456999999999999,0.07551000000000001,0.06964000000000001,0.07736,0.08598,0.08523,0.08496,0.08306000000000001,0.07909000000000001,0.06776,0.07684,0.06959,0.06412000000000001,0.06409999999999999,0.05714,0.05785,0.05047,0.048549999999999996,0.030969999999999998,0.03184,0.02693
21,0.17261,0.178814,0.16367,0.15732,0.156222,0.14455199999999999,0.143282,0.140632,0.118602,0.113682,0.11202200000000001,0.10281799999999999,0.097436,0.10027599999999999,0.095572,0.08319199999999999,0.093054,0.09082000000000001,0.08995,0.078788,0.078794,0.07001,0.07453,0.063702,0.06886400000000001,0.07383399999999998,0.070324,0.068198,0.07154200000000001,0.078186,0.07428,0.08036599999999999,0.087864,0.08874800000000001,0.08914,0.087734,0.082158,0.074202,0.07873400000000001,0.076004,0.071696,0.071964,0.066016,0.061322,0.056373999999999994,0.054384,0.037616,0.040972,0.033282
