edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,9.999999999999999e-05,8.499999999999999e-05,0.00010999999999999999,8.999999999999999e-05,0.0,7e-05,0.000125,0.00019999999999999998,0.00019,7e-05,4e-05,8.999999999999999e-05,0.00014,7.500000000000001e-05,8.5e-05,0.0002,4e-05,9e-05,9e-05,8.5e-05,6.500000000000001e-05,8.999999999999999e-05,2.5e-05,7.000000000000001e-05,2.5e-05,4.4999999999999996e-05,4.4999999999999996e-05,7.5e-05,7e-05,4.4999999999999996e-05,0.000155,7.500000000000001e-05,7.500000000000001e-05,0.00011,0.00014000000000000001,5.5e-05,0.0002,0.0002,5.9999999999999995e-05,0.000115,0.00014,2.9999999999999997e-05,8.999999999999999e-05,8.5e-05,0.0,5.5e-05,5.9999999999999995e-05,0.00015,8.999999999999999e-05
11,0.002359,0.0030470000000000002,0.003137,0.0037259999999999997,0.004299,0.004536,0.004188,0.004673,0.00455,0.0042639999999999996,0.004636000000000001,0.004671,0.004887000000000001,0.004207000000000001,0.003921,0.003757,0.003587,0.0030960000000000007,0.0028650000000000004,0.0027519999999999997,0.002398,0.002303,0.002267,0.002144,0.0018579999999999998,0.002099,0.001991,0.001693,0.001764,0.001581,0.001941,0.001911,0.002238,0.002093,0.0021520000000000003,0.00207,0.00213,0.001563,0.001529,0.001628,0.001709,0.001382,0.001454,0.0011849999999999999,0.0012959999999999998,0.001169,0.001291,0.001391,0.0010990000000000002
12,0.004618,0.006009,0.006164,0.0073620000000000005,0.008598,0.009002,0.008251000000000001,0.009146,0.00891,0.008458,0.009232,0.009252,0.009634,0.008339000000000001,0.007757,0.007314000000000001,0.007134,0.006102000000000001,0.00564,0.005418999999999999,0.004731,0.004515999999999999,0.004509,0.0042179999999999995,0.003691,0.0041530000000000004,0.0039369999999999995,0.0033109999999999997,0.0034579999999999997,0.003117,0.003727,0.0037470000000000003,0.0044009999999999995,0.004076,0.004164,0.004085,0.00406,0.0029259999999999998,0.002998,0.003141,0.003278,0.0027340000000000003,0.002818,0.0022849999999999997,0.0025919999999999997,0.0022830000000000003,0.002522,0.002632,0.0021080000000000005
13,0.006877,0.008971,0.009191,0.010997999999999999,0.012896999999999999,0.013468,0.012314,0.013619,0.01327,0.012652,0.013828,0.013833,0.014381000000000001,0.012471,0.011593000000000001,0.010871,0.010681,0.009108000000000002,0.008415,0.008086,0.007064000000000001,0.006729,0.006751,0.006292,0.005523999999999999,0.006207000000000001,0.005883,0.004929,0.0051519999999999995,0.004653000000000001,0.005513,0.005582999999999999,0.006564,0.006058999999999999,0.006176,0.0060999999999999995,0.0059900000000000005,0.004288999999999999,0.004467,0.004654,0.004847,0.004086,0.004181999999999999,0.003385,0.003887999999999999,0.003397,0.003753,0.0038730000000000006,0.003117000000000001
14,0.009136,0.011933,0.012218,0.014634,0.017196,0.017934,0.016377000000000003,0.018091999999999997,0.01763,0.016846,0.018424000000000003,0.018414,0.019128,0.016603,0.015428999999999998,0.014428,0.014227999999999998,0.012114,0.01119,0.010752999999999999,0.009396999999999999,0.008941999999999999,0.008993000000000001,0.008366000000000002,0.007357000000000001,0.008261000000000001,0.007829,0.006547000000000001,0.006846,0.006189,0.007299,0.007419,0.008727,0.008042,0.008188,0.008115,0.00792,0.005652,0.005936,0.006167000000000001,0.006416,0.005438,0.005546,0.004484999999999999,0.005183999999999999,0.004510999999999999,0.004984,0.0051140000000000005,0.004126
15,0.011394999999999999,0.014895,0.015245000000000002,0.01827,0.021495,0.0224,0.02044,0.022564999999999998,0.021990000000000003,0.02104,0.02302,0.022995,0.023875,0.020735,0.019264999999999997,0.017985,0.017775,0.015120000000000001,0.013965,0.01342,0.01173,0.011154999999999998,0.011235,0.01044,0.00919,0.010315,0.009774999999999999,0.008165,0.008539999999999999,0.007725,0.009085,0.009255,0.01089,0.010025,0.0102,0.01013,0.00985,0.0070149999999999995,0.007405,0.00768,0.007984999999999999,0.00679,0.0069099999999999995,0.005585,0.00648,0.005625,0.006215,0.0063549999999999995,0.005135000000000001
16,0.026324999999999998,0.031313,0.032823,0.036786,0.040254000000000005,0.041857000000000005,0.039146,0.040652,0.038612,0.035334000000000004,0.035998,0.035889000000000004,0.035422999999999996,0.033094,0.030341,0.027880999999999996,0.027235,0.024218,0.021650000000000003,0.019984000000000002,0.018067,0.016894,0.016321000000000002,0.015078,0.014045000000000002,0.014436000000000001,0.013871000000000001,0.012375,0.012081000000000001,0.011917999999999998,0.012691000000000001,0.012883,0.013957,0.014053,0.01363,0.013514,0.013089,0.010398999999999999,0.010487,0.010894999999999998,0.010955,0.010135000000000002,0.010127,0.008506,0.009413999999999999,0.008628,0.008779,0.008708,0.0081
17,0.041255,0.047731,0.050401,0.055302000000000004,0.059013,0.061314,0.057852,0.058739000000000006,0.055234,0.049628000000000005,0.048976000000000006,0.048783,0.046971,0.04545300000000001,0.041416999999999995,0.037777000000000005,0.036695000000000005,0.033316,0.029335,0.026548,0.024404000000000002,0.022633,0.021407000000000002,0.019715999999999997,0.0189,0.018557,0.017967,0.016585,0.015622,0.016111,0.016297,0.016511,0.017023999999999997,0.018081,0.01706,0.016898,0.016328000000000002,0.013782999999999998,0.013569000000000001,0.01411,0.013925000000000003,0.01348,0.013343999999999998,0.011427,0.012347999999999998,0.011630999999999999,0.011342999999999999,0.011061,0.011064999999999998
18,0.056185,0.06414900000000001,0.06797899999999998,0.073818,0.07777200000000001,0.080771,0.076558,0.076826,0.071856,0.063922,0.061953999999999995,0.06167700000000001,0.058519,0.057812,0.052493,0.047673,0.046155,0.04241399999999999,0.037020000000000004,0.033112,0.030740999999999997,0.028371999999999994,0.026493000000000003,0.024354,0.023755000000000002,0.022678,0.022063,0.020795,0.019163,0.020304,0.019903,0.020139,0.020090999999999998,0.022109,0.02049,0.020282,0.019567,0.017166999999999998,0.016651,0.017325,0.016895,0.016825,0.016561,0.014348,0.015281999999999999,0.014634000000000001,0.013907,0.013413999999999999,0.01403
19,0.071115,0.080567,0.085557,0.092334,0.096531,0.10022800000000001,0.095264,0.094913,0.088478,0.07821600000000001,0.074932,0.074571,0.070067,0.07017100000000001,0.06356899999999999,0.057568999999999995,0.055615,0.051512,0.044705,0.039676,0.037078,0.034111,0.031579,0.028991999999999997,0.028610000000000003,0.026799,0.026159,0.025005,0.022704000000000002,0.024497,0.023509000000000002,0.023767000000000003,0.023157999999999998,0.026137,0.023919999999999997,0.023666,0.022806,0.020551,0.019733000000000004,0.020540000000000003,0.019865,0.02017,0.019777999999999997,0.017269,0.018216,0.017637,0.016471,0.015767000000000003,0.016994999999999996
20,0.086045,0.096985,0.103135,0.11085,0.11529,0.119685,0.11397,0.11299999999999999,0.1051,0.09251000000000001,0.08791,0.087465,0.08161500000000001,0.08252999999999999,0.07464499999999999,0.067465,0.065075,0.06061,0.052390000000000006,0.046239999999999996,0.043414999999999995,0.03985,0.036665,0.03363,0.033465,0.03092,0.030255,0.029214999999999998,0.026244999999999997,0.02869,0.027115,0.027395000000000003,0.026225,0.030165,0.02735,0.027049999999999998,0.026045,0.023934999999999998,0.022815000000000002,0.023755,0.022835,0.023515,0.022995,0.02019,0.02115,0.020640000000000002,0.019035,0.01812,0.01996
21,0.099519,0.107973,0.11194599999999999,0.119122,0.123273,0.128259,0.1227,0.120785,0.112461,0.101158,0.09554499999999999,0.095057,0.090343,0.09009,0.08297399999999999,0.076003,0.073868,0.070029,0.062623,0.056371,0.05297399999999999,0.049523,0.046013,0.043432,0.042544,0.040496000000000004,0.039325,0.037984000000000004,0.035569,0.036881,0.035363,0.035391000000000006,0.033868999999999996,0.037673,0.034936,0.034062999999999996,0.032701,0.030463999999999998,0.028962,0.030205,0.029142,0.029776,0.029232,0.026338,0.026782999999999998,0.026093,0.024456,0.023538,0.025361
22,0.112993,0.118961,0.120757,0.127394,0.13125599999999998,0.13683299999999998,0.13143,0.12857,0.11982200000000001,0.109806,0.10318,0.10264899999999999,0.09907099999999999,0.09764999999999999,0.091303,0.084541,0.082661,0.07944799999999999,0.072856,0.066502,0.062533,0.059196,0.055361,0.053234000000000004,0.051622999999999995,0.050072,0.048395,0.046753,0.044893,0.045072,0.043611,0.043387,0.041512999999999994,0.045181,0.042522000000000004,0.041075999999999994,0.039357,0.036993,0.035109,0.03665500000000001,0.035449,0.036037,0.035469,0.032486,0.032416,0.031546000000000005,0.029877,0.028956,0.030761999999999998
23,0.126467,0.129949,0.129568,0.135666,0.139239,0.145407,0.14016,0.136355,0.127183,0.118454,0.110815,0.110241,0.107799,0.10521,0.099632,0.093079,0.09145400000000001,0.088867,0.08308900000000001,0.076633,0.07209200000000002,0.068869,0.064709,0.06303600000000001,0.060702000000000006,0.05964799999999999,0.057464999999999995,0.055522,0.054217,0.053263,0.051859,0.051383,0.049157,0.052689,0.050108,0.048089,0.046013,0.043522,0.041256,0.043105000000000004,0.041756,0.042298,0.04170599999999999,0.038634,0.038049,0.036999000000000004,0.035298,0.034374,0.036163
24,0.13994099999999998,0.14093699999999998,0.138379,0.14393799999999998,0.147222,0.153981,0.14889,0.14414,0.134544,0.127102,0.11845,0.117833,0.11652699999999999,0.11277000000000001,0.107961,0.101617,0.100247,0.098286,0.093322,0.08676400000000001,0.081651,0.078542,0.07405700000000001,0.07283799999999999,0.06978100000000001,0.06922399999999998,0.066535,0.064291,0.063541,0.061454,0.06010700000000001,0.059379,0.056801,0.060197,0.05769400000000001,0.055102,0.052669,0.050051,0.047403,0.049555,0.048063,0.048559,0.047943,0.044782,0.043682,0.042452000000000004,0.040719000000000005,0.039792,0.041564000000000004
25,0.153415,0.151925,0.14719,0.15221,0.15520499999999998,0.162555,0.15762,0.15192499999999998,0.141905,0.13574999999999998,0.126085,0.125425,0.125255,0.12032999999999999,0.11629,0.110155,0.10904,0.107705,0.103555,0.096895,0.09121,0.08821499999999999,0.083405,0.08263999999999999,0.07886,0.0788,0.075605,0.07305999999999999,0.07286500000000001,0.069645,0.068355,0.06737499999999999,0.064445,0.067705,0.06528,0.062115,0.059325,0.056580000000000005,0.05355,0.056005,0.05437,0.054819999999999994,0.054180000000000006,0.05093,0.049315,0.047905,0.04614,0.04521,0.046965
26,0.147441,0.14558100000000002,0.140062,0.143759,0.144718,0.151047,0.14664200000000002,0.142283,0.133205,0.127685,0.118869,0.117536,0.11718700000000001,0.112712,0.109361,0.104688,0.103489,0.103019,0.099239,0.09410099999999999,0.089387,0.086794,0.08341299999999999,0.08274100000000001,0.08010900000000001,0.08075199999999999,0.07835600000000001,0.076512,0.07718900000000001,0.074786,0.073869,0.07372399999999998,0.07072800000000001,0.075019,0.071863,0.069257,0.06664,0.063589,0.060568,0.064079,0.062202,0.062346,0.061774,0.058165999999999995,0.056458,0.054867,0.05358500000000001,0.051858999999999995,0.053316
27,0.141467,0.139237,0.132934,0.13530799999999998,0.134231,0.13953900000000002,0.13566399999999998,0.132641,0.124505,0.11962,0.11165299999999999,0.109647,0.109119,0.105094,0.102432,0.099221,0.097938,0.098333,0.09492300000000001,0.091307,0.087564,0.085373,0.083421,0.082842,0.081358,0.082704,0.08110700000000001,0.07996400000000001,0.081513,0.079927,0.07938300000000001,0.080073,0.077011,0.082333,0.078446,0.076399,0.07395499999999999,0.07059800000000001,0.06758600000000001,0.072153,0.070034,0.06987199999999999,0.069368,0.065402,0.063601,0.061828999999999995,0.06103,0.058508000000000004,0.059667
28,0.135493,0.132893,0.125806,0.126857,0.12374399999999999,0.128031,0.12468599999999999,0.122999,0.11580499999999999,0.11155499999999999,0.104437,0.101758,0.101051,0.09747600000000001,0.095503,0.093754,0.092387,0.09364700000000001,0.090607,0.088513,0.085741,0.083952,0.083429,0.08294299999999999,0.08260699999999999,0.08465600000000001,0.08385799999999999,0.08341599999999999,0.085837,0.085068,0.084897,0.086422,0.083294,0.089647,0.08502900000000001,0.083541,0.08127000000000001,0.07760700000000001,0.074604,0.08022699999999999,0.077866,0.07739800000000001,0.076962,0.07263800000000001,0.070744,0.06879100000000002,0.06847500000000001,0.06515699999999999,0.066018
29,0.129519,0.126549,0.118678,0.11840600000000001,0.113257,0.116523,0.113708,0.113357,0.107105,0.10349,0.097221,0.09386900000000001,0.092983,0.089858,0.088574,0.088287,0.086836,0.088961,0.08629099999999999,0.085719,0.08391799999999999,0.082531,0.08343700000000001,0.08304399999999999,0.083856,0.08660799999999999,0.08660899999999999,0.086868,0.09016099999999999,0.090209,0.09041099999999999,0.09277099999999999,0.08957699999999999,0.09696099999999999,0.091612,0.090683,0.088585,0.084616,0.081622,0.08830099999999999,0.085698,0.084924,0.08455599999999999,0.079874,0.077887,0.07575300000000001,0.07592,0.07180600000000001,0.07236899999999999
