edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.000125,6.75e-05,0.000145,0.00011,0.00018,0.000165,0.000145,0.00021500000000000002,0.0001875,0.000135,0.000105,8.750000000000001e-05,4.5e-05,0.00010250000000000001,5.25e-05,0.000105,8.750000000000001e-05,0.0001275,0.000125,3.9999999999999996e-05,6.75e-05,1e-05,0.000115,0.00013250000000000002,8.75e-05,3.25e-05,2.2499999999999998e-05,2.25e-05,8.5e-05,0.0,6.25e-05,4.25e-05,5.5e-05,2.75e-05,0.00014,0.00013,5.7499999999999995e-05,0.00010750000000000001,8.5e-05,6e-05,9.25e-05,6e-05,4.4999999999999996e-05,2.2499999999999998e-05,0.0,0.0,0.0,1.25e-05,5.7499999999999995e-05
11,0.006095,0.007129,0.0074905,0.007960500000000002,0.0083495,0.007936,0.0070615,0.00655,0.0061495,0.0056665,0.0057025,0.004895,0.004692999999999999,0.004396499999999999,0.00367,0.003249,0.0029149999999999996,0.002666,0.002529,0.0019725,0.0016645000000000002,0.0015825000000000001,0.001565,0.0014160000000000002,0.0014765,0.0013245000000000002,0.0013505000000000001,0.001273,0.0014125000000000001,0.0012569999999999999,0.0013055,0.0014505,0.0014650000000000002,0.0015135,0.0015075,0.0014255000000000001,0.0012100000000000001,0.0013625,0.0012415,0.0012490000000000001,0.0012144999999999999,0.0010999999999999998,0.001188,0.0011145,0.000834,0.0007935,0.000621,0.0007195,0.0007455000000000001
12,0.012065,0.0141905,0.014836,0.015811000000000002,0.016519,0.015707,0.013978,0.012885,0.012111499999999999,0.011198,0.011300000000000001,0.0097025,0.009341,0.0086905,0.007287500000000001,0.006393,0.005742499999999999,0.0052045,0.004933,0.0039049999999999996,0.0032614999999999996,0.0031550000000000003,0.003015,0.0026995,0.0028655,0.0026165,0.0026785,0.0025235,0.0027400000000000002,0.0025139999999999997,0.0025485,0.0028585,0.002875,0.0029995,0.002875,0.0027210000000000003,0.0023625,0.0026175,0.002398,0.002438,0.0023365,0.00214,0.002331,0.0022065,0.001668,0.001587,0.001242,0.0014265,0.0014335
13,0.018035000000000002,0.021252,0.0221815,0.023661500000000005,0.0246885,0.023478000000000002,0.0208945,0.01922,0.0180735,0.0167295,0.016897500000000003,0.01451,0.013989,0.0129845,0.010905000000000001,0.009537,0.00857,0.007742999999999999,0.007337,0.0058375,0.0048585,0.004727500000000001,0.004465,0.003983,0.0042545,0.0039085000000000005,0.0040065,0.0037740000000000004,0.0040675,0.003771,0.0037915,0.0042664999999999995,0.004285,0.0044855,0.0042425,0.0040165,0.003515,0.0038725,0.0035544999999999995,0.003627,0.0034585,0.0031799999999999997,0.003474,0.0032985,0.002502,0.0023805,0.001863,0.0021335,0.0021215
14,0.024005,0.0283135,0.029526999999999998,0.031512,0.032858,0.031249000000000002,0.027811,0.025555,0.024035499999999998,0.022261,0.022495,0.0193175,0.018637,0.0172785,0.0145225,0.012681000000000001,0.0113975,0.010281499999999999,0.009741,0.007769999999999999,0.0064555,0.0063,0.005915,0.0052665,0.0056435,0.0052005,0.0053345,0.0050245,0.005395,0.0050279999999999995,0.0050345,0.0056745,0.005695,0.005971499999999999,0.00561,0.005312000000000001,0.0046675,0.0051275,0.004711,0.004816000000000001,0.0045804999999999995,0.00422,0.0046170000000000004,0.0043905,0.003336,0.003174,0.002484,0.0028404999999999997,0.0028095000000000004
15,0.029975,0.035375000000000004,0.0368725,0.0393625,0.041027499999999995,0.03902,0.034727499999999994,0.03189,0.0299975,0.0277925,0.0280925,0.024125,0.023285,0.021572499999999998,0.01814,0.015825,0.014225,0.01282,0.012145,0.0097025,0.0080525,0.007872500000000001,0.007365,0.00655,0.0070325,0.0064925,0.0066625,0.006275,0.0067225,0.006285,0.0062775,0.007082499999999999,0.007105,0.0074575,0.0069775,0.0066075,0.0058200000000000005,0.006382499999999999,0.0058674999999999995,0.006005,0.0057025,0.00526,0.00576,0.0054825,0.00417,0.0039675000000000005,0.003105,0.0035475,0.0034975
16,0.048775,0.0547315,0.0561575,0.058475000000000006,0.058677,0.05574200000000001,0.0503375,0.0464585,0.043707499999999996,0.040581,0.0395135,0.0352255,0.033448,0.031521,0.027999,0.0251025,0.022727,0.020444,0.019077,0.015574500000000002,0.0130625,0.0124825,0.011571999999999999,0.0103255,0.0103345,0.009807999999999999,0.0096705,0.0091465,0.0097655,0.0092515,0.009315499999999999,0.0098625,0.010031,0.0107425,0.0100765,0.009718000000000001,0.0086255,0.009195499999999999,0.008339,0.0084145,0.0082995,0.0078855,0.0082325,0.007956,0.006903000000000001,0.006520499999999999,0.0053565,0.0059405000000000005,0.005771999999999999
17,0.067575,0.07408799999999999,0.0754425,0.0775875,0.07632649999999999,0.072464,0.0659475,0.061027,0.057417499999999996,0.0533695,0.0509345,0.046326000000000006,0.043611,0.0414695,0.037858,0.03438,0.031228999999999996,0.028068000000000003,0.026009,0.0214465,0.0180725,0.0170925,0.015779,0.014100999999999999,0.0136365,0.0131235,0.0126785,0.012018000000000001,0.0128085,0.012218,0.0123535,0.012642500000000001,0.012957,0.0140275,0.0131755,0.0128285,0.011431,0.0120085,0.0108105,0.010824,0.0108965,0.010510999999999998,0.010705,0.010429500000000001,0.009636,0.0090735,0.007608,0.0083335,0.0080465
18,0.08637500000000001,0.0934445,0.0947275,0.09670000000000001,0.093976,0.089186,0.0815575,0.07559550000000001,0.0711275,0.066158,0.0623555,0.057426500000000005,0.053774,0.051418,0.047716999999999996,0.0436575,0.039731,0.035692,0.032941,0.027318500000000003,0.0230825,0.0217025,0.019986,0.0178765,0.016938500000000002,0.016439,0.0156865,0.0148895,0.0158515,0.0151845,0.015391499999999999,0.0154225,0.015883,0.017312499999999998,0.0162745,0.015939000000000002,0.0142365,0.0148215,0.013282,0.0132335,0.0134935,0.013136499999999999,0.013177500000000002,0.012903000000000001,0.012369000000000002,0.0116265,0.0098595,0.0107265,0.010321
19,0.105175,0.112801,0.1140125,0.1158125,0.1116255,0.105908,0.09716749999999999,0.09016400000000001,0.0848375,0.0789465,0.0737765,0.06852699999999999,0.063937,0.0613665,0.057575999999999995,0.052935,0.048233000000000005,0.043316,0.039873,0.0331905,0.0280925,0.0263125,0.024193,0.021652,0.0202405,0.0197545,0.0186945,0.017761,0.0188945,0.018151,0.0184295,0.0182025,0.018809,0.020597499999999998,0.019373500000000002,0.0190495,0.017042,0.017634499999999997,0.0157535,0.015643,0.0160905,0.015761999999999998,0.01565,0.015376500000000001,0.015102,0.0141795,0.012111,0.013119500000000001,0.012595499999999999
