edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00017,0.00013000000000000002,0.00013000000000000002,0.00022,0.0002,0.00013000000000000002,0.00011999999999999999,0.00015,0.00016,8e-05,0.00013000000000000002,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,4e-05,4e-05,5e-05,4e-05,8e-05,2.9999999999999997e-05,8.999999999999999e-05,5e-05,8e-05,1e-05,0.0,0.0,7.000000000000001e-05,0.00020999999999999998,0.0002,0.00017,0.00017,0.00014000000000000001,0.0002,0.00027,0.0002,0.00014000000000000001,0.00023999999999999998,0.00014000000000000001,0.00017,0.00016,0.00011,0.00011,7.000000000000001e-05,8e-05,8e-05,5e-05,2.9999999999999997e-05,5.9999999999999995e-05,7.000000000000001e-05
11,0.004051999999999999,0.0045460000000000006,0.004575999999999999,0.004472,0.004352,0.003766,0.003318,0.0030259999999999996,0.0029240000000000004,0.002824,0.0026219999999999998,0.002368,0.002172,0.0020139999999999997,0.0016860000000000002,0.001472,0.0014000000000000002,0.001254,0.0011220000000000002,0.000966,0.0009040000000000001,0.0008460000000000001,0.0009239999999999999,0.0009080000000000001,0.00109,0.001244,0.001552,0.0019259999999999998,0.00216,0.00209,0.002134,0.002516,0.002638,0.002862,0.0025380000000000003,0.0020220000000000004,0.0020999999999999994,0.0018780000000000001,0.0017579999999999998,0.0016519999999999998,0.0016079999999999998,0.001416,0.00133,0.00123,0.0011200000000000001,0.0009519999999999999,0.000754,0.0008599999999999999,0.000814
12,0.007933999999999998,0.008962000000000001,0.009022,0.008724000000000003,0.008504,0.007402,0.006516,0.005902,0.005688,0.005568000000000001,0.005114,0.004676,0.004283999999999999,0.003968,0.0033320000000000003,0.002904,0.00275,0.002468,0.002164,0.0019019999999999998,0.0017180000000000001,0.0016420000000000002,0.001768,0.001806,0.00218,0.002488,0.003034,0.0036419999999999994,0.00412,0.00401,0.004098,0.004892,0.005076000000000001,0.0054540000000000005,0.004876,0.0039040000000000004,0.00396,0.0036160000000000003,0.0033459999999999996,0.003144,0.0031059999999999994,0.0027219999999999996,0.00259,0.0023799999999999997,0.00216,0.001854,0.001478,0.00166,0.0015580000000000001
13,0.011815999999999997,0.013378000000000003,0.013468,0.012976000000000003,0.012655999999999999,0.011038000000000003,0.009713999999999999,0.008778000000000001,0.008452000000000001,0.008312000000000002,0.007606,0.006983999999999999,0.006395999999999998,0.005921999999999999,0.004978000000000001,0.004336,0.0041,0.003682,0.0032060000000000005,0.002838,0.002532,0.0024379999999999996,0.002612,0.002704,0.0032700000000000003,0.003732,0.004516,0.005358,0.006080000000000001,0.0059299999999999995,0.006062,0.007268,0.007514,0.008046,0.007214000000000001,0.005786,0.0058200000000000005,0.005354,0.004933999999999999,0.004636,0.0046040000000000005,0.0040279999999999995,0.00385,0.0035299999999999997,0.0032,0.0027559999999999993,0.0022019999999999995,0.00246,0.0023020000000000002
14,0.015697999999999997,0.017794,0.017914,0.017228,0.016808,0.014674000000000001,0.012912,0.011654,0.011216,0.011056000000000002,0.010098000000000001,0.009292,0.008508,0.007876,0.0066240000000000005,0.005768,0.00545,0.004896,0.004248,0.0037739999999999996,0.003346,0.003234,0.003456,0.0036019999999999997,0.00436,0.004976,0.005998,0.007073999999999999,0.00804,0.00785,0.008026,0.009644,0.009952,0.010638,0.009552,0.007668,0.007679999999999999,0.007091999999999999,0.006521999999999999,0.006128,0.006102,0.005333999999999999,0.00511,0.00468,0.00424,0.0036579999999999994,0.0029259999999999998,0.00326,0.0030459999999999997
15,0.019579999999999997,0.02221,0.022359999999999998,0.02148,0.02096,0.01831,0.01611,0.01453,0.013980000000000001,0.013800000000000002,0.01259,0.0116,0.01062,0.00983,0.00827,0.0072,0.0068,0.00611,0.00529,0.00471,0.0041600000000000005,0.004030000000000001,0.0043,0.0045,0.00545,0.00622,0.0074800000000000005,0.00879,0.01,0.00977,0.00999,0.01202,0.01239,0.01323,0.011890000000000001,0.009550000000000001,0.00954,0.00883,0.00811,0.00762,0.0076,0.00664,0.00637,0.00583,0.00528,0.00456,0.00365,0.004059999999999999,0.00379
16,0.042707999999999996,0.046902,0.04507799999999999,0.042134,0.03947,0.035129999999999995,0.031252,0.028256,0.025622,0.024200000000000003,0.021816,0.019722,0.018022,0.016759999999999997,0.014908,0.013018,0.011872,0.010756,0.009366,0.007994,0.006939999999999999,0.006386000000000001,0.006584,0.006522,0.007560000000000001,0.008764,0.010484,0.012029999999999999,0.013102,0.013401999999999999,0.013518,0.015501999999999998,0.01658,0.017726,0.01597,0.013722000000000002,0.01311,0.012458,0.011309999999999999,0.01086,0.0106,0.009698,0.009406000000000001,0.008734,0.008268000000000001,0.007434,0.006224,0.006566,0.006314
17,0.06583599999999999,0.07159399999999999,0.067796,0.062788,0.057980000000000004,0.05195,0.046394,0.041982,0.037264,0.0346,0.031041999999999997,0.027844,0.025424,0.02369,0.021546,0.018836,0.016944,0.015402,0.013442,0.011277999999999998,0.00972,0.008742000000000002,0.008868000000000001,0.008544000000000001,0.009670000000000002,0.011308,0.013488,0.015269999999999999,0.016204,0.017034,0.017046,0.018984,0.020770000000000004,0.022222000000000002,0.020050000000000002,0.017893999999999997,0.01668,0.016086,0.01451,0.0141,0.013600000000000001,0.012756,0.012442,0.011638000000000003,0.011256,0.010308,0.008798,0.009071999999999998,0.008838
18,0.088964,0.096286,0.090514,0.083442,0.07649,0.06877,0.061536,0.055708,0.048906000000000005,0.045,0.040268,0.035966,0.032826,0.030619999999999998,0.028184,0.024654,0.022015999999999997,0.020048,0.017518000000000002,0.014562000000000002,0.0125,0.011098000000000002,0.011152,0.010565999999999999,0.01178,0.013852,0.016492,0.01851,0.019306,0.020666,0.020574,0.022466,0.02496,0.026718000000000002,0.024130000000000002,0.022066,0.02025,0.019714,0.01771,0.01734,0.0166,0.015814,0.015478000000000002,0.014542000000000001,0.014244,0.013182,0.011372,0.011578,0.011362
19,0.112092,0.12097799999999997,0.11323199999999999,0.10409600000000001,0.095,0.08559,0.076678,0.069434,0.060548000000000005,0.055400000000000005,0.049493999999999996,0.044088,0.040228,0.03755,0.034822000000000006,0.030472,0.027087999999999997,0.024694,0.021594000000000002,0.017846,0.01528,0.013454,0.013436,0.012587999999999998,0.013890000000000001,0.016396,0.019496000000000003,0.02175,0.022408,0.024298,0.024102000000000002,0.025948,0.029150000000000002,0.031214000000000002,0.028210000000000002,0.026238,0.02382,0.023341999999999998,0.02091,0.020579999999999998,0.019600000000000003,0.018872,0.018514,0.017446000000000003,0.017232,0.016056,0.013946,0.014084,0.013885999999999999
